Column1,year,city_x,id,province_x,province_id,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita,Envirct04,Envirct06,Envirct09,Eect01,Eect02,Eect04,Fict03,Eicct01,bm,ccnl,egdp,hdmsp,hviirs,viirsl,viirsv1,viirsv2
0,1992,北京市,110000,北京市,110000,710.2,6.9,48.4,44.8,6468,,,,1044.9,656.28,622,34984,2660000,,142718.4999,25177580651,238528.7686,,,,
1,1992,天津市,120000,天津市,120000,411.04,7.4,56.8,35.8,4481,,,,878.97,494.8056,781,23138,1638000,,109262.9739,18497291001,190401.7059,,,,
2,1992,长春市,220100,吉林省,220000,103.994,,,,,,,,645.73,239.6,342,,,,61259.75951,7347212248,118037.6118,,,,
3,1992,吉林市,220200,吉林省,220000,71.0103,,,,,,,,416.78,189.67,154,,,,33730.05882,4625373096,66003.45098,,,,
4,1992,四平市,220300,吉林省,220000,14.92,,,,,,,,301.35,95.86,214,,,,19821.68031,1638826656,39657.32941,,,,
5,1992,辽源市,220400,吉林省,220000,12.1989,,,,,,,,120.38,52.51,235,,,,10247.41383,1006632928,20741.98039,,,,
6,1992,通化市,220500,吉林省,220000,13.7517,,,,,,,,218.36,89.66,144,,,,10706.38124,1867455257,22234.18039,,,,
7,1992,白山市,220600,吉林省,220000,16.5684,,,,,,,,125.15,75.85,70,,,,10221.3519,1683216560,20603.27059,,,,
8,1992,白城市,220800,吉林省,220000,8.6122,,,,,,,,33.68,22.3,374,,,,6048.649535,1927628270,13483.51765,,,,
9,1992,上海市,310000,上海市,310000,1114.32,3.1,60.8,36.1,8208,,,,1289.37,875.55,2033,78996,3573800,,110095.1042,21933864952,184551.1333,,,,
10,1992,湖州市,330500,浙江省,330000,79.19,,,,3201,,,,248.02,45.03,432,1634,246123,,15984.33002,2708457378,30459.56471,,,,
11,1992,南昌市,360100,江西省,360000,54.5339,,,,,,,,392.2752,,512,,,,14199.06329,2690988710,27255.21176,,,,
12,1992,景德镇市,360200,江西省,360000,13.0883,,,,,,,,139.3973,,255,,,,3672.297474,740701916.9,7101.960784,,,,
13,1992,萍乡市,360300,江西省,360000,21.2373,,,,,,,,143.7449,,431,,,,2783.141766,500774437,5817.843137,,,,
14,1992,九江市,360400,江西省,360000,22.4707,,,,,,,,421.202,,219,,,,7914.387418,1981057959,16432.44314,,,,
15,1992,新余市,360500,江西省,360000,16.7954,,,,,,,,100.3353,,311,,,,3511.220798,606789381.9,6855.286275,,,,
16,1992,鹰潭市,360600,江西省,360000,2.062,,,,,,,,97.5913,,276,,,,1904.723657,495901274.1,3904.647059,,,,
17,1992,济南市,370100,山东省,370000,138.072,,,,,,,,530.7,204.6,645,3188,,,56516.72581,7753317443,98473.92941,,,,
18,1992,青岛市,370200,山东省,370000,139.37,,,,,,,,673.1,224.1,632,22640,,,41196.74609,6831781448,76114.50196,,,,
19,1992,淄博市,370300,山东省,370000,146.902,,,,,,,,385.7,143,650,4727,,,43147.0393,5878225940,74057.82745,,,,
20,1992,枣庄市,370400,山东省,370000,48.7015,,,,,,,,326.7,84.6,718,915,,,24090.20087,2674609097,42968.32549,,,,
21,1992,东营市,370500,山东省,370000,72.4481,,,,,,,,160.5,44.9,216,319,,,32627.20856,4886627827,59518.10588,,,,
22,1992,烟台市,370600,山东省,370000,42.8578,,,,,,,,629,150.2,466,26647,,,38488.65657,5477583086,73009.37255,,,,
23,1992,潍坊市,370700,山东省,370000,56.51,,,,,,,,864.9,152.9,500,7107,,,56084.078,7710049790,104096.7137,,,,
24,1992,济宁市,370800,山东省,370000,34.2836,,,,,,,,749.8,132,702,4944,,,38219.12237,5092378577,70880.6,,,,
25,1992,泰安市,370900,山东省,370000,30.2025,,,,,,,,649.1,153.6,690,1537,,,29103.72023,2846352965,53164.68627,,,,
26,1992,威海市,371000,山东省,370000,27.3689,,,,,,,,239.3,54.5,440,6580,,,12631.66655,2211113754,24674.98039,,,,
27,1992,日照市,371100,山东省,370000,22.8913,,,,,,,,107.2,31.2,560,586,,,9610.376767,1746567273,18622.57647,,,,
28,1992,莱芜市,371200,山东省,370000,27.0432,,,,,,,,,,530,,,,,,,,,,
29,1992,临沂市,371300,山东省,370000,38.379,,,,,,,,1063.2,109.8,939,814,,,35068.64393,5319734979,67685.06275,,,,
30,1992,德州市,371400,山东省,370000,17.6147,,,,,,,,512.3,77.7,762,849,,,37590.0927,3459076091,69370.38039,,,,
31,1992,长沙市,430100,湖南省,430000,74.6091,,,,,,,,555.39,148.08,470,,,,12702.27601,4004759573,24690.03529,,,,
32,1992,株洲市,430200,湖南省,430000,36.4473,,,,,,,,355.15,73.49,311,,,,6237.579701,1672025371,12742.52157,,,,
33,1992,湘潭市,430300,湖南省,430000,25.8152,,,,,,,,270.45,63.07,539,,,,5338.01626,1221558102,11017.92549,,,,
34,1992,衡阳市,430400,湖南省,430000,25.0882,,,,,,,,662.38,107.69,433,,,,7389.015549,1626049234,14612.42353,,,,
35,1992,邵阳市,430500,湖南省,430000,13.0108,,,,,,,,687.75,73.58,329,,,,3584.106189,1359317019,7450.121569,,,,
36,1992,岳阳市,430600,湖南省,430000,29.4786,,,,,,,,485.2,77.85,323,,,,8755.252392,1932483346,18293.05098,,,,
37,1992,常德市,430700,湖南省,430000,33.7425,,,,,,,,574.15,89.82,315,,,,4982.718283,1602547920,10825.15294,,,,
38,1992,张家界市,430800,湖南省,430000,4.6773,,,,,,,,150.1,16.05,,,,,1327.885472,581609448.4,2835.007843,,,,
39,1992,益阳市,430900,湖南省,430000,9.95,,,,,,,,434.35,64.68,1123,,,,2524.894323,854935783.1,5320.576471,,,,
40,1992,郴州市,431000,湖南省,430000,11.4034,,,,,,,,429.97,66.67,858,,,,5740.636972,1513263411,12799.18431,,,,
41,1992,永州市,431100,湖南省,430000,10.7116,,,,,,,,,,284,,,,4149.22526,1428956907,8674.996078,,,,
42,1992,怀化市,431200,湖南省,430000,8.9767,,,,,,,,458.47,63.66,232,,,,4620.026839,1641393585,10479.71373,,,,
43,1992,广州市,440100,广东省,440000,393.521,,,,,,,,612.2,355.84,824,72880,1881400,,69637.4581,15978846987,119514.8,,,,
44,1992,韶关市,440200,广东省,440000,31.8847,,,,,,,,287.27,91.83,154,5545,162100,,13328.6326,2158517311,26157.7098,,,,
45,1992,深圳市,440300,广东省,440000,284.963,,,,,,,,80.22,57.39,397,71539,1491800,,55306.24909,10689253513,91848.48235,,,,
46,1992,珠海市,440400,广东省,440000,81.4762,,,,,,,,54.97,27.17,434,32704,527300,,19328.00057,2880541159,33189.21961,,,,
47,1992,汕头市,440500,广东省,440000,44.8158,,,,,,,,381.94,103,1850,30664,409500,,17595.22651,3704075728,32029.57255,,,,
48,1992,佛山市,440600,广东省,440000,62.7764,,,,,,,,291.15,105.74,763,29236,445000,,53238.42087,12964102112,91619.87451,,,,
49,1992,江门市,440700,广东省,440000,29.5777,,,,,,,,360.48,102.17,383,18076,302600,,26638.57882,4980277497,50357.02353,,,,
50,1992,湛江市,440800,广东省,440000,46.9585,,,,,,,,567.81,112.86,455,6642,112400,,18437.92526,2863318803,36433.59608,,,,
51,1992,茂名市,440900,广东省,440000,27.5458,,,,,,,,542.87,73.77,474,4029,346300,,12169.00455,2025452303,23794.47059,,,,
52,1992,肇庆市,441200,广东省,440000,22.163,,,,,,,,568.75,96.79,255,16471,266200,,13344.07947,2877568458,26295.1098,,,,
53,1992,惠州市,441300,广东省,440000,22.4378,,,,,,,,239.33,65.36,214,22091,423800,,31452.63293,6749024114,58691.97647,,,,
54,1992,梅州市,441400,广东省,440000,8.6519,,,,,,,,443.09,68.32,280,4353,192600,,10092.89035,1787770802,21292.38431,,,,
55,1992,汕尾市,441500,广东省,440000,7.5421,,,,,,,,234.97,51.67,446,4845,145900,,9391.232016,1179005083,18275.99608,,,,
56,1992,河源市,441600,广东省,440000,9.0528,,,,,,,,283.29,44.77,179,1601,71900,,5246.425532,1592154928,10333.90196,,,,
57,1992,阳江市,441700,广东省,440000,13.0489,,,,,,,,231.99,47.92,297,3550,1084300,,6526.894161,1504415888,13035.33333,,,,
58,1992,清远市,441800,广东省,440000,12.9703,,,,,,,,347.76,57.89,183,5700,433600,,10210.98665,2866346217,20281.8549,,,,
59,1992,东莞市,441900,广东省,440000,84.5408,,,,,,,,136.06,32.71,552,33219,118600,,49255.64733,12375266093,85064.01569,,,,
60,1992,中山市,442000,广东省,440000,71.3792,,,,,,,,119.25,30.99,709,20088,188800,,25595.25469,6470373564,44522.29804,,,,
61,1992,潮州市,445100,广东省,440000,13.7901,,,,,,,,223.28,50.49,725,3880,152900,,8106.700337,1850126177,14933.99608,,,,
62,1992,揭阳市,445200,广东省,440000,11.2191,,,,,,,,456.49,64.13,871,13757,108400,,11256.34355,2614452828,21863.27451,,,,
63,1992,云浮市,445300,广东省,440000,20.9685,,,,,,,,,,,,,,5883.682976,1110328762,11623.32157,,,,
64,1992,海口市,460100,海南省,460000,37.9023,,,,9178,,,,40.58,31.61,1861,,549343,,9071.966642,1451608525,16767.74118,,,,
65,1992,三亚市,460200,海南省,460000,7.991,,,,2129,,,,38.02,11.92,201,,78277,,3477.922541,773329312.7,6416.333333,,,,
66,1992,沈阳市,210100,辽宁省,210000,272.9,,,,,,,,577.4,386.2,678,,,,70069.4164,8522595682,124434.9412,,,,
67,1992,大连市,210200,辽宁省,210000,244.6,,,,,,,,522.9,232.6,416,,,,41036.05745,5210074293,74051.56471,,,,
68,1992,鞍山市,210300,辽宁省,210000,157.4,,,,,,,,329.4,158,356,,,,31716.65038,3558337178,56222.56078,,,,
69,1992,抚顺市,210400,辽宁省,210000,82.2,,,,,,,,223.2,141.9,206,,,,20586.05908,2775545588,35676.78431,,,,
70,1992,本溪市,210500,辽宁省,210000,54.2,,,,,,,,153.7,95.2,183,,,,12856.23312,1851990908,23291.48627,,,,
71,1992,丹东市,210600,辽宁省,210000,58,,,,,,,,234.1,88.8,157,,,,10424.74627,1756268624,20328.78824,,,,
72,1992,锦州市,210700,辽宁省,210000,78.2,,,,,,,,295.3,93.1,300,,,,28291.71545,2350189601,54648.83529,,,,
73,1992,营口市,210800,辽宁省,210000,51.7,,,,,,,,215.6,74.6,399,,,,21294.21479,2564646419,38878.4,,,,
74,1992,阜新市,210900,辽宁省,210000,30.6,,,,,,,,185.6,80.4,208,,,,9787.301619,1396814462,18173.22745,,,,
75,1992,辽阳市,211000,辽宁省,210000,58,,,,,,,,173.5,66.2,367,,,,24426.42175,2709641236,43550.95294,,,,
76,1992,盘锦市,211100,辽宁省,210000,68.7,,,,,,,,108.4,50.7,274,,,,24832.32041,2789845145,44404.5098,,,,
77,1992,铁岭市,211200,辽宁省,210000,70.9,,,,,,,,362.1,90.5,207,,,,33816.78453,2352163003,63747.76471,,,,
78,1992,朝阳市,211300,辽宁省,210000,46.8,,,,,,,,321,73.1,163,,,,9256.297783,2196931618,18631.55686,,,,
79,1992,葫芦岛市,211400,辽宁省,210000,56.6,,,,,,,,255.7,62.1,,,,,20110.71755,2112824329,38586.4549,,,,
80,1992,银川市,640100,宁夏回族自治区,640000,28.6411,17.6,43.5,38.9,,,,,,,241,,,,13202.74885,2966455960,26438.45882,,,,
81,1992,石嘴山市,640200,宁夏回族自治区,640000,16.4227,16.5,60.4,23.1,,,,,,,140,,,,7037.923434,1218044141,14137.62353,,,,
82,1992,吴忠市,640300,宁夏回族自治区,640000,25.8442,31.3,40.6,28.1,,,,,,,243,,,,6092.205913,1736638913,12308.73725,,,,
83,1992,固原市,640400,宁夏回族自治区,640000,6.3876,39.2,19.9,40.9,,,,,,,,,,,1398.496618,713459520.7,2723,,,,
84,1992,杭州市,330100,浙江省,330000,267.85,,,,4614,,,,582.4,174.04,351,9678,657803,,32728.56741,8686022594,61487.14902,,,,
85,1992,宁波市,330200,浙江省,330000,213.05,,,,4133,,,,516.71,106.81,552,11497,762426,,29235.67732,6996455810,55483.21176,,,,
86,1992,嘉兴市,330400,浙江省,330000,113.32,,,,3547,,,,320.61,61.17,819,1620,410331,,23602.57262,4984043499,44342.38431,,,,
87,1992,绍兴市,330600,浙江省,330000,127.25,,,,3057,,,,417.16,55.47,528,1680,446114,,17090.92457,3766785654,32860.14902,,,,
88,1992,舟山市,330900,浙江省,330000,34.14,,,,3502,,,,97.63,21.31,712,162,128180,,3005.013077,545195035.2,5847.427451,,,,
89,1992,温州市,330300,浙江省,330000,126.86,,,,1877,,,,678.99,102.08,576,2495,283233,,13140.55315,3791601465,26192.34118,,,,
90,1992,金华市,330700,浙江省,330000,99.12,,,,2312,,,,429.71,52.24,394,812,222206,,12142.31711,3225425044,24231.75686,,,,
91,1992,衢州市,330800,浙江省,330000,45.55,,,,1961,,,,232.92,30.92,264,201,154136,,7225.706776,1286778575,14785.42353,,,,
92,1992,丽水市,331100,浙江省,330000,36.95,,,,1533,,,,241.25,27.16,215,108,60500,,3279.298225,1414596189,7358.356863,,,,
93,1992,西宁市,630100,青海省,630000,26.2168,,,,,,,,,,304,,,,5567.872067,1726982089,10653.59216,,,,
94,1992,海东市,630200,青海省,630000,15.1585,,,,,,,,,,,,,,1918.984929,995200941.1,4134.470588,,,,
95,1992,海北藏族自治州,632200,青海省,630000,4.2596,,,,,,,,,,,,,,319.6519232,1385018638,723,,,,
96,1992,玉树藏族自治州,632700,青海省,630000,2.1522,,,,,,,,,,,,,,44.41681605,7885943701,130,,,,
97,1992,重庆市,500000,重庆市,500000,462.47,25.4,42.2,32.4,1645,,,,2950.78,511.84,648,10247,1063852,,30852.13539,9907342671,62250.71765,,,,
98,1992,南京市,320100,江苏省,320000,246.88,,,,4675,,,,510.05,243,783,,719600,,48824.43311,9172774619,85456.35686,,,,
99,1992,无锡市,320200,江苏省,320000,288.14,,,,6819,,,,423.9,151.45,912,,1183200,,40492.47402,9784424765,71477.73333,,,,
100,1992,徐州市,320300,江苏省,320000,148.22,,,,1797,,,,826.74,149.84,734,,354100,,31155.42751,4879572502,58193.52941,,,,
101,1992,常州市,320400,江苏省,320000,144.4,,,,4404,,,,328.57,85.72,751,,367500,,24825.99585,5467014922,45466.33725,,,,
102,1992,苏州市,320500,江苏省,320000,359.69,,,,6360,,,,566.89,149.17,668,,1279800,,59133.67695,16996136953,106967.8902,,,,
103,1992,南通市,320600,江苏省,320000,180.49,,,,2316,,,,779.86,161.65,975,,349000,,39589.21405,6464950933,73191.0902,,,,
104,1992,连云港市,320700,江苏省,320000,60.15,,,,1726,,,,349.72,63.04,555,,150500,,20140.41113,2584715396,38560.33333,,,,
105,1992,盐城市,320900,江苏省,320000,127.85,,,,1644,,,,779.2,125.79,520,,242100,,21356.35714,3912034895,43098.54902,,,,
106,1992,扬州市,321000,江苏省,320000,225.96,,,,2426,,,,931.13,154.16,749,,418400,,26466.76984,4610924381,48234.03922,,,,
107,1992,镇江市,321100,江苏省,320000,101.91,,,,2928,,,,259.91,75.02,676,,245600,,21289.0344,3934739160,38467.19216,,,,
108,1992,石家庄市,130100,河北省,130000,113.79,,,,3947,,,,290.01,121.55,891,,,,54091.93065,6931464791,98823.60392,,,,
