city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1992,0.08571829341256552,黑龙江省,230000
台湾省,710000,1992,7.923948712247709,台湾省,710000
安庆市,340800,1992,0.40717056426036696,安徽省,340000
蚌埠市,340300,1992,0.9017022546033441,安徽省,340000
亳州市,341600,1992,0.3675030264721579,安徽省,340000
池州市,341700,1992,0.19839589943925154,安徽省,340000
滁州市,341100,1992,0.7191165216602665,安徽省,340000
阜阳市,341200,1992,0.6781190531967555,安徽省,340000
合肥市,340100,1992,1.477905352013674,安徽省,340000
淮北市,340600,1992,2.340968168681535,安徽省,340000
淮南市,340400,1992,1.9099587907502904,安徽省,340000
黄山市,341000,1992,0.16517560317277497,安徽省,340000
六安市,341500,1992,0.2554087497173703,安徽省,340000
马鞍山市,340500,1992,2.570552620596468,安徽省,340000
宿州市,341300,1992,0.5772683055148989,安徽省,340000
铜陵市,340700,1992,1.4845570097290368,安徽省,340000
芜湖市,340200,1992,1.1345576431237907,安徽省,340000
宣城市,341800,1992,0.36688659879297775,安徽省,340000
福州市,350100,1992,1.5271332182596706,福建省,350000
龙岩市,350800,1992,0.30075692938010656,福建省,350000
南平市,350700,1992,0.20139864988586575,福建省,350000
宁德市,350900,1992,0.2281484965642568,福建省,350000
莆田市,350300,1992,1.5707098426355934,福建省,350000
泉州市,350500,1992,1.9282545203952322,福建省,350000
三明市,350400,1992,0.2717595909754418,福建省,350000
厦门市,350200,1992,6.999144457683765,福建省,350000
漳州市,350600,1992,0.9620420272329869,福建省,350000
白银市,620400,1992,0.3527438455839404,甘肃省,620000
定西市,621100,1992,0.09685328653827634,甘肃省,620000
嘉峪关市,620200,1992,1.303879512925684,甘肃省,620000
金昌市,620300,1992,0.2900314371047783,甘肃省,620000
酒泉市,620900,1992,0.02321090066323652,甘肃省,620000
兰州市,620100,1992,1.2300540229937533,甘肃省,620000
陇南市,621200,1992,0.04250239037460198,甘肃省,620000
平凉市,620800,1992,0.2090435896535888,甘肃省,620000
