city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1984,-47.28227843272502,黑龙江省,230000
台湾省,710000,1984,-824.8607795219857,台湾省,710000
安庆市,340800,1984,44.999584539903175,安徽省,340000
蚌埠市,340300,1984,120.90245548799176,安徽省,340000
亳州市,341600,1984,48.3505447530295,安徽省,340000
池州市,341700,1984,16.63581690230009,安徽省,340000
滁州市,341100,1984,47.50708710104164,安徽省,340000
阜阳市,341200,1984,56.85720220713364,安徽省,340000
合肥市,340100,1984,165.48133971196432,安徽省,340000
淮北市,340600,1984,376.5004540011718,安徽省,340000
淮南市,340400,1984,218.90030737200024,安徽省,340000
黄山市,341000,1984,11.734008390286368,安徽省,340000
六安市,341500,1984,22.807283630099523,安徽省,340000
马鞍山市,340500,1984,243.27649868740764,安徽省,340000
宿州市,341300,1984,77.42145646205549,安徽省,340000
铜陵市,340700,1984,141.68356885241934,安徽省,340000
芜湖市,340200,1984,128.38920432497693,安徽省,340000
宣城市,341800,1984,32.82384100206178,安徽省,340000
福州市,350100,1984,-1686.4710024813123,福建省,350000
龙岩市,350800,1984,31.147185430648566,福建省,350000
南平市,350700,1984,21.32091832676114,福建省,350000
宁德市,350900,1984,-1390.1315471862104,福建省,350000
莆田市,350300,1984,-1392.710917401237,福建省,350000
泉州市,350500,1984,-439.7466240920982,福建省,350000
三明市,350400,1984,37.71480060721946,福建省,350000
厦门市,350200,1984,-3134.0485604852242,福建省,350000
漳州市,350600,1984,-2238.5099080009168,福建省,350000
白银市,620400,1984,32.116797395397285,甘肃省,620000
定西市,621100,1984,13.042369381857668,甘肃省,620000
嘉峪关市,620200,1984,99.48151202226,甘肃省,620000
金昌市,620300,1984,41.03683005809644,甘肃省,620000
酒泉市,620900,1984,-1.5196374416608278,甘肃省,620000
兰州市,620100,1984,165.61998602996337,甘肃省,620000
陇南市,621200,1984,3.659419199851349,甘肃省,620000
平凉市,620800,1984,33.8874047715877,甘肃省,620000
庆阳市,621000,1984,11.200874436938404,甘肃省,620000
天水市,620500,1984,27.21856031791946,甘肃省,620000
武威市,620600,1984,7.879451684601915,甘肃省,620000
张掖市,620700,1984,7.812322590393827,甘肃省,620000
潮州市,445100,1984,-1338.3205313660933,广东省,440000
东莞市,441900,1984,2336.988780251633,广东省,440000
佛山市,440600,1984,1453.2197657169745,广东省,440000
广州市,440100,1984,202.1037371040003,广东省,440000
河源市,441600,1984,28.358304552528722,广东省,440000
惠州市,441300,1984,-205.76297787521017,广东省,440000
江门市,440700,1984,-1147.7850262638076,广东省,440000
