year,city_x,id,province_x,provincecode,envirct04,envirct06,envirct09,eect01,eect02,eect04,fict03,gdpct01,gdpct02,gdpct03,gdpct04,gdp_percapita,eicct01,averagetemperature,averagerelativehumidity,precipitation,sunshinehours,ccnl2s,egdp2s,hdmsp2s,hviirs2s,panda2s,vl2s,egdp2m,ccnl2m,hdmsp2m,hviirs2m,panda2m,vl2m,e2s,e2m,viirs2s,viirs2m
1992,大兴安岭地区,232700,黑龙江省,230000,,,,52.0452,44.187401,,,16.99,6.3000002,67.599998,26.1,,,,,,,9251.6094,8554.4629,19644.984,,-5377811.0,,0.12958266,0.085718296,11.356615,,-42.879395,,3280903940.1908574,50162.84070027487,,
1992,安庆市,340800,安徽省,340000,,,,578.11761,72.850403,376.0,,,,,,,,,,,,6399.6372,5120.9019,13496.694,,1215695.9,,0.3784273,0.40717056,6.5446296,,66.560028,,1576671515.5168023,125695.53182967631,,
1992,蚌埠市,340300,安徽省,340000,,,,306.05389,66.7379,525.0,,,,,,,,,,,,6441.7788,4782.6758,12756.317,,1463520.8,,0.79923606,0.90170223,8.0462189,,176.28506,,1504583775.254779,290901.3082067582,,
1992,亳州市,341600,安徽省,340000,,,,,,578.0,,,,,,,,,,,,3764.6492,3965.042,8077.9766,,939547.44,,0.46383843,0.36750302,7.1698513,,78.927452,,1118308046.5075364,147023.80679983884,,
1992,池州市,341700,安徽省,340000,,,,148.99139,16.0259,,,,,,,,,,,,,1935.4243,2141.2239,4224.3057,,268333.63,,0.25418517,0.19839589,5.5240922,,23.670609,,689935216.8798252,85077.59026438932,,
1992,滁州市,341100,安徽省,340000,,,,41.4487,13.5279,,,,,,,,,,,,,11562.503,7504.6089,23139.141,,2070324.8,,0.55370128,0.71911651,6.0209174,,110.80547,,2127270210.168034,180515.72436977972,,
1992,阜阳市,341200,安徽省,340000,,,,25.7477,19.7661,,,,,,,,,,,,,8196.167,6187.3213,16503.227,,1614997.1,,0.60980248,0.67811906,6.1553626,,114.98143,,1755964755.524724,206808.69218925867,,
1992,合肥市,340100,安徽省,340000,,,,392.16241,108.0068,540.0,,,,,,,,,,,,20003.334,14548.876,37244.063,,3785000.5,,1.2642345,1.4779054,8.8792238,,240.65106,,4457913750.2609,439622.352810166,,
1992,淮北市,340600,安徽省,340000,,,,188.18359,53.929501,617.0,,,,,,,,,,,,7752.231,3695.6333,13931.105,,1528319.4,,1.3419778,2.3409681,9.3953581,,397.15823,,1206847017.5310197,518337.84356925945,,
1992,淮南市,340400,安徽省,340000,,,,186.4892,80.512901,879.0,,,,,,,,,,,,12557.155,5736.9053,23359.639,,1600861.5,,1.034379,1.9099588,8.9384098,,209.54459,,1877690729.3575368,388023.3683714594,,
