city,cityCode,year,ccnl,province,provinceCode
大兴安岭地区,232700,1992,9251.609695,黑龙江省,230000
台湾省,710000,1992,333349.0248,台湾省,710000
安庆市,340800,1992,6399.637079,安徽省,340000
蚌埠市,340300,1992,6441.778587,安徽省,340000
亳州市,341600,1992,3764.64912,安徽省,340000
池州市,341700,1992,1935.424355,安徽省,340000
滁州市,341100,1992,11562.50253,安徽省,340000
阜阳市,341200,1992,8196.167045,安徽省,340000
合肥市,340100,1992,20003.33303,安徽省,340000
淮北市,340600,1992,7752.230844,安徽省,340000
淮南市,340400,1992,12557.15515,安徽省,340000
黄山市,341000,1992,1849.303462,安徽省,340000
六安市,341500,1992,4645.37434,安徽省,340000
马鞍山市,340500,1992,12256.4453,安徽省,340000
宿州市,341300,1992,6917.537405,安徽省,340000
铜陵市,340700,1992,5174.292467,安徽省,340000
芜湖市,340200,1992,7992.304557,安徽省,340000
宣城市,341800,1992,5272.561842,安徽省,340000
福州市,350100,1992,20897.15322,福建省,350000
龙岩市,350800,1992,6358.972165,福建省,350000
南平市,350700,1992,5980.912012,福建省,350000
宁德市,350900,1992,3476.054389,福建省,350000
莆田市,350300,1992,7094.594537,福建省,350000
泉州市,350500,1992,24373.1447,福建省,350000
三明市,350400,1992,6991.083684,福建省,350000
厦门市,350200,1992,13652.55863,福建省,350000
漳州市,350600,1992,14408.41667,福建省,350000
白银市,620400,1992,8849.806362,甘肃省,620000
定西市,621100,1992,2328.646227,甘肃省,620000
嘉峪关市,620200,1992,2081.099081,甘肃省,620000
金昌市,620300,1992,2827.291279,甘肃省,620000
酒泉市,620900,1992,5106.805748,甘肃省,620000
兰州市,620100,1992,20199.20913,甘肃省,620000
陇南市,621200,1992,1426.517229,甘肃省,620000
平凉市,620800,1992,2855.18211,甘肃省,620000
庆阳市,621000,1992,3112.249091,甘肃省,620000
天水市,620500,1992,4800.554849,甘肃省,620000
武威市,620600,1992,3656.896396,甘肃省,620000
张掖市,620700,1992,2438.720531,甘肃省,620000
潮州市,445100,1992,8106.700337,广东省,440000
东莞市,441900,1992,49255.64733,广东省,440000
佛山市,440600,1992,53238.42087,广东省,440000
广州市,440100,1992,69637.4581,广东省,440000
河源市,441600,1992,5246.425532,广东省,440000
惠州市,441300,1992,31452.63293,广东省,440000
江门市,440700,1992,26638.57882,广东省,440000
揭阳市,445200,1992,11256.34355,广东省,440000
茂名市,440900,1992,12169.00455,广东省,440000
梅州市,441400,1992,10092.89035,广东省,440000
清远市,441800,1992,10210.98665,广东省,440000
汕头市,440500,1992,17595.22651,广东省,440000
汕尾市,441500,1992,9391.232016,广东省,440000
韶关市,440200,1992,13328.6326,广东省,440000
深圳市,440300,1992,55306.24909,广东省,440000
阳江市,441700,1992,6526.894161,广东省,440000
云浮市,445300,1992,5883.682976,广东省,440000
湛江市,440800,1992,18437.92526,广东省,440000
肇庆市,441200,1992,13344.07947,广东省,440000
中山市,442000,1992,25595.25469,广东省,440000
珠海市,440400,1992,19328.00057,广东省,440000
安顺市,520400,1992,3028.747654,贵州省,520000
毕节市,520500,1992,1948.123777,贵州省,520000
贵阳市,520100,1992,12429.56405,贵州省,520000
六盘水市,520200,1992,9652.169715,贵州省,520000
铜仁市,520600,1992,890.9917961,贵州省,520000
遵义市,520300,1992,5526.427944,贵州省,520000
儋州市,460400,1992,1765.607182,海南省,460000
海口市,460100,1992,9071.966642,海南省,460000
三沙市,460300,1992,8.19892316,海南省,460000
三亚市,460200,1992,3477.922541,海南省,460000
保定市,130600,1992,44037.79958,河北省,130000
沧州市,130900,1992,53141.38492,河北省,130000
承德市,130800,1992,7698.149783,河北省,130000
邯郸市,130400,1992,57147.73115,河北省,130000
衡水市,131100,1992,23745.11422,河北省,130000
廊坊市,131000,1992,34654.88821,河北省,130000
秦皇岛市,130300,1992,20375.87391,河北省,130000
石家庄市,130100,1992,54091.93065,河北省,130000
唐山市,130200,1992,55658.51788,河北省,130000
邢台市,130500,1992,33577.63182,河北省,130000
张家口市,130700,1992,17243.68175,河北省,130000
安阳市,410500,1992,24495.25042,河南省,410000
鹤壁市,410600,1992,7431.790219,河南省,410000
焦作市,410800,1992,24741.12499,河南省,410000
开封市,410200,1992,10629.00921,河南省,410000
洛阳市,410300,1992,24696.74233,河南省,410000
漯河市,411100,1992,5985.746946,河南省,410000
南阳市,411300,1992,17702.49544,河南省,410000
平顶山市,410400,1992,22725.92445,河南省,410000
濮阳市,410900,1992,19431.23286,河南省,410000
三门峡市,411200,1992,11563.89,河南省,410000
商丘市,411400,1992,8142.091526,河南省,410000
新乡市,410700,1992,27387.31238,河南省,410000
信阳市,411500,1992,7410.267147,河南省,410000
许昌市,411000,1992,12734.17218,河南省,410000
郑州市,410100,1992,41934.51113,河南省,410000
周口市,411600,1992,9283.935841,河南省,410000
驻马店市,411700,1992,7127.003676,河南省,410000
大庆市,230600,1992,43564.73552,黑龙江省,230000
