city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1992,3.2809039401908574E9,黑龙江省,230000
台湾省,710000,1992,49613.62126225491,台湾省,710000
安庆市,340800,1992,1.5766715155168025E9,安徽省,340000
蚌埠市,340300,1992,1.504583775254779E9,安徽省,340000
亳州市,341600,1992,1.1183080465075364E9,安徽省,340000
池州市,341700,1992,6.899352168798252E8,安徽省,340000
滁州市,341100,1992,2.127270210168034E9,安徽省,340000
阜阳市,341200,1992,1.755964755524724E9,安徽省,340000
合肥市,340100,1992,4.4579137502609E9,安徽省,340000
淮北市,340600,1992,1.2068470175310197E9,安徽省,340000
淮南市,340400,1992,1.8776907293575368E9,安徽省,340000
黄山市,341000,1992,8.752003266009073E8,安徽省,340000
六安市,341500,1992,1.5844344031028955E9,安徽省,340000
马鞍山市,340500,1992,1.9419092511847427E9,安徽省,340000
宿州市,341300,1992,1.5889979199342062E9,安徽省,340000
铜陵市,340700,1992,8.548462855755666E8,安徽省,340000
芜湖市,340200,1992,2.11634329482042E9,安徽省,340000
宣城市,341800,1992,1.2424399040310662E9,安徽省,340000
福州市,350100,1992,4.563239691657375E9,福建省,350000
龙岩市,350800,1992,1.8784390403039827E9,福建省,350000
南平市,350700,1992,1.8892608256395717E9,福建省,350000
宁德市,350900,1992,1.173091962712002E9,福建省,350000
莆田市,350300,1992,1.7812887598199146E9,福建省,350000
泉州市,350500,1992,6.833075828720463E9,福建省,350000
三明市,350400,1992,2.0445821431475797E9,福建省,350000
厦门市,350200,1992,2.7446873981139855E9,福建省,350000
漳州市,350600,1992,3.2524803008093257E9,福建省,350000
白银市,620400,1992,1.7139579716790824E9,甘肃省,620000
定西市,621100,1992,1.2949802890898476E9,甘肃省,620000
嘉峪关市,620200,1992,5.463417022599646E8,甘肃省,620000
金昌市,620300,1992,8.50753949363833E8,甘肃省,620000
酒泉市,620900,1992,7.388440756615361E9,甘肃省,620000
兰州市,620100,1992,3.7572134764788566E9,甘肃省,620000
陇南市,621200,1992,1.407298856978301E9,甘肃省,620000
平凉市,620800,1992,9.081921511570388E8,甘肃省,620000
庆阳市,621000,1992,1.8333447918872643E9,甘肃省,620000
天水市,620500,1992,1.3349301288859527E9,甘肃省,620000
武威市,620600,1992,1.6845853740572686E9,甘肃省,620000
张掖市,620700,1992,1.937661820338151E9,甘肃省,620000
潮州市,445100,1992,1.8501261766163757E9,广东省,440000
东莞市,441900,1992,1.2375266093275549E10,广东省,440000
佛山市,440600,1992,1.2964102111969135E10,广东省,440000
广州市,440100,1992,1.5978846986875664E10,广东省,440000
河源市,441600,1992,1.5921549281535366E9,广东省,440000
惠州市,441300,1992,6.749024114401857E9,广东省,440000
江门市,440700,1992,4.980277497365894E9,广东省,440000
揭阳市,445200,1992,2.614452827841507E9,广东省,440000
茂名市,440900,1992,2.0254523029553075E9,广东省,440000
梅州市,441400,1992,1.787770801522453E9,广东省,440000
清远市,441800,1992,2.8663462174461665E9,广东省,440000
汕头市,440500,1992,3.7040757282215376E9,广东省,440000
汕尾市,441500,1992,1.1790050832534847E9,广东省,440000
韶关市,440200,1992,2.158517310935286E9,广东省,440000
深圳市,440300,1992,1.0689253513320463E10,广东省,440000
阳江市,441700,1992,1.504415888217226E9,广东省,440000
云浮市,445300,1992,1.1103287621447456E9,广东省,440000
湛江市,440800,1992,2.863318803168669E9,广东省,440000
肇庆市,441200,1992,2.877568458097228E9,广东省,440000
中山市,442000,1992,6.470373563755879E9,广东省,440000
珠海市,440400,1992,2.8805411586278496E9,广东省,440000
安顺市,520400,1992,8.591014386595972E8,贵州省,520000
毕节市,520500,1992,1.4645352523816328E9,贵州省,520000
贵阳市,520100,1992,2.5990225373680253E9,贵州省,520000
六盘水市,520200,1992,1.2689149995843997E9,贵州省,520000
铜仁市,520600,1992,1.0383729718253714E9,贵州省,520000
遵义市,520300,1992,2.0265067821793237E9,贵州省,520000
儋州市,460400,1992,3.800009165968749E8,海南省,460000
海口市,460100,1992,1.4516085253750918E9,海南省,460000
三沙市,460300,1992,0.0,海南省,460000
三亚市,460200,1992,7.733293127167586E8,海南省,460000
保定市,130600,1992,5.728717634006648E9,河北省,130000
沧州市,130900,1992,4.837799370858816E9,河北省,130000
承德市,130800,1992,2.9320467296412764E9,河北省,130000
邯郸市,130400,1992,7.161117220159396E9,河北省,130000
衡水市,131100,1992,2.01796013152451E9,河北省,130000
廊坊市,131000,1992,5.028743749570467E9,河北省,130000
秦皇岛市,130300,1992,2.8364817763255444E9,河北省,130000
石家庄市,130100,1992,6.931464791259186E9,河北省,130000
唐山市,130200,1992,8.255119740801203E9,河北省,130000
邢台市,130500,1992,3.738118951749448E9,河北省,130000
张家口市,130700,1992,4.315515886072879E9,河北省,130000
安阳市,410500,1992,3.0780715620563183E9,河南省,410000
鹤壁市,410600,1992,8.307860231875918E8,河南省,410000
焦作市,410800,1992,2.5494891940634627E9,河南省,410000
开封市,410200,1992,1.6748690709080768E9,河南省,410000
洛阳市,410300,1992,3.974664570279604E9,河南省,410000
漯河市,411100,1992,9.924015799579351E8,河南省,410000
南阳市,411300,1992,3.4772556371892614E9,河南省,410000
平顶山市,410400,1992,2.901460065562439E9,河南省,410000
濮阳市,410900,1992,1.955332186185724E9,河南省,410000
三门峡市,411200,1992,1.531455194020635E9,河南省,410000
商丘市,411400,1992,2.027851581416659E9,河南省,410000
新乡市,410700,1992,3.5528787492305145E9,河南省,410000
信阳市,411500,1992,2.0098458411510649E9,河南省,410000
许昌市,411000,1992,1.814370979227955E9,河南省,410000
郑州市,410100,1992,7.161308561764683E9,河南省,410000
周口市,411600,1992,1.7950130733860373E9,河南省,410000
驻马店市,411700,1992,1.8855961920046105E9,河南省,410000
大庆市,230600,1992,7.957535098521639E9,黑龙江省,230000
哈尔滨市,230100,1992,9.624260070096323E9,黑龙江省,230000
鹤岗市,230400,1992,1.8187170664032774E9,黑龙江省,230000
黑河市,231100,1992,3.7984052800326557E9,黑龙江省,230000
鸡西市,230300,1992,2.379357229819654E9,黑龙江省,230000
佳木斯市,230800,1992,3.4857410603989573E9,黑龙江省,230000
牡丹江市,231000,1992,3.63273449358107E9,黑龙江省,230000
七台河市,230900,1992,1.272508338996534E9,黑龙江省,230000
齐齐哈尔市,230200,1992,4.597733588627584E9,黑龙江省,230000
双鸭山市,230500,1992,2.4273339553317437E9,黑龙江省,230000
绥化市,231200,1992,3.299442187632622E9,黑龙江省,230000
伊春市,230700,1992,2.492010264831552E9,黑龙江省,230000
鄂州市,420700,1992,7.239093845530947E8,湖北省,420000
黄冈市,421100,1992,1.957946264153791E9,湖北省,420000
黄石市,420200,1992,1.0794460681612325E9,湖北省,420000
荆门市,420800,1992,1.1330699525956035E9,湖北省,420000
荆州市,421000,1992,1.7864818106184366E9,湖北省,420000
十堰市,420300,1992,1.941260922391659E9,湖北省,420000
随州市,421300,1992,7.804915827209328E8,湖北省,420000
武汉市,420100,1992,7.7816158795607815E9,湖北省,420000
咸宁市,421200,1992,9.922868328370106E8,湖北省,420000
襄阳市,420600,1992,2.4892510591154103E9,湖北省,420000
孝感市,420900,1992,1.3644275235205846E9,湖北省,420000
宜昌市,420500,1992,2.1790470515589075E9,湖北省,420000
常德市,430700,1992,1.6025479203066945E9,湖南省,430000
郴州市,431000,1992,1.5132634105079808E9,湖南省,430000
衡阳市,430400,1992,1.6260492336152327E9,湖南省,430000
怀化市,431200,1992,1.6413935847846508E9,湖南省,430000
娄底市,431300,1992,8.825822757715647E8,湖南省,430000
邵阳市,430500,1992,1.3593170191886716E9,湖南省,430000
湘潭市,430300,1992,1.2215581021188498E9,湖南省,430000
益阳市,430900,1992,8.549357830899202E8,湖南省,430000
永州市,431100,1992,1.428956906910453E9,湖南省,430000
岳阳市,430600,1992,1.9324833457092583E9,湖南省,430000
张家界市,430800,1992,5.81609448424912E8,湖南省,430000
长沙市,430100,1992,4.004759573025383E9,湖南省,430000
株洲市,430200,1992,1.6720253713682218E9,湖南省,430000
白城市,220800,1992,1.9276282702390356E9,吉林省,220000
白山市,220600,1992,1.6832165600638366E9,吉林省,220000
吉林市,220200,1992,4.625373095892774E9,吉林省,220000
辽源市,220400,1992,1.0066329279606271E9,吉林省,220000
四平市,220300,1992,1.6388266562779868E9,吉林省,220000
松原市,220700,1992,2.3385425090109587E9,吉林省,220000
通化市,220500,1992,1.8674552569885263E9,吉林省,220000
长春市,220100,1992,7.347212248056291E9,吉林省,220000
常州市,320400,1992,5.467014922289679E9,江苏省,320000
淮安市,320800,1992,2.6995755309447837E9,江苏省,320000
连云港市,320700,1992,2.584715396147978E9,江苏省,320000
南京市,320100,1992,9.17277461880546E9,江苏省,320000
南通市,320600,1992,6.46495093287238E9,江苏省,320000
苏州市,320500,1992,1.6996136952919888E10,江苏省,320000
宿迁市,321300,1992,1.911444667350996E9,江苏省,320000
泰州市,321200,1992,4.296463506823462E9,江苏省,320000
无锡市,320200,1992,9.784424764731754E9,江苏省,320000
徐州市,320300,1992,4.879572502360862E9,江苏省,320000
盐城市,320900,1992,3.912034895000716E9,江苏省,320000
扬州市,321000,1992,4.610924380987849E9,江苏省,320000
镇江市,321100,1992,3.9347391600901203E9,江苏省,320000
抚州市,361000,1992,1.282526204280011E9,江西省,360000
赣州市,360700,1992,2.926223186021854E9,江西省,360000
吉安市,360800,1992,1.630814947190938E9,江西省,360000
景德镇市,360200,1992,7.407019169321271E8,江西省,360000
九江市,360400,1992,1.9810579590402997E9,江西省,360000
南昌市,360100,1992,2.690988709714767E9,江西省,360000
萍乡市,360300,1992,5.0077443698863363E8,江西省,360000
上饶市,361100,1992,1.845269635160876E9,江西省,360000
新余市,360500,1992,6.067893818586819E8,江西省,360000
宜春市,360900,1992,1.6083537712390397E9,江西省,360000
鹰潭市,360600,1992,4.9590127410750616E8,江西省,360000
鞍山市,210300,1992,3.558337178332451E9,辽宁省,210000
本溪市,210500,1992,1.8519909077246475E9,辽宁省,210000
朝阳市,211300,1992,2.1969316180817475E9,辽宁省,210000
大连市,210200,1992,5.210074293463767E9,辽宁省,210000
丹东市,210600,1992,1.756268623964514E9,辽宁省,210000
抚顺市,210400,1992,2.7755455878551245E9,辽宁省,210000
阜新市,210900,1992,1.3968144620053697E9,辽宁省,210000
葫芦岛市,211400,1992,2.1128243291249924E9,辽宁省,210000
锦州市,210700,1992,2.3501896012598696E9,辽宁省,210000
辽阳市,211000,1992,2.709641235613089E9,辽宁省,210000
盘锦市,211100,1992,2.7898451447978983E9,辽宁省,210000
沈阳市,210100,1992,8.522595682137522E9,辽宁省,210000
铁岭市,211200,1992,2.3521630030789065E9,辽宁省,210000
营口市,210800,1992,2.564646419111168E9,辽宁省,210000
海东市,630200,1992,9.952009410653876E8,青海省,630000
西宁市,630100,1992,1.7269820891485214E9,青海省,630000
滨州市,371600,1992,3.8933601792321234E9,山东省,370000
德州市,371400,1992,3.45907609073351E9,山东省,370000
东营市,370500,1992,4.886627826731861E9,山东省,370000
菏泽市,371700,1992,2.4163085181986675E9,山东省,370000
济南市,370100,1992,7.753317443464501E9,山东省,370000
济宁市,370800,1992,5.092378576523689E9,山东省,370000
聊城市,371500,1992,2.4429386419269457E9,山东省,370000
临沂市,371300,1992,5.319734978819711E9,山东省,370000
青岛市,370200,1992,6.831781448426257E9,山东省,370000
日照市,371100,1992,1.746567273005714E9,山东省,370000
泰安市,370900,1992,2.8463529650133653E9,山东省,370000
威海市,371000,1992,2.2111137540985055E9,山东省,370000
潍坊市,370700,1992,7.710049789815611E9,山东省,370000
烟台市,370600,1992,5.477583085938642E9,山东省,370000
枣庄市,370400,1992,2.6746090972672567E9,山东省,370000
淄博市,370300,1992,5.878225939795876E9,山东省,370000
大同市,140200,1992,4.308397176598836E9,山西省,140000
晋城市,140500,1992,3.4329181526524277E9,山西省,140000
晋中市,140700,1992,4.133321981773545E9,山西省,140000
临汾市,141000,1992,6.345262564952761E9,山西省,140000
吕梁市,141100,1992,5.244459454085685E9,山西省,140000
朔州市,140600,1992,2.3655704586850257E9,山西省,140000
太原市,140100,1992,5.320168883391172E9,山西省,140000
忻州市,140900,1992,2.855470129029676E9,山西省,140000
阳泉市,140300,1992,1.6316370863948872E9,山西省,140000
运城市,140800,1992,3.1489796125741577E9,山西省,140000
长治市,140400,1992,3.834394998763095E9,山西省,140000
安康市,610900,1992,1.3714773405126839E9,陕西省,610000
宝鸡市,610300,1992,2.4504625535945086E9,陕西省,610000
汉中市,610700,1992,2.0820670892762413E9,陕西省,610000
商洛市,611000,1992,1.162806281374326E9,陕西省,610000
铜川市,610200,1992,5.850045529884342E8,陕西省,610000
渭南市,610500,1992,2.8299110323173785E9,陕西省,610000
西安市,610100,1992,7.060514886111824E9,陕西省,610000
咸阳市,610400,1992,3.5268496223792205E9,陕西省,610000
延安市,610600,1992,4.306696409322478E9,陕西省,610000
榆林市,610800,1992,4.759846395132782E9,陕西省,610000
巴中市,511900,1992,6.995648233656098E8,四川省,510000
成都市,510100,1992,6.463482919104481E9,四川省,510000
达州市,511700,1992,1.2744389191064837E9,四川省,510000
德阳市,510600,1992,1.3670906050706723E9,四川省,510000
广安市,511600,1992,5.2996017014605534E8,四川省,510000
广元市,510800,1992,1.254780978869121E9,四川省,510000
乐山市,511100,1992,9.71092795025295E8,四川省,510000
泸州市,510500,1992,7.80502540498924E8,四川省,510000
眉山市,511400,1992,5.674349279101716E8,四川省,510000
绵阳市,510700,1992,2.257688470569112E9,四川省,510000
南充市,511300,1992,1.3291850806956034E9,四川省,510000
内江市,511000,1992,6.651306268184186E8,四川省,510000
攀枝花市,510400,1992,1.6679125580224707E9,四川省,510000
遂宁市,510900,1992,7.04605032877252E8,四川省,510000
雅安市,511800,1992,7.306058641902727E8,四川省,510000
宜宾市,511500,1992,8.492882775154506E8,四川省,510000
资阳市,512000,1992,4.911501168795648E8,四川省,510000
自贡市,510300,1992,4.484207877389247E8,四川省,510000
保山市,530500,1992,1.2850502292072382E9,云南省,530000
昆明市,530100,1992,6.079816090313167E9,云南省,530000
丽江市,530700,1992,1.126634875022331E9,云南省,530000
临沧市,530900,1992,1.4495989071325781E9,云南省,530000
普洱市,530800,1992,2.3449115939990253E9,云南省,530000
曲靖市,530300,1992,2.8176506288744864E9,云南省,530000
玉溪市,530400,1992,1.7648769653809354E9,云南省,530000
昭通市,530600,1992,1.1802994171422338E9,云南省,530000
杭州市,330100,1992,8.686022594224741E9,浙江省,330000
湖州市,330500,1992,2.7084573778598266E9,浙江省,330000
嘉兴市,330400,1992,4.984043498595495E9,浙江省,330000
金华市,330700,1992,3.225425043852374E9,浙江省,330000
丽水市,331100,1992,1.4145961889679074E9,浙江省,330000
宁波市,330200,1992,6.996455809765017E9,浙江省,330000
衢州市,330800,1992,1.2867785752820385E9,浙江省,330000
绍兴市,330600,1992,3.766785654170098E9,浙江省,330000
台州市,331000,1992,3.234904486140832E9,浙江省,330000
温州市,330300,1992,3.791601464872879E9,浙江省,330000
舟山市,330900,1992,5.451950352080423E8,浙江省,330000
甘南藏族自治州,623000,1992,1.520747265473897E9,甘肃省,620000
临夏回族自治州,622900,1992,6.688040347519301E8,甘肃省,620000
