city,cityCode,year,hdmsp,province,provinceCode
大兴安岭地区,232700,1992,19644.98431,黑龙江省,230000
台湾省,710000,1992,579563.251,台湾省,710000
安庆市,340800,1992,13496.69412,安徽省,340000
蚌埠市,340300,1992,12756.31765,安徽省,340000
亳州市,341600,1992,8077.976471,安徽省,340000
池州市,341700,1992,4224.305882,安徽省,340000
滁州市,341100,1992,23139.14118,安徽省,340000
阜阳市,341200,1992,16503.22745,安徽省,340000
合肥市,340100,1992,37244.06275,安徽省,340000
淮北市,340600,1992,13931.10588,安徽省,340000
淮南市,340400,1992,23359.63922,安徽省,340000
黄山市,341000,1992,4150.188235,安徽省,340000
六安市,341500,1992,9689.854902,安徽省,340000
马鞍山市,340500,1992,22502.35294,安徽省,340000
宿州市,341300,1992,14373.83529,安徽省,340000
铜陵市,340700,1992,9848.831373,安徽省,340000
芜湖市,340200,1992,15576.61961,安徽省,340000
宣城市,341800,1992,11106.56863,安徽省,340000
福州市,350100,1992,39326.96471,福建省,350000
龙岩市,350800,1992,13504.91373,福建省,350000
南平市,350700,1992,12320.56863,福建省,350000
宁德市,350900,1992,6874.243137,福建省,350000
莆田市,350300,1992,13646.41961,福建省,350000
泉州市,350500,1992,45412.16863,福建省,350000
三明市,350400,1992,14904.92157,福建省,350000
厦门市,350200,1992,23746.12941,福建省,350000
漳州市,350600,1992,28996.87059,福建省,350000
白银市,620400,1992,16876.05098,甘肃省,620000
定西市,621100,1992,4981.976471,甘肃省,620000
嘉峪关市,620200,1992,4225,甘肃省,620000
金昌市,620300,1992,5828,甘肃省,620000
酒泉市,620900,1992,10998.7451,甘肃省,620000
兰州市,620100,1992,37905.73725,甘肃省,620000
陇南市,621200,1992,3200.988235,甘肃省,620000
平凉市,620800,1992,5943.776471,甘肃省,620000
庆阳市,621000,1992,6271.070588,甘肃省,620000
天水市,620500,1992,9898.862745,甘肃省,620000
武威市,620600,1992,7651.639216,甘肃省,620000
张掖市,620700,1992,5442.203922,甘肃省,620000
潮州市,445100,1992,14933.99608,广东省,440000
东莞市,441900,1992,85064.01569,广东省,440000
佛山市,440600,1992,91619.87451,广东省,440000
广州市,440100,1992,119514.8,广东省,440000
河源市,441600,1992,10333.90196,广东省,440000
惠州市,441300,1992,58691.97647,广东省,440000
江门市,440700,1992,50357.02353,广东省,440000
揭阳市,445200,1992,21863.27451,广东省,440000
茂名市,440900,1992,23794.47059,广东省,440000
梅州市,441400,1992,21292.38431,广东省,440000
清远市,441800,1992,20281.8549,广东省,440000
汕头市,440500,1992,32029.57255,广东省,440000
汕尾市,441500,1992,18275.99608,广东省,440000
韶关市,440200,1992,26157.7098,广东省,440000
深圳市,440300,1992,91848.48235,广东省,440000
阳江市,441700,1992,13035.33333,广东省,440000
云浮市,445300,1992,11623.32157,广东省,440000
湛江市,440800,1992,36433.59608,广东省,440000
肇庆市,441200,1992,26295.1098,广东省,440000
中山市,442000,1992,44522.29804,广东省,440000
珠海市,440400,1992,33189.21961,广东省,440000
安顺市,520400,1992,6450.654902,贵州省,520000
毕节市,520500,1992,4199.921569,贵州省,520000
贵阳市,520100,1992,25029.22353,贵州省,520000
六盘水市,520200,1992,19034.23137,贵州省,520000
铜仁市,520600,1992,2006.823529,贵州省,520000
遵义市,520300,1992,12138.97255,贵州省,520000
儋州市,460400,1992,3946.823529,海南省,460000
海口市,460100,1992,16767.74118,海南省,460000
三沙市,460300,1992,19.13333333,海南省,460000
三亚市,460200,1992,6416.333333,海南省,460000
保定市,130600,1992,83210.05098,河北省,130000
沧州市,130900,1992,98475.82353,河北省,130000
承德市,130800,1992,15782.08235,河北省,130000
邯郸市,130400,1992,101022.8196,河北省,130000
衡水市,131100,1992,46112.88235,河北省,130000
廊坊市,131000,1992,64479.79216,河北省,130000
秦皇岛市,130300,1992,37503.90196,河北省,130000
石家庄市,130100,1992,98823.60392,河北省,130000
唐山市,130200,1992,107683.1294,河北省,130000
邢台市,130500,1992,63128.16471,河北省,130000
张家口市,130700,1992,35167.2902,河北省,130000
安阳市,410500,1992,44827.14118,河南省,410000
鹤壁市,410600,1992,14196.30196,河南省,410000
焦作市,410800,1992,44395.52549,河南省,410000
开封市,410200,1992,19824.6902,河南省,410000
洛阳市,410300,1992,46113.79608,河南省,410000
漯河市,411100,1992,11015.28627,河南省,410000
南阳市,411300,1992,35244.87451,河南省,410000
平顶山市,410400,1992,42866.44706,河南省,410000
濮阳市,410900,1992,34586.63137,河南省,410000
三门峡市,411200,1992,22144.58431,河南省,410000
商丘市,411400,1992,16317.89804,河南省,410000
新乡市,410700,1992,49469.76863,河南省,410000
信阳市,411500,1992,15288.94118,河南省,410000
许昌市,411000,1992,24570.9451,河南省,410000
郑州市,410100,1992,74351.69412,河南省,410000
周口市,411600,1992,19660.8,河南省,410000
驻马店市,411700,1992,14598.85882,河南省,410000
大庆市,230600,1992,81665.35294,黑龙江省,230000
哈尔滨市,230100,1992,120011.6784,黑龙江省,230000
鹤岗市,230400,1992,26022.31765,黑龙江省,230000
黑河市,231100,1992,26540.21176,黑龙江省,230000
鸡西市,230300,1992,38027.53333,黑龙江省,230000
佳木斯市,230800,1992,45203.13333,黑龙江省,230000
牡丹江市,231000,1992,40566.88235,黑龙江省,230000
七台河市,230900,1992,15089.49412,黑龙江省,230000
齐齐哈尔市,230200,1992,54025.68235,黑龙江省,230000
双鸭山市,230500,1992,32770.4902,黑龙江省,230000
绥化市,231200,1992,46237.2902,黑龙江省,230000
伊春市,230700,1992,21672.76863,黑龙江省,230000
鄂州市,420700,1992,10754.18431,湖北省,420000
黄冈市,421100,1992,15141.86275,湖北省,420000
黄石市,420200,1992,16628.45882,湖北省,420000
荆门市,420800,1992,13550.79608,湖北省,420000
荆州市,421000,1992,19491.51373,湖北省,420000
十堰市,420300,1992,13141.03529,湖北省,420000
随州市,421300,1992,5033.866667,湖北省,420000
武汉市,420100,1992,68726.44706,湖北省,420000
咸宁市,421200,1992,6990.482353,湖北省,420000
襄阳市,420600,1992,26929.6902,湖北省,420000
孝感市,420900,1992,17976.36078,湖北省,420000
宜昌市,420500,1992,20927.2,湖北省,420000
常德市,430700,1992,10825.15294,湖南省,430000
郴州市,431000,1992,12799.18431,湖南省,430000
衡阳市,430400,1992,14612.42353,湖南省,430000
怀化市,431200,1992,10479.71373,湖南省,430000
娄底市,431300,1992,11675.24314,湖南省,430000
邵阳市,430500,1992,7450.121569,湖南省,430000
湘潭市,430300,1992,11017.92549,湖南省,430000
益阳市,430900,1992,5320.576471,湖南省,430000
永州市,431100,1992,8674.996078,湖南省,430000
岳阳市,430600,1992,18293.05098,湖南省,430000
张家界市,430800,1992,2835.007843,湖南省,430000
长沙市,430100,1992,24690.03529,湖南省,430000
株洲市,430200,1992,12742.52157,湖南省,430000
白城市,220800,1992,13483.51765,吉林省,220000
白山市,220600,1992,20603.27059,吉林省,220000
吉林市,220200,1992,66003.45098,吉林省,220000
辽源市,220400,1992,20741.98039,吉林省,220000
四平市,220300,1992,39657.32941,吉林省,220000
松原市,220700,1992,31230.15294,吉林省,220000
通化市,220500,1992,22234.18039,吉林省,220000
长春市,220100,1992,118037.6118,吉林省,220000
常州市,320400,1992,45466.33725,江苏省,320000
淮安市,320800,1992,36220.22353,江苏省,320000
连云港市,320700,1992,38560.33333,江苏省,320000
南京市,320100,1992,85456.35686,江苏省,320000
南通市,320600,1992,73191.0902,江苏省,320000
苏州市,320500,1992,106967.8902,江苏省,320000
宿迁市,321300,1992,21270.03529,江苏省,320000
泰州市,321200,1992,39158.10196,江苏省,320000
无锡市,320200,1992,71477.73333,江苏省,320000
徐州市,320300,1992,58193.52941,江苏省,320000
盐城市,320900,1992,43098.54902,江苏省,320000
扬州市,321000,1992,48234.03922,江苏省,320000
镇江市,321100,1992,38467.19216,江苏省,320000
抚州市,361000,1992,6169.364706,江西省,360000
赣州市,360700,1992,13255.32157,江西省,360000
吉安市,360800,1992,7917.552941,江西省,360000
景德镇市,360200,1992,7101.960784,江西省,360000
九江市,360400,1992,16432.44314,江西省,360000
南昌市,360100,1992,27255.21176,江西省,360000
萍乡市,360300,1992,5817.843137,江西省,360000
上饶市,361100,1992,14278.73725,江西省,360000
新余市,360500,1992,6855.286275,江西省,360000
宜春市,360900,1992,15562.97255,江西省,360000
鹰潭市,360600,1992,3904.647059,江西省,360000
鞍山市,210300,1992,56222.56078,辽宁省,210000
本溪市,210500,1992,23291.48627,辽宁省,210000
朝阳市,211300,1992,18631.55686,辽宁省,210000
大连市,210200,1992,74051.56471,辽宁省,210000
丹东市,210600,1992,20328.78824,辽宁省,210000
抚顺市,210400,1992,35676.78431,辽宁省,210000
阜新市,210900,1992,18173.22745,辽宁省,210000
葫芦岛市,211400,1992,38586.4549,辽宁省,210000
锦州市,210700,1992,54648.83529,辽宁省,210000
辽阳市,211000,1992,43550.95294,辽宁省,210000
盘锦市,211100,1992,44404.5098,辽宁省,210000
沈阳市,210100,1992,124434.9412,辽宁省,210000
铁岭市,211200,1992,63747.76471,辽宁省,210000
营口市,210800,1992,38878.4,辽宁省,210000
海东市,630200,1992,4134.470588,青海省,630000
西宁市,630100,1992,10653.59216,青海省,630000
滨州市,371600,1992,54462.52549,山东省,370000
德州市,371400,1992,69370.38039,山东省,370000
东营市,370500,1992,59518.10588,山东省,370000
菏泽市,371700,1992,29302.54118,山东省,370000
济南市,370100,1992,98473.92941,山东省,370000
济宁市,370800,1992,70880.6,山东省,370000
聊城市,371500,1992,48873.92941,山东省,370000
临沂市,371300,1992,67685.06275,山东省,370000
青岛市,370200,1992,76114.50196,山东省,370000
日照市,371100,1992,18622.57647,山东省,370000
泰安市,370900,1992,53164.68627,山东省,370000
威海市,371000,1992,24674.98039,山东省,370000
