city,cityCode,year,hviirs,province,provinceCode
大兴安岭地区,232700,2013,18547.14902,黑龙江省,230000
台湾省,710000,2013,975397.902,台湾省,710000
安庆市,340800,2013,102735.5373,安徽省,340000
蚌埠市,340300,2013,83070.66667,安徽省,340000
亳州市,341600,2013,104455.7882,安徽省,340000
池州市,341700,2013,52439.29412,安徽省,340000
滁州市,341100,2013,162544.4078,安徽省,340000
阜阳市,341200,2013,132151.0353,安徽省,340000
合肥市,340100,2013,201214.9961,安徽省,340000
淮北市,340600,2013,56505.53725,安徽省,340000
淮南市,340400,2013,88386.36471,安徽省,340000
黄山市,341000,2013,43818.54118,安徽省,340000
六安市,341500,2013,125223.1216,安徽省,340000
马鞍山市,340500,2013,82194.97255,安徽省,340000
宿州市,341300,2013,133585.4745,安徽省,340000
铜陵市,340700,2013,42288.38431,安徽省,340000
芜湖市,340200,2013,112778.9647,安徽省,340000
宣城市,341800,2013,107431.8784,安徽省,340000
福州市,350100,2013,227462.1216,福建省,350000
龙岩市,350800,2013,137520.8235,福建省,350000
南平市,350700,2013,150272.5176,福建省,350000
宁德市,350900,2013,120480.8471,福建省,350000
莆田市,350300,2013,82171.23922,福建省,350000
泉州市,350500,2013,262524.149,福建省,350000
三明市,350400,2013,143966.3608,福建省,350000
厦门市,350200,2013,87183.15686,福建省,350000
漳州市,350600,2013,197463.2824,福建省,350000
白银市,620400,2013,107297.149,甘肃省,620000
定西市,621100,2013,122642.7961,甘肃省,620000
嘉峪关市,620200,2013,24330.93725,甘肃省,620000
金昌市,620300,2013,50079.80392,甘肃省,620000
酒泉市,620900,2013,236478.1059,甘肃省,620000
兰州市,620100,2013,149401.4667,甘肃省,620000
陇南市,621200,2013,134008.2627,甘肃省,620000
平凉市,620800,2013,87452.01961,甘肃省,620000
庆阳市,621000,2013,217580.4392,甘肃省,620000
天水市,620500,2013,113958.851,甘肃省,620000
武威市,620600,2013,105294.5686,甘肃省,620000
张掖市,620700,2013,120663.8078,甘肃省,620000
潮州市,445100,2013,58032.60784,广东省,440000
东莞市,441900,2013,169266.0196,广东省,440000
佛山市,440600,2013,196776.2196,广东省,440000
广州市,440100,2013,305658.6118,广东省,440000
河源市,441600,2013,118411.0235,广东省,440000
惠州市,441300,2013,204674.2078,广东省,440000
江门市,440700,2013,159047.2549,广东省,440000
揭阳市,445200,2013,95287.98824,广东省,440000
茂名市,440900,2013,109639.3765,广东省,440000
梅州市,441400,2013,121553.8314,广东省,440000
清远市,441800,2013,186402.8078,广东省,440000
汕头市,440500,2013,85196.41569,广东省,440000
汕尾市,441500,2013,63106.0902,广东省,440000
韶关市,440200,2013,128920.3059,广东省,440000
深圳市,440300,2013,141487.8627,广东省,440000
阳江市,441700,2013,84202.26275,广东省,440000
云浮市,445300,2013,73748.12549,广东省,440000
湛江市,440800,2013,156131.4118,广东省,440000
肇庆市,441200,2013,143443.9098,广东省,440000
中山市,442000,2013,105023.6627,广东省,440000
珠海市,440400,2013,75583.72941,广东省,440000
安顺市,520400,2013,91623.08235,贵州省,520000
毕节市,520500,2013,207753.4039,贵州省,520000
贵阳市,520100,2013,144065.3255,贵州省,520000
六盘水市,520200,2013,110263.5765,贵州省,520000
铜仁市,520600,2013,120165.9098,贵州省,520000
遵义市,520300,2013,211578.8902,贵州省,520000
儋州市,460400,2013,38695.41961,海南省,460000
海口市,460100,2013,53896.35294,海南省,460000
三沙市,460300,2013,6320.490196,海南省,460000
三亚市,460200,2013,46457.21569,海南省,460000
保定市,130600,2013,294452.3412,河北省,130000
沧州市,130900,2013,247339.1804,河北省,130000
承德市,130800,2013,294054.4706,河北省,130000
邯郸市,130400,2013,215769.298,河北省,130000
衡水市,131100,2013,116560.0706,河北省,130000
廊坊市,131000,2013,165499.698,河北省,130000
秦皇岛市,130300,2013,125523.3882,河北省,130000
石家庄市,130100,2013,235536.2078,河北省,130000
唐山市,130200,2013,365516.0392,河北省,130000
邢台市,130500,2013,170652.2745,河北省,130000
张家口市,130700,2013,281973.6235,河北省,130000
安阳市,410500,2013,119366.0314,河南省,410000
鹤壁市,410600,2013,39050.36078,河南省,410000
焦作市,410800,2013,79971.43922,河南省,410000
开封市,410200,2013,89665.17255,河南省,410000
洛阳市,410300,2013,190164.8431,河南省,410000
漯河市,411100,2013,42497.69804,河南省,410000
南阳市,411300,2013,262105.1686,河南省,410000
平顶山市,410400,2013,128490.3255,河南省,410000
濮阳市,410900,2013,73311.58039,河南省,410000
三门峡市,411200,2013,98048.58431,河南省,410000
商丘市,411400,2013,154866.9686,河南省,410000
新乡市,410700,2013,145334.3882,河南省,410000
信阳市,411500,2013,160423.2706,河南省,410000
许昌市,411000,2013,90175.02745,河南省,410000
郑州市,410100,2013,226784.8078,河南省,410000
周口市,411600,2013,142098.4784,河南省,410000
驻马店市,411700,2013,167478.4471,河南省,410000
大庆市,230600,2013,207710.5216,黑龙江省,230000
哈尔滨市,230100,2013,270138.1176,黑龙江省,230000
鹤岗市,230400,2013,32746.93725,黑龙江省,230000
黑河市,231100,2013,55944.66667,黑龙江省,230000
鸡西市,230300,2013,57108.78824,黑龙江省,230000
佳木斯市,230800,2013,93043.55686,黑龙江省,230000
牡丹江市,231000,2013,186920.1294,黑龙江省,230000
七台河市,230900,2013,28103.50588,黑龙江省,230000
齐齐哈尔市,230200,2013,100849.4235,黑龙江省,230000
双鸭山市,230500,2013,59265.7098,黑龙江省,230000
绥化市,231200,2013,96175.27843,黑龙江省,230000
伊春市,230700,2013,36770.1098,黑龙江省,230000
鄂州市,420700,2013,31557.89412,湖北省,420000
黄冈市,421100,2013,147347.3804,湖北省,420000
黄石市,420200,2013,66009.11373,湖北省,420000
荆门市,420800,2013,84324.10588,湖北省,420000
荆州市,421000,2013,119520.5451,湖北省,420000
十堰市,420300,2013,107085.9725,湖北省,420000
随州市,421300,2013,77673.56863,湖北省,420000
武汉市,420100,2013,224691.1059,湖北省,420000
咸宁市,421200,2013,84171.79608,湖北省,420000
襄阳市,420600,2013,146486.0235,湖北省,420000
孝感市,420900,2013,95835.61176,湖北省,420000
宜昌市,420500,2013,138729.3686,湖北省,420000
常德市,430700,2013,98519.83137,湖南省,430000
郴州市,431000,2013,144237.3647,湖南省,430000
衡阳市,430400,2013,119197.6314,湖南省,430000
怀化市,431200,2013,118323.4196,湖南省,430000
娄底市,431300,2013,71899.75294,湖南省,430000
邵阳市,430500,2013,108425.1098,湖南省,430000
湘潭市,430300,2013,63294.35686,湖南省,430000
益阳市,430900,2013,66067.18039,湖南省,430000
永州市,431100,2013,103079.102,湖南省,430000
岳阳市,430600,2013,120248.9922,湖南省,430000
张家界市,430800,2013,28633.10588,湖南省,430000
