city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1984,-5930008.003921565,黑龙江省,230000
台湾省,710000,1984,-4.0324034086274505E7,台湾省,710000
安庆市,340800,1984,821901.8823529412,安徽省,340000
蚌埠市,340300,1984,1003733.607843137,安徽省,340000
亳州市,341600,1984,575561.8509803923,安徽省,340000
池州市,341700,1984,188586.16470588237,安徽省,340000
滁州市,341100,1984,887637.5058823532,安徽省,340000
阜阳市,341200,1984,798600.4313725493,安徽省,340000
合肥市,340100,1984,2602718.415686275,安徽省,340000
淮北市,340600,1984,1448825.4235294117,安徽省,340000
淮南市,340400,1984,1672336.5411764707,安徽省,340000
黄山市,341000,1984,152663.86666666664,安徽省,340000
六安市,341500,1984,482032.20784313726,安徽省,340000
马鞍山市,340500,1984,1347897.7686274508,安徽省,340000
宿州市,341300,1984,1078011.5019607844,安徽省,340000
铜陵市,340700,1984,573860.125490196,安徽省,340000
芜湖市,340200,1984,1050983.9568627456,安徽省,340000
宣城市,341800,1984,548147.8470588234,安徽省,340000
福州市,350100,1984,-2.6816271184313726E7,福建省,350000
龙岩市,350800,1984,765255.443137255,福建省,350000
南平市,350700,1984,735755.6274509802,福建省,350000
宁德市,350900,1984,-2.4612322654901963E7,福建省,350000
莆田市,350300,1984,-7309345.592156866,福建省,350000
泉州市,350500,1984,-6459248.466666673,福建省,350000
三明市,350400,1984,1127442.4039215685,福建省,350000
厦门市,350200,1984,-7104359.600000002,福建省,350000
漳州市,350600,1984,-3.895866652156863E7,福建省,350000
白银市,620400,1984,936327.3176470589,甘肃省,620000
定西市,621100,1984,364393.98039215687,甘肃省,620000
嘉峪关市,620200,1984,184511.2862745098,甘肃省,620000
金昌市,620300,1984,464866.1764705883,甘肃省,620000
酒泉市,620900,1984,-388524.7333333336,甘肃省,620000
兰州市,620100,1984,3160502.811764705,甘肃省,620000
陇南市,621200,1984,142723.83529411766,甘肃省,620000
平凉市,620800,1984,537862.7490196079,甘肃省,620000
庆阳市,621000,1984,437895.24313725485,甘肃省,620000
天水市,620500,1984,550189.8941176471,甘肃省,620000
武威市,620600,1984,378014.16078431375,甘肃省,620000
张掖市,620700,1984,449701.85882352944,甘肃省,620000
潮州市,445100,1984,-5561949.91372549,广东省,440000
东莞市,441900,1984,7287784.952941176,广东省,440000
佛山市,440600,1984,6999720.7960784305,广东省,440000
广州市,440100,1984,1900975.8627451034,广东省,440000
河源市,441600,1984,567364.0431372548,广东省,440000
惠州市,441300,1984,-3000944.905882351,广东省,440000
江门市,440700,1984,-1.4041245823529417E7,广东省,440000
揭阳市,445200,1984,-391588.047058824,广东省,440000
茂名市,440900,1984,-3178303.8313725516,广东省,440000
梅州市,441400,1984,835264.9921568629,广东省,440000
清远市,441800,1984,1274797.8823529412,广东省,440000
汕头市,440500,1984,-5581499.698039217,广东省,440000
汕尾市,441500,1984,-1.8867417435294118E7,广东省,440000
韶关市,440200,1984,1995452.4352941187,广东省,440000
深圳市,440300,1984,-2632000.82745098,广东省,440000
阳江市,441700,1984,-1.1137013803921578E7,广东省,440000
云浮市,445300,1984,568679.356862745,广东省,440000
湛江市,440800,1984,-5.0630885199999996E7,广东省,440000
肇庆市,441200,1984,1758890.2588235291,广东省,440000
中山市,442000,1984,669035.498039216,广东省,440000
珠海市,440400,1984,-1.8648364619607847E7,广东省,440000
安顺市,520400,1984,255912.19215686282,贵州省,520000
毕节市,520500,1984,224187.8509803922,贵州省,520000
贵阳市,520100,1984,1752435.4627450984,贵州省,520000
六盘水市,520200,1984,1082871.6627450981,贵州省,520000
铜仁市,520600,1984,72940.8274509804,贵州省,520000
遵义市,520300,1984,620295.3215686274,贵州省,520000
儋州市,460400,1984,-1.2749112654901959E7,海南省,460000
海口市,460100,1984,-9809691.368627451,海南省,460000
三沙市,460300,1984,-1.6304918831372542E7,海南省,460000
三亚市,460200,1984,-2.2366422152941182E7,海南省,460000
保定市,130600,1984,6243285.721568628,河北省,130000
沧州市,130900,1984,-5051473.74509804,河北省,130000
承德市,130800,1984,1242017.2392156867,河北省,130000
邯郸市,130400,1984,8180473.807843137,河北省,130000
衡水市,131100,1984,2024546.3686274507,河北省,130000
廊坊市,131000,1984,5467754.737254901,河北省,130000
秦皇岛市,130300,1984,-1373298.4784313727,河北省,130000
石家庄市,130100,1984,7860204.062745098,河北省,130000
唐山市,130200,1984,-1.18391236E7,河北省,130000
邢台市,130500,1984,4475471.196078431,河北省,130000
张家口市,130700,1984,3470583.1490196087,河北省,130000
安阳市,410500,1984,3624010.3215686264,河南省,410000
鹤壁市,410600,1984,1116838.1333333335,河南省,410000
焦作市,410800,1984,3890987.964705883,河南省,410000
开封市,410200,1984,1443867.3450980391,河南省,410000
洛阳市,410300,1984,2903859.7764705885,河南省,410000
漯河市,411100,1984,904646.4901960786,河南省,410000
南阳市,411300,1984,2544589.4549019607,河南省,410000
平顶山市,410400,1984,2802181.1058823536,河南省,410000
濮阳市,410900,1984,2557479.2745098034,河南省,410000
三门峡市,411200,1984,1504858.3176470592,河南省,410000
商丘市,411400,1984,1354152.7647058822,河南省,410000
新乡市,410700,1984,3407595.325490197,河南省,410000
信阳市,411500,1984,788370.6941176472,河南省,410000
许昌市,411000,1984,1371179.8666666667,河南省,410000
郑州市,410100,1984,6441875.592156862,河南省,410000
周口市,411600,1984,1354770.0,河南省,410000
驻马店市,411700,1984,922919.2509803921,河南省,410000
大庆市,230600,1984,8378404.509803922,黑龙江省,230000
哈尔滨市,230100,1984,9466120.160784312,黑龙江省,230000
鹤岗市,230400,1984,-2887622.6000000006,黑龙江省,230000
黑河市,231100,1984,-1684209.9294117643,黑龙江省,230000
鸡西市,230300,1984,-281552.3568627438,黑龙江省,230000
佳木斯市,230800,1984,-2913169.866666666,黑龙江省,230000
牡丹江市,231000,1984,1894392.309803922,黑龙江省,230000
七台河市,230900,1984,1448673.6666666667,黑龙江省,230000
齐齐哈尔市,230200,1984,4375370.121568627,黑龙江省,230000
双鸭山市,230500,1984,1044400.3058823538,黑龙江省,230000
绥化市,231200,1984,3355611.3058823533,黑龙江省,230000
伊春市,230700,1984,-1312261.6078431376,黑龙江省,230000
鄂州市,420700,1984,493532.0509803922,湖北省,420000
黄冈市,421100,1984,868423.1411764703,湖北省,420000
黄石市,420200,1984,849604.1607843137,湖北省,420000
荆门市,420800,1984,585652.8470588236,湖北省,420000
荆州市,421000,1984,798237.6000000002,湖北省,420000
