city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,2013,5089.940182634897,黑龙江省,230000
台湾省,710000,2013,779013.3301108638,台湾省,710000
安庆市,340800,2013,21075.851896925156,安徽省,340000
蚌埠市,340300,2013,29786.34860356502,安徽省,340000
亳州市,341600,2013,23674.395113562543,安徽省,340000
池州市,341700,2013,10029.24786930768,安徽省,340000
滁州市,341100,2013,48079.42659190549,安徽省,340000
阜阳市,341200,2013,35828.672413340035,安徽省,340000
合肥市,340100,2013,130147.84416026957,安徽省,340000
淮北市,340600,2013,27312.814670400876,安徽省,340000
淮南市,340400,2013,28583.7029266791,安徽省,340000
黄山市,341000,2013,6491.893832112351,安徽省,340000
六安市,341500,2013,24249.988901354165,安徽省,340000
马鞍山市,340500,2013,42007.506884645474,安徽省,340000
宿州市,341300,2013,35506.37285263602,安徽省,340000
铜陵市,340700,2013,14920.055813777853,安徽省,340000
芜湖市,340200,2013,50375.925199962425,安徽省,340000
宣城市,341800,2013,25233.013554031655,安徽省,340000
福州市,350100,2013,128083.40963787545,福建省,350000
龙岩市,350800,2013,29802.0988221991,福建省,350000
南平市,350700,2013,24568.95839578872,福建省,350000
宁德市,350900,2013,30016.754806587593,福建省,350000
莆田市,350300,2013,42952.318555854,福建省,350000
泉州市,350500,2013,162410.37563513516,福建省,350000
三明市,350400,2013,26178.89017549762,福建省,350000
厦门市,350200,2013,97391.89759002885,福建省,350000
漳州市,350600,2013,75912.15295020485,福建省,350000
白银市,620400,2013,14992.98393194512,甘肃省,620000
定西市,621100,2013,15086.518488140347,甘肃省,620000
嘉峪关市,620200,2013,13305.956244953702,甘肃省,620000
金昌市,620300,2013,10175.874598683855,甘肃省,620000
酒泉市,620900,2013,27454.143543268652,甘肃省,620000
兰州市,620100,2013,67917.42121974952,甘肃省,620000
陇南市,621200,2013,14596.061099595268,甘肃省,620000
平凉市,620800,2013,12858.601787965992,甘肃省,620000
庆阳市,621000,2013,42011.00353044698,甘肃省,620000
天水市,620500,2013,18391.083071500063,甘肃省,620000
武威市,620600,2013,14914.522078123808,甘肃省,620000
张掖市,620700,2013,13139.231130286,甘肃省,620000
潮州市,445100,2013,24189.924169138343,广东省,440000
东莞市,441900,2013,161286.00021025547,广东省,440000
佛山市,440600,2013,148834.0626161427,广东省,440000
广州市,440100,2013,255519.62803194104,广东省,440000
河源市,441600,2013,20737.039478301038,广东省,440000
惠州市,441300,2013,93110.16522910695,广东省,440000
江门市,440700,2013,59927.45765885695,广东省,440000
揭阳市,445200,2013,40392.757783621804,广东省,440000
茂名市,440900,2013,30567.01684165136,广东省,440000
