city,cityCode,year,viirsl,province,provinceCode
大兴安岭地区,232700,2000,2898.885389,黑龙江省,230000
台湾省,710000,2000,302965.3767,台湾省,710000
安庆市,340800,2000,1464.084463,安徽省,340000
蚌埠市,340300,2000,1636.190709,安徽省,340000
亳州市,341600,2000,1664.590595,安徽省,340000
池州市,341700,2000,287.8638412,安徽省,340000
滁州市,341100,2000,1398.305312,安徽省,340000
阜阳市,341200,2000,2334.830629,安徽省,340000
合肥市,340100,2000,11168.70945,安徽省,340000
淮北市,340600,2000,2370.788433,安徽省,340000
淮南市,340400,2000,2068.906795,安徽省,340000
黄山市,341000,2000,289.9274251,安徽省,340000
六安市,341500,2000,827.7748895,安徽省,340000
马鞍山市,340500,2000,2480.443913,安徽省,340000
宿州市,341300,2000,1770.344214,安徽省,340000
铜陵市,340700,2000,517.3530092,安徽省,340000
芜湖市,340200,2000,2208.497795,安徽省,340000
宣城市,341800,2000,368.606658,安徽省,340000
福州市,350100,2000,8252.670186,福建省,350000
龙岩市,350800,2000,1903.210628,福建省,350000
南平市,350700,2000,1545.574509,福建省,350000
宁德市,350900,2000,1109.529357,福建省,350000
莆田市,350300,2000,2671.987161,福建省,350000
泉州市,350500,2000,18771.6234,福建省,350000
三明市,350400,2000,1630.726071,福建省,350000
厦门市,350200,2000,13967.47166,福建省,350000
漳州市,350600,2000,4455.766965,福建省,350000
白银市,620400,2000,1669.488189,甘肃省,620000
定西市,621100,2000,525.6829938,甘肃省,620000
嘉峪关市,620200,2000,3085.287226,甘肃省,620000
金昌市,620300,2000,1429.994121,甘肃省,620000
酒泉市,620900,2000,1947.036296,甘肃省,620000
兰州市,620100,2000,17664.53246,甘肃省,620000
陇南市,621200,2000,319.3755843,甘肃省,620000
平凉市,620800,2000,602.6205251,甘肃省,620000
庆阳市,621000,2000,971.6477812,甘肃省,620000
天水市,620500,2000,1085.805538,甘肃省,620000
武威市,620600,2000,811.5693868,甘肃省,620000
张掖市,620700,2000,753.7891831,甘肃省,620000
潮州市,445100,2000,4245.395143,广东省,440000
东莞市,441900,2000,77787.35474,广东省,440000
佛山市,440600,2000,50426.75332,广东省,440000
广州市,440100,2000,71844.12646,广东省,440000
河源市,441600,2000,1007.134264,广东省,440000
惠州市,441300,2000,7275.596121,广东省,440000
江门市,440700,2000,10310.15345,广东省,440000
揭阳市,445200,2000,4630.150347,广东省,440000
茂名市,440900,2000,5124.883527,广东省,440000
梅州市,441400,2000,2336.887403,广东省,440000
清远市,441800,2000,2161.53408,广东省,440000
汕头市,440500,2000,16149.55879,广东省,440000
汕尾市,441500,2000,1612.062168,广东省,440000
韶关市,440200,2000,2242.977048,广东省,440000
深圳市,440300,2000,99973.68574,广东省,440000
阳江市,441700,2000,2303.05999,广东省,440000
云浮市,445300,2000,1336.237749,广东省,440000
湛江市,440800,2000,3519.737093,广东省,440000
肇庆市,441200,2000,3169.445252,广东省,440000
中山市,442000,2000,21044.44005,广东省,440000
珠海市,440400,2000,9060.678199,广东省,440000
安顺市,520400,2000,429.4071752,贵州省,520000
毕节市,520500,2000,738.2692665,贵州省,520000
贵阳市,520100,2000,3013.389341,贵州省,520000
六盘水市,520200,2000,1110.546391,贵州省,520000
铜仁市,520600,2000,300.67981,贵州省,520000
遵义市,520300,2000,1161.493154,贵州省,520000
儋州市,460400,2000,464.2855265,海南省,460000
海口市,460100,2000,5630.452993,海南省,460000
三沙市,460300,2000,0,海南省,460000
三亚市,460200,2000,2455.011516,海南省,460000
保定市,130600,2000,13161.66441,河北省,130000
沧州市,130900,2000,9889.893538,河北省,130000
承德市,130800,2000,2454.802147,河北省,130000
邯郸市,130400,2000,17640.91478,河北省,130000
衡水市,131100,2000,2338.057321,河北省,130000
廊坊市,131000,2000,12012.57476,河北省,130000
秦皇岛市,130300,2000,6850.809002,河北省,130000
石家庄市,130100,2000,27387.90838,河北省,130000
唐山市,130200,2000,14182.95553,河北省,130000
邢台市,130500,2000,6495.173392,河北省,130000
张家口市,130700,2000,8509.649462,河北省,130000
安阳市,410500,2000,6254.311055,河南省,410000
鹤壁市,410600,2000,1800.398751,河南省,410000
焦作市,410800,2000,4092.311239,河南省,410000
开封市,410200,2000,3527.964702,河南省,410000
洛阳市,410300,2000,6938.976836,河南省,410000
漯河市,411100,2000,2566.272513,河南省,410000
南阳市,411300,2000,4106.191951,河南省,410000
平顶山市,410400,2000,3804.651438,河南省,410000
