		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	LABELS	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect	Pooled OLS	Between Estimator	TW Fixed Effect
																																					
lnccnlpc	lnccnlpc	0.312***	0.240***	0.181***																																	
		(0.009)	(0.025)	(0.042)																																	
lnhdmsppc	lnhdmsppc				1.792***	1.673***	0.066																														
					(0.032)	(0.092)	(0.042)																														
lnepc	lnepc							0.511***	0.412***	0.530***										0.330***	0.290***	11.791***															
								(0.011)	(0.031)	(0.153)										(0.010)	(0.022)	(1.599)															
lnegdppc	lnegdppc										0.509***	0.406***	0.739***										0.330***	0.291***	7.071***												
											(0.011)	(0.030)	(0.205)										(0.010)	(0.022)	(1.411)												
lnpandapc	lnpandapc													0.263***	0.184***	0.006										0.225***	0.188***	-0.002									
														(0.011)	(0.028)	(0.014)										(0.010)	(0.022)	(0.024)									
lnvlpc	lnvlpc																0.309***	0.252***	0.057***										0.211***	0.190***	0.196***						
																	(0.007)	(0.020)	(0.020)										(0.007)	(0.016)	(0.038)						
lnhviirspc	lnhviirspc																															0.999***	0.861***	0.456***			
																																(0.025)	(0.056)	(0.091)			
lnviirspc	lnviirspc																																		0.231***	0.206***	0.307***
																																			(0.007)	(0.017)	(0.040)
																																					
Observations		3,041	3,041	4,257	3,041	3,041	4,257	3,041	3,041	4,257	3,041	3,041	4,257	2,610	2,610	3,640	3,041	3,041	4,257	1,751	1,751	2,270	1,751	1,751	2,270	1,545	1,545	1,984	1,751	1,751	2,270	1,751	1,751	2,270	1,751	1,751	2,270
Regional FE		NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES
Year FE		NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	YES
NTL		CCNL	CCNL	CCNL	HDMSP	HDMSP	HDMSP	ECP1	ECP1	ECP1	EGDPP1	EGDPP1	EGDPP1	PANDAP1	PANDAP1	PANDAP1	VIIRSLP1	VIIRSLP1	VIIRSLP1	ECP2	ECP2	ECP2	EGDPP2	EGDPP2	EGDPP2	PANDAP2	PANDAP2	PANDAP2	VIIRSLP2	VIIRSLP2	VIIRSLP2	HVIIRS	HVIIRS	HVIIRS	VIIRSV2	VIIRSV2	VIIRSV2
R2_o		0.284		0.957	0.503		0.956	0.400		0.957	0.412		0.957	0.189		0.964	0.385		0.956	0.401		0.991	0.403		0.991	0.250		0.989	0.362		0.990	0.478		0.990	0.360		0.991
Number of regionid			261			261			261			261			231			261			312			312			276			312			312			312	
R2_b			0.265			0.560			0.414			0.410			0.157			0.391			0.365			0.367			0.215			0.324			0.431			0.322	
R2_w				0.0118			0.000689			0.00816			0.00924			2.96e-05			0.00404			0.0818			0.0599			1.49e-05			0.0478			0.0349			0.0938
Standard errors in parentheses																																					
*** p<0.01, ** p<0.05, * p<0.1																																					
