id,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,county,countycode,city,citycode,province,provincecode,location
1,10.101855,10.114169,10.244327,10.342854,10.581619,10.721128,10.891013,11.090395,11.18516,11.289927,11.540053,11.691576,11.703213,11.765355,11.817246,11.873639,11.90699,11.9586,12.017897,12.077007,12.174716,东城区,110101,北京市,110000,北京市,110000,Eastern
2,10.09374,10.109085,10.230754,10.309557,10.590764,10.735261,10.894847,11.085665,11.181149,11.262582,11.538973,11.677027,11.689629,11.752756,11.807569,11.861425,11.893902,11.949702,12.012198,12.068492,12.169831,西城区,110102,北京市,110000,北京市,110000,Eastern
3,10.03684,10.073245,10.198957,10.312419,10.556489,10.713281,10.885406,11.080107,11.180209,11.283717,11.516318,11.658356,11.647051,11.710176,11.765903,11.818357,11.857301,11.908617,11.971077,12.031331,12.130399,朝阳区,110105,北京市,110000,北京市,110000,Eastern
4,9.9995642,10.038138,10.154366,10.279552,10.51892,10.682655,10.84123,11.034359,11.132861,11.251639,11.475739,11.616858,11.611581,11.681417,11.738591,11.793077,11.833244,11.884667,11.950182,12.007863,12.108891,丰台区,110106,北京市,110000,北京市,110000,Eastern
5,9.9862328,10.015937,10.142776,10.268171,10.50841,10.660249,10.832304,11.022196,11.115238,11.229892,11.462235,11.588232,11.596081,11.660933,11.724798,11.774813,11.807409,11.859705,11.937102,11.999955,12.095463,石景山区,110107,北京市,110000,北京市,110000,Eastern
6,9.9973421,10.0258,10.150944,10.263908,10.506042,10.651912,10.814203,11.011002,11.105451,11.231087,11.453461,11.6052,11.594128,11.663327,11.723634,11.777959,11.810501,11.861434,11.93058,11.99064,12.083162,海淀区,110108,北京市,110000,北京市,110000,Eastern
7,9.5268526,9.582449,9.6891327,9.9085569,10.111076,10.298911,10.456131,10.621983,10.704498,10.926118,11.095415,11.245762,11.243072,11.302273,11.360101,11.428058,11.474759,11.533043,11.62014,11.680024,11.772886,门头沟区,110109,北京市,110000,北京市,110000,Eastern
8,9.6294212,9.6714859,9.782795,9.9724846,10.156572,10.330424,10.503224,10.668014,10.765111,10.949914,11.171932,11.312446,11.352479,11.421894,11.471729,11.531838,11.578214,11.631119,11.699091,11.761357,11.857643,房山区,110111,北京市,110000,北京市,110000,Eastern
9,9.7845879,9.8513155,9.9897165,10.117217,10.321571,10.515759,10.702438,10.897973,11.021289,11.137433,11.36406,11.493071,11.492742,11.564752,11.622058,11.67746,11.728666,11.779905,11.852792,11.913421,12.017139,通州区,110112,北京市,110000,北京市,110000,Eastern
10,9.7903252,9.8261738,9.9704847,10.099949,10.318775,10.483396,10.654825,10.889422,10.99962,11.129958,11.353165,11.503938,11.490795,11.558913,11.624267,11.680482,11.722955,11.779585,11.850337,11.911187,12.004833,顺义区,110113,北京市,110000,北京市,110000,Eastern
11,9.7709894,9.8107977,9.947938,10.071568,10.292807,10.451997,10.618611,10.830072,10.923945,11.075717,11.284035,11.44092,11.420377,11.488668,11.547182,11.606941,11.649089,11.702904,11.771021,11.828174,11.92418,昌平区,110114,北京市,110000,北京市,110000,Eastern
12,9.7617731,9.836771,9.964613,10.119662,10.320418,10.506482,10.671185,10.856326,10.96944,11.107502,11.327651,11.461239,11.476295,11.543674,11.599023,11.65894,11.706805,11.761563,11.831909,11.912367,12.010976,大兴区,110115,北京市,110000,北京市,110000,Eastern
13,9.5771484,9.6050158,9.7291422,9.8979597,10.074168,10.239122,10.406741,10.621195,10.718805,10.880256,11.116842,11.254818,11.237082,11.314837,11.374638,11.42615,11.485065,11.532553,11.597141,11.661452,11.75051,怀柔区,110116,北京市,110000,北京市,110000,Eastern
14,9.5480623,9.6478634,9.8086939,9.9638729,10.098544,10.211171,10.394603,10.610168,10.783815,10.911476,11.066235,11.225008,11.27633,11.341837,11.399427,11.461054,11.529829,11.585507,11.664604,11.732281,11.829385,平谷区,110117,北京市,110000,北京市,110000,Eastern
15,9.5502195,9.6201372,9.7576933,9.8963232,10.039928,10.199127,10.365292,10.560507,10.695365,10.826485,11.04008,11.172328,11.208915,11.285844,11.349885,11.404261,11.465689,11.515482,11.591839,11.648701,11.739952,密云区,110118,北京市,110000,北京市,110000,Eastern
16,9.5457859,9.5797682,9.6854992,9.8059521,9.9827452,10.126048,10.290941,10.47828,10.624159,10.766701,10.948162,11.111713,11.144017,11.200571,11.269352,11.324306,11.388016,11.45742,11.599333,11.668477,11.759287,延庆区,110119,北京市,110000,北京市,110000,Eastern
17,9.8816242,9.9056425,10.034932,10.116848,10.353084,10.500984,10.676652,10.870114,10.978188,11.089479,11.369791,11.522786,11.533071,11.595157,11.650526,11.700221,11.744178,11.789304,11.849948,11.904484,12.000587,和平区,120101,天津市,120000,天津市,120000,Eastern
