county,countyCode,year,total_sol,city,cityCode,province,provinceCode
多伦县,152531,2013,6994.88769604178,锡林郭勒盟,152500,内蒙古自治区,150000
突泉县,152224,2013,1301.6215761264166,兴安盟,152200,内蒙古自治区,150000
阿拉善右旗,152922,2013,745.3347487668781,阿拉善盟,152900,内蒙古自治区,150000
阿拉善左旗,152921,2013,10999.306016465674,阿拉善盟,152900,内蒙古自治区,150000
额济纳旗,152923,2013,2982.3104941652105,阿拉善盟,152900,内蒙古自治区,150000
阿巴嘎旗,152522,2013,712.5598582489233,锡林郭勒盟,152500,内蒙古自治区,150000
东乌珠穆沁旗,152525,2013,2293.976527172035,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特右旗,152524,2013,1732.1520830427023,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特左旗,152523,2013,519.9292800575495,锡林郭勒盟,152500,内蒙古自治区,150000
太仆寺旗,152527,2013,2552.149243126664,锡林郭勒盟,152500,内蒙古自治区,150000
西乌珠穆沁旗,152526,2013,4165.212266871392,锡林郭勒盟,152500,内蒙古自治区,150000
镶黄旗,152528,2013,741.7275273649716,锡林郭勒盟,152500,内蒙古自治区,150000
正蓝旗,152530,2013,2689.1994070252954,锡林郭勒盟,152500,内蒙古自治区,150000
正镶白旗,152529,2013,574.8091800361872,锡林郭勒盟,152500,内蒙古自治区,150000
科尔沁右翼前旗,152221,2013,3913.871980252044,兴安盟,152200,内蒙古自治区,150000
科尔沁右翼中旗,152222,2013,1429.7061683400007,兴安盟,152200,内蒙古自治区,150000
扎赉特旗,152223,2013,2748.113849060033,兴安盟,152200,内蒙古自治区,150000
二连浩特市,152501,2013,3523.4098252381177,锡林郭勒盟,152500,内蒙古自治区,150000
锡林浩特市,152502,2013,11381.903981088131,锡林郭勒盟,152500,内蒙古自治区,150000
阿尔山市,152202,2013,515.1501763986606,兴安盟,152200,内蒙古自治区,150000
乌兰浩特市,152201,2013,7032.574002744755,兴安盟,152200,内蒙古自治区,150000
呼玛县,232721,2013,984.724610475933,大兴安岭地区,232700,黑龙江省,230000
塔河县,232722,2013,1143.1249674185233,大兴安岭地区,232700,黑龙江省,230000
加格达奇区,232718,2013,1585.365721270442,大兴安岭地区,232700,黑龙江省,230000
漠河市,232701,2013,1376.6991487076468,大兴安岭地区,232700,黑龙江省,230000
措勤县,542527,2013,13.140004053711891,阿里地区,542500,西藏自治区,540000
