id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,regionid
1,12.277927,12.324952,12.374949,12.501468,12.632859,12.841817,12.990678,13.168509,13.359905,13.469583,13.629796,13.847194,13.990976,14.036719,14.100273,14.153907,14.210756,14.260879,14.332887,14.389838,14.417107,110101
2,12.284185,12.333013,12.385039,12.505874,12.624061,12.861432,13.013633,13.184567,13.370232,13.480392,13.624982,13.859963,13.994729,14.0412,14.105413,14.161002,14.216153,14.265691,14.340504,14.397631,14.423012,110102
3,12.385849,12.457271,12.523396,12.646938,12.788326,13.000839,13.16127,13.3406,13.528863,13.642113,13.80148,14.00715,14.144581,14.175078,14.239293,14.295493,14.349707,14.403573,14.475385,14.534455,14.562489,110105
4,12.349133,12.401258,12.468838,12.586029,12.735267,12.944632,13.109712,13.279969,13.467179,13.579358,13.748949,13.948927,14.085744,14.12026,14.188971,14.24614,14.301712,14.356399,14.428282,14.489116,14.515427,110106
5,12.219414,12.298586,12.360225,12.484522,12.633901,12.843844,13.00096,13.180243,13.365287,13.473812,13.640642,13.846136,13.97283,14.016186,14.081557,14.143206,14.195786,14.245403,14.317869,14.386609,14.416383,110107
6,12.37121,12.425378,12.486183,12.609344,12.750399,12.961616,13.114735,13.28748,13.477147,13.586613,13.760796,13.959617,14.103544,14.13417,14.202452,14.261718,14.317184,14.366766,14.438319,14.501443,14.529346,110108
7,12.132459,12.199102,12.278076,12.388879,12.601208,12.785901,12.967115,13.136467,13.305414,13.406892,13.645334,13.80862,13.951616,13.987864,14.049454,14.10706,14.171653,14.230714,14.307189,14.382639,14.410424,110109
8,12.193556,12.291045,12.360962,12.474859,12.667285,12.839638,13.011492,13.191274,13.359509,13.470748,13.684545,13.883128,14.01954,14.084395,14.152822,14.205077,14.264416,14.323258,14.396133,14.458776,14.488156,110111
9,12.240756,12.337069,12.423495,12.555532,12.70632,12.892242,13.077711,13.266785,13.455606,13.584398,13.752226,13.953896,14.082605,14.120448,14.190612,14.247869,14.304057,14.366134,14.437894,14.503892,14.532175,110112
10,12.256216,12.349256,12.415009,12.551003,12.703105,12.898717,13.064389,13.243254,13.458228,13.578238,13.755568,13.954947,14.098228,14.127481,14.195038,14.257684,14.314415,14.370645,14.446013,14.510484,14.538917,110113
