SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,PopNum,Pop_Agr,Pop_NonAgr,ResdPop_Urban,ResdPop_Rural
2000,20407900,米泉市,昌吉回族自治州,新疆维吾尔自治区,652303,15.33,,,,
2000,20406987,五华区,昆明市,云南省,530102,45.5,0,45.5,,
2000,20406988,盘龙区,昆明市,云南省,530103,44.4,0,44.4,,
2000,20406989,官渡区,昆明市,云南省,530111,58,24.9,33.1,,
2000,20406990,西山区,昆明市,云南省,530112,33.3,12.8,20.5,,
2000,20406991,东川区,昆明市,云南省,530113,29.7,22.9,6.8,,
2000,20406992,呈贡县,昆明市,云南省,530121,15.3,12.2,3.1,,
2000,20406993,晋宁县,昆明市,云南省,530122,26.6,21.5,5.1,,
2000,20406994,富民县,昆明市,云南省,530124,13.6,11.9,1.7,,
2000,20406995,宜良县,昆明市,云南省,530125,39.5,35.4,4.1,,
2000,20406996,石林彝族自治县,昆明市,云南省,530126,22.3,20.2,2.1,,
2000,20406997,嵩明县,昆明市,云南省,530127,33.3,29.6,3.7,,
2000,20406998,禄劝彝族苗族自治县,昆明市,云南省,530128,45.2,43,2.2,,
2000,20407467,寻甸回族彝族自治县,昆明市,云南省,530129,49.3,46.4,2.9,,
2000,20407468,安宁市,昆明市,云南省,530181,25,11.1,13.9,,
2000,20407471,麒麟区,曲靖市,云南省,530302,60.6,38.8,21.8,,
2000,20407472,马龙县,曲靖市,云南省,530321,18.7,16.7,2,,
2000,20407473,陆良县,曲靖市,云南省,530322,58.4,52.3,6.1,,
2000,20407474,师宗县,曲靖市,云南省,530323,34.7,31.7,3,,
2000,20407475,罗平县,曲靖市,云南省,530324,52.3,48.6,3.7,,
2000,20407476,富源县,曲靖市,云南省,530325,65.4,60.8,4.6,,
2000,20407477,会泽县,曲靖市,云南省,530326,88.7,82.2,6.5,,
2000,20407478,沾益县,曲靖市,云南省,530328,38.4,34,4.4,,
2000,20407479,宣威市,曲靖市,云南省,530381,130,117.5,12.5,,
2000,20407482,红塔区,玉溪市,云南省,530402,37.7,25.8,11.9,,
2000,20407483,江川县,玉溪市,云南省,530421,25.6,22.9,2.7,,
2000,20407484,澄江县,玉溪市,云南省,530422,14.8,13,1.8,,
