countycode,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,id,county,city,citycode,province,provincecode
110101,10.079255,10.095212,10.225891,10.328459,10.563145,10.703685,10.874504,11.073773,11.170428,11.27754,11.526668,11.677556,11.693341,11.755508,11.807515,11.863763,11.898091,11.950284,12.009724,12.069317,12.167224,1,东城区,北京市,110000,北京市,110000
110102,10.071554,10.090387,10.213011,10.296861,10.571823,10.717095,10.878142,11.069285,11.166624,11.251591,11.525641,11.663749,11.68045,11.743553,11.798331,11.852172,11.885671,11.94184,12.004316,12.061235,12.162589,2,西城区,北京市,110000,北京市,110000
110105,10.017558,10.056376,10.182838,10.299577,10.539297,10.696237,10.869183,11.064012,11.16573,11.271647,11.504144,11.646031,11.640047,11.703147,11.758792,11.811301,11.850938,11.902852,11.965294,12.025971,12.125169,3,朝阳区,北京市,110000,北京市,110000
110106,9.9821844,10.023062,10.140522,10.268387,10.503646,10.667174,10.827261,11.020598,11.120799,11.241206,11.465636,11.606652,11.606387,11.675856,11.732875,11.787312,11.82811,11.880126,11.945465,12.003701,12.104758,4,丰台区,北京市,110000,北京市,110000
110107,9.9695339,10.001993,10.129523,10.257587,10.493672,10.645912,10.818791,11.009055,11.104076,11.22057,11.452822,11.579486,11.591678,11.656417,11.719786,11.76998,11.803594,11.856437,11.933053,11.996197,12.092016,5,石景山区,北京市,110000,北京市,110000
110108,9.9800758,10.011353,10.137275,10.253542,10.491426,10.638,10.801615,10.998433,11.094789,11.221704,11.444494,11.595589,11.589825,11.658689,11.71868,11.772966,11.806527,11.858077,11.926865,11.987357,12.080343,6,海淀区,北京市,110000,北京市,110000
110109,9.5336008,9.5906305,9.6990347,9.9163284,10.116618,10.303017,10.461819,10.62927,10.714301,10.9323,11.104723,11.254496,11.256687,11.316063,11.373703,11.440924,11.487922,11.546448,11.632269,11.692595,11.785904,7,门头沟区,北京市,110000,北京市,110000
110111,9.6309338,9.6751242,9.7879162,9.9769926,10.159793,10.332922,10.506508,10.672951,10.771819,10.954882,11.177336,11.317776,11.36051,11.429578,11.479633,11.539407,11.586096,11.639518,11.707191,11.769777,11.866335,8,房山区,北京市,110000,北京市,110000
110112,9.7781811,9.8457747,9.9842768,10.114338,10.31637,10.508798,10.695554,10.891173,11.014922,11.13283,11.359657,11.489182,11.493613,11.565145,11.622289,11.677596,11.728868,11.78071,11.853046,11.91408,12.017691,9,通州区,北京市,110000,北京市,110000
110113,9.7836256,9.8219166,9.9660263,10.097952,10.313717,10.478085,10.650371,10.88306,10.99436,11.125736,11.349318,11.499495,11.491767,11.559604,11.624385,11.680464,11.723449,11.780406,11.850717,11.91196,12.006012,10,顺义区,北京市,110000,北京市,110000
110114,9.7652769,9.8073254,9.9446306,10.071019,10.289074,10.44829,10.616006,10.826738,10.922547,11.074264,11.283716,11.439693,11.424942,11.492944,11.551234,11.610677,11.653354,11.707639,11.775449,11.833183,11.929476,11,昌平区,北京市,110000,北京市,110000
110115,9.7565308,9.8319731,9.960454,10.116658,10.315276,10.499994,10.665895,10.851652,10.965719,11.104426,11.325106,11.458975,11.478006,11.545142,11.60043,11.660022,11.708124,11.763304,11.833229,11.913079,12.011841,12,大兴区,北京市,110000,北京市,110000
110116,9.5813293,9.6120462,9.7370024,9.9062719,10.081594,10.24628,10.414948,10.628522,10.727878,10.888779,11.125057,11.26309,11.251002,11.327985,11.387498,11.439114,11.497701,11.545983,11.610444,11.674972,11.764669,13,怀柔区,北京市,110000,北京市,110000
110117,9.5537281,9.6527071,9.8124933,9.9688206,10.104727,10.219755,10.403431,10.618057,10.789569,10.918406,11.077033,11.234801,11.288247,11.353607,11.411021,11.472236,11.54018,11.596234,11.674464,11.742185,11.839519,14,平谷区,北京市,110000,北京市,110000
110118,9.5557747,9.6263962,9.7640963,9.9047194,10.049103,10.208326,10.375615,10.570931,10.705633,10.837752,11.052214,11.18481,11.224274,11.300472,11.364008,11.418342,11.479314,11.529783,11.605412,11.66287,11.75465,15,密云区,北京市,110000,北京市,110000
110119,9.5515671,9.5880871,9.6955872,9.8189602,9.9948378,10.138977,10.30506,10.492902,10.638062,10.781019,10.964987,11.12729,11.162688,11.219552,11.287585,11.342468,11.405606,11.474686,11.612524,11.681639,11.772999,16,延庆区,北京市,110000,北京市,110000
120101,9.8463326,9.8733978,10.003253,10.090056,10.322343,10.470845,10.647152,10.840805,10.950089,11.063393,11.341164,11.493449,11.507953,11.570066,11.625373,11.675264,11.719657,11.765697,11.826416,11.881667,11.97805,17,和平区,天津市,120000,天津市,120000
120102,9.8344212,9.8546839,9.9761686,10.072962,10.32738,10.481126,10.655945,10.846598,10.941992,11.059108,11.301993,11.447283,11.442965,11.506777,11.563332,11.613132,11.65458,11.70626,11.761289,11.825676,11.929502,18,河东区,天津市,120000,天津市,120000
120103,9.8296051,9.8526812,9.9779997,10.060521,10.299231,10.47813,10.642812,10.839059,10.930079,11.04493,11.276249,11.399319,11.438395,11.507835,11.568488,11.618155,11.657815,11.713933,11.773743,11.83823,11.939786,19,河西区,天津市,120000,天津市,120000
120104,9.8329353,9.8501892,9.9778891,10.076353,10.322087,10.475574,10.63317,10.816847,10.91512,11.035486,11.283928,11.399591,11.450555,11.517145,11.571464,11.618646,11.665041,11.718291,11.776377,11.838666,11.943832,20,南开区,天津市,120000,天津市,120000
120105,9.8388443,9.8598022,9.9756775,10.065768,10.316757,10.471601,10.64172,10.837797,10.937626,11.054914,11.281102,11.423444,11.441561,11.50757,11.557801,11.609414,11.650672,11.703955,11.76148,11.820631,11.924215,21,河北区,天津市,120000,天津市,120000
120106,9.8317223,9.8532495,9.9619541,10.041019,10.299185,10.451612,10.616858,10.816371,10.914924,11.031905,11.282314,11.434105,11.457728,11.516581,11.56654,11.618181,11.656574,11.705612,11.769625,11.833875,11.939981,22,红桥区,天津市,120000,天津市,120000
120110,9.6073093,9.6471243,9.781477,9.8975935,10.116951,10.333377,10.52255,10.725423,10.825014,10.940194,11.171966,11.306834,11.331377,11.404823,11.460552,11.510492,11.562872,11.615681,11.681405,11.743871,11.843143,23,东丽区,天津市,120000,天津市,120000
120111,9.569129,9.619051,9.7417355,9.9176226,10.101583,10.308239,10.471611,10.662945,10.771721,10.894936,11.109732,11.239648,11.317485,11.384688,11.435735,11.477771,11.532233,11.584877,11.65555,11.718863,11.818076,24,西青区,天津市,120000,天津市,120000
120112,9.5352983,9.5700569,9.7256422,9.8943157,10.06087,10.256028,10.469236,10.678338,10.804395,10.928466,11.14138,11.250583,11.305393,11.367644,11.416285,11.462459,11.521561,11.577795,11.644364,11.708135,11.812425,25,津南区,天津市,120000,天津市,120000
120113,9.608345,9.6575537,9.7908821,9.9115591,10.124154,10.310317,10.493397,10.67702,10.759833,10.899536,11.108491,11.279628,11.287897,11.358344,11.404693,11.450867,11.50029,11.549782,11.618299,11.68887,11.791026,26,北辰区,天津市,120000,天津市,120000
120114,9.3883982,9.4501305,9.5846663,9.7550879,9.9250002,10.11037,10.290276,10.463398,10.560055,10.740755,10.949701,11.10589,11.148513,11.219519,11.27919,11.3305,11.386401,11.438104,11.508361,11.580852,11.674258,27,武清区,天津市,120000,天津市,120000
120115,9.264163,9.3697433,9.4848375,9.641901,9.8001575,9.9561834,10.164693,10.388311,10.540765,10.67617,10.86638,10.988844,11.059844,11.121677,11.187981,11.246352,11.32039,11.370289,11.446253,11.509918,11.594727,28,宝坻区,天津市,120000,天津市,120000
120116,9.5323257,9.5717087,9.6905746,9.8149414,10.0445,10.218982,10.391629,10.588609,10.698006,10.823708,11.054998,11.204544,11.246577,11.311061,11.359853,11.408216,11.460831,11.515852,11.629516,11.687702,11.775668,29,滨海新区,天津市,120000,天津市,120000
120117,9.3027458,9.3590889,9.4974756,9.631484,9.8142843,9.9653254,10.146445,10.346526,10.461854,10.620127,10.829491,10.989365,11.067007,11.144062,11.194297,11.251126,11.318169,11.371251,11.437133,11.501392,11.596166,30,宁河区,天津市,120000,天津市,120000
120118,9.2932997,9.3559408,9.4716482,9.6817846,9.8675013,10.051564,10.250263,10.436903,10.529461,10.678594,10.899796,11.035465,11.1294,11.197844,11.244629,11.293101,11.357076,11.406231,11.470362,11.531451,11.624519,31,静海区,天津市,120000,天津市,120000
120119,9.2537861,9.3324642,9.4639921,9.6609888,9.810647,9.9955845,10.173918,10.356235,10.496856,10.643621,10.850057,10.946286,11.025905,11.093957,11.159661,11.214036,11.270338,11.334341,11.411129,11.472572,11.57193,32,蓟州区,天津市,120000,天津市,120000
130102,9.2926798,9.3204918,9.4617653,9.5706367,9.8127031,9.9620514,10.129256,10.314553,10.37128,10.524846,10.735199,10.910995,10.911898,10.993956,11.043874,11.092835,11.144055,11.205015,11.273309,11.32896,11.422523,33,长安区,石家庄市,130100,河北省,130000
130104,9.3234043,9.4099321,9.5259981,9.640336,9.8797407,10.040729,10.212071,10.408571,10.4686,10.617494,10.822518,10.968523,11.005163,11.078618,11.134249,11.177407,11.221416,11.276377,11.348186,11.403933,11.499452,34,桥西区,石家庄市,130100,河北省,130000
130105,9.2836752,9.3471928,9.47437,9.5849342,9.7985363,9.9482708,10.125552,10.326378,10.388947,10.539877,10.736882,10.896005,10.913749,10.995319,11.047992,11.09708,11.141907,11.191239,11.259452,11.317679,11.414515,35,新华区,石家庄市,130100,河北省,130000
130107,8.9345455,9.0389967,9.1068096,9.4008932,9.6032515,9.666749,9.8704414,10.026534,10.146754,10.387851,10.509151,10.696986,10.754236,10.836013,10.868144,10.914021,10.968693,11.027377,11.085967,11.177825,11.267811,36,井陉矿区,石家庄市,130100,河北省,130000
130108,9.2354937,9.3206034,9.4511395,9.6157837,9.7970619,9.9612179,10.143991,10.35683,10.411222,10.563962,10.807159,10.938598,10.976526,11.054689,11.106586,11.155873,11.210853,11.265903,11.337536,11.392338,11.485108,37,裕华区,石家庄市,130100,河北省,130000
130109,8.8922434,8.9528542,9.1017132,9.2977018,9.4193201,9.5396976,9.7597437,9.981205,10.099495,10.226439,10.474841,10.618662,10.70153,10.785172,10.834309,10.890443,10.965518,11.021491,11.104383,11.165547,11.257857,38,藁城区,石家庄市,130100,河北省,130000
130110,8.9687834,9.0350418,9.1340446,9.3350782,9.530901,9.6443968,9.8522797,10.061441,10.184788,10.379222,10.57493,10.691293,10.743842,10.824585,10.86428,10.909923,10.970819,11.032333,11.10242,11.162094,11.253189,39,鹿泉区,石家庄市,130100,河北省,130000
130111,8.9302912,8.9700737,9.0725594,9.3388796,9.4943295,9.6441107,9.834795,10.022444,10.183293,10.346158,10.549924,10.662362,10.742823,10.846586,10.88842,10.93549,11.002432,11.071155,11.151088,11.214658,11.30831,40,栾城区,石家庄市,130100,河北省,130000
130121,8.6713753,8.726408,8.8100529,9.0782309,9.221077,9.3366833,9.5716,9.7098465,9.9015417,10.065888,10.277713,10.459929,10.535433,10.617745,10.647397,10.696334,10.756164,10.799012,10.872544,10.931365,11.035429,41,井陉县,石家庄市,130100,河北省,130000
130123,8.9565105,9.0216026,9.0742407,9.3353367,9.5096884,9.5870228,9.8282022,10.018515,10.132144,10.306098,10.470211,10.640584,10.694557,10.790762,10.848613,10.905491,10.999549,11.086503,11.177944,11.211242,11.294315,42,正定县,石家庄市,130100,河北省,130000
130125,8.7463751,8.8210125,8.9161205,9.0407581,9.1369553,9.2509823,9.4469099,9.6610632,9.8763552,10.08125,10.275312,10.353995,10.45657,10.537125,10.560223,10.626758,10.703227,10.752909,10.847141,10.894509,11.007198,43,行唐县,石家庄市,130100,河北省,130000
130126,8.6566267,8.7189054,8.8733654,9.0580111,9.2544575,9.3903084,9.5761309,9.8337469,9.9354239,10.096843,10.281409,10.432392,10.462543,10.533263,10.539682,10.581094,10.680068,10.828403,10.92407,10.96245,11.063828,44,灵寿县,石家庄市,130100,河北省,130000
130127,8.7939472,8.8744411,8.9724541,9.1515484,9.2925196,9.4574089,9.6340389,9.8286591,10.048401,10.159425,10.40028,10.52279,10.619452,10.680383,10.717484,10.755845,10.834286,10.898906,10.999608,11.078427,11.158447,45,高邑县,石家庄市,130100,河北省,130000
130128,8.7016182,8.8500338,8.9684229,9.1364889,9.2984657,9.4023838,9.6110439,9.7707005,9.9484892,10.139391,10.384226,10.459654,10.53095,10.61782,10.638441,10.678636,10.759667,10.816642,10.871023,10.936241,11.061064,46,深泽县,石家庄市,130100,河北省,130000
130129,8.6110516,8.7047758,8.8504953,9.0883808,9.276597,9.3366108,9.5225229,9.7597132,9.8845282,10.045583,10.305026,10.460413,10.514079,10.574677,10.593031,10.645375,10.710853,10.743353,10.813676,10.875867,10.965606,47,赞皇县,石家庄市,130100,河北省,130000
