region,regionCode,year,total_sol
安徽省,340000,1992,209991.78771971146
福建省,350000,1992,232210.88657161797
甘肃省,620000,1992,64168.12414900953
广东省,440000,1992,633910.9900625045
贵州省,520000,1992,79204.90448300434
海南省,460000,1992,180058.56257188556
河北省,130000,1992,338616.91011511174
河南省,410000,1992,317372.6227236497
黑龙江省,230000,1992,120888.95556989519
湖北省,420000,1992,152497.30639339206
湖南省,430000,1992,103356.02870746472
吉林省,220000,1992,153385.52021805767
江苏省,320000,1992,913156.52297389
江西省,360000,1992,102374.06312298262
辽宁省,210000,1992,343872.5854447728
青海省,630000,1992,42720.473429427366
山东省,370000,1992,622409.4838641566
山西省,140000,1992,305828.69724941166
陕西省,610000,1992,153442.6457564621
四川省,510000,1992,74168.15611429297
台湾省,710000,1992,1.5540599937175383
云南省,530000,1992,81084.9854394711
浙江省,330000,1992,448418.5456578905
北京市,110000,1992,1712252.645354704
上海市,310000,1992,3456104.924422879
天津市,120000,1992,1787469.0980112834
重庆市,500000,1992,123543.6012101244
广西壮族自治区,450000,1992,96400.66000931503
内蒙古自治区,150000,1992,59395.09842652469
宁夏回族自治区,640000,1992,154948.12096895537
西藏自治区,540000,1992,38068.37217728298
新疆维吾尔自治区,650000,1992,53521.80799996862
澳门特别行政区,820000,1992,236678.8971248877
香港特别行政区,810000,1992,2.5072436398931645E7
安徽省,340000,1993,222311.9569247057
福建省,350000,1993,251857.38956250862
甘肃省,620000,1993,70190.4890176308
广东省,440000,1993,661164.2502895328
贵州省,520000,1993,85588.30248813465
海南省,460000,1993,211382.10981554305
河北省,130000,1993,343760.444238654
河南省,410000,1993,314235.1674128809
黑龙江省,230000,1993,128880.97273702417
湖北省,420000,1993,156525.18789786892
湖南省,430000,1993,108433.07888874345
吉林省,220000,1993,157987.50799349786
江苏省,320000,1993,916122.6358437804
江西省,360000,1993,109103.46241097037
辽宁省,210000,1993,325125.4141123996
青海省,630000,1993,45619.15871023179
山东省,370000,1993,550799.3167153312
山西省,140000,1993,319051.7148082935
陕西省,610000,1993,164756.62503281995
四川省,510000,1993,82386.16000989122
台湾省,710000,1993,1.3990471701324427
云南省,530000,1993,92090.52752970024
浙江省,330000,1993,482013.57757820317
北京市,110000,1993,1708372.7251459556
上海市,310000,1993,3820499.6533818482
天津市,120000,1993,1818068.2548886093
重庆市,500000,1993,132045.6835108278
广西壮族自治区,450000,1993,104498.2267957096
内蒙古自治区,150000,1993,66074.38829242122
宁夏回族自治区,640000,1993,168548.25769418848
西藏自治区,540000,1993,39941.634854712385
新疆维吾尔自治区,650000,1993,59472.704712441606
澳门特别行政区,820000,1993,240627.08625336929
香港特别行政区,810000,1993,2.553295382537176E7
安徽省,340000,1994,240027.80571397106
福建省,350000,1994,288181.3915699395
甘肃省,620000,1994,74741.88666982502
广东省,440000,1994,754345.4181792845
贵州省,520000,1994,91726.07090638131
海南省,460000,1994,240813.0742786208
河北省,130000,1994,372057.96468419145
河南省,410000,1994,345023.38988599414
黑龙江省,230000,1994,137700.87990175767
湖北省,420000,1994,173864.55956648942
湖南省,430000,1994,116836.4831981497
吉林省,220000,1994,168044.59901738068
江苏省,320000,1994,962811.1795024727
江西省,360000,1994,117436.63104299403
辽宁省,210000,1994,345484.42771913623
青海省,630000,1994,47748.18647660132
山东省,370000,1994,595171.6501419457
山西省,140000,1994,359503.1467477449
陕西省,610000,1994,176684.44673326233
四川省,510000,1994,89063.12866768977
台湾省,710000,1994,1.4049978918045505
云南省,530000,1994,100657.47441279798
浙江省,330000,1994,538056.8591889839
北京市,110000,1994,1867800.8970101273
上海市,310000,1994,4183691.944538992
天津市,120000,1994,1953987.2441124509
重庆市,500000,1994,142826.5861473909
广西壮族自治区,450000,1994,115767.28234527638
内蒙古自治区,150000,1994,69925.67587079774
宁夏回族自治区,640000,1994,181039.75763414
西藏自治区,540000,1994,41565.03186232815
新疆维吾尔自治区,650000,1994,63241.76673119937
澳门特别行政区,820000,1994,291188.12893081765
香港特别行政区,810000,1994,2.7256530910414897E7
安徽省,340000,1995,260065.76665467388
福建省,350000,1995,312122.6409732429
甘肃省,620000,1995,78618.01314816826
广东省,440000,1995,795738.3146918454
贵州省,520000,1995,96177.9827578949
海南省,460000,1995,254829.40327375996
河北省,130000,1995,403790.6953666383
河南省,410000,1995,375243.57219343854
黑龙江省,230000,1995,145078.0161490423
湖北省,420000,1995,185560.18718953108
湖南省,430000,1995,124315.18871682552
吉林省,220000,1995,177145.75460911638
江苏省,320000,1995,1051948.8942853846
江西省,360000,1995,125211.44743141078
辽宁省,210000,1995,364398.18819776387
青海省,630000,1995,50010.51614071411
山东省,370000,1995,647185.6057911634
山西省,140000,1995,388961.9809947913
陕西省,610000,1995,190087.7746218738
四川省,510000,1995,94044.99144311705
台湾省,710000,1995,1.4305288093524138
云南省,530000,1995,106423.23149722787
浙江省,330000,1995,602059.0951881972
北京市,110000,1995,2021066.4935080926
上海市,310000,1995,4619585.11151364
天津市,120000,1995,2126273.638661246
重庆市,500000,1995,150739.67465536433
广西壮族自治区,450000,1995,121812.84844079304
内蒙古自治区,150000,1995,73349.5544726107
宁夏回族自治区,640000,1995,191726.41968924046
西藏自治区,540000,1995,43479.41691681049
新疆维吾尔自治区,650000,1995,67291.05373078558
澳门特别行政区,820000,1995,304100.34755914944
香港特别行政区,810000,1995,2.778605249942242E7
安徽省,340000,1996,272975.4278856701
福建省,350000,1996,331994.23386305093
甘肃省,620000,1996,82245.61542760492
广东省,440000,1996,830715.1551723749
贵州省,520000,1996,100117.44418667065
海南省,460000,1996,268310.3732702559
河北省,130000,1996,424852.9707849309
河南省,410000,1996,392333.0310996387
黑龙江省,230000,1996,151391.98379775655
湖北省,420000,1996,193533.33114910088
湖南省,430000,1996,130227.64401780913
吉林省,220000,1996,185742.42672876408
江苏省,320000,1996,1102102.6673106593
江西省,360000,1996,131063.7610337164
辽宁省,210000,1996,383061.0294679765
青海省,630000,1996,51840.861334684836
山东省,370000,1996,680790.8720495752
山西省,140000,1996,406190.6760026314
陕西省,610000,1996,198504.56291940683
四川省,510000,1996,97858.40264692102
台湾省,710000,1996,1.4599728387020934
云南省,530000,1996,112361.70918147682
浙江省,330000,1996,631282.5818786343
北京市,110000,1996,2111586.480115237
上海市,310000,1996,4805759.585132709
天津市,120000,1996,2259650.849201136
重庆市,500000,1996,158495.5430249354
广西壮族自治区,450000,1996,127705.267158966
内蒙古自治区,150000,1996,76317.57741346983
宁夏回族自治区,640000,1996,202897.8481301725
西藏自治区,540000,1996,44993.87387405759
新疆维吾尔自治区,650000,1996,71184.09584096257
澳门特别行政区,820000,1996,314364.59598682245
香港特别行政区,810000,1996,2.8811710148782596E7
安徽省,340000,1997,290297.41835595545
福建省,350000,1997,352833.4476178312
甘肃省,620000,1997,85095.3218946959
广东省,440000,1997,874848.6151398583
贵州省,520000,1997,104430.16148441163
海南省,460000,1997,280032.09241745283
河北省,130000,1997,447371.76210027636
河南省,410000,1997,417462.1189434196
黑龙江省,230000,1997,156566.1570629029
湖北省,420000,1997,203751.05128177349
湖南省,430000,1997,135770.26853580357
吉林省,220000,1997,192137.49229855154
江苏省,320000,1997,1160323.9227596277
江西省,360000,1997,136773.4507458874
辽宁省,210000,1997,400826.95327366213
青海省,630000,1997,53409.6179017505
山东省,370000,1997,717567.6326492593
山西省,140000,1997,425265.3110729261
陕西省,610000,1997,209959.1039978277
四川省,510000,1997,102026.61925304921
台湾省,710000,1997,1.4704327606645562
云南省,530000,1997,118733.97791953012
浙江省,330000,1997,664274.4955299094
北京市,110000,1997,2186211.849027593
上海市,310000,1997,5075501.822079729
天津市,120000,1997,2366511.5318509284
重庆市,500000,1997,168271.03776363155
广西壮族自治区,450000,1997,133716.22796229518
内蒙古自治区,150000,1997,78908.64948187773
宁夏回族自治区,640000,1997,212650.86363406852
西藏自治区,540000,1997,46316.49762928901
新疆维吾尔自治区,650000,1997,74845.7386023635
