region,regionCode,year,total_sol
安徽省,340000,1992,7.324506759993971
福建省,350000,1992,8.312105973707988
甘肃省,620000,1992,8.843994770088374
广东省,440000,1992,12.494773914692319
贵州省,520000,1992,7.108053073411112
海南省,460000,1992,7.783207047746054
河北省,130000,1992,7.522974872900801
河南省,410000,1992,7.531667468336856
黑龙江省,230000,1992,9.807154941066495
湖北省,420000,1992,8.758209443214641
湖南省,430000,1992,7.869193768726082
吉林省,220000,1992,8.377898139584014
江苏省,320000,1992,7.877862147344124
江西省,360000,1992,6.767369237456426
辽宁省,210000,1992,9.54216207577273
青海省,630000,1992,10.30783311876408
山东省,370000,1992,7.35849578055004
山西省,140000,1992,9.01346757064716
陕西省,610000,1992,7.538213418559215
四川省,510000,1992,8.366633835003482
台湾省,710000,1992,22.988678682364256
云南省,530000,1992,7.078104577447559
浙江省,330000,1992,7.343056532553269
北京市,110000,1992,16.992266088569547
上海市,310000,1992,18.66382614365191
天津市,120000,1992,12.036043104474057
重庆市,500000,1992,8.10516488162345
广西壮族自治区,450000,1992,7.3101780505983465
内蒙古自治区,150000,1992,10.676490449660637
宁夏回族自治区,640000,1992,8.53680840377184
西藏自治区,540000,1992,8.945155297037177
新疆维吾尔自治区,650000,1992,12.729411648880498
澳门特别行政区,820000,1992,45.73319575471697
香港特别行政区,810000,1992,42.827951772330614
安徽省,340000,1993,6.204234616617865
福建省,350000,1993,7.179207806055452
甘肃省,620000,1993,6.891540977308101
广东省,440000,1993,11.08673783196221
贵州省,520000,1993,6.545894983593118
海南省,460000,1993,6.7569305433250575
河北省,130000,1993,6.448216710635061
河南省,410000,1993,6.097897970973058
黑龙江省,230000,1993,6.7195622125582295
湖北省,420000,1993,6.33240345053841
湖南省,430000,1993,6.048095435118996
吉林省,220000,1993,6.1571315100166295
江苏省,320000,1993,7.241532672807606
江西省,360000,1993,5.654614477526386
辽宁省,210000,1993,7.0698889715386715
青海省,630000,1993,8.2284876666258
山东省,370000,1993,6.136403669446474
山西省,140000,1993,7.675113461432211
陕西省,610000,1993,6.177555308821295
四川省,510000,1993,6.494607104621175
台湾省,710000,1993,18.34180442256593
云南省,530000,1993,6.649007918456092
浙江省,330000,1993,6.623840766337603
北京市,110000,1993,15.32337866124881
上海市,310000,1993,18.666858641467883
天津市,120000,1993,11.25681405970742
重庆市,500000,1993,6.920297208322575
广西壮族自治区,450000,1993,6.662546932656081
内蒙古自治区,150000,1993,7.463934690557702
宁夏回族自治区,640000,1993,6.806130849894697
西藏自治区,540000,1993,7.8531008808849165
新疆维吾尔自治区,650000,1993,10.933816542110488
澳门特别行政区,820000,1993,48.39846698113205
香港特别行政区,810000,1993,38.65670009775875
安徽省,340000,1994,5.934109846421959
福建省,350000,1994,6.749470782662259
甘肃省,620000,1994,7.152910562273701
广东省,440000,1994,11.126719721237746
贵州省,520000,1994,6.037046557621075
海南省,460000,1994,6.312691778983039
河北省,130000,1994,6.644120646766925
河南省,410000,1994,6.725685218165071
黑龙江省,230000,1994,7.945368366159558
湖北省,420000,1994,6.851177910952499
湖南省,430000,1994,6.071598321644483
吉林省,220000,1994,6.79810181417444
江苏省,320000,1994,7.175945346826904
江西省,360000,1994,5.440246825346683
辽宁省,210000,1994,7.087981365578897
青海省,630000,1994,8.264821107832844
山东省,370000,1994,6.368493255734638
山西省,140000,1994,8.593726262385399
陕西省,610000,1994,6.424067671679716
四川省,510000,1994,6.258823185161201
台湾省,710000,1994,18.436931816361618
云南省,530000,1994,6.501949224098294
浙江省,330000,1994,6.6913271723620715
北京市,110000,1994,15.994904888461182
上海市,310000,1994,18.29154463264955
天津市,120000,1994,11.594033579138408
重庆市,500000,1994,6.079043055673736
广西壮族自治区,450000,1994,6.107635129465381
内蒙古自治区,150000,1994,7.924335378947819
宁夏回族自治区,640000,1994,6.520342248482208
西藏自治区,540000,1994,6.622566620098968
新疆维吾尔自治区,650000,1994,10.56354613050558
澳门特别行政区,820000,1994,47.76639150943395
香港特别行政区,810000,1994,40.47207115874339
安徽省,340000,1995,6.610691745624252
福建省,350000,1995,7.796979881452201
甘肃省,620000,1995,8.063547082807085
广东省,440000,1995,12.046120451308377
贵州省,520000,1995,6.1034310942300465
海南省,460000,1995,6.288539474448513
河北省,130000,1995,7.960456816802687
河南省,410000,1995,7.223965480916808
黑龙江省,230000,1995,7.494043051811687
湖北省,420000,1995,7.242667307438101
湖南省,430000,1995,6.589259895006533
吉林省,220000,1995,7.1391031819475606
江苏省,320000,1995,8.74852086261659
江西省,360000,1995,6.49252905719456
辽宁省,210000,1995,7.59523932400572
青海省,630000,1995,9.164027687862509
山东省,370000,1995,7.391179979838313
山西省,140000,1995,9.848020924156295
陕西省,610000,1995,7.29438515303701
四川省,510000,1995,6.829021525046279
台湾省,710000,1995,22.479435665509353
云南省,530000,1995,7.02899748670794
浙江省,330000,1995,8.618742763597233
北京市,110000,1995,18.84903463939649
上海市,310000,1995,24.181591773730293
天津市,120000,1995,14.37517397711632
重庆市,500000,1995,6.791417761882552
广西壮族自治区,450000,1995,6.538831458857529
内蒙古自治区,150000,1995,7.903246010943599
宁夏回族自治区,640000,1995,7.713269076348617
西藏自治区,540000,1995,8.130621424284097
新疆维吾尔自治区,650000,1995,12.63205964051587
澳门特别行政区,820000,1995,48.39251179245283
香港特别行政区,810000,1995,43.49717223650386
安徽省,340000,1996,6.62377906734989
福建省,350000,1996,7.783469738198362
甘肃省,620000,1996,8.775327971560456
广东省,440000,1996,12.175679837130287
贵州省,520000,1996,6.617880598230439
海南省,460000,1996,6.510270752149335
河北省,130000,1996,7.51300202776814
河南省,410000,1996,7.3661474103844835
黑龙江省,230000,1996,7.318612776143562
湖北省,420000,1996,7.245703523874384
湖南省,430000,1996,6.30922589764495
吉林省,220000,1996,6.821365160370568
江苏省,320000,1996,8.466142243769507
江西省,360000,1996,6.31338146736351
辽宁省,210000,1996,7.174191531722701
青海省,630000,1996,9.46128983534593
山东省,370000,1996,7.283932400537211
山西省,140000,1996,9.105158558693757
陕西省,610000,1996,7.051434090170063
四川省,510000,1996,6.6355361916329345
台湾省,710000,1996,22.586713168093226
云南省,530000,1996,7.035412502482465
浙江省,330000,1996,8.119156735922655
北京市,110000,1996,17.824965818866552
上海市,310000,1996,21.96842538154568
天津市,120000,1996,14.307636156477683
重庆市,500000,1996,6.910420377393563
广西壮族自治区,450000,1996,6.623572650957922
内蒙古自治区,150000,1996,7.578694885172802
宁夏回族自治区,640000,1996,7.541190465158781
西藏自治区,540000,1996,7.599770515933495
新疆维吾尔自治区,650000,1996,10.967715347257698
澳门特别行政区,820000,1996,51.81963443396225
香港特别行政区,810000,1996,44.22340417828305
安徽省,340000,1997,7.382563400843837
福建省,350000,1997,9.41233379377811
甘肃省,620000,1997,8.554648953531046
广东省,440000,1997,13.82180379615556
贵州省,520000,1997,8.010772692556216
海南省,460000,1997,6.882966667145227
河北省,130000,1997,8.484900621807743
河南省,410000,1997,8.056585478168984
黑龙江省,230000,1997,9.075026505726191
湖北省,420000,1997,8.632829188593316
湖南省,430000,1997,6.951239299347974
吉林省,220000,1997,7.661440333010769
江苏省,320000,1997,9.957752757746691
江西省,360000,1997,7.038305655475152
辽宁省,210000,1997,8.79511434433281
青海省,630000,1997,9.890063988304219
山东省,370000,1997,8.216149225701736
山西省,140000,1997,10.203789438050098
陕西省,610000,1997,8.095959807497067
四川省,510000,1997,7.4811664488078025
台湾省,710000,1997,24.872558568924685
云南省,530000,1997,8.260759252281764
浙江省,330000,1997,9.732672386799583
北京市,110000,1997,18.759370466743174
上海市,310000,1997,26.235856938541232
天津市,120000,1997,14.970013658723127
重庆市,500000,1997,8.418422041379197
广西壮族自治区,450000,1997,7.114422886172946
内蒙古自治区,150000,1997,9.066039947530115
宁夏回族自治区,640000,1997,8.401960226969909
西藏自治区,540000,1997,10.204414286504528
新疆维吾尔自治区,650000,1997,12.108528987352663
澳门特别行政区,820000,1997,57.00259433962261
香港特别行政区,810000,1997,46.34112748470253
安徽省,340000,1998,6.666767077748687
福建省,350000,1998,8.41122673707694
甘肃省,620000,1998,8.126672638192476
广东省,440000,1998,12.720693776811189
贵州省,520000,1998,7.342137854535829
海南省,460000,1998,7.236676914896037
河北省,130000,1998,8.970450671821864
河南省,410000,1998,7.307733077260779
黑龙江省,230000,1998,8.553522636767692
湖北省,420000,1998,7.968016022411365
湖南省,430000,1998,6.703525899164689
吉林省,220000,1998,7.481549757021337
江苏省,320000,1998,9.071458476372824
江西省,360000,1998,6.436719771564785
辽宁省,210000,1998,8.407098150316388
青海省,630000,1998,9.302301479352394
山东省,370000,1998,8.107919454718882
山西省,140000,1998,9.64209195445885
陕西省,610000,1998,8.01984703109954
四川省,510000,1998,7.420980577962937
台湾省,710000,1998,22.431452794907017
云南省,530000,1998,8.240093096435633
浙江省,330000,1998,9.328708241538468
北京市,110000,1998,20.329778466119453
上海市,310000,1998,25.00457421367995
天津市,120000,1998,15.804024483138798
重庆市,500000,1998,7.951005030238653
广西壮族自治区,450000,1998,6.808380693066008
内蒙古自治区,150000,1998,8.714214873621597
宁夏回族自治区,640000,1998,7.900584320727152
西藏自治区,540000,1998,9.660804627332194
新疆维吾尔自治区,650000,1998,11.170418522310964
澳门特别行政区,820000,1998,54.40023584905658
香港特别行政区,810000,1998,44.55928406773118
安徽省,340000,1999,6.753085164269616
福建省,350000,1999,8.981534022040549
甘肃省,620000,1999,7.811540036683376
广东省,440000,1999,13.530710074791276
贵州省,520000,1999,6.962934023499914
海南省,460000,1999,7.65652104993096
河北省,130000,1999,8.645443299531284
河南省,410000,1999,7.705249268297714
黑龙江省,230000,1999,7.9877146391886695
湖北省,420000,1999,7.7633793047237845
湖南省,430000,1999,7.107050069063231
吉林省,220000,1999,6.837898073610316
江苏省,320000,1999,8.994039746631032
江西省,360000,1999,6.652189558359684
辽宁省,210000,1999,8.22790036758105
青海省,630000,1999,8.73699360479712
山东省,370000,1999,7.937046129420956
山西省,140000,1999,9.150230713151858
陕西省,610000,1999,7.887331442390368
四川省,510000,1999,7.533476348200877
台湾省,710000,1999,25.075556818408405
云南省,530000,1999,8.438845208871527
浙江省,330000,1999,9.36257624836031
北京市,110000,1999,19.86161783231581
上海市,310000,1999,26.110211367619176
天津市,120000,1999,15.524969050137212
重庆市,500000,1999,7.944903628459924
广西壮族自治区,450000,1999,6.879514299376677
内蒙古自治区,150000,1999,8.138433617546939
宁夏回族自治区,640000,1999,7.874741919215864
西藏自治区,540000,1999,9.27892609767666
新疆维吾尔自治区,650000,1999,10.744046791661763
澳门特别行政区,820000,1999,54.87305424528298
香港特别行政区,810000,1999,46.419390033431085
安徽省,340000,2000,6.6250706334689475
福建省,350000,2000,9.407333153396904
甘肃省,620000,2000,7.787269124335317
广东省,440000,2000,13.333638203762888
贵州省,520000,2000,7.06623439084456
海南省,460000,2000,7.10930698734359
河北省,130000,2000,8.614016772468874
河南省,410000,2000,7.2715022778592004
黑龙江省,230000,2000,8.004272300480334
湖北省,420000,2000,7.761541323457132
湖南省,430000,2000,6.71775315343127
吉林省,220000,2000,7.958479149632051
江苏省,320000,2000,9.173511392920485
江西省,360000,2000,6.512966416263438
辽宁省,210000,2000,9.5997606609012
青海省,630000,2000,8.646710181301689
山东省,370000,2000,8.018823936047504
山西省,140000,2000,8.985962054502087
陕西省,610000,2000,7.498519412311181
四川省,510000,2000,7.333351299928259
台湾省,710000,2000,25.504710702121432
云南省,530000,2000,8.408847290970957
浙江省,330000,2000,10.255522315868854
北京市,110000,2000,20.874521710322973
上海市,310000,2000,26.040903087632973
天津市,120000,2000,15.591288496339214
重庆市,500000,2000,8.36730962952935
广西壮族自治区,450000,2000,7.2595389526939655
内蒙古自治区,150000,2000,8.861811250557215
宁夏回族自治区,640000,2000,7.7831604721184195
西藏自治区,540000,2000,9.052651345105444
新疆维吾尔自治区,650000,2000,11.566906412252651
澳门特别行政区,820000,2000,53.496167452830164
香港特别行政区,810000,2000,46.280159793378914
安徽省,340000,2001,6.848871911255582
福建省,350000,2001,10.113196807503831
甘肃省,620000,2001,8.377758262130715
广东省,440000,2001,15.112755469650715
贵州省,520000,2001,7.585714915350456
海南省,460000,2001,8.654390783374875
河北省,130000,2001,10.031342437880522
河南省,410000,2001,7.679259483284609
黑龙江省,230000,2001,9.458801084014965
湖北省,420000,2001,7.763695993710924
湖南省,430000,2001,7.490333475866443
吉林省,220000,2001,8.80822862293313
江苏省,320000,2001,9.818819024642877
江西省,360000,2001,7.280348940256709
辽宁省,210000,2001,9.675829506714086
青海省,630000,2001,9.5368446655762
山东省,370000,2001,9.329675319344599
山西省,140000,2001,10.199393190890428
陕西省,610000,2001,8.24767940992643
四川省,510000,2001,9.111988804044106
台湾省,710000,2001,25.05851296863781
云南省,530000,2001,9.78047955183935
浙江省,330000,2001,11.81741755068037
北京市,110000,2001,23.519802646343447
上海市,310000,2001,27.23072299662537
天津市,120000,2001,18.36981994598665
重庆市,500000,2001,8.918111410959947
广西壮族自治区,450000,2001,7.191751086714059
内蒙古自治区,150000,2001,9.759177519312074
宁夏回族自治区,640000,2001,8.960135012698787
西藏自治区,540000,2001,10.281396470420118
新疆维吾尔自治区,650000,2001,13.465075745248786
澳门特别行政区,820000,2001,55.46432783018866
香港特别行政区,810000,2001,47.106950529225
安徽省,340000,2002,7.305457262051252
福建省,350000,2002,10.765934191767373
甘肃省,620000,2002,8.924677699436891
广东省,440000,2002,14.942043505253688
贵州省,520000,2002,7.6994837142526755
海南省,460000,2002,8.31910862701272
河北省,130000,2002,9.891306347481112
河南省,410000,2002,7.9959749396406155
黑龙江省,230000,2002,9.385453761735562
湖北省,420000,2002,8.294271031636665
湖南省,430000,2002,7.69302932358332
吉林省,220000,2002,9.5705566812983
江苏省,320000,2002,11.67298487548782
江西省,360000,2002,8.298544223397627
辽宁省,210000,2002,9.801232126742313
青海省,630000,2002,10.366366825195291
山东省,370000,2002,9.508109434823483
山西省,140000,2002,10.776359982991307
陕西省,610000,2002,8.6628884516578
四川省,510000,2002,8.997875688539711
台湾省,710000,2002,26.80093113500752
云南省,530000,2002,9.33720141186969
浙江省,330000,2002,13.172472146649877
北京市,110000,2002,24.243677156412318
上海市,310000,2002,31.65335292914483
天津市,120000,2002,18.14542703470676
重庆市,500000,2002,8.475627664634297
广西壮族自治区,450000,2002,7.781327270975364
内蒙古自治区,150000,2002,11.230996328920726
宁夏回族自治区,640000,2002,8.909873590201597
西藏自治区,540000,2002,10.822517286092214
新疆维吾尔自治区,650000,2002,13.28588050273311
澳门特别行政区,820000,2002,56.076238207547135
香港特别行政区,810000,2002,47.29953775782369
安徽省,340000,2003,7.44167997070499
福建省,350000,2003,10.789177243799985
甘肃省,620000,2003,9.435868962256494
广东省,440000,2003,15.799279711517425
贵州省,520000,2003,8.61825785698897
海南省,460000,2003,8.757807744098068
河北省,130000,2003,10.059035373903127
河南省,410000,2003,8.230748386101144
黑龙江省,230000,2003,9.498675759945414
湖北省,420000,2003,8.599874675046479
湖南省,430000,2003,8.403917132394017
吉林省,220000,2003,8.320691873758806
江苏省,320000,2003,12.673934148845566
江西省,360000,2003,9.318235601008347
辽宁省,210000,2003,10.005404021505964
青海省,630000,2003,10.830643390369929
山东省,370000,2003,10.303976711253044
山西省,140000,2003,10.309655665748448
陕西省,610000,2003,8.916584964086816
四川省,510000,2003,9.225643883795684
台湾省,710000,2003,25.813849706493915
云南省,530000,2003,9.572198943271305
浙江省,330000,2003,14.583381785466244
北京市,110000,2003,24.91408280550208
上海市,310000,2003,32.27529715077333
天津市,120000,2003,18.998303006141125
重庆市,500000,2003,9.2744573638272
广西壮族自治区,450000,2003,8.572478278597778
内蒙古自治区,150000,2003,10.877181142220167
宁夏回族自治区,640000,2003,10.331134124776078
西藏自治区,540000,2003,10.514722299447294
新疆维吾尔自治区,650000,2003,13.14036622459247
澳门特别行政区,820000,2003,57.239504716981095
香港特别行政区,810000,2003,47.8038524204352
安徽省,340000,2004,7.3649209643720654
福建省,350000,2004,11.392200940683406
甘肃省,620000,2004,8.390973495995011
广东省,440000,2004,15.66519794098504
贵州省,520000,2004,8.235879584883165
海南省,460000,2004,8.890021515446156
河北省,130000,2004,11.606417682940625
河南省,410000,2004,9.350047282241222
黑龙江省,230000,2004,7.952690211283685
湖北省,420000,2004,8.680241494231423
湖南省,430000,2004,8.633375586013548
吉林省,220000,2004,7.9778530895073985
江苏省,320000,2004,13.56643738409829
江西省,360000,2004,9.198413210167438
辽宁省,210000,2004,9.08292482164892
青海省,630000,2004,9.46376619927479
山东省,370000,2004,11.71483838925026
山西省,140000,2004,11.567782871128367
陕西省,610000,2004,9.375320231222394
四川省,510000,2004,9.594926653973891
台湾省,710000,2004,25.429317567979588
云南省,530000,2004,8.89063298867384
浙江省,330000,2004,14.565740389380101
北京市,110000,2004,26.460653295942116
上海市,310000,2004,33.78961970536799
天津市,120000,2004,21.033989152379643
重庆市,500000,2004,9.845519521925588
广西壮族自治区,450000,2004,8.216682516172533
内蒙古自治区,150000,2004,9.075937695251072
宁夏回族自治区,640000,2004,10.077706089820575
西藏自治区,540000,2004,9.101522736145416
新疆维吾尔自治区,650000,2004,12.387876405125345
澳门特别行政区,820000,2004,57.10654481132074
香港特别行政区,810000,2004,47.21787416874858
安徽省,340000,2005,7.418509593373782
福建省,350000,2005,12.531919900992456
甘肃省,620000,2005,8.042322797351096
广东省,440000,2005,16.110468338365937
贵州省,520000,2005,7.704743358878488
海南省,460000,2005,9.396033157086926
河北省,130000,2005,11.583105340929347
河南省,410000,2005,9.305770284841632
黑龙江省,230000,2005,8.482096808802167
湖北省,420000,2005,8.283642619599487
湖南省,430000,2005,7.422774141363966
吉林省,220000,2005,8.090094945091556
江苏省,320000,2005,13.790915434333922
江西省,360000,2005,7.874280460632521
辽宁省,210000,2005,9.715350364257008
青海省,630000,2005,9.360646983879224
山东省,370000,2005,12.513785697938298
山西省,140000,2005,11.52443268483394
陕西省,610000,2005,9.128746770107012
四川省,510000,2005,8.826368200840594
台湾省,710000,2005,24.250700252287256
云南省,530000,2005,8.917482268233876
浙江省,330000,2005,13.859896571647079
北京市,110000,2005,25.904259926504352
上海市,310000,2005,34.78257440964318
天津市,120000,2005,21.477581293034582
重庆市,500000,2005,9.62273734254929
