Column1,year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,ccnl1s,egdp1s,hdmsp1s,hviirs1s,vl1s,panda1s,ccnl1m,egdp1m,hdmsp1m,hviirs1m,panda1m,vl1m,e1s,e1m,viirs1s,viirs1m
0,1992,310000,上海市,1114.32,34.16,677.39,402.77,3.0655,60.7895,36.1449,8650,,,,357.38,,,1345.0,,,,235.0,3625.0,,110095.1042,61952.69453,184551.1333,,,-10068432.81,11.75667723,9.759542344,18.66382614,,-925.1719992,,21933864952.41529,3456104.924422879,,
1,1992,120000,天津市,411.24,30.26,233.41,147.37,7.3582,56.0767,36.565,4481,,,,169.88,,,920.0,,,,3758.0,4088.0,,109262.9739,53860.31007,190401.7059,,,-6842003.416,6.984255087,4.73841264,12.0360431,,-376.3463614,,18497291000.839733,1787469.0980112834,,
2,1992,110000,北京市,709.1,48.67,345.91,314.52,6.8636,48.7816,44.3534,6458,,,,82.5,,,1102.0,,,,872.5,10827.0,,142718.4999,71660.10937,238528.7686,,,26819609.86,6.638248961,4.363186922,16.99226609,,1073.521125,,25177580651.191147,1712252.645354704,,
3,1992,330000,浙江省,1365.06,262.67,653.43,459.6,19.0936,47.498,33.4084,3212,,,,361.18,,,4236.0,,,,867.0,31294.0,,168595.3412,135192.1427,325445.1294,,,-101094857.5,1.367634802,1.339403572,7.343056533,,-705.7137971,,40641590147.27971,448418.5456578905,,
4,1992,620000,甘肃省,317.79,74.2,128.66,114.93,23.3488,40.4859,36.1654,1384,,,,85.13,,,2314.0,,,,1884.0,34822.0,,62162.31709,75778.44083,124831.9804,,,10610954.42,0.115001945,0.177794593,8.84399477,,16.89319529,,26847745858.418785,64168.12414900953,,
5,1992,210000,辽宁省,1472.95,194.6,741.9,536.5,13.212,50.37,36.4247,3693,,,,436.8,,,4016.0,,,,3758.0,41548.0,,358519.6296,122932.9252,654653.3882,,,-46554409.17,1.817021409,0.85264804,9.542162076,,-203.0413603,,42149904365.78478,343872.5854447728,,
6,1992,630000,青海省,87.52,19.9,36.31,31.31,22.7377,41.4877,35.7747,1912,,,,30.27,,,461.0,,,,1100.0,16854.0,,13847.5846,76052.68185,28133.02745,,,2994673.973,0.016106191,0.108936446,10.30783312,,2.997417821,,29767727074.511078,42720.473429427366,,
7,1992,440000,广东省,2293.54,465.83,1100.32,881.39,19.0326,44.9562,36.0113,3699,,,,921.75,,,6525.0,,,,1426.0,55883.0,,472071.3469,294338.727,851207.4039,,,-82573229.07,2.375493285,1.670659892,12.49477391,,-357.5719909,,101229594032.64452,633910.9900625045,,
8,1992,320000,江苏省,2136.02,393.82,1119.26,622.94,18.4371,52.3993,29.1636,3106,,,,711.7,,,6911.0,,,,744.0,25325.0,,383006.7583,243863.4971,705787.9882,,,-9318577.965,3.091888141,2.408572491,7.877862147,,-64.73604651,,76718619674.27509,913156.52297389,,
9,1992,370000,山东省,2196.53,534.62,999.11,662.8,24.3393,45.4858,30.1749,2556,,,,601.5,,,8610.0,,,,2048.0,43134.0,,523811.8762,222394.4221,965308.6863,,,16958028.44,2.666490762,1.439868328,7.358495781,,74.28766141,,70641650684.0958,622409.4838641566,,
10,1992,430000,湖南省,997.7,323.91,341.73,321.34,32.8183,34.6238,32.5579,1595,,,,233.39,,,6267.0,,,,2302.0,58110.0,,74331.00038,64274.57681,154783.4,,,14896205.32,0.309578599,0.302171564,7.869193769,,53.38923543,,21139404903.677925,103356.02870746472,,
