region,regionCode,year,total_sol
安徽省,340000,1992,2.6520300148139145E10
福建省,350000,1992,2.616059800683274E10
甘肃省,620000,1992,2.6847745858418785E10
广东省,440000,1992,1.0122959403264452E11
贵州省,520000,1992,1.3690846665394072E10
海南省,460000,1992,5.268873657978516E9
河北省,130000,1992,5.378376144519194E10
河南省,410000,1992,4.393975297806781E10
黑龙江省,230000,1992,4.980638338375945E10
湖北省,420000,1992,2.6613054268612446E10
湖南省,430000,1992,2.1139404903677925E10
吉林省,220000,1992,2.587318744670339E10
江苏省,320000,1992,7.671861967427509E10
江西省,360000,1992,1.6309720253235752E10
辽宁省,210000,1992,4.214990436578478E10
青海省,630000,1992,2.9767727074511074E10
山东省,370000,1992,7.06416506840958E10
山西省,140000,1992,4.262177081769172E10
陕西省,610000,1992,3.013661882046932E10
四川省,510000,1992,3.539942139574437E10
台湾省,710000,1992,49613.62126225491
云南省,530000,1992,3.046490095094952E10
浙江省,330000,1992,4.064159014727971E10
北京市,110000,1992,2.5177580651191147E10
上海市,310000,1992,2.1933864952415295E10
天津市,120000,1992,1.8497291000839733E10
重庆市,500000,1992,9.907342670507135E9
广西壮族自治区,450000,1992,2.198683797809302E10
内蒙古自治区,150000,1992,6.711554420823756E10
宁夏回族自治区,640000,1992,7.636043314808154E9
西藏自治区,540000,1992,4.590017405597112E10
新疆维吾尔自治区,650000,1992,8.692764574712495E10
澳门特别行政区,820000,1992,3099101.323529412
香港特别行政区,810000,1992,1.9645974575962868E10
安徽省,340000,1993,3.003547873560225E10
福建省,350000,1993,2.9728177598485943E10
甘肃省,620000,1993,2.983745279241019E10
广东省,440000,1993,1.1369811112221835E11
贵州省,520000,1993,1.4953205497309622E10
海南省,460000,1993,6.979203119779785E9
河北省,130000,1993,6.42251264306744E10
河南省,410000,1993,5.107408354450133E10
黑龙江省,230000,1993,5.771222637808772E10
湖北省,420000,1993,2.8686640654895317E10
湖南省,430000,1993,2.2759063151645443E10
吉林省,220000,1993,2.9592387961808144E10
江苏省,320000,1993,8.402755494726701E10
江西省,360000,1993,1.7907440944508854E10
辽宁省,210000,1993,4.604549662317168E10
青海省,630000,1993,3.183969270759591E10
山东省,370000,1993,8.330368569903792E10
山西省,140000,1993,4.9476635631646835E10
陕西省,610000,1993,3.3652135725116825E10
四川省,510000,1993,3.989754730013468E10
台湾省,710000,1993,49442.53547794118
云南省,530000,1993,3.5203894132679184E10
浙江省,330000,1993,4.748483606862838E10
北京市,110000,1993,2.798348691243578E10
上海市,310000,1993,2.4303771442078033E10
天津市,120000,1993,2.066558259127069E10
重庆市,500000,1993,1.0725298274879448E10
广西壮族自治区,450000,1993,2.431685252830958E10
内蒙古自治区,150000,1993,7.568685013833917E10
宁夏回族自治区,640000,1993,8.725669932763023E9
西藏自治区,540000,1993,4.8164135088426025E10
新疆维吾尔自治区,650000,1993,9.699568069314944E10
澳门特别行政区,820000,1993,3150799.376470588
香港特别行政区,810000,1993,2.000682158371581E10
安徽省,340000,1994,3.3172863103166462E10
福建省,350000,1994,3.452076972396687E10
甘肃省,620000,1994,3.180954111773736E10
广东省,440000,1994,1.316446882747296E11
贵州省,520000,1994,1.6138560812901615E10
海南省,460000,1994,8.003181710575684E9
河北省,130000,1994,6.97427469668295E10
河南省,410000,1994,5.6667392488136024E10
黑龙江省,230000,1994,6.183439921872832E10
湖北省,420000,1994,3.2117573950091198E10
湖南省,430000,1994,2.4665277575160034E10
吉林省,220000,1994,3.1670497675876682E10
江苏省,320000,1994,9.522566168089595E10
江西省,360000,1994,1.9442415337898064E10
辽宁省,210000,1994,4.925599666682299E10
青海省,630000,1994,3.3328676814443516E10
山东省,370000,1994,9.131274700097063E10
山西省,140000,1994,5.6065560409160774E10
陕西省,610000,1994,3.624540839343691E10
四川省,510000,1994,4.3302775016837944E10
台湾省,710000,1994,49769.44969362745
云南省,530000,1994,3.861769913550032E10
浙江省,330000,1994,5.3722067662926636E10
北京市,110000,1994,3.0660303310472443E10
上海市,310000,1994,2.6626738231729195E10
天津市,120000,1994,2.221054389290203E10
重庆市,500000,1994,1.1741415180450985E10
广西壮族自治区,450000,1994,2.7198827021360596E10
内蒙古自治区,150000,1994,8.012414977652127E10
宁夏回族自治区,640000,1994,9.399223556768944E9
西藏自治区,540000,1994,5.012384910622396E10
新疆维吾尔自治区,650000,1994,1.0317607670189455E11
