region,regionCode,year,total_sol
安徽省,340000,1992,87086.23167963234
福建省,350000,1992,84303.7489113539
甘肃省,620000,1992,75778.44083355852
广东省,440000,1992,294338.72703704674
贵州省,520000,1992,41584.893120130946
海南省,460000,1992,17966.140811910853
河北省,130000,1992,165938.35290969603
河南省,410000,1992,138610.83587732186
黑龙江省,230000,1992,147635.4863431716
湖北省,420000,1992,80771.98922998963
湖南省,430000,1992,64274.57680846703
吉林省,220000,1992,78475.97002530718
江苏省,320000,1992,243863.49707199298
江西省,360000,1992,50842.23796023592
辽宁省,210000,1992,122932.925199139
青海省,630000,1992,76052.68185311234
山东省,370000,1992,222394.42210471613
山西省,140000,1992,126030.0737082485
陕西省,610000,1992,93519.82907554584
四川省,510000,1992,109295.9546423954
台湾省,710000,1992,249168.13861215065
云南省,530000,1992,91986.38765614916
浙江省,330000,1992,135192.14272155776
北京市,110000,1992,71660.10937085169
上海市,310000,1992,61952.694527802574
天津市,120000,1992,53860.31006946234
重庆市,500000,1992,31798.191864289896
广西壮族自治区,450000,1992,65419.873608503
内蒙古自治区,150000,1992,189730.78419503322
宁夏回族自治区,640000,1992,24147.837441816948
西藏自治区,540000,1992,118079.67873444321
新疆维吾尔自治区,650000,1992,240071.87712722286
澳门特别行政区,820000,1992,9350.874099312576
香港特别行政区,810000,1992,110452.00113838419
安徽省,340000,1993,94601.81472104628
福建省,350000,1993,92659.6973620801
甘肃省,620000,1993,82216.70763236422
广东省,440000,1993,327459.16579245764
贵州省,520000,1993,44922.83121231895
海南省,460000,1993,20951.92448751442
河北省,130000,1993,186582.23332344383
河南省,410000,1993,153107.50346725082
黑龙江省,230000,1993,160970.33872993765
湖北省,420000,1993,85413.49021156137
湖南省,430000,1993,68028.25796016447
吉林省,220000,1993,84937.25487376678
江苏省,320000,1993,265781.81122448196
江西省,360000,1993,54511.0587977302
辽宁省,210000,1993,131578.5514508236
青海省,630000,1993,81828.72865032562
山东省,370000,1993,248819.458105886
山西省,140000,1993,141333.36771118655
陕西省,610000,1993,101557.1198978347
四川省,510000,1993,116934.28802882865
台湾省,710000,1993,261193.24833852262
云南省,530000,1993,102291.300207089
浙江省,330000,1993,151329.47420557248
北京市,110000,1993,79591.67317461953
上海市,310000,1993,68958.91509414985
天津市,120000,1993,59912.21821339009
重庆市,500000,1993,33859.26487657855
广西壮族自治区,450000,1993,71100.93068524744
内蒙古自治区,150000,1993,206519.497803954
宁夏回族自治区,640000,1993,26430.070052015348
西藏自治区,540000,1993,125813.44616673444
新疆维吾尔自治区,650000,1993,262048.37635572496
澳门特别行政区,820000,1993,9806.27885947508
香港特别行政区,810000,1993,116598.28005480208
安徽省,340000,1994,103172.84909019647
福建省,350000,1994,105169.00951693357
甘肃省,620000,1994,88215.19204346392
广东省,440000,1994,373527.9770796221
贵州省,520000,1994,48272.18754259112
海南省,460000,1994,23704.868901580572
河北省,130000,1994,203069.89443311832
河南省,410000,1994,169060.67420404137
黑龙江省,230000,1994,173290.58823676262
湖北省,420000,1994,94848.34183584845
湖南省,430000,1994,73546.528670352
吉林省,220000,1994,91357.6636640377
江苏省,320000,1994,296050.72751617857
江西省,360000,1994,58810.05852483292
辽宁省,210000,1994,141639.27044495975
青海省,630000,1994,86857.43308979402
山东省,370000,1994,272310.81947239715
山西省,140000,1994,158334.3057507886
陕西省,610000,1994,109685.39344722725
四川省,510000,1994,126551.92999760075
