region,regionCode,year,total_sol
安徽省,340000,1984,1.5234020760784311E7
福建省,350000,1984,-1.0863250363137256E8
甘肃省,620000,1984,7496798.835294114
广东省,440000,1984,-1.0981299971372549E8
贵州省,520000,1984,4689920.850980393
海南省,460000,1984,-1.4708747955294117E8
河北省,130000,1984,2.070106584705883E7
河南省,410000,1984,3.965290003529413E7
黑龙江省,230000,1984,1.4787633341176469E7
湖北省,420000,1984,1.410135489803921E7
湖南省,430000,1984,7754144.356862743
吉林省,220000,1984,1.4155089043137258E7
江苏省,320000,1984,-2.956456091764706E7
江西省,360000,1984,5807978.756862744
辽宁省,210000,1984,-6.379096779215686E7
青海省,630000,1984,2148485.3450980387
山东省,370000,1984,-1.4794379400000006E7
山西省,140000,1984,4.747991050588235E7
陕西省,610000,1984,1.5839771149019618E7
四川省,510000,1984,8656416.956862744
台湾省,710000,1984,-4.032403408627451E7
云南省,530000,1984,-5726680.65490196
浙江省,330000,1984,-1.2056819081960781E8
北京市,110000,1984,2.3017520819607854E7
上海市,310000,1984,-1.260913779215686E7
天津市,120000,1984,-9780290.968627455
重庆市,500000,1984,3048893.3647058816
广西壮族自治区,450000,1984,-3.427334521960785E7
内蒙古自治区,150000,1984,-1.7042079796078414E7
宁夏回族自治区,640000,1984,3820091.6117647067
西藏自治区,540000,1984,-1.9733922400000002E7
新疆维吾尔自治区,650000,1984,-2.6380050584313713E7
澳门特别行政区,820000,1984,-1331909.5333333334
香港特别行政区,810000,1984,-6073856.078431371
安徽省,340000,1985,1.9122972984313723E7
福建省,350000,1985,-1.0578376929411761E8
甘肃省,620000,1985,1.0374164658823531E7
广东省,440000,1985,-9.993212774901964E7
贵州省,520000,1985,5836431.709803921
海南省,460000,1985,-1.456194697019608E8
河北省,130000,1985,3.511797196470588E7
河南省,410000,1985,5.046567133333334E7
黑龙江省,230000,1985,2.6183015270588256E7
湖北省,420000,1985,1.6872015125490203E7
湖南省,430000,1985,9580723.89019608
吉林省,220000,1985,1.9496669266666673E7
江苏省,320000,1985,-1.9792301062745113E7
江西省,360000,1985,7738855.5764705865
辽宁省,210000,1985,-5.666092201568627E7
青海省,630000,1985,2790933.85882353
山东省,370000,1985,1666350.737254892
山西省,140000,1985,5.684561231372548E7
陕西省,610000,1985,1.967998258431373E7
