region,regionCode,year,viirsl
安徽省,340000,2000,32857.26894
福建省,350000,2000,54308.62288
甘肃省,620000,2000,31427.03495
广东省,440000,2000,397574.4407
贵州省,520000,2000,9028.311401
海南省,460000,2000,10327.54719
河北省,130000,2000,120924.676
河南省,410000,2000,79290.0987
黑龙江省,230000,2000,157354.4546
湖北省,420000,2000,39402.32919
湖南省,430000,2000,12893.69934
吉林省,220000,2000,111288.1749
江苏省,320000,2000,116421.9658
江西省,360000,2000,6729.307006
辽宁省,210000,2000,186782.7731
青海省,630000,2000,9565.021661
山东省,370000,2000,184386.4533
山西省,140000,2000,98866.05127
陕西省,610000,2000,52328.31539
四川省,510000,2000,22749.25965
台湾省,710000,2000,302965.3767
云南省,530000,2000,58036.04479
浙江省,330000,2000,66439.28089
北京市,110000,2000,188894.2518
上海市,310000,2000,171679.3692
天津市,120000,2000,89039.12285
重庆市,500000,2000,10615.93688
广西壮族自治区,450000,2000,23573.85575
内蒙古自治区,150000,2000,84780.19256
宁夏回族自治区,640000,2000,10397.06401
西藏自治区,540000,2000,2567.428808
新疆维吾尔自治区,650000,2000,111660.2355
澳门特别行政区,820000,2000,1695.907368
香港特别行政区,810000,2000,38194.10346
安徽省,340000,2001,28596.92825
福建省,350000,2001,78667.82335
甘肃省,620000,2001,43767.56731
广东省,440000,2001,567329.9081
贵州省,520000,2001,9598.656022
海南省,460000,2001,12134.71331
河北省,130000,2001,156992.5699
河南省,410000,2001,86078.48029
黑龙江省,230000,2001,170696.6995
湖北省,420000,2001,31598.91173
湖南省,430000,2001,17973.42579
吉林省,220000,2001,106904.5159
江苏省,320000,2001,112856.5863
江西省,360000,2001,13507.64484
辽宁省,210000,2001,233031.9001
青海省,630000,2001,12239.48239
山东省,370000,2001,249543.2455
山西省,140000,2001,116106.2786
陕西省,610000,2001,48171.98523
四川省,510000,2001,39023.36655
台湾省,710000,2001,360433.6874
云南省,530000,2001,69696.66962
浙江省,330000,2001,103705.0039
北京市,110000,2001,239954.4632
上海市,310000,2001,145538.7631
天津市,120000,2001,134031.0355
重庆市,500000,2001,15309.40517
广西壮族自治区,450000,2001,25727.63003
内蒙古自治区,150000,2001,86808.62267
宁夏回族自治区,640000,2001,15397.20845
西藏自治区,540000,2001,3697.799401
新疆维吾尔自治区,650000,2001,144059.5268
澳门特别行政区,820000,2001,1897.399785
香港特别行政区,810000,2001,46088.78546
安徽省,340000,2002,63208.97645
福建省,350000,2002,92233.26141
甘肃省,620000,2002,63767.22185
广东省,440000,2002,488765.5662
贵州省,520000,2002,14398.62843
海南省,460000,2002,16892.22541
河北省,130000,2002,219746.069
河南省,410000,2002,153937.768
黑龙江省,230000,2002,240223.798
湖北省,420000,2002,73042.2326
湖南省,430000,2002,29460.43054
吉林省,220000,2002,120033.3926
江苏省,320000,2002,290227.3087
江西省,360000,2002,34477.51758
辽宁省,210000,2002,213605.3604
青海省,630000,2002,15439.41589
山东省,370000,2002,332618.7182
山西省,140000,2002,166582.1453
陕西省,610000,2002,90441.93389
四川省,510000,2002,63850.73972
台湾省,710000,2002,405747.8519
云南省,530000,2002,89451.9836
浙江省,330000,2002,189674.944
北京市,110000,2002,272287.8358
上海市,310000,2002,272446.4855
天津市,120000,2002,148275.7699
重庆市,500000,2002,32230.40926
广西壮族自治区,450000,2002,31536.9929
内蒙古自治区,150000,2002,127365.9153
宁夏回族自治区,640000,2002,24449.20764
西藏自治区,540000,2002,6630.3621
新疆维吾尔自治区,650000,2002,165280.5921
澳门特别行政区,820000,2002,1153.102209
香港特别行政区,810000,2002,38941.60199
安徽省,340000,2003,80787.53241
福建省,350000,2003,120565.5526
甘肃省,620000,2003,59659.13155
广东省,440000,2003,881606.5142
贵州省,520000,2003,28779.40446
海南省,460000,2003,18654.04724
河北省,130000,2003,187552.083
河南省,410000,2003,145569.7358
黑龙江省,230000,2003,192274.5589
湖北省,420000,2003,74754.55795
湖南省,430000,2003,51543.09804
吉林省,220000,2003,104877.3278
江苏省,320000,2003,362289.3656
江西省,360000,2003,56463.6694
辽宁省,210000,2003,239904.2469
青海省,630000,2003,17823.48521
山东省,370000,2003,391892.1399
山西省,140000,2003,142086.5229
陕西省,610000,2003,82165.18671
四川省,510000,2003,77682.54262
台湾省,710000,2003,367477.0623
云南省,530000,2003,83522.44045
浙江省,330000,2003,270125.6687
北京市,110000,2003,249401.8017
上海市,310000,2003,255165.2181
天津市,120000,2003,133005.3141
重庆市,500000,2003,30625.25427
广西壮族自治区,450000,2003,60594.48536
内蒙古自治区,150000,2003,118273.7187
宁夏回族自治区,640000,2003,26773.7195
西藏自治区,540000,2003,6960.561323
新疆维吾尔自治区,650000,2003,159337.1391
澳门特别行政区,820000,2003,1282.588685
香港特别行政区,810000,2003,43871.42047
安徽省,340000,2004,85067.14612
福建省,350000,2004,126669.0131
甘肃省,620000,2004,66054.88541
广东省,440000,2004,848033.1715
贵州省,520000,2004,30685.68522
海南省,460000,2004,23546.06701
河北省,130000,2004,258924.8148
河南省,410000,2004,167107.6783
黑龙江省,230000,2004,201452.6446
湖北省,420000,2004,96019.32836
湖南省,430000,2004,80123.9155
吉林省,220000,2004,108161.3728
江苏省,320000,2004,404967.8545
江西省,360000,2004,72698.09273
辽宁省,210000,2004,228159.4387
青海省,630000,2004,18663.49771
山东省,370000,2004,465072.8851
山西省,140000,2004,213262.4003
陕西省,610000,2004,111150.6251
四川省,510000,2004,103272.5731
台湾省,710000,2004,296048.3821
云南省,530000,2004,86101.48499
浙江省,330000,2004,263574.7458
北京市,110000,2004,241993.4346
上海市,310000,2004,206334.8467
天津市,120000,2004,132073.378
重庆市,500000,2004,39701.81703
广西壮族自治区,450000,2004,60932.9597
内蒙古自治区,150000,2004,158137.958
宁夏回族自治区,640000,2004,35989.99578
西藏自治区,540000,2004,8351.676979
新疆维吾尔自治区,650000,2004,172873.131
澳门特别行政区,820000,2004,891.0238487
香港特别行政区,810000,2004,37389.1015
安徽省,340000,2005,74736.7529
福建省,350000,2005,102874.1662
甘肃省,620000,2005,67210.68589
广东省,440000,2005,669611.6886
贵州省,520000,2005,24877.40385
海南省,460000,2005,20361.4017
河北省,130000,2005,245619.9012
河南省,410000,2005,189218.7777
黑龙江省,230000,2005,225131.4556
湖北省,420000,2005,93286.63599
湖南省,430000,2005,63740.8411
吉林省,220000,2005,126228.1893
江苏省,320000,2005,359942.9967
江西省,360000,2005,39364.16197
辽宁省,210000,2005,242087.4852
青海省,630000,2005,17380.8591
山东省,370000,2005,468415.7826
山西省,140000,2005,211839.1523
陕西省,610000,2005,128500.9825
四川省,510000,2005,72872.93
台湾省,710000,2005,297027.0961
云南省,530000,2005,93955.48962
浙江省,330000,2005,212053.2646
北京市,110000,2005,336198.6127
上海市,310000,2005,255958.676
天津市,120000,2005,166036.8669
重庆市,500000,2005,44035.04321
广西壮族自治区,450000,2005,40080.56514
内蒙古自治区,150000,2005,152311.5279
宁夏回族自治区,640000,2005,42165.23978
西藏自治区,540000,2005,7342.425439
新疆维吾尔自治区,650000,2005,174359.9001
澳门特别行政区,820000,2005,1696.837403
香港特别行政区,810000,2005,37684.62086
安徽省,340000,2006,91524.45775
福建省,350000,2006,107176.9343
甘肃省,620000,2006,76588.80065
广东省,440000,2006,792536.3609
贵州省,520000,2006,25843.34862
海南省,460000,2006,21726.11256
河北省,130000,2006,287866.0905
河南省,410000,2006,267771.922
黑龙江省,230000,2006,228471.3652
湖北省,420000,2006,80940.19094
湖南省,430000,2006,59849.66626
吉林省,220000,2006,137836.6776
江苏省,320000,2006,493404.7658
江西省,360000,2006,33490.9545
辽宁省,210000,2006,310387.1437
青海省,630000,2006,21960.6993
山东省,370000,2006,619052.0046
山西省,140000,2006,225880.9465
陕西省,610000,2006,146087.8506
四川省,510000,2006,105160.6425
台湾省,710000,2006,408140.4097
云南省,530000,2006,109693.3585
浙江省,330000,2006,227552.8918
北京市,110000,2006,366744.6662
上海市,310000,2006,316808.9324
天津市,120000,2006,221107.0206
重庆市,500000,2006,53585.85967
广西壮族自治区,450000,2006,55014.23907
内蒙古自治区,150000,2006,203522.1638
宁夏回族自治区,640000,2006,53412.39141
西藏自治区,540000,2006,6960.577055
新疆维吾尔自治区,650000,2006,192381.3142
澳门特别行政区,820000,2006,1945.724644
香港特别行政区,810000,2006,41990.38569
安徽省,340000,2007,130339.576
福建省,350000,2007,140053.3032
甘肃省,620000,2007,66166.46931
广东省,440000,2007,794198.0303
贵州省,520000,2007,26107.52461
海南省,460000,2007,17968.40416
河北省,130000,2007,298257.261
河南省,410000,2007,218133.5852
黑龙江省,230000,2007,239953.9578
湖北省,420000,2007,111871.1807
湖南省,430000,2007,69188.55267
吉林省,220000,2007,156330.7556
江苏省,320000,2007,639063.4308
江西省,360000,2007,59782.35313
辽宁省,210000,2007,335620.2885
青海省,630000,2007,20959.79546
山东省,370000,2007,587571.869
山西省,140000,2007,169436.5153
陕西省,610000,2007,126542.1443
四川省,510000,2007,86885.19409
台湾省,710000,2007,416594.6494
云南省,530000,2007,111204.6838
浙江省,330000,2007,338951.3844
北京市,110000,2007,341554.2938
上海市,310000,2007,312693.6356
天津市,120000,2007,223787.5514
重庆市,500000,2007,40568.75531
广西壮族自治区,450000,2007,63624.309
内蒙古自治区,150000,2007,230280.9616
宁夏回族自治区,640000,2007,44545.49806
西藏自治区,540000,2007,10958.05755
新疆维吾尔自治区,650000,2007,208392.4574
澳门特别行政区,820000,2007,1800.475111
香港特别行政区,810000,2007,37113.96905
安徽省,340000,2008,126455.8958
福建省,350000,2008,163819.6611
甘肃省,620000,2008,75148.71319
广东省,440000,2008,833534.751
贵州省,520000,2008,23153.26069
海南省,460000,2008,20143.58305
河北省,130000,2008,276050.4617
河南省,410000,2008,263489.4558
黑龙江省,230000,2008,252633.6614
湖北省,420000,2008,91027.91986
湖南省,430000,2008,59632.1654
吉林省,220000,2008,152670.8597
江苏省,320000,2008,625495.0924
江西省,360000,2008,57499.6984
辽宁省,210000,2008,340022.5956
青海省,630000,2008,24198.96969
山东省,370000,2008,489754.6902
山西省,140000,2008,183822.6583
陕西省,610000,2008,154756.7185
四川省,510000,2008,78613.21872
台湾省,710000,2008,380608.9107
云南省,530000,2008,105931.7259
浙江省,330000,2008,336723.9465
北京市,110000,2008,333707.9937
上海市,310000,2008,282436.7835
天津市,120000,2008,212683.8512
重庆市,500000,2008,37641.67479
广西壮族自治区,450000,2008,76812.22166
内蒙古自治区,150000,2008,225237.9069
宁夏回族自治区,640000,2008,44584.22499
西藏自治区,540000,2008,8830.537609
新疆维吾尔自治区,650000,2008,198347.905
澳门特别行政区,820000,2008,2159.235759
香港特别行政区,810000,2008,41825.18841
安徽省,340000,2009,66465.10331
福建省,350000,2009,117853.0558
甘肃省,620000,2009,81784.8224
广东省,440000,2009,752766.7912
贵州省,520000,2009,24659.58384
