Sgnyea,Prvcnm_id,Prvcnm,Ifa0101,Ifa0102,Ifa0104
1992,142,中国,8080.1,6079.7,2000.4
1992,540000,西藏自治区,13.33,,
1992,630000,青海省,30.27,,
1992,640000,宁夏回族自治区,38.09,,
1992,520000,贵州省,78.82,,
1992,110000,北京市,82.5,,
1992,620000,甘肃省,85.13,,
1992,460000,海南省,87.05,,
1992,360000,江西省,125.36,,
1992,530000,云南省,140.69,,
1992,450000,广西壮族自治区,141.04,,
1992,610000,陕西省,142.47,,
1992,150000,内蒙古自治区,149.24,,
1992,220000,吉林省,151.08,,
1992,120000,天津市,169.88,,
1992,650000,新疆维吾尔自治区,170.03,,
1992,140000,山西省,172.79,,
1992,340000,安徽省,214.84,,
1992,350000,福建省,227.55,,
1992,430000,湖南省,233.39,,
1992,420000,湖北省,240.73,,
1992,510000,四川省,304.78,,
1992,410000,河南省,318.83,,
1992,130000,河北省,335.79,,
1992,310000,上海市,357.38,,
1992,330000,浙江省,361.18,,
1992,210000,辽宁省,436.8,,
1992,370000,山东省,601.5,,
1992,320000,江苏省,711.7,,
1992,440000,广东省,921.75,,
1993,142,中国,13072.3,10303.4,2768.9
1993,540000,西藏自治区,18.15,,
1993,630000,青海省,44.73,,
1993,640000,宁夏回族自治区,52.67,,
1993,520000,贵州省,106.3,,
1993,110000,北京市,121.8,,
1993,620000,甘肃省,122.08,,
1993,360000,江西省,185.5,,
1993,460000,海南省,188.25,,
1993,150000,内蒙古自治区,217.4,,
1993,120000,天津市,226.56,,
1993,610000,陕西省,228.21,,
1993,650000,新疆维吾尔自治区,248.44,,
1993,140000,山西省,251.26,,
1993,530000,云南省,251.4,,
1993,220000,吉林省,253.59,,
1993,450000,广西壮族自治区,278.07,,
1993,430000,湖南省,320.24,,
1993,340000,安徽省,321.04,,
1993,350000,福建省,368.45,,
1993,420000,湖北省,383.18,,
1993,410000,河南省,450.43,,
1993,510000,四川省,459.4,,
1993,130000,河北省,540.2,,
1993,310000,上海市,653.91,,
1993,330000,浙江省,683.83,,
1993,210000,辽宁省,718.3,,
1993,370000,山东省,892.48,,
1993,320000,江苏省,1144.2,,
1993,440000,广东省,1629.87,,
1994,142,中国,17042.1,13534.3,3507.8
1994,540000,西藏自治区,21.17,,
1994,630000,青海省,45.2,,
1994,640000,宁夏回族自治区,60.98,,
1994,520000,贵州省,140.95,,
1994,620000,甘肃省,159.05,,
1994,110000,北京市,202.2,,
1994,460000,海南省,220.25,,
1994,360000,江西省,237.45,,
1994,150000,内蒙古自治区,250.99,,
1994,610000,陕西省,283.29,,
