SgnYear,AreaCode,AreaName,Schools,NormalCoursesGraduates,ShortcycleCoursesGraduates
1992,156,中国,1053,,
1992,110000,北京市,67,,
1992,120000,天津市,22,,
1992,130000,河北省,47,,
1992,140000,山西省,25,,
1992,150000,内蒙古自治区,19,,
1992,210000,辽宁省,61,,
1992,220000,吉林省,42,,
1992,230000,黑龙江省,42,,
1992,310000,上海市,50,,
1992,320000,江苏省,67,,
1992,330000,浙江省,35,,
1992,340000,安徽省,36,,
1992,350000,福建省,33,,
1992,360000,江西省,28,,
1992,370000,山东省,51,,
1992,410000,河南省,47,,
1992,420000,湖北省,57,,
1992,430000,湖南省,45,,
1992,440000,广东省,43,,
1992,450000,广西壮族自治区,24,,
1992,460000,海南省,4,,
1992,510000,四川省,60,,
1992,520000,贵州省,23,,
1992,530000,云南省,26,,
1992,540000,西藏自治区,3,,
1992,610000,陕西省,45,,
1992,620000,甘肃省,17,,
1992,630000,青海省,7,,
1992,640000,宁夏回族自治区,6,,
1992,650000,新疆维吾尔自治区,21,,
1993,156,中国,1065,,
1993,110000,北京市,68,,
1993,120000,天津市,22,,
1993,130000,河北省,51,,
1993,140000,山西省,26,,
1993,150000,内蒙古自治区,19,,
1993,210000,辽宁省,61,,
1993,220000,吉林省,42,,
1993,230000,黑龙江省,42,,
1993,310000,上海市,50,,
1993,320000,江苏省,67,,
1993,330000,浙江省,36,,
1993,340000,安徽省,35,,
1993,350000,福建省,33,,
1993,360000,江西省,30,,
1993,370000,山东省,51,,
1993,410000,河南省,48,,
1993,420000,湖北省,57,,
1993,430000,湖南省,45,,
1993,440000,广东省,43,,
1993,450000,广西壮族自治区,24,,
1993,460000,海南省,5,,
1993,510000,四川省,61,,
1993,520000,贵州省,23,,
1993,530000,云南省,26,,
1993,540000,西藏自治区,4,,
1993,610000,陕西省,45,,
1993,620000,甘肃省,17,,
1993,630000,青海省,7,,
1993,640000,宁夏回族自治区,6,,
1993,650000,新疆维吾尔自治区,21,,
1994,156,中国,1080,,
1994,110000,北京市,67,,
1994,120000,天津市,22,,
1994,130000,河北省,52,,
1994,140000,山西省,26,,
1994,150000,内蒙古自治区,19,,
1994,210000,辽宁省,61,,
1994,220000,吉林省,43,,
1994,230000,黑龙江省,43,,
1994,310000,上海市,46,,
1994,320000,江苏省,67,,
1994,330000,浙江省,37,,
1994,340000,安徽省,35,,
1994,350000,福建省,33,,
1994,360000,江西省,31,,
1994,370000,山东省,49,,
1994,410000,河南省,50,,
1994,420000,湖北省,60,,
1994,430000,湖南省,47,,
1994,440000,广东省,46,,
1994,450000,广西壮族自治区,27,,
1994,460000,海南省,5,,
1994,510000,四川省,63,,
1994,520000,贵州省,22,,
1994,530000,云南省,26,,
1994,540000,西藏自治区,4,,
1994,610000,陕西省,47,,
1994,620000,甘肃省,17,,
1994,630000,青海省,7,,
1994,640000,宁夏回族自治区,7,,
1994,650000,新疆维吾尔自治区,21,,
1995,156,中国,1054,,
1995,110000,北京市,65,,
1995,120000,天津市,21,,
1995,130000,河北省,47,,
1995,140000,山西省,26,,
1995,150000,内蒙古自治区,19,,
1995,210000,辽宁省,61,,
1995,220000,吉林省,43,,
1995,230000,黑龙江省,38,,
1995,310000,上海市,45,,
1995,320000,江苏省,67,,
1995,330000,浙江省,37,,
1995,340000,安徽省,35,,
1995,350000,福建省,30,,
1995,360000,江西省,31,,
1995,370000,山东省,48,,
1995,410000,河南省,50,,
1995,420000,湖北省,56,,
1995,430000,湖南省,47,,
1995,440000,广东省,42,,
1995,450000,广西壮族自治区,27,,
1995,460000,海南省,5,,
1995,510000,四川省,64,,
1995,520000,贵州省,22,,
1995,530000,云南省,26,,
1995,540000,西藏自治区,4,,
1995,610000,陕西省,46,,
1995,620000,甘肃省,17,,
1995,630000,青海省,7,,
1995,640000,宁夏回族自治区,7,,
1995,650000,新疆维吾尔自治区,21,,
1996,156,中国,1032,,
1996,110000,北京市,65,,
1996,120000,天津市,20,,
1996,130000,河北省,45,,
1996,140000,山西省,25,,
1996,150000,内蒙古自治区,19,,
1996,210000,辽宁省,61,,
1996,220000,吉林省,40,,
1996,230000,黑龙江省,38,,
1996,310000,上海市,41,,
1996,320000,江苏省,66,,
1996,330000,浙江省,36,,
1996,340000,安徽省,35,,
1996,350000,福建省,30,,
1996,360000,江西省,31,,
1996,370000,山东省,48,,
1996,410000,河南省,50,,
1996,420000,湖北省,55,,
1996,430000,湖南省,46,,
1996,440000,广东省,41,,
1996,450000,广西壮族自治区,27,,
1996,460000,海南省,5,,
1996,510000,四川省,64,,
1996,520000,贵州省,22,,
1996,530000,云南省,26,,
1996,540000,西藏自治区,4,,
1996,610000,陕西省,43,,
1996,620000,甘肃省,17,,
1996,630000,青海省,7,,
1996,640000,宁夏回族自治区,7,,
1996,650000,新疆维吾尔自治区,18,,
1997,156,中国,1020,,
1997,110000,北京市,65,,
1997,120000,天津市,20,,
1997,130000,河北省,46,,
1997,140000,山西省,24,,
1997,150000,内蒙古自治区,18,,
1997,210000,辽宁省,62,,
1997,220000,吉林省,40,,
1997,230000,黑龙江省,37,,
1997,310000,上海市,39,,
1997,320000,江苏省,65,,
1997,330000,浙江省,35,,
1997,340000,安徽省,34,,
1997,350000,福建省,30,,
1997,360000,江西省,31,,
1997,370000,山东省,48,,
1997,410000,河南省,50,,
1997,420000,湖北省,54,,
1997,430000,湖南省,46,,
1997,440000,广东省,42,,
1997,450000,广西壮族自治区,26,,
1997,460000,海南省,5,,
1997,500000,重庆市,21,,
1997,510000,四川省,43,,
1997,520000,贵州省,20,,
1997,530000,云南省,26,,
1997,540000,西藏自治区,4,,
1997,610000,陕西省,43,,
1997,620000,甘肃省,17,,
1997,630000,青海省,6,,
1997,640000,宁夏回族自治区,5,,
1997,650000,新疆维吾尔自治区,18,,
1998,156,中国,1022,404666,425200
1998,110000,北京市,63,,
1998,120000,天津市,20,,
1998,130000,河北省,46,,
1998,140000,山西省,23,,
1998,150000,内蒙古自治区,19,,
1998,210000,辽宁省,61,,
1998,220000,吉林省,41,,
1998,230000,黑龙江省,38,,
1998,310000,上海市,40,,
1998,320000,江苏省,66,,
1998,330000,浙江省,32,,
1998,340000,安徽省,34,,
1998,350000,福建省,29,,
1998,360000,江西省,31,,
1998,370000,山东省,49,,
1998,410000,河南省,51,,
1998,420000,湖北省,54,,
1998,430000,湖南省,47,,
1998,440000,广东省,43,,
1998,450000,广西壮族自治区,28,,
1998,460000,海南省,5,,
1998,500000,重庆市,22,,
1998,510000,四川省,43,,
1998,520000,贵州省,20,,
1998,530000,云南省,26,,
1998,540000,西藏自治区,4,,
1998,610000,陕西省,42,,
1998,620000,甘肃省,17,,
1998,630000,青海省,6,,
1998,640000,宁夏回族自治区,5,,
1998,650000,新疆维吾尔自治区,17,,
1999,156,中国,1071,440935,406700
1999,110000,北京市,64,,
1999,120000,天津市,21,,
1999,130000,河北省,48,,
1999,140000,山西省,23,,
1999,150000,内蒙古自治区,19,,
1999,210000,辽宁省,64,,
1999,220000,吉林省,40,,
1999,230000,黑龙江省,39,,
1999,310000,上海市,41,,
1999,320000,江苏省,72,,
1999,330000,浙江省,36,,
1999,340000,安徽省,37,,
1999,350000,福建省,30,,
1999,360000,江西省,34,,
1999,370000,山东省,52,,
1999,410000,河南省,56,,
1999,420000,湖北省,57,,
1999,430000,湖南省,51,,
1999,440000,广东省,50,,
1999,450000,广西壮族自治区,29,,
1999,460000,海南省,5,,
1999,500000,重庆市,23,,
1999,510000,四川省,43,,
1999,520000,贵州省,20,,
1999,530000,云南省,24,,
1999,540000,西藏自治区,4,,
1999,610000,陕西省,43,,
1999,620000,甘肃省,18,,
1999,630000,青海省,6,,
1999,640000,宁夏回族自治区,5,,
1999,650000,新疆维吾尔自治区,17,,
2000,156,中国,1041,495624,454100
2000,110000,北京市,58,,
2000,120000,天津市,21,,
2000,130000,河北省,51,,
2000,140000,山西省,24,,
2000,150000,内蒙古自治区,18,,
2000,210000,辽宁省,64,,
2000,220000,吉林省,34,,
2000,230000,黑龙江省,35,,
2000,310000,上海市,37,,
2000,320000,江苏省,69,,
2000,330000,浙江省,35,,
2000,340000,安徽省,42,,
2000,350000,福建省,28,,
2000,360000,江西省,32,,
2000,370000,山东省,47,,
2000,410000,河南省,52,,
2000,420000,湖北省,54,,
2000,430000,湖南省,52,,
2000,440000,广东省,52,,
2000,450000,广西壮族自治区,30,,
2000,460000,海南省,5,,
2000,500000,重庆市,22,,
2000,510000,四川省,42,,
2000,520000,贵州省,23,,
2000,530000,云南省,24,,
2000,540000,西藏自治区,4,,
2000,610000,陕西省,39,,
2000,620000,甘肃省,18,,
2000,630000,青海省,7,,
2000,640000,宁夏回族自治区,6,,
2000,650000,新疆维吾尔自治区,16,,
2001,156,中国,1225,567839,468500
2001,110000,北京市,61,,
2001,120000,天津市,33,,
2001,130000,河北省,63,,
2001,140000,山西省,33,,
2001,150000,内蒙古自治区,20,,
2001,210000,辽宁省,66,,
2001,220000,吉林省,35,,
2001,230000,黑龙江省,41,,
2001,310000,上海市,45,,
2001,320000,江苏省,73,,
2001,330000,浙江省,39,,
2001,340000,安徽省,52,,
2001,350000,福建省,32,,
2001,360000,江西省,33,,
2001,370000,山东省,65,,
2001,410000,河南省,64,,
2001,420000,湖北省,60,,
2001,430000,湖南省,61,,
2001,440000,广东省,62,,
2001,450000,广西壮族自治区,30,,
2001,460000,海南省,9,,
2001,500000,重庆市,29,,
2001,510000,四川省,49,,
2001,520000,贵州省,30,,
2001,530000,云南省,28,,
2001,540000,西藏自治区,3,,
2001,610000,陕西省,47,,
2001,620000,甘肃省,25,,
2001,630000,青海省,8,,
2001,640000,宁夏回族自治区,8,,
2001,650000,新疆维吾尔自治区,21,,
2002,156,中国,1396,655763,681500
2002,110000,北京市,62,,
2002,120000,天津市,37,,
2002,130000,河北省,75,,
2002,140000,山西省,39,,
2002,150000,内蒙古自治区,21,,
2002,210000,辽宁省,67,,
2002,220000,吉林省,40,,
2002,230000,黑龙江省,47,,
2002,310000,上海市,50,,
2002,320000,江苏省,93,,
2002,330000,浙江省,61,,
2002,340000,安徽省,61,,
2002,350000,福建省,33,,
2002,360000,江西省,47,,
2002,370000,山东省,75,,
2002,410000,河南省,65,,
2002,420000,湖北省,73,,
2002,430000,湖南省,60,,
2002,440000,广东省,71,,
2002,450000,广西壮族自治区,36,,
2002,460000,海南省,9,,
2002,500000,重庆市,29,,
2002,510000,四川省,57,,
2002,520000,贵州省,32,,
2002,530000,云南省,31,,
2002,540000,西藏自治区,3,,
2002,610000,陕西省,52,,
2002,620000,甘肃省,25,,
2002,630000,青海省,11,,
2002,640000,宁夏回族自治区,12,,
2002,650000,新疆维吾尔自治区,22,,
2003,156,中国,1552,929598,947900
2003,110000,北京市,73,,
2003,120000,天津市,37,,
2003,130000,河北省,83,,
2003,140000,山西省,45,,
2003,150000,内蒙古自治区,27,,
2003,210000,辽宁省,70,,
2003,220000,吉林省,40,,
2003,230000,黑龙江省,54,,
2003,310000,上海市,56,,
2003,320000,江苏省,94,,
2003,330000,浙江省,64,,
2003,340000,安徽省,73,,
2003,350000,福建省,39,,
2003,360000,江西省,54,,
2003,370000,山东省,85,,
2003,410000,河南省,71,,
2003,420000,湖北省,75,,
2003,430000,湖南省,73,,
2003,440000,广东省,77,,
2003,450000,广西壮族自治区,45,,
2003,460000,海南省,11,,
2003,500000,重庆市,34,,
2003,510000,四川省,62,,
2003,520000,贵州省,34,,
2003,530000,云南省,34,,
2003,540000,西藏自治区,4,,
2003,610000,陕西省,57,,
2003,620000,甘肃省,31,,
2003,630000,青海省,12,,
2003,640000,宁夏回族自治区,12,,
2003,650000,新疆维吾尔自治区,26,,
2004,156,中国,1731,1196290,1194862
2004,110000,北京市,77,,
2004,120000,天津市,40,,
2004,130000,河北省,87,,
2004,140000,山西省,56,,
2004,150000,内蒙古自治区,31,,
2004,210000,辽宁省,71,,
2004,220000,吉林省,42,,
2004,230000,黑龙江省,59,,
2004,310000,上海市,58,,
2004,320000,江苏省,112,,
2004,330000,浙江省,67,,
2004,340000,安徽省,81,,
2004,350000,福建省,53,,
2004,360000,江西省,66,,
2004,370000,山东省,97,,
2004,410000,河南省,82,,
2004,420000,湖北省,85,,
2004,430000,湖南省,81,,
2004,440000,广东省,94,,
2004,450000,广西壮族自治区,49,,
2004,460000,海南省,14,,
2004,500000,重庆市,35,,
2004,510000,四川省,68,,
2004,520000,贵州省,34,,
2004,530000,云南省,43,,
2004,540000,西藏自治区,4,,
2004,610000,陕西省,62,,
2004,620000,甘肃省,31,,
2004,630000,青海省,11,,
2004,640000,宁夏回族自治区,13,,
2004,650000,新疆维吾尔自治区,28,,
2005,156,中国,1792,1465786,1602170
2005,110000,北京市,77,87067,32949
2005,120000,天津市,42,33759,35452
2005,130000,河北省,86,65451,114926
2005,140000,山西省,59,36769,51575
2005,150000,内蒙古自治区,33,17033,22441
2005,210000,辽宁省,76,79745,65239
2005,220000,吉林省,44,52913,31069
2005,230000,黑龙江省,62,58337,42454
2005,310000,上海市,58,51963,51472
2005,320000,江苏省,114,119375,110304
2005,330000,浙江省,68,54584,78467
2005,340000,安徽省,81,48178,68780
2005,350000,福建省,53,27130,37662
2005,360000,江西省,67,42361,55420
2005,370000,山东省,99,101436,123175
2005,410000,河南省,83,61827,103332
2005,420000,湖北省,85,100268,87652
2005,430000,湖南省,93,59752,91229
2005,440000,广东省,102,61059,96023
2005,450000,广西壮族自治区,51,21906,42965
2005,460000,海南省,15,4725,7063
2005,500000,重庆市,35,32991,26390
2005,510000,四川省,68,79221,60107
2005,520000,贵州省,34,20068,18613
2005,530000,云南省,44,24022,23709
2005,540000,西藏自治区,4,1296,1876
2005,610000,陕西省,72,67423,73169
2005,620000,甘肃省,33,23861,26025
2005,630000,青海省,11,4221,4006
2005,640000,宁夏回族自治区,13,5858,2959
2005,650000,新疆维吾尔自治区,30,21187,15667
2006,156,中国,1867,1726674,2048034
2006,110000,北京市,80,94003,41487
2006,120000,天津市,45,39279,42704
2006,130000,河北省,88,80631,140418
2006,140000,山西省,56,39342,69089
2006,150000,内蒙古自治区,37,23557,32096
