city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1992,50162.840700274865,黑龙江省,230000
台湾省,710000,1992,1.5540599937175383,台湾省,710000
安庆市,340800,1992,125695.53182967631,安徽省,340000
蚌埠市,340300,1992,290901.3082067582,安徽省,340000
亳州市,341600,1992,147023.80679983884,安徽省,340000
池州市,341700,1992,85077.59026438932,安徽省,340000
滁州市,341100,1992,180515.72436977975,安徽省,340000
阜阳市,341200,1992,206808.69218925867,安徽省,340000
合肥市,340100,1992,439622.35281016596,安徽省,340000
淮北市,340600,1992,518337.84356925945,安徽省,340000
淮南市,340400,1992,388023.3683714594,安徽省,340000
黄山市,341000,1992,93044.85362760865,安徽省,340000
六安市,341500,1992,108051.34422515925,安徽省,340000
马鞍山市,340500,1992,561416.6158016095,安徽省,340000
宿州市,341300,1992,185623.4548346237,安徽省,340000
铜陵市,340700,1992,321616.39409392636,安徽省,340000
芜湖市,340200,1992,412268.0538961614,安徽省,340000
宣城市,341800,1992,109085.69842254181,安徽省,340000
福州市,350100,1992,461933.4718676409,福建省,350000
龙岩市,350800,1992,104464.55597020473,福建省,350000
南平市,350700,1992,73930.12362848369,福建省,350000
宁德市,350900,1992,98161.47291260933,福建省,350000
莆田市,350300,1992,533561.8041687065,福建省,350000
泉州市,350500,1992,700790.8018691079,福建省,350000
三明市,350400,1992,92470.92266214476,福建省,350000
厦门市,350200,1992,2093370.1617791106,福建省,350000
漳州市,350600,1992,301785.7831318698,福建省,350000
白银市,620400,1992,89017.22886792898,甘肃省,620000
定西市,621100,1992,67569.24891314849,甘肃省,620000
嘉峪关市,620200,1992,474405.13941399945,甘肃省,620000
金昌市,620300,1992,113434.39372408939,甘肃省,620000
酒泉市,620900,1992,44150.65530350664,甘肃省,620000
兰州市,620100,1992,317342.41478416213,甘肃省,620000
陇南市,621200,1992,50957.058042723176,甘肃省,620000
平凉市,620800,1992,87545.4280838529,甘肃省,620000
庆阳市,621000,1992,70222.89010543168,甘肃省,620000
天水市,620500,1992,97326.54507373899,甘肃省,620000
武威市,620600,1992,52974.905460234346,甘肃省,620000
张掖市,620700,1992,50710.42955914474,甘肃省,620000
潮州市,445100,1992,701314.7919941485,广东省,440000
东莞市,441900,1992,5093573.424624023,广东省,440000
佛山市,440600,1992,3547734.097021127,广东省,440000
广州市,440100,1992,2450128.8812160622,广东省,440000
河源市,441600,1992,107324.02979465447,广东省,440000
惠州市,441300,1992,677389.626763868,广东省,440000
江门市,440700,1992,629410.6904290216,广东省,440000
揭阳市,445200,1992,572378.6479305957,广东省,440000
茂名市,440900,1992,196063.8961049189,广东省,440000
梅州市,441400,1992,123592.69810827622,广东省,440000
清远市,441800,1992,164955.15820060356,广东省,440000
汕头市,440500,1992,1961586.7126389714,广东省,440000
汕尾市,441500,1992,293190.4627616108,广东省,440000
韶关市,440200,1992,125674.47776924308,广东省,440000
深圳市,440300,1992,6161175.848359136,广东省,440000
阳江市,441700,1992,218515.8854677395,广东省,440000
云浮市,445300,1992,158576.10763007178,广东省,440000
湛江市,440800,1992,285974.58031181846,广东省,440000
肇庆市,441200,1992,215536.6759608631,广东省,440000
中山市,442000,1992,3738642.6662567207,广东省,440000
珠海市,440400,1992,2430040.2795149493,广东省,440000
安顺市,520400,1992,95580.19872426325,贵州省,520000
毕节市,520500,1992,54789.66450548459,贵州省,520000
贵阳市,520100,1992,349048.2078501903,贵州省,520000
六盘水市,520200,1992,137785.17405287104,贵州省,520000
铜仁市,520600,1992,58009.42176283409,贵州省,520000
遵义市,520300,1992,67096.33036120325,贵州省,520000
儋州市,460400,1992,157211.6555891985,海南省,460000
海口市,460100,1992,783411.0916250406,海南省,460000
三沙市,460300,1992,0,海南省,460000
三亚市,460200,1992,514711.8427217579,海南省,460000
保定市,130600,1992,318691.8735007984,河北省,130000
沧州市,130900,1992,444104.99050474603,河北省,130000
承德市,130800,1992,77873.96567922884,河北省,130000
邯郸市,130400,1992,775657.9155653823,河北省,130000
衡水市,131100,1992,335082.2849644327,河北省,130000
廊坊市,131000,1992,875438.225201817,河北省,130000
秦皇岛市,130300,1992,456520.78190978925,河北省,130000
石家庄市,130100,1992,546271.1031751271,河北省,130000
唐山市,130200,1992,897234.8139679823,河北省,130000
邢台市,130500,1992,406736.14971603715,河北省,130000
张家口市,130700,1992,126862.04357385631,河北省,130000
安阳市,410500,1992,589891.7916727312,河南省,410000
鹤壁市,410600,1992,537811.5820610592,河南省,410000
焦作市,410800,1992,670684.2654328861,河南省,410000
开封市,410200,1992,428530.1889257834,河南省,410000
洛阳市,410300,1992,290903.4058687294,河南省,410000
漯河市,411100,1992,491399.5275363914,河南省,410000
南阳市,411300,1992,151652.7075883054,河南省,410000
平顶山市,410400,1992,437950.79230590205,河南省,410000
濮阳市,410900,1992,687464.438233308,河南省,410000
三门峡市,411200,1992,169630.54873727052,河南省,410000
商丘市,411400,1992,240548.54388085296,河南省,410000
新乡市,410700,1992,595186.5778823083,河南省,410000
信阳市,411500,1992,113217.64450655621,河南省,410000
许昌市,411000,1992,469422.40464033093,河南省,410000
郑州市,410100,1992,1114376.0977418106,河南省,410000
周口市,411600,1992,193193.17265151645,河南省,410000
驻马店市,411700,1992,140909.74545393084,河南省,410000
大庆市,230600,1992,411139.302674878,黑龙江省,230000
哈尔滨市,230100,1992,218019.37399028774,黑龙江省,230000
鹤岗市,230400,1992,137973.38960867937,黑龙江省,230000
黑河市,231100,1992,61364.87327922979,黑龙江省,230000
鸡西市,230300,1992,113699.26069032012,黑龙江省,230000
佳木斯市,230800,1992,117741.83627508678,黑龙江省,230000
牡丹江市,231000,1992,100328.5009440094,黑龙江省,230000
七台河市,230900,1992,255511.6904816815,黑龙江省,230000
齐齐哈尔市,230200,1992,121656.60145335954,黑龙江省,230000
双鸭山市,230500,1992,114865.81089236382,黑龙江省,230000
绥化市,231200,1992,121581.66377937653,黑龙江省,230000
伊春市,230700,1992,79085.4640619795,黑龙江省,230000
鄂州市,420700,1992,526234.9141391355,湖北省,420000
黄冈市,421100,1992,119696.85682162232,湖北省,420000
黄石市,420200,1992,265618.3934106675,湖北省,420000
荆门市,420800,1992,99782.03019431936,湖北省,420000
荆州市,421000,1992,136273.11938225073,湖北省,420000
十堰市,420300,1992,83733.0131223161,湖北省,420000
随州市,421300,1992,84051.1344164714,湖北省,420000
武汉市,420100,1992,1026063.3128814808,湖北省,420000
咸宁市,421200,1992,108001.91150015825,湖北省,420000
襄阳市,420600,1992,139527.53210558824,湖北省,420000
孝感市,420900,1992,171038.5527273675,湖北省,420000
宜昌市,420500,1992,110196.51444029572,湖北省,420000
常德市,430700,1992,91162.2056334795,湖南省,430000
郴州市,431000,1992,83290.52483431458,湖南省,430000
衡阳市,430400,1992,111248.65939051444,湖南省,430000
怀化市,431200,1992,60710.754799589056,湖南省,430000
娄底市,431300,1992,117309.36204550472,湖南省,430000
邵阳市,430500,1992,66502.25371214755,湖南省,430000
湘潭市,430300,1992,265529.39775905455,湖南省,430000
益阳市,430900,1992,71770.92177474225,湖南省,430000
永州市,431100,1992,65550.02668027715,湖南省,430000
岳阳市,430600,1992,135971.56562337154,湖南省,430000
张家界市,430800,1992,61927.910344179996,湖南省,430000
长沙市,430100,1992,360703.7695092392,湖南省,430000
株洲市,430200,1992,155336.30539351437,湖南省,430000
白城市,220800,1992,76911.44667389042,吉林省,220000
白山市,220600,1992,100915.4193273731,吉林省,220000
吉林市,220200,1992,190853.63808325617,吉林省,220000
辽源市,220400,1992,277468.81655092636,吉林省,220000
四平市,220300,1992,212115.69513611196,吉林省,220000
松原市,220700,1992,125319.6602340074,吉林省,220000
通化市,220500,1992,137359.06897534584,吉林省,220000
长春市,220100,1992,425044.6754378887,吉林省,220000
常州市,320400,1992,1381511.5242669415,江苏省,320000
淮安市,320800,1992,351334.82823783875,江苏省,320000
连云港市,320700,1992,485048.9249392932,江苏省,320000
南京市,320100,1992,1577949.4095790393,江苏省,320000
南通市,320600,1992,793330.2572835673,江苏省,320000
苏州市,320500,1992,2089523.742092994,江苏省,320000
宿迁市,321300,1992,287104.290895358,江苏省,320000
泰州市,321200,1992,892071.9734885665,江苏省,320000
无锡市,320200,1992,2173185.9895170853,江苏省,320000
徐州市,320300,1992,589603.2282714117,江苏省,320000
盐城市,320900,1992,331491.3649473447,江苏省,320000
扬州市,321000,1992,847023.0410296818,江苏省,320000
镇江市,321100,1992,1141760.3977129483,江苏省,320000
抚州市,361000,1992,69684.64438708549,江西省,360000
赣州市,360700,1992,77071.05363468618,江西省,360000
吉安市,360800,1992,66259.15223237274,江西省,360000
景德镇市,360200,1992,148598.29924346664,江西省,360000
九江市,360400,1992,109383.2682859354,江西省,360000
南昌市,360100,1992,434196.86545080895,江西省,360000
萍乡市,360300,1992,137826.7853692434,江西省,360000
上饶市,361100,1992,85012.99050527047,江西省,360000
新余市,360500,1992,208912.55446082418,江西省,360000
宜春市,360900,1992,91539.66854545122,江西省,360000
鹰潭市,360600,1992,154219.40748519645,江西省,360000
鞍山市,210300,1992,443239.72189306334,辽宁省,210000
本溪市,210500,1992,240078.36999975858,辽宁省,210000
朝阳市,211300,1992,133476.37459102293,辽宁省,210000
大连市,210200,1992,567395.4568153792,辽宁省,210000
丹东市,210600,1992,133598.66186432316,辽宁省,210000
抚顺市,210400,1992,275562.4046950991,辽宁省,210000
阜新市,210900,1992,164618.502525918,辽宁省,210000
葫芦岛市,211400,1992,237887.06977253014,辽宁省,210000
锦州市,210700,1992,312644.557852323,辽宁省,210000
辽阳市,211000,1992,659619.97029273,辽宁省,210000
盘锦市,211100,1992,903321.0741203275,辽宁省,210000
沈阳市,210100,1992,842842.8649888375,辽宁省,210000
铁岭市,211200,1992,212150.69443451482,辽宁省,210000
营口市,210800,1992,547369.3329416409,辽宁省,210000
海东市,630200,1992,78446.52678457019,青海省,630000
西宁市,630100,1992,237493.64726574798,青海省,630000
滨州市,371600,1992,576148.0783807794,山东省,370000
德州市,371400,1992,426738.59241556324,山东省,370000
东营市,370500,1992,891770.8213192421,山东省,370000
菏泽市,371700,1992,357781.2313915502,山东省,370000
济南市,370100,1992,925679.5235221907,山东省,370000
济宁市,370800,1992,573033.3201007633,山东省,370000
聊城市,371500,1992,391020.5799572611,山东省,370000
临沂市,371300,1992,421846.9581406669,山东省,370000
青岛市,370200,1992,923110.9782953118,山东省,370000
日照市,371100,1992,482663.289727657,山东省,370000
泰安市,370900,1992,477301.20247811545,山东省,370000
威海市,371000,1992,699048.0815090977,山东省,370000
潍坊市,370700,1992,645264.8706173538,山东省,370000
烟台市,370600,1992,609825.9115796034,山东省,370000
枣庄市,370400,1992,658994.133820266,山东省,370000
淄博市,370300,1992,1144337.898106813,山东省,370000
大同市,140200,1992,344535.25709897635,山西省,140000
晋城市,140500,1992,400806.2554977851,山西省,140000
晋中市,140700,1992,279303.23069191974,山西省,140000
临汾市,141000,1992,342571.35992708255,山西省,140000
吕梁市,141100,1992,272702.94695579546,山西省,140000
朔州市,140600,1992,250209.35115959778,山西省,140000
太原市,140100,1992,881220.8771557263,山西省,140000
忻州市,140900,1992,126302.49689251304,山西省,140000
阳泉市,140300,1992,417658.317562291,山西省,140000
运城市,140800,1992,280435.6136122348,山西省,140000
长治市,140400,1992,306747.6542841611,山西省,140000
安康市,610900,1992,58909.369180699214,陕西省,610000
宝鸡市,610300,1992,141424.60999673637,陕西省,610000
汉中市,610700,1992,78729.43026401727,陕西省,610000
商洛市,611000,1992,60148.556429553144,陕西省,610000
铜川市,610200,1992,165058.77674562132,陕西省,610000
渭南市,610500,1992,262080.94901996898,陕西省,610000
西安市,610100,1992,754150.3080211128,陕西省,610000
咸阳市,610400,1992,373580.87907901953,陕西省,610000
延安市,610600,1992,119179.4563445836,陕西省,610000
榆林市,610800,1992,116866.1370411712,陕西省,610000
巴中市,511900,1992,57166.864752066904,四川省,510000
成都市,510100,1992,536053.4978772178,四川省,510000
达州市,511700,1992,80141.23505058508,四川省,510000
德阳市,510600,1992,297476.88488784415,四川省,510000
广安市,511600,1992,88062.90919894468,四川省,510000
广元市,510800,1992,78930.84513030542,四川省,510000
乐山市,511100,1992,78931.48282258003,四川省,510000
泸州市,510500,1992,65296.74908440842,四川省,510000
眉山市,511400,1992,81923.36049115419,四川省,510000
绵阳市,510700,1992,116113.4942693835,四川省,510000
南充市,511300,1992,109726.57094462165,四川省,510000
内江市,511000,1992,132892.81562941705,四川省,510000
攀枝花市,510400,1992,237541.30259465514,四川省,510000
遂宁市,510900,1992,138425.97340307693,四川省,510000
雅安市,511800,1992,49295.68025432028,四川省,510000
宜宾市,511500,1992,66060.88147254822,四川省,510000
资阳市,512000,1992,86629.36606332206,四川省,510000
自贡市,510300,1992,106777.72142395985,四川省,510000
保山市,530500,1992,68861.55002626708,云南省,530000
昆明市,530100,1992,304701.35612907866,云南省,530000
丽江市,530700,1992,55220.58644854612,云南省,530000
临沧市,530900,1992,61891.09499756594,云南省,530000
普洱市,530800,1992,53400.77993394134,云南省,530000
曲靖市,530300,1992,102335.0318453104,云南省,530000
玉溪市,530400,1992,125712.12539941532,云南省,530000
昭通市,530600,1992,52917.90475949904,云南省,530000
杭州市,330100,1992,564909.2577737361,浙江省,330000
湖州市,330500,1992,552804.8031918982,浙江省,330000
嘉兴市,330400,1992,1275489.6923021397,浙江省,330000
金华市,330700,1992,346193.0563770913,浙江省,330000
丽水市,331100,1992,85507.88586942636,浙江省,330000
宁波市,330200,1992,1010058.274212678,浙江省,330000
衢州市,330800,1992,162113.23555851317,浙江省,330000
绍兴市,330600,1992,534024.6293015283,浙江省,330000
台州市,331000,1992,408075.34619638463,浙江省,330000
温州市,330300,1992,372694.1226904456,浙江省,330000
舟山市,330900,1992,962575.1850588572,浙江省,330000
甘南藏族自治州,623000,1992,41501.21100186063,甘肃省,620000
临夏回族自治州,622900,1992,87285.58180401711,甘肃省,620000
黔东南苗族侗族自治州,522600,1992,53994.16319951922,贵州省,520000
黔南布依族苗族自治州,522700,1992,59643.0621095353,贵州省,520000
黔西南布依族苗族自治州,522300,1992,77151.5732062469,贵州省,520000
恩施土家族苗族自治州,422800,1992,54523.014139488725,湖北省,420000
湘西土家族苗族自治州,433100,1992,53166.42621263038,湖南省,430000
延边朝鲜族自治州,222400,1992,82241.86406239952,吉林省,220000
果洛藏族自治州,632600,1992,38432.84349095839,青海省,630000
海北藏族自治州,632200,1992,40326.604012949334,青海省,630000
海南藏族自治州,632500,1992,41635.66308747219,青海省,630000
海西蒙古族藏族自治州,632800,1992,40993.03524497665,青海省,630000
黄南藏族自治州,632300,1992,42122.706872450886,青海省,630000
玉树藏族自治州,632700,1992,38386.671353343925,青海省,630000
