city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1992,0.12958266473569968,黑龙江省,230000
台湾省,710000,1992,7.0367436115492845,台湾省,710000
安庆市,340800,1992,0.378427293742735,安徽省,340000
蚌埠市,340300,1992,0.7992360785942845,安徽省,340000
亳州市,341600,1992,0.4638384351294718,安徽省,340000
池州市,341700,1992,0.2541851679153313,安徽省,340000
滁州市,341100,1992,0.5537013072538255,安徽省,340000
阜阳市,341200,1992,0.6098024606477385,安徽省,340000
合肥市,340100,1992,1.2642345917047249,安徽省,340000
淮北市,340600,1992,1.3419777949087277,安徽省,340000
淮南市,340400,1992,1.0343790387516787,安徽省,340000
黄山市,341000,1992,0.2869664635054498,安徽省,340000
六安市,341500,1992,0.3408023672604871,安徽省,340000
马鞍山市,340500,1992,1.482086057709468,安徽省,340000
宿州市,341300,1992,0.5391163914632803,安徽省,340000
铜陵市,340700,1992,0.8869244791586108,安徽省,340000
芜湖市,340200,1992,1.1888555327571309,安徽省,340000
宣城市,341800,1992,0.3349295721736892,安徽省,340000
福州市,350100,1992,1.3049839836790829,福建省,350000
龙岩市,350800,1992,0.31036104755704125,福建省,350000
南平市,350700,1992,0.2117091405738233,福建省,350000
宁德市,350900,1992,0.31103692647136716,福建省,350000
莆田市,350300,1992,1.589007064520614,福建省,350000
泉州市,350500,1992,2.1256121721020422,福建省,350000
三明市,350400,1992,0.2628646299407697,福建省,350000
厦门市,350200,1992,6.205210037230531,福建省,350000
漳州市,350600,1992,0.8937882774283898,福建省,350000
白银市,620400,1992,0.2379719405409579,甘肃省,620000
定西市,621100,1992,0.19328550027602648,甘肃省,620000
嘉峪关市,620200,1992,1.4532182595784358,甘肃省,620000
金昌市,620300,1992,0.32018904459141345,甘肃省,620000
酒泉市,620900,1992,0.11416266318380888,甘肃省,620000
兰州市,620100,1992,0.8410371944587385,甘肃省,620000
陇南市,621200,1992,0.14149683254430015,甘肃省,620000
平凉市,620800,1992,0.2628278175933289,甘肃省,620000
庆阳市,621000,1992,0.22021838331483984,甘肃省,620000
天水市,620500,1992,0.2699057749809534,甘肃省,620000
武威市,620600,1992,0.14338821508723104,甘肃省,620000
张掖市,620700,1992,0.1360537682538502,甘肃省,620000
潮州市,445100,1992,1.8832003270498194,广东省,440000
东莞市,441900,1992,14.226126920706049,广东省,440000
佛山市,440600,1992,9.469787659367752,广东省,440000
广州市,440100,1992,6.332614650422484,广东省,440000
河源市,441600,1992,0.31494425628297557,广东省,440000
惠州市,441300,1992,1.826350790176144,广东省,440000
江门市,440700,1992,1.6272870194147029,广东省,440000
