city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,2000,0.006714569211415793,黑龙江省,230000
台湾省,710000,2000,1.8003748406638123,台湾省,710000
安庆市,340800,2000,0.023286689129852503,安徽省,340000
蚌埠市,340300,2000,0.057254323614482,安徽省,340000
亳州市,341600,2000,0.04062287377658976,安徽省,340000
池州市,341700,2000,0.00737669366685186,安徽省,340000
滁州市,341100,2000,0.021740835430549953,安徽省,340000
阜阳市,341200,2000,0.048289875468990266,安徽省,340000
合肥市,340100,2000,0.20628372023447325,安徽省,340000
淮北市,340600,2000,0.17897902361438034,安徽省,340000
淮南市,340400,2000,0.07866928226937502,安徽省,340000
黄山市,341000,2000,0.006473511318368897,安徽省,340000
六安市,341500,2000,0.011377760827359635,安徽省,340000
马鞍山市,340500,2000,0.13004747358494914,安徽省,340000
宿州市,341300,2000,0.03693305968840758,安徽省,340000
铜陵市,340700,2000,0.03710803939989723,安徽省,340000
芜湖市,340200,2000,0.07837247029323513,安徽省,340000
宣城市,341800,2000,0.006412266196464875,安徽省,340000
福州市,350100,2000,0.15075759863924576,福建省,350000
龙岩市,350800,2000,0.022503322280684666,福建省,350000
南平市,350700,2000,0.01301088542370647,福建省,350000
宁德市,350900,2000,0.01820431011215116,福建省,350000
莆田市,350300,2000,0.1478835457422709,福建省,350000
泉州市,350500,2000,0.37125499034500414,福建省,350000
三明市,350400,2000,0.015847251055839243,福建省,350000
厦门市,350200,2000,1.7890554559855165,福建省,350000
漳州市,350600,2000,0.07437617482291686,福建省,350000
白银市,620400,2000,0.016635868913362176,甘肃省,620000
定西市,621100,2000,0.005465891499450653,甘肃省,620000
嘉峪关市,620200,2000,0.4831172585712172,甘肃省,620000
金昌市,620300,2000,0.036671674668406436,甘肃省,620000
酒泉市,620900,2000,0.0022123438102839236,甘肃省,620000
兰州市,620100,2000,0.2689112218961775,甘肃省,620000
陇南市,621200,2000,0.0023788502012702275,甘肃省,620000
平凉市,620800,2000,0.011029623560681346,甘肃省,620000
庆阳市,621000,2000,0.007220114249759922,甘肃省,620000
天水市,620500,2000,0.015604396245868266,甘肃省,620000
武威市,620600,2000,0.004914357134159663,甘肃省,620000
张掖市,620700,2000,0.003804164572857511,甘肃省,620000
潮州市,445100,2000,0.2967515480690851,广东省,440000
东莞市,441900,2000,7.246090956329844,广东省,440000
佛山市,440600,2000,3.0411343044696846,广东省,440000
广州市,440100,2000,2.218817743499528,广东省,440000
河源市,441600,2000,0.014623781429507349,广东省,440000
惠州市,441300,2000,0.14491781621052918,广东省,440000
江门市,440700,2000,0.24482489749863032,广东省,440000
揭阳市,445200,2000,0.1996684288408037,广东省,440000
茂名市,440900,2000,0.10328594890293973,广东省,440000
梅州市,441400,2000,0.033447393473869685,广东省,440000
清远市,441800,2000,0.025763721232533066,广东省,440000
汕头市,440500,2000,1.5722240617856875,广东省,440000
汕尾市,441500,2000,0.06922846445239546,广东省,440000
韶关市,440200,2000,0.02752891462963864,广东省,440000
深圳市,440300,2000,10.74885246395226,广东省,440000
阳江市,441700,2000,0.06579492441260486,广东省,440000
云浮市,445300,2000,0.03935995045224617,广东省,440000
湛江市,440800,2000,0.06050603832462876,广东省,440000
肇庆市,441200,2000,0.04854429552073325,广东省,440000
中山市,442000,2000,2.6631948088885276,广东省,440000
珠海市,440400,2000,1.0683452780447875,广东省,440000
安顺市,520400,2000,0.01038786320999224,贵州省,520000
毕节市,520500,2000,0.00609819336790491,贵州省,520000
贵阳市,520100,2000,0.0832146916481446,贵州省,520000
六盘水市,520200,2000,0.025051418808732084,贵州省,520000
铜仁市,520600,2000,0.0036714075189893196,贵州省,520000
遵义市,520300,2000,0.008289326543663449,贵州省,520000
儋州市,460400,2000,0.03051096844734157,海南省,460000
海口市,460100,2000,0.5288753864880613,海南省,460000
三沙市,460300,2000,0.0,海南省,460000
三亚市,460200,2000,0.23454768285263988,海南省,460000
保定市,130600,2000,0.11500730688639041,河北省,130000
沧州市,130900,2000,0.13531527368918145,河北省,130000
承德市,130800,2000,0.011666714113264257,河北省,130000
邯郸市,130400,2000,0.29343011222262605,河北省,130000
衡水市,131100,2000,0.05221856837818399,河北省,130000
廊坊市,131000,2000,0.36214420824965476,河北省,130000
秦皇岛市,130300,2000,0.16653117237050388,河北省,130000
石家庄市,130100,2000,0.38219191188515567,河北省,130000
唐山市,130200,2000,0.19285027314201603,河北省,130000
邢台市,130500,2000,0.10383659071831365,河北省,130000
张家口市,130700,2000,0.04371701660374556,河北省,130000
安阳市,410500,2000,0.1721590579486559,河南省,410000
鹤壁市,410600,2000,0.17031280965311218,河南省,410000
焦作市,410800,2000,0.2058768604780356,河南省,410000
开封市,410200,2000,0.1159538849275693,河南省,410000
洛阳市,410300,2000,0.09406933902215314,河南省,410000
漯河市,411100,2000,0.19786098645218195,河南省,410000
南阳市,411300,2000,0.032341830257405155,河南省,410000
