city,cityCode,year,total_sol,province,provinceCode
大兴安岭地区,232700,1992,8554.462625273987,黑龙江省,230000
台湾省,710000,1992,249168.13861215062,台湾省,710000
安庆市,340800,1992,5120.9018833843365,安徽省,340000
蚌埠市,340300,1992,4782.675708195172,安徽省,340000
亳州市,341600,1992,3965.0419183499243,安徽省,340000
池州市,341700,1992,2141.223956772189,安徽省,340000
滁州市,341100,1992,7504.609124574965,安徽省,340000
阜阳市,341200,1992,6187.321209156002,安徽省,340000
合肥市,340100,1992,14548.876132513231,安徽省,340000
淮北市,340600,1992,3695.633179464002,安徽省,340000
淮南市,340400,1992,5736.90547583166,安徽省,340000
黄山市,341000,1992,2785.0849273519793,安徽省,340000
六安市,341500,1992,5275.906651884866,安徽省,340000
马鞍山市,340500,1992,6016.490572607369,安徽省,340000
宿州市,341300,1992,5364.370887068039,安徽省,340000
铜陵市,340700,1992,2652.7493795408554,安徽省,340000
芜湖市,340200,1992,7166.304596995987,安徽省,340000
宣城市,341800,1992,4139.150280924332,安徽省,340000
福州市,350100,1992,14466.034043800617,福建省,350000
龙岩市,350800,1992,5932.697476310518,福建省,350000
南平市,350700,1992,5584.658814558409,福建省,350000
宁德市,350900,1992,3938.8545405787218,福建省,350000
莆田市,350300,1992,5862.121242627678,福建省,350000
泉州市,350500,1992,23046.045548876493,福建省,350000
三明市,350400,1992,6062.092350783974,福建省,350000
厦门市,350200,1992,8604.363245036935,福建省,350000
漳州市,350600,1992,10805.560284058603,福建省,350000
白银市,620400,1992,4791.918714421462,甘肃省,620000
定西市,621100,1992,3800.976796522204,甘肃省,620000
嘉峪关市,620200,1992,1781.1782768420426,甘肃省,620000
金昌市,620300,1992,2444.971078359906,甘肃省,620000
酒泉市,620900,1992,19164.876212507694,甘肃省,620000
兰州市,620100,1992,11122.746580382503,甘肃省,620000
陇南市,621200,1992,3955.629961654515,甘肃省,620000
平凉市,620800,1992,2929.4953460524266,甘肃省,620000
庆阳市,621000,1992,5981.219378184378,甘肃省,620000
天水市,620500,1992,3862.4236148507716,甘肃省,620000
武威市,620600,1992,4653.205678367804,甘肃省,620000
张掖市,620700,1992,5240.623086718704,甘肃省,620000
潮州市,445100,1992,5721.8420227149545,广东省,440000
东莞市,441900,1992,34563.57481161532,广东省,440000
佛山市,440600,1992,36130.69360775197,广东省,440000
广州市,440100,1992,45448.6538366404,广东省,440000
河源市,441600,1992,4951.703041418235,广东省,440000
惠州市,441300,1992,20367.34941748498,广东省,440000
江门市,440700,1992,14875.79004507886,广东省,440000
揭阳市,445200,1992,8494.026195843031,广东省,440000
茂名市,440900,1992,6095.597043455189,广东省,440000
梅州市,441400,1992,5552.690819342193,广东省,440000
清远市,441800,1992,9395.878868090169,广东省,440000
汕头市,440500,1992,11106.258762886773,广东省,440000
汕尾市,441500,1992,3805.4272039910297,广东省,440000
韶关市,440200,1992,6183.195974183665,广东省,440000
深圳市,440300,1992,28924.65792371038,广东省,440000
阳江市,441700,1992,4782.5118183569875,广东省,440000
云浮市,445300,1992,3489.9822374515297,广东省,440000
湛江市,440800,1992,8657.095667958441,广东省,440000
肇庆市,441200,1992,8970.292944933175,广东省,440000
中山市,442000,1992,18439.51411910127,广东省,440000
珠海市,440400,1992,8358.606631486498,广东省,440000
安顺市,520400,1992,2778.5130739824313,贵州省,520000
毕节市,520500,1992,4174.831259752415,贵州省,520000
贵阳市,520100,1992,8024.309470804885,贵州省,520000
六盘水市,520200,1992,3792.9790305903425,贵州省,520000
铜仁市,520600,1992,3190.2120110394694,贵州省,520000
遵义市,520300,1992,6282.494779450958,贵州省,520000
儋州市,460400,1992,1420.0543676724328,海南省,460000
海口市,460100,1992,4336.61249530856,海南省,460000
三沙市,460300,1992,0.0,海南省,460000
三亚市,460200,1992,2918.8549887431896,海南省,460000
保定市,130600,1992,18205.163419407167,河北省,130000
沧州市,130900,1992,15129.160337452633,河北省,130000
承德市,130800,1992,9036.12303260353,河北省,130000
邯郸市,130400,1992,20722.66832986903,河北省,130000
衡水市,131100,1992,6495.1937032230935,河北省,130000
廊坊市,131000,1992,15938.832359638145,河北省,130000
秦皇岛市,130300,1992,8494.888510730247,河北省,130000
石家庄市,130100,1992,20507.769590136235,河北省,130000
唐山市,130200,1992,26183.202892340356,河北省,130000
邢台市,130500,1992,11881.072986496121,河北省,130000
张家口市,130700,1992,13341.972135388462,河北省,130000
安阳市,410500,1992,9587.676672743732,河南省,410000
鹤壁市,410600,1992,2781.837305952987,河南省,410000
焦作市,410800,1992,7260.581318503597,河南省,410000
开封市,410200,1992,5708.8789680680775,河南省,410000
洛阳市,410300,1992,12258.874912937323,河南省,410000
漯河市,411100,1992,3243.057460156494,河南省,410000
南阳市,411300,1992,11039.492166589382,河南省,410000
平顶山市,410400,1992,8626.52751919487,河南省,410000
濮阳市,410900,1992,5819.399744310624,河南省,410000
三门峡市,411200,1992,4550.82656306054,河南省,410000
商丘市,411400,1992,7096.225056462195,河南省,410000
新乡市,410700,1992,11047.926860505138,河南省,410000
信阳市,411500,1992,6189.388757694097,河南省,410000
许昌市,411000,1992,5977.845718317114,河南省,410000
郑州市,410100,1992,22770.355521635116,河南省,410000
周口市,411600,1992,6195.947528497582,河南省,410000
驻马店市,411700,1992,6298.905433980724,河南省,410000
大庆市,230600,1992,22901.150882993916,黑龙江省,230000
哈尔滨市,230100,1992,29216.855572269465,黑龙江省,230000
鹤岗市,230400,1992,5358.903437701152,黑龙江省,230000
黑河市,231100,1992,11290.447467482383,黑龙江省,230000
鸡西市,230300,1992,6770.039530334086,黑龙江省,230000
佳木斯市,230800,1992,10858.775474648604,黑龙江省,230000
牡丹江市,231000,1992,10656.725389825682,黑龙江省,230000
七台河市,230900,1992,3828.365244165443,黑龙江省,230000
齐齐哈尔市,230200,1992,13507.99270135723,黑龙江省,230000
双鸭山市,230500,1992,7369.772359141595,黑龙江省,230000
绥化市,231200,1992,10716.609623860524,黑龙江省,230000
伊春市,230700,1992,7341.143205165966,黑龙江省,230000
鄂州市,420700,1992,2175.1302634413623,湖北省,420000
黄冈市,421100,1992,6059.994549579473,湖北省,420000
黄石市,420200,1992,3260.089549246709,湖北省,420000
荆门市,420800,1992,3378.585513735489,湖北省,420000
荆州市,421000,1992,5357.323766232722,湖北省,420000
十堰市,420300,1992,5472.186453231702,湖北省,420000
随州市,421300,1992,2286.9572869110784,湖北省,420000
武汉市,420100,1992,23935.264976795035,湖北省,420000
咸宁市,421200,1992,3126.8562615269802,湖北省,420000
襄阳市,420600,1992,7384.702882652408,湖北省,420000
孝感市,420900,1992,4256.910083109819,湖北省,420000
宜昌市,420500,1992,6938.795234717896,湖北省,420000
常德市,430700,1992,4958.257620962899,湖南省,430000
郴州市,431000,1992,4732.113522859721,湖南省,430000
衡阳市,430400,1992,4876.601566329978,湖南省,430000
怀化市,431200,1992,4573.640767439032,湖南省,430000
娄底市,431300,1992,2693.572303757568,湖南省,430000
邵阳市,430500,1992,3911.2989023723285,湖南省,430000
湘潭市,430300,1992,3876.6415357966926,湖南省,430000
益阳市,430900,1992,2571.9290917113944,湖南省,430000
永州市,431100,1992,4147.378084233969,湖南省,430000
岳阳市,430600,1992,5758.90829327541,湖南省,430000
张家界市,430800,1992,1711.2087622036904,湖南省,430000
长沙市,430100,1992,13147.63237029022,湖南省,430000
株洲市,430200,1992,5031.971054886067,湖南省,430000
白城市,220800,1992,5576.826308841054,吉林省,220000
白山市,220600,1992,4802.626307297967,吉林省,220000
吉林市,220200,1992,13573.871479231046,吉林省,220000
辽源市,220400,1992,3044.7988685064747,吉林省,220000
四平市,220300,1992,5022.415317907804,吉林省,220000
松原市,220700,1992,7150.950350274079,吉林省,220000
通化市,220500,1992,5873.474716306946,吉林省,220000
长春市,220100,1992,23724.67238037784,吉林省,220000
常州市,320400,1992,17152.492341147747,江苏省,320000
淮安市,320800,1992,9309.605592379748,江苏省,320000
连云港市,320700,1992,8848.62218621596,江苏省,320000
南京市,320100,1992,26963.875309863943,江苏省,320000
