Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Envirct04,Envirct06,Envirct09
2003,安康市,610900,地级市,610000,陕西省,504,446,3715
2003,安庆市,340800,地级市,340000,安徽省,4267,16980,18245
2003,安顺市,520400,地级市,520000,贵州省,592,3402,3255
2003,安阳市,410500,地级市,410000,河南省,10263,13151,71390
2003,鞍山市,210300,地级市,210000,辽宁省,6942,16613,37405
2003,巴彦淖尔市,150800,地级市,150000,内蒙古自治区,2124,6793,11520
2003,巴中市,511900,地级市,510000,四川省,274,3606,1296
2003,白城市,220800,地级市,220000,吉林省,1607,1125,6383
2003,白山市,220600,地级市,220000,吉林省,1151,2617,18910
2003,白银市,620400,地级市,620000,甘肃省,1826,193942,12741
2003,百色市,451000,地级市,450000,广西壮族自治区,4636,7000,34822
2003,蚌埠市,340300,地级市,340000,安徽省,4639,2107,11463
2003,包头市,150200,地级市,150000,内蒙古自治区,7901,58305,82293
2003,宝鸡市,610300,地级市,610000,陕西省,8123,5632,19147
2003,保定市,130600,地级市,130000,河北省,15577,23377,25935
2003,保山市,530500,地级市,530000,云南省,3628,12391,2120
2003,北海市,450500,地级市,450000,广西壮族自治区,1487,2811,17574
2003,本溪市,210500,地级市,210000,辽宁省,6906,4766,21581
2003,滨州市,371600,地级市,370000,山东省,2989,24709,15991
2003,亳州市,341600,地级市,340000,安徽省,1149,3490,1535
2003,沧州市,130900,地级市,130000,河北省,5527,14795,16111
2003,长春市,220100,副省级市,220000,吉林省,3198,11693,35310
2003,长沙市,430100,地级市,430000,湖南省,4006,25309,40407
2003,长治市,140400,地级市,140000,山西省,2261,623,75208
2003,常德市,430700,地级市,430000,湖南省,22761,24502,15919
2003,常州市,320400,地级市,320000,江苏省,24072,5816,15375
2003,朝阳市,211300,地级市,210000,辽宁省,3707,3551,41086
2003,潮州市,445100,地级市,440000,广东省,894,51,886
2003,郴州市,431000,地级市,430000,湖南省,6350,11922,38946
2003,成都市,510100,副省级市,510000,四川省,32601,18586,200758
2003,承德市,130800,地级市,130000,河北省,2176,16311,18107
2003,池州市,341700,地级市,340000,安徽省,596,16570,37037
2003,赤峰市,150400,地级市,150000,内蒙古自治区,2214,59687,30469
2003,崇左市,451400,地级市,450000,广西壮族自治区,7625,7711,7116
2003,滁州市,341100,地级市,340000,安徽省,1976,1590,16118
2003,达州市,511700,地级市,510000,四川省,2722,671,74853
2003,大连市,210200,副省级市,210000,辽宁省,31889,158609,29843
2003,大庆市,230600,地级市,230000,黑龙江省,7312,3992,38401
2003,大同市,140200,地级市,140000,山西省,3417,51438,104187
2003,丹东市,210600,地级市,210000,辽宁省,5116,7033,18856
2003,德阳市,510600,地级市,510000,四川省,6110,8805,10687
2003,德州市,371400,地级市,370000,山东省,8751,3754,24780
2003,定西市,621100,地级市,620000,甘肃省,309,496,2090
2003,东莞市,441900,地级市,440000,广东省,23389,7400,6038
2003,东营市,370500,地级市,370000,山东省,7810,25693,9431
2003,鄂尔多斯市,150600,地级市,150000,内蒙古自治区,1809,3110,74457
2003,鄂州市,420700,地级市,420000,湖北省,2301,109,13632
2003,防城港市,450600,地级市,450000,广西壮族自治区,2043,178,2589
2003,佛山市,440600,地级市,440000,广东省,11020,10034,14892
2003,福州市,350100,地级市,350000,福建省,4951,5620,14509
2003,抚顺市,210400,地级市,210000,辽宁省,7461,36615,32461
2003,抚州市,361000,地级市,360000,江西省,2753,1048,28432
2003,阜新市,210900,地级市,210000,辽宁省,635,2699,7833
2003,阜阳市,341200,地级市,340000,安徽省,2017,3515,3764
2003,赣州市,360700,地级市,360000,江西省,3361,671,15209
2003,固原市,640400,地级市,640000,宁夏回族自治区,310,0,2045
2003,广安市,511600,地级市,510000,四川省,803,7303,56219
2003,广元市,510800,地级市,510000,四川省,4212,617,19129
2003,广州市,440100,副省级市,440000,广东省,21213,44320,14005
2003,贵港市,450800,地级市,450000,广西壮族自治区,11028,15478,51245
2003,贵阳市,520100,地级市,520000,贵州省,5845,81958,48247
2003,桂林市,450300,地级市,450000,广西壮族自治区,5033,1289,37631
2003,哈尔滨市,230100,副省级市,230000,黑龙江省,5780,2865,55707
2003,海口市,460100,地级市,460000,海南省,694,0,301
2003,邯郸市,130400,地级市,130000,河北省,11650,43717,80282
2003,汉中市,610700,地级市,610000,陕西省,2174,56215,30383
