Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1992,北京市,110000,直辖市,110000,北京市,1044.9,656.28,622
1992,天津市,120000,直辖市,120000,天津市,878.97,494.8056,781
1992,石家庄市,130100,地级市,130000,河北省,290.01,121.55,891
1992,唐山市,130200,地级市,130000,河北省,667.89,152.16,496
1992,秦皇岛市,130300,地级市,130000,河北省,252.21,52.39,335
1992,邯郸市,130400,地级市,130000,河北省,215.09,91.55,771
1992,邢台市,130500,地级市,130000,河北省,86.92,33.81,412
1992,保定市,130600,地级市,130000,河北省,171.15,55.26,943
1992,张家口市,130700,地级市,130000,河北省,103.56,59.31,349
1992,承德市,130800,地级市,130000,河北省,84.83,28.56,190
1992,沧州市,130900,地级市,130000,河北省,135.07,31.15,501
1992,廊坊市,131000,地级市,130000,河北省,347.58,40.4,541
1992,衡水市,131100,地级市,130000,河北省,34.62,,587
1992,太原市,140100,地级市,140000,山西省,267.024,167.65,382
1992,大同市,140200,地级市,140000,山西省,113.3136,81.39,545
1992,阳泉市,140300,地级市,140000,山西省,116.8772,43.83,263
1992,长治市,140400,地级市,140000,山西省,,,211
1992,晋城市,140500,地级市,140000,山西省,196.923,26.59,208
1992,朔州市,140600,地级市,140000,山西省,65.7791,10.4,115
1992,运城市,140800,地级市,140000,山西省,436.7012,51.48,410
1992,忻州市,140900,地级市,140000,山西省,275.8496,39.09,227
1992,临汾市,141000,地级市,140000,山西省,358.2323,61.12,464
1992,呼和浩特市,150100,地级市,150000,内蒙古自治区,140.6084,72.1,231
1992,包头市,150200,地级市,150000,内蒙古自治区,176.8039,107.69,177
1992,乌海市,150300,地级市,150000,内蒙古自治区,29.2934,26.88,125
1992,赤峰市,150400,地级市,150000,内蒙古自治区,416.0156,65.79,46
1992,通辽市,150500,地级市,150000,内蒙古自治区,,,201
1992,鄂尔多斯市,150600,地级市,150000,内蒙古自治区,122.8183,,148
1992,沈阳市,210100,副省级市,210000,辽宁省,577.4,386.2,678
1992,大连市,210200,副省级市,210000,辽宁省,522.9,232.6,416
1992,鞍山市,210300,地级市,210000,辽宁省,329.4,158,356
1992,抚顺市,210400,地级市,210000,辽宁省,223.2,141.9,206
1992,本溪市,210500,地级市,210000,辽宁省,153.7,95.2,183
