"SgnYear","CityCode","CityName","AverageTemperature","AverageRelativeHumidity","Precipitation","SunshineHours"
"1995","110000","北京市","13.3000","","572.5000","2519.1000"
"1995","120000","天津市","12.7000","","716.0000","2618.3000"
"1995","130100","石家庄市","14.2000","","687.3000","1990.1000"
"1995","140100","太原市","10.2000","","492.3000","2590.8000"
"1995","150100","呼和浩特市","6.8000","","463.5000","2749.7000"
"1995","210100","沈阳市","8.6000","","880.7000","2320.8000"
"1995","210200","大连市","11.4000","","656.7000","2716.8000"
"1995","220100","长春市","6.3000","","560.0000","2596.8000"
"1995","230100","哈尔滨市","4.6000","","424.7000","2472.1000"
"1995","310000","上海市","16.7000","","1304.2000","2083.5000"
"1995","320100","南京市","15.8000","","770.7000","2155.5000"
"1995","330100","杭州市","16.5000","","1449.3000","1912.2000"
"1995","340100","合肥市","16.4000","","584.1000","1955.0000"
"1995","350100","福州市","19.7000","","984.2000","1434.0000"
"1995","360100","南昌市","17.8000","","1817.2000","1858.5000"
"1995","370100","济南市","15.2000","","596.8000","2410.8000"
"1995","370200","青岛市","13.0000","","546.5000","2452.0000"
"1995","410100","郑州市","14.8000","","548.6000","2292.5000"
"1995","420100","武汉市","17.4000","","1296.3000","2002.3000"
"1995","430100","长沙市","17.3000","","1513.2000","1488.5000"
"1995","440100","广州市","22.3000","","1752.4000","1559.6000"
"1995","450100","南宁市","21.8000","","1173.2000","1263.7000"
"1995","460100","海口市","24.3000","","1793.0000","1886.0000"
"1995","450300","桂林市","19.1000","","1423.6000","1495.3000"
"1995","510100","成都市","16.5000","","904.5000","1021.4000"
"1995","500000","重庆市","18.3000","","923.5000","993.6000"
"1995","520100","贵阳市","15.1000","","1073.7000","942.3000"
"1995","530100","昆明市","15.6000","","1026.6000","2099.3000"
"1995","540100","拉萨市","8.9000","","517.8000","2985.4000"
"1995","610100","西安市","14.7000","","312.2000","1703.4000"
"1995","620100","兰州市","10.0000","","368.2000","2269.3000"
"1995","630100","西宁市","5.1000","","379.6000","2532.9000"
"1995","640100","银川市","9.0000","","233.1000","2931.3000"
"1995","650100","乌鲁木齐市","7.7000","","240.7000","2654.0000"
"1996","110000","北京市","12.7000","51.0000","700.9000","2418.7000"
"1996","120000","天津市","12.2000","58.0000","472.1000","2333.5000"
"1996","130100","石家庄市","13.5000","59.0000","1097.1000","2190.5000"
"1996","140100","太原市","9.8000","58.0000","652.0000","2211.3000"
"1996","150100","呼和浩特市","6.5000","51.0000","353.7000","2766.9000"
"1996","210100","沈阳市","8.1000","62.0000","721.3000","2359.8000"
"1996","210200","大连市","10.9000","64.0000","660.4000","2647.3000"
"1996","220100","长春市","5.9000","60.0000","490.2000","2575.3000"
"1996","230100","哈尔滨市","5.0000","59.0000","480.7000","2554.7000"
"1996","310000","上海市","16.2000","75.0000","1022.9000","1854.0000"
"1996","320100","南京市","15.4000","75.0000","1213.5000","1838.2000"
"1996","330100","杭州市","16.5000","76.0000","1481.7000","1701.8000"
"1996","340100","合肥市","15.8000","75.0000","1157.8000","1769.3000"
"1996","350100","福州市","19.9000","74.0000","1338.7000","1494.9000"
"1996","360100","南昌市","17.6000","77.0000","1352.8000","1669.3000"
"1996","370100","济南市","14.7000","57.0000","834.0000","2223.0000"
"1996","370200","青岛市","12.5000","69.0000","749.6000","2182.8000"
"1996","410100","郑州市","14.2000","66.0000","628.3000","1823.8000"
"1996","420100","武汉市","16.8000","75.0000","1319.5000","1752.3000"
"1996","430100","长沙市","16.8000","81.0000","1396.1000","1378.1000"
"1996","440100","广州市","21.6000","78.0000","1683.4000","1564.7000"
"1996","450100","南宁市","21.7000","76.0000","1185.1000","1398.2000"
"1996","460100","海口市","24.3000","83.0000","1406.0000","1881.2000"
"1996","450300","桂林市","18.7000","74.0000","2106.4000","1552.8000"
"1996","510100","成都市","16.0000","80.0000","711.0000","928.2000"
"1996","500000","重庆市","17.7000","81.0000","1398.3000","899.4000"
"1996","520100","贵阳市","15.0000","76.0000","1177.5000","999.1000"
"1996","530100","昆明市","15.6000","71.0000","865.7000","2156.6000"
"1996","540100","拉萨市","8.5000","44.0000","448.9000","3018.6000"
"1996","610100","西安市","13.7000","68.0000","713.4000","1447.8000"
"1996","620100","兰州市","9.6000","54.0000","368.8000","2340.7000"
"1996","630100","西宁市","4.9000","60.0000","402.1000","2559.4000"
"1996","640100","银川市","9.6000","56.0000","153.2000","2842.4000"
"1996","650100","乌鲁木齐市","6.7000","58.0000","390.9000","2239.0000"
"1997","110000","北京市","13.1000","56.0000","430.9000","2596.5000"
"1997","120000","天津市","13.1000","64.0000","378.1000","2612.6000"
"1997","130100","石家庄市","14.4000","59.0000","328.8000","2410.0000"
"1997","140100","太原市","10.1000","55.0000","247.8000","2521.7000"
"1997","150100","呼和浩特市","-7.8000","50.0000","386.7000","2838.5000"
"1997","210100","沈阳市","8.8000","61.0000","571.8000","2468.3000"
"1997","210200","大连市","11.8000","60.0000","528.7000","2885.1000"
"1997","220100","长春市","6.7000","60.0000","574.8000","2792.5000"
"1997","230100","哈尔滨市","5.7000","60.0000","481.9000","2614.6000"
"1997","310000","上海市","16.9000","75.0000","1175.5000","1665.3000"
"1997","320100","南京市","16.2000","75.0000","902.8000","2020.5000"
"1997","330100","杭州市","17.1000","76.0000","1435.2000","1640.3000"
"1997","340100","合肥市","16.7000","73.0000","697.2000","1988.1000"
"1997","350100","福州市","20.1000","77.0000","1832.3000","1360.1000"
"1997","360100","南昌市","17.8000","79.0000","1725.4000","1449.7000"
"1997","370100","济南市","15.4000","55.0000","618.1000","2498.2000"
"1997","370200","青岛市","13.5000","70.0000","464.3000","2615.6000"
"1997","410100","郑州市","14.9000","64.0000","354.9000","2181.8000"
"1997","420100","武汉市","17.5000","75.0000","946.6000","1908.2000"
"1997","430100","长沙市","17.2000","82.0000","1824.3000","1425.7000"
"1997","440100","广州市","22.0000","80.0000","1997.9000","1209.8000"
"1997","450100","南宁市","22.2000","79.0000","1489.8000","1201.5000"
"1997","460100","海口市","24.6000","84.0000","2191.2000","1721.3000"
"1997","450300","桂林市","18.9000","77.0000","1949.5000","1197.6000"
"1997","500000","重庆市","18.5000","79.0000","898.8000","943.0000"
"1997","510100","成都市","16.8000","79.0000","783.2000","938.9000"
"1997","520100","贵阳市","15.4000","77.0000","1115.1000","883.1000"
"1997","530100","昆明市","15.4000","69.0000","1382.7000","2118.8000"
"1997","540100","拉萨市","7.5000","46.0000","321.5000","2979.4000"
"1997","610100","西安市","14.8000","64.0000","361.7000","1412.7000"
"1997","620100","兰州市","10.9000","49.0000","235.4000","2648.8000"
"1997","630100","西宁市","5.5000","59.0000","409.9000","2786.1000"
"1997","640100","银川市","10.2000","55.0000","156.4000","2965.1000"
"1997","650100","乌鲁木齐市","8.8000","50.0000","159.8000","2507.2000"
"1998","110000","北京市","13.1000","62.0000","731.7000","2420.7000"
"1998","120000","天津市","13.4000","68.0000","500.6000","2206.9000"
"1998","130100","石家庄市","15.0000","62.0000","374.7000","1910.0000"
"1998","140100","太原市","11.5000","58.0000","372.9000","2528.4000"
"1998","150100","呼和浩特市","8.3000","57.0000","562.2000","2643.4000"
"1998","210100","沈阳市","9.7000","63.0000","857.6000","2295.2000"
"1998","210200","大连市","11.8000","67.0000","818.8000","2377.8000"
"1998","220100","长春市","7.4000","61.0000","623.3000","2622.1000"
"1998","230100","哈尔滨市","5.5000","67.0000","659.4000","2388.7000"
"1998","310000","上海市","17.8000","77.0000","1136.9000","1720.2000"
"1998","320100","南京市","16.7000","78.0000","1239.0000","2112.2000"
"1998","330100","杭州市","17.9000","77.0000","1538.4000","1746.9000"
"1998","340100","合肥市","17.1000","76.0000","1123.0000","1956.9000"
"1998","350100","福州市","21.1000","77.0000","1328.5000","1330.6000"
"1998","360100","南昌市","18.8000","79.0000","2344.2000","1860.8000"
"1998","370100","济南市","16.0000","60.0000","772.5000","2228.9000"
"1998","370200","青岛市","13.7000","75.0000","856.0000","2086.8000"
"1998","410100","郑州市","15.5000","68.0000","781.8000","1940.3000"
"1998","420100","武汉市","18.2000","75.0000","1739.2000","2019.6000"
"1998","430100","长沙市","18.1000","81.0000","1822.3000","1448.1000"
"1998","440100","广州市","22.8000","78.0000","1736.1000","1469.4000"
"1998","450100","南宁市","23.0000","76.0000","1274.0000","1452.8000"
"1998","460100","海口市","25.4000","83.0000","1567.5000","1886.3000"
"1998","450300","桂林市","19.9000","74.0000","2143.4000","1491.2000"
"1998","500000","重庆市","19.2000","80.0000","1498.0000","941.9000"
"1998","510100","成都市","17.4000","80.0000","905.6000","961.2000"
"1998","520100","贵阳市","17.3000","75.0000","1226.1000","1057.9000"
"1998","530100","昆明市","16.5000","67.0000","1193.8000","2131.1000"
