id,city,province_id,province,gdppc2000,ntlpc2000,gdppc2001,ntlpc2001,gdppc2002,ntlpc2002,gdppc2003,ntlpc2003,gdppc2004,ntlpc2004,gdppc2005,ntlpc2005,gdppc2006,ntlpc2006,gdppc2007,ntlpc2007,gdppc2008,ntlpc2008,gdppc2009,ntlpc2009,gdppc2010,ntlpc2010,gdppc2011,ntlpc2011,gdppc2012,ntlpc2012,gdppc2013,ntlpc2013,gdppc2014,ntlpc2014,gdppc2015,ntlpc2015,gdppc2016,ntlpc2016,gdppc2017,ntlpc2017,gdppc2018,ntlpc2018,gdppc2019,ntlpc2019,gdppc2020,ntlpc2020,gdppc2021,ntlpc2021
110000,北京市,110000,北京市,2959.6389,170559.14,3440.7019,213805.98,3982.8391,239626.72,4584.958,217097.66,5376.6445,208094.8,6055.5605,284745.19,7003.1733,306233.03,8592.6807,281508.5,9604.9268,271329.38,10355.515,250025.2,11896.963,232251.69,13450.818,310073.22,14663.036,278966.22,16056.065,223237.42,17193.641,226876.69,18420.385,229085.59,19840.926,254253.38,21985.729,265360.28,24063.09,269345.69,25312.209,304873,25772.844,311171.09,28489.283,325979.5
120000,天津市,120000,天津市,1866.0966,97630.617,2099.7068,146645.48,2340.1992,161335.91,2784.0498,143634.25,3368.5596,141626.05,4203.0215,176764.7,4762.3433,233016.48,5544.7397,233330.78,7024.2036,219517.42,7774.9429,202588.84,9487.5059,192447.16,11502.649,257045.81,13176.771,230901.55,14601.881,272460.31,15702.93,276826.5,16354.728,264745.59,17079.559,273556.5,17666.063,312370.69,17390.088,311048.28,12727.427,307759.16,12456.017,309555.19,13629.377,318132.44
130100,石家庄市,130000,河北省,1085.4054,29634.82,1211.4985,28221.469,1312.843,41549.156,1512.5576,35600.305,1780.2408,43531.977,1859.2925,46262.996,2089.3093,44036.957,2413.8242,45438.934,2882.7646,44683.145,3037.3948,33545.398,3342.4585,41679.887,3971.5559,50751.832,4332.958,46577.094,4632.144,55555.934,4870.1699,64452.551,5083.9028,58708.957,5496.4761,61261.617,5677.4678,76253.742,4908.0405,84459.141,5266.7886,103438.02,5282.6479,98345.039,5792.4854,102040.05
130200,唐山市,130000,河北省,1299.7131,20145.1,1437.4919,36165.352,1567.9801,46483.891,1834.7308,49284.504,2290.3796,64630.355,2792.8926,61928.605,3222.5647,78379.18,3761.0554,83040.578,4791.3755,68426.922,5105.478,94812.133,5894.1216,87355.227,7135.3936,103242.64,7643.7715,94523.75,7941.3779,134287.48,8013.8252,135489.48,7823.2324,126541.72,8101.9785,133290.73,8269.1475,151785.53,7938.7456,143062.64,8651.2148,150440.83,9342.9854,166137.83,10693.302,186034.92
130300,秦皇岛市,130000,河北省,1036.1992,24874.043,1145.824,44695.098,1243.1852,52475.512,1417.6923,60257.434,1643.9707,69030.852,1705.382,57265.395,1903.6206,90598.133,2333.0376,83609.68,2735.342,79915.195,2701.6118,92987.977,3111.9255,84147.969,3559.5769,118658.7,3770.7651,96940.969,3838.0234,97751.078,3915.8752,93445.391,4068.8657,88483.055,4360.3457,92247.313,4822.9883,119326.95,4809.2969,121872.04,5123.4785,122359.95,5374.1318,122843.66,5882.5112,141256.34
130400,邯郸市,130000,河北省,646.6015,21031.885,700.76862,17803.15,768.4353,29039.281,889.80164,19561.443,1084.7166,31469.793,1336.3627,29872.1,1559.0137,37104.48,1835.7649,33108.695,2257.7446,35606.477,2269.8174,35177.891,2570.2341,32194.389,3018.6921,42047.824,3256.6973,35546.426,3283.0793,48851.836,3285.7295,51477.332,3334.498,43173.211,3540.6963,41255.121,3553.2444,49645.875,3420.6399,52594.055,3650.3765,62285.367,3862.9744,71741.742,4392.9375,77423.008
130500,邢台市,130000,河北省,557.38989,9774.6748,614.40063,12075.191,661.76202,18466.223,771.52924,12771.238,945.84589,21722.143,1001.103,18802.16,1156.3304,21714.117,1294.6948,18642.238,1426.4286,18367.486,1511.4041,20044.434,1703.7437,23289.256,1996.9535,32062.365,2131.2324,29984.578,2223.3584,31881.871,2269.6689,34475.359,2419.2974,31708.229,2699.1433,35926.176,2843.7678,48396.141,2641.0012,53198.156,2866.7244,70118.133,3094.3147,80230.766,3424.2749,89226.063
130600,保定市,130000,河北省,670.42181,12565.674,703.39691,18346.459,769.58881,25772.865,858.6908,17652.057,1020.7667,28591.037,999.19855,25477.764,1111.0741,28834.48,1267.447,29941.281,1447.2377,24331.578,1570.3574,23529.604,1829.302,28248.299,2173.3806,36015.129,2396.9668,27844.879,2544.0042,34976.188,2641.5784,37860.965,2857.033,36885.387,2988.6348,45434.445,2950.8953,61170.031,3006.1289,66559.742,3548.636,88553.383,3425.4053,94309.336,3819.4133,116755.05
130700,张家口市,130000,河北省,582.07458,20306.033,574.73157,25279.535,617.22839,35033.395,710.97778,27692.537,889.48907,39618.547,994.71295,38323.766,1158.3015,35924.473,1348.381,43638.754,1710.199,43050.621,1889.6891,60173.703,2222.3608,61079.996,2557.5828,71562.695,2807.4673,77975.703,2984.1975,66937.555,3051.3469,62419.875,3083.7556,62193.492,3312.8992,68982.867,3219.0032,82572.063,3223.7688,86115.492,3506.658,96940.031,3884.7673,107867.13,4214.8945,105329.65
130800,承德市,130000,河北省,490.43378,7384.6401,513.15161,9365.666,558.68713,12324.579,654.54041,12271.845,833.15778,16596.465,1069.1099,15971.988,1270.0297,13909.423,1632.8613,20276.33,2098.6292,19337.93,2208.3381,31318.994,2557.207,29787.822,3164.7129,45755.418,3370.8088,42236.824,3618.9343,48446.555,3806.2771,50778.602,3848.978,50688.648,4073.2039,48795.602,4110.6694,58032.844,3845.0081,62301.672,4105.8423,73599.438,4621.6304,82636.148,5086.5752,86490.797
130900,沧州市,130000,河北省,694.87286,14896.213,723.34644,21917.211,784.83014,29146.697,924.79407,24987.227,1139.4843,34737.145,1653.2164,29216.279,1860.1887,32171.172,2114.5454,32923.75,2459.2456,29502.488,2562.6423,34111.055,3084.1765,29287.477,3591.7026,46105.082,3882.509,33251.641,4122.0127,58286.605,4248.6509,60039.297,4461.4175,62486.199,4722.7769,69534.75,4822.5698,92669.43,4306.5254,98097.961,4755.9087,104327.02,5067.8125,115702.65,5700.1538,126630.33
131000,廊坊市,130000,河北省,962.39856,31345.602,1083.4666,48902.504,1197.8646,63865.555,1365.7622,50544.215,1551.4852,65990.602,1568.7626,61817.395,1824.675,81482.875,2177.1675,90463.305,2562.9844,83858.18,2783.8618,81262.734,3096.0793,80116.297,3662.0686,100255.84,4041.8916,85784.391,4348.6128,105073.27,4812.1543,113212.15,5421.3379,119465.34,5894.8169,135179.77,6076.9204,156802.3,6271.1616,156783.69,6495.2749,182916.81,6041.4487,192657.2,6415.5449,196288.19
131100,衡水市,130000,河北省,718.22754,5624.5215,786.27112,9227.9619,848.9538,15445.311,960.67798,14920.016,1143.6986,19396.434,1231.4929,18602.799,1290.0707,20312.947,1310.7512,20871.775,1480.9336,16697.666,1514.8087,22474.898,1799.0724,15899.501,2128.99,27046.488,2303.4033,21399.178,2427.6592,29295.063,2597.8433,33584.145,2750.6155,30018.477,3189.1997,35109.316,3414.9116,45006.063,3089.6389,45659.953,3354.8833,53718.051,3703.3582,60506.941,4067.6895,66396.602
140100,太原市,140000,山西省,1036.2754,85956.477,1142.7286,109604.98,1279.6357,126964.85,1517.5051,112000.55,2237.2783,116535.4,2605.1101,141341.42,2944.4263,164769.08,3630.0505,125877.06,4229.0864,144277.77,,,,,,,,,,,,,,,,,,,,,,,,,,
140200,大同市,140000,山西省,566.70966,51705.484,628.34589,58237.953,715.94629,76108.172,818.34052,71233.578,1047.5797,76572.32,1186.9292,79755.242,1292.5695,90365.797,1553.4592,84436.781,1792.0682,72186.602,,,,,,,,,,,,,,,,,,,,,,,,,,
140300,阳泉市,140000,山西省,743.92743,21587.162,785.18182,22385.93,850.13007,27461.354,976.487,25699.936,1301.3405,44205.176,1577.175,40773.34,1814.3097,54836.266,2079.937,47505.004,2354.1436,38803.715,,,,,,,,,,,,,,,,,,,,,,,,,,
140400,长治市,140000,山西省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140500,晋城市,140000,山西省,670.32697,23977.475,727.99597,24351.719,788.01343,24823.514,906.58887,22737.457,1221.3268,43775.129,1432.8439,44030.074,1645.6313,46040.922,1888.8862,36188.355,2363.2527,55053.105,,,,,,,,,,,,,,,,,,,,,,,,,,
140600,朔州市,140000,山西省,575.22137,23106.988,583.18054,31486.602,679.72717,48106.328,798.35876,39979.641,986.96826,67223.281,1205.2183,54404.152,1543.0455,61826.141,2176.0325,62950.801,2737.717,67775.203,,,,,,,,,,,,,,,,,,,,,,,,,,
140700,晋中市,140000,山西省,458.72003,20365.721,492.32516,20914.307,559.74805,40189.941,666.4574,34396.539,918.95648,61865.145,1074.6261,51560.203,1246.0967,61620.816,1512.2299,36550.203,1817.5627,48306.285,,,,,,,,,,,,,,,,,,,,,,,,,,
140800,运城市,140000,山西省,358.28833,13977.902,403.98984,14304.124,471.89069,29729.428,596.90771,20467.23,821.94257,32149.609,944.53094,33735.234,1096.7335,27992.264,1227.7156,22183.49,1362.2656,21080.951,,,,,,,,,,,,,,,,,,,,,,,,,,
140900,忻州市,140000,山西省,283.90533,13937.501,284.94119,16507.197,313.37851,24608.232,364.63162,21611.992,481.86877,37001.445,550.12701,25464.361,636.15955,28277.168,837.35101,22260.471,1021.8189,21060.729,,,,,,,,,,,,,,,,,,,,,,,,,,
141000,临汾市,140000,山西省,430.59027,33308.238,480.93167,38259.414,555.37952,57593.188,727.04382,40912.969,1096.6271,70217.656,1269.6586,72549.586,1419.6737,62425.184,1577.314,30966.703,1797.5979,33212.992,,,,,,,,,,,,,,,,,,,,,,,,,,
141100,吕梁市,140000,山西省,252.36731,21055.443,263.73132,21538.023,311.24503,36742.223,388.53555,32755.262,687.76489,82051.695,876.62091,67764.625,1141.5465,61999.813,1419.6714,42119.078,1749.9828,41360.418,,,,,,,,,,,,,,,,,,,,,,,,,,
150100,呼和浩特市,150000,内蒙古自治区,734.81274,88160.063,996.64825,92553.164,1483.72,111478.45,1896.4664,100740.51,2012.6559,95147.703,2882.4102,102230.9,3453.478,171707.45,4178.5444,175956.84,4926.3501,155860.27,6069.7529,165470.2,6492.5879,134301.75,9372.665,246843.05,10675.321,257153.94,11563.472,249593.22,9549.4297,190805.58,12953.636,222467.92,13170.063,261691.36,,323805.41,,319796.63,11222.396,336241.56,11113.81,291843.53,12236.944,296239.19
150200,包头市,150000,内蒙古自治区,994.03668,94432.531,1205.714,112304.66,1600.9017,142124.14,2150.6301,142787.31,2369.0505,145427.88,3492.5889,147347.48,4110.1802,232914.66,5116.7817,244379.31,6950.478,237318.27,8432.0146,232238.89,9264.7119,196738.42,13553.1,329202.09,14361.781,241698.41,15219.758,193936.17,12865.211,155103.39,16625.838,189606.52,17289.361,212063.66,,222742.75,,216351.16,12087.407,226651.92,12439.129,220919.44,14695.645,230736.25
150300,乌海市,150000,内蒙古自治区,882.04181,101193.13,1082.0399,119730.33,1247.5582,156090.34,1625.7164,172235.34,1990.1982,324673.81,2697.9097,275441.47,3241.7891,207930.23,3984.4863,187134.06,4974.104,180276.78,6382.3955,262815.34,7321.9829,256650.78,8925.748,331530.28,9699.3066,275423.06,10397.577,234283.53,10844.822,215628,12582.881,199140.83,12871.683,217090.22,,238271.58,,273749.72,12467.654,294706.03,12865.89,311977.91,16465.063,408162.31
150400,赤峰市,150000,内蒙古自治区,355.93182,12727.009,406.35251,15699.326,462.32205,23417.525,542.15021,18623.227,652.20251,23820.234,791.17529,23099.684,976.0083,25310.133,1348.3983,36477.855,1729.2346,38228.137,2109.2686,50756.496,2503.7571,40571.059,2929.0559,63545.348,3375.6584,70633.273,3631.5962,48539.02,4132.0923,53801.93,4023.2004,49896.41,4175.4741,58485.32,,62799.727,,76238.383,3713.8665,78940.758,3868.4768,102456.76,4347.0894,95354.516
150500,通辽市,150000,内蒙古自治区,482.53604,11387.105,568.7533,9179.4502,661.62292,15993.215,769.9787,15167.766,891.16162,20024.668,1064.0333,20077.58,1336.2286,28342.008,1894.0736,36427.266,2541.8188,34015.652,3118.7634,44407.023,3747.0779,48530.602,4526.7134,66865.844,5295.0244,62062.066,5547.8408,42031.883,5774.2959,47254.648,5878.5474,56585.73,6112.7715,59337.07,,71881.086,,76775.688,4001.1995,85391.281,4049.9968,85836.586,4481.7729,90133.594
150600,鄂尔多斯市,150000,内蒙古自治区,548.4743,18208.426,1293.6836,37410.203,1523.353,58203.941,2047.9827,66975.5,2325.8555,91307.836,3978.748,98641.055,5282.3271,138055.59,7421.0869,148295.75,10073.524,157956.92,13295.17,213485.84,13558.502,198572.39,20875.213,414262.97,24045.24,486430.5,25631.074,420253.13,19929.676,285176.41,26863.203,290873.72,27709.045,331099.47,,374612.88,,370299.41,22049.098,438327.03,21490.361,430962.84,66728.461,1002802.7
150700,呼伦贝尔市,150000,内蒙古自治区,969.79431,64296.051,633.51575,35029.688,711.22736,80979.938,790.74005,66537.133,965.19556,71285.883,1199.4193,55767.496,1463.402,74207.617,1866.647,90014.375,2344.2268,93662.758,2888.8428,133649.17,3660.396,114848.54,4234.9878,153889.91,5270.0518,152267.06,5651.1318,75946.734,6017.79,75683.07,6155.0356,53492.652,6254.623,74431.914,,72646.375,,75951.188,4685.5474,95620.109,4645.6875,74094.703,5427.8848,70240.203
150800,巴彦淖尔市,150000,内蒙古自治区,648.09192,13750.87,692.70203,24496.537,754.2066,35546.063,859.4408,25840.457,1034.9227,40488.539,1253.0554,30363.057,1602.6283,45406.434,1961.1918,48114.402,2526.8186,53048.215,2942.575,68172,3614.4861,57089.926,3846.092,77237.813,4195.7153,58903.598,4556.3193,77046.984,5014.4116,91706.617,5080.9375,44086.602,5232.2378,47580.527,,55994.008,,50832.086,5030.2407,56421.313,5056.1147,56295.375,5721.3555,80611.641
150900,乌兰察布市,150000,内蒙古自治区,657.08765,18591.459,376.12848,11788.592,435.34277,16504.934,573.91058,16757.795,835.25598,44269.934,1068.7386,39921.016,1331.4362,37391.977,1608.8298,47673.301,2038.9324,37623.203,1725.8387,39115.34,2651.593,66880.391,2389.5835,61135.012,2713.5591,62288.883,2943.1345,65000.859,4127.0132,71521.063,3336.5405,47897.93,3432.6714,42553.93,,53540.531,,65089.883,3006.2791,84163.008,3102.6602,82264.766,3425.9714,84370.094
152200,兴安盟,150000,内蒙古自治区,618.17999,20697.916,363.07501,11686.623,419.0426,19583.443,508.00903,13263.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152500,锡林郭勒盟,150000,内蒙古自治区,297.51105,16223.931,808.45038,38857.105,877.8288,56933.715,1071.3579,54184.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152900,阿拉善盟,150000,内蒙古自治区,1091.7753,57173.031,1414.7856,89728.148,1644.2382,141268.73,2035.067,158337.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210100,沈阳市,210000,辽宁省,1633.5468,104554.04,1793.8092,107871.01,2032.2543,96501.453,2326.7742,96873.758,2739.1409,81427.953,2983.2952,114718.27,3581.0544,131878.23,4538.1094,148178.19,5410.6099,135225.91,5957.4458,147572.11,6972.6797,109041.48,8185.5737,151021.63,9109.5293,174718.45,9845.3721,169439.38,9713.6084,172886.3,9956.6055,175055.27,7557.5005,184407.53,7854.3564,200157.72,8445.0381,214204.45,8565.3457,209414.94,8627.5439,215089.75,9472.9883,228101.2
210200,大连市,210000,辽宁省,2014.0889,56536.844,2227.9844,93908.406,2520.344,73105.516,2914.2983,107065.78,3493.1626,93509.141,3807.2351,91207.852,4491.645,129706.9,5414.5278,107099.45,6613.3867,141691.05,7437.6025,129350.45,8796.3164,99737.055,10451.362,145631.67,11863.173,137175.27,12936.743,139565.36,12881.67,137920.05,13024.994,138729.69,11434.184,140261.98,11749.579,151922.17,12883.875,158365.84,11694.866,160824.3,11686.171,157991.66,12965.456,176991.53
210300,鞍山市,210000,辽宁省,1688.615,50797.961,1863.7777,61784.473,2056.7449,56855.168,2288.9373,74618.953,2899.9712,63380.879,2928.6824,59113.281,3255.043,87896.563,3836.4934,105763.92,4575.5835,91076.883,4916.1079,97359.195,6040.3926,76838.172,6822.4209,105128.13,6934.9585,110065.26,7499.2856,110160.15,6852.082,102835.87,6754.3252,89509.141,4229.0171,98145.164,4689.3252,116513.35,5123.0488,141296.16,5136.3188,130138.39,5168.8467,133610.95,5663.0762,139407.91
210400,抚顺市,210000,辽宁省,1022.9406,35202.43,1140.228,41140.566,1239.1862,52016.484,1396.1863,41852.531,1667.4078,47871.566,1739.0375,47678.941,2044.7522,53254.266,2446.312,58521.906,2967.9211,53488.18,3138.5444,75009.469,4052.3313,53438.152,5058.4639,83053.836,5637.7959,114696.41,6148.853,120149.55,5872.0454,120806.95,5637.0586,113362.11,4027.3374,113644.01,4508.3896,120664.59,5020.6851,125706.77,4098.1265,114761.54,4089.9209,110622.92,4333.0024,120968.63
210500,本溪市,210000,辽宁省,1007.7498,40641.063,1132.9648,45735.566,1235.6321,35256.223,1498.4674,31527.648,1874.8403,45694.305,2194.949,39301.602,2562.9961,47899.996,3108.4617,67768.633,3923.314,64735.125,4426.9453,81717.742,5565.1357,64479.305,6769.832,81980.188,7260.814,90263.18,7837.5576,124347.96,7705.5605,113371.34,7702.9946,101601.48,5111.3984,110246.95,5264.8438,123428.5,5629.8677,147459,5405.3501,134452.88,5691.0117,125568.29,6333.0786,120674.41
210600,丹东市,210000,辽宁省,717.38916,13126.613,774.18878,23701.191,839.82593,18023.975,965.79602,19993.172,1205.4357,27037.568,1346.2047,22374.719,1588.9896,27146.797,1910.3335,28112.207,2323.2798,27268.719,2504.2046,31237.352,3019.4285,41367.863,3685.8879,45020.953,4221.9263,45900.641,4621.4526,54658.055,4272.3535,51182.773,4136.4995,48691.629,3157.7773,52163.051,3346.1018,58135.121,3488.8462,61537.676,3297.6677,66701.633,3378.4136,66695.797,3729.5354,83500.453
210700,锦州市,210000,辽宁省,639.21051,26291.451,704.64679,34985.695,790.84985,33745.395,916.0976,33012.355,1114.7499,31708.652,1238.8583,24964.256,1488.5187,36645.09,1781.1572,43352.824,2226.5076,44743.418,2344.6162,53383.148,2960.2012,38525.402,3622.8567,67822.539,4037.394,78809.68,4396.6333,56983.039,4467.7334,56828.328,4386.415,60504.758,3417.6499,62625.426,3636.6086,79154.016,4042.0654,88772.094,3657.2229,94322.234,3706.1873,97216.477,3992.8379,98858.781
