county,countyCode,year,total_sol,city,cityCode,province,provinceCode
多伦县,152531,2013,8.065696045041538,锡林郭勒盟,152500,内蒙古自治区,150000
突泉县,152224,2013,9.023696044893722,兴安盟,152200,内蒙古自治区,150000
阿拉善右旗,152922,2013,6.352046254277606,阿拉善盟,152900,内蒙古自治区,150000
阿拉善左旗,152921,2013,7.708327009470614,阿拉善盟,152900,内蒙古自治区,150000
额济纳旗,152923,2013,6.864109977405002,阿拉善盟,152900,内蒙古自治区,150000
阿巴嘎旗,152522,2013,6.330937279034438,锡林郭勒盟,152500,内蒙古自治区,150000
东乌珠穆沁旗,152525,2013,6.782852615690567,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特右旗,152524,2013,6.696332244470364,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特左旗,152523,2013,6.447668766174616,锡林郭勒盟,152500,内蒙古自治区,150000
太仆寺旗,152527,2013,8.091754872770682,锡林郭勒盟,152500,内蒙古自治区,150000
西乌珠穆沁旗,152526,2013,7.436260531432275,锡林郭勒盟,152500,内蒙古自治区,150000
镶黄旗,152528,2013,7.026216182147105,锡林郭勒盟,152500,内蒙古自治区,150000
正蓝旗,152530,2013,7.639797543456356,锡林郭勒盟,152500,内蒙古自治区,150000
正镶白旗,152529,2013,6.450043361175775,锡林郭勒盟,152500,内蒙古自治区,150000
科尔沁右翼前旗,152221,2013,9.504337327183457,兴安盟,152200,内蒙古自治区,150000
科尔沁右翼中旗,152222,2013,6.799096950200958,兴安盟,152200,内蒙古自治区,150000
扎赉特旗,152223,2013,7.738114622653145,兴安盟,152200,内蒙古自治区,150000
二连浩特市,152501,2013,9.530689986322496,锡林郭勒盟,152500,内蒙古自治区,150000
锡林浩特市,152502,2013,8.720817112683525,锡林郭勒盟,152500,内蒙古自治区,150000
阿尔山市,152202,2013,6.47552945689002,兴安盟,152200,内蒙古自治区,150000
乌兰浩特市,152201,2013,13.147765448241014,兴安盟,152200,内蒙古自治区,150000
呼玛县,232721,2013,6.6096218720365645,大兴安岭地区,232700,黑龙江省,230000
塔河县,232722,2013,8.863492098235785,大兴安岭地区,232700,黑龙江省,230000
