county,countyCode,year,total_sol,city,cityCode,province,provinceCode
多伦县,152531,2013,0.2870767653061226,锡林郭勒盟,152500,内蒙古自治区,150000
突泉县,152224,2013,0.040806349587414824,兴安盟,152200,内蒙古自治区,150000
阿拉善右旗,152922,2013,0.0017124310975342885,阿拉善盟,152900,内蒙古自治区,150000
阿拉善左旗,152921,2013,0.02283396552971211,阿拉善盟,152900,内蒙古自治区,150000
额济纳旗,152923,2013,0.0054365702462171464,阿拉善盟,152900,内蒙古自治区,150000
阿巴嘎旗,152522,2013,0.003995395576812015,锡林郭勒盟,152500,内蒙古自治区,150000
东乌珠穆沁旗,152525,2013,0.007548654450594862,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特右旗,152524,2013,0.01212878340898368,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特左旗,152523,2013,0.002348500809052996,锡林郭勒盟,152500,内蒙古自治区,150000
太仆寺旗,152527,2013,0.11947296934306731,锡林郭勒盟,152500,内蒙古自治区,150000
西乌珠穆沁旗,152526,2013,0.028345747360521915,锡林郭勒盟,152500,内蒙古自治区,150000
镶黄旗,152528,2013,0.022928858360569036,锡林郭勒盟,152500,内蒙古自治区,150000
正蓝旗,152530,2013,0.04163421862261759,锡林郭勒盟,152500,内蒙古自治区,150000
正镶白旗,152529,2013,0.014568412760652705,锡林郭勒盟,152500,内蒙古自治区,150000
科尔沁右翼前旗,152221,2013,0.034870845562046365,兴安盟,152200,内蒙古自治区,150000
科尔沁右翼中旗,152222,2013,0.01694589436848407,兴安盟,152200,内蒙古自治区,150000
扎赉特旗,152223,2013,0.03684012333314118,兴安盟,152200,内蒙古自治区,150000
二连浩特市,152501,2013,0.13774072183734729,锡林郭勒盟,152500,内蒙古自治区,150000
锡林浩特市,152502,2013,0.11898955110317909,锡林郭勒盟,152500,内蒙古自治区,150000
阿尔山市,152202,2013,0.010161715042028846,兴安盟,152200,内蒙古自治区,150000
乌兰浩特市,152201,2013,0.42383026304654536,兴安盟,152200,内蒙古自治区,150000
呼玛县,232721,2013,0.004062877778702135,大兴安岭地区,232700,黑龙江省,230000
塔河县,232722,2013,0.010662884320790687,大兴安岭地区,232700,黑龙江省,230000
加格达奇区,232718,2013,0.16204442078258113,大兴安岭地区,232700,黑龙江省,230000
漠河市,232701,2013,0.009673241797053037,大兴安岭地区,232700,黑龙江省,230000
措勤县,542527,2013,1.0585469222163118E-4,阿里地区,542500,西藏自治区,540000
噶尔县,542523,2013,0.0026912782496206333,阿里地区,542500,西藏自治区,540000
改则县,542526,2013,3.222611568271588E-5,阿里地区,542500,西藏自治区,540000
革吉县,542525,2013,9.33911304187182E-5,阿里地区,542500,西藏自治区,540000
普兰县,542521,2013,4.783891988441346E-4,阿里地区,542500,西藏自治区,540000
日土县,542524,2013,1.1493409862599574E-4,阿里地区,542500,西藏自治区,540000
札达县,542522,2013,2.127029418640163E-4,阿里地区,542500,西藏自治区,540000
阿瓦提县,652928,2013,0.023921391260239292,阿克苏地区,652900,新疆维吾尔自治区,650000
拜城县,652926,2013,0.1881359334955783,阿克苏地区,652900,新疆维吾尔自治区,650000
柯坪县,652929,2013,0.0038242323240779926,阿克苏地区,652900,新疆维吾尔自治区,650000
沙雅县,652924,2013,0.1313184982701943,阿克苏地区,652900,新疆维吾尔自治区,650000
温宿县,652922,2013,0.07424862659173549,阿克苏地区,652900,新疆维吾尔自治区,650000
乌什县,652927,2013,0.01198897989375003,阿克苏地区,652900,新疆维吾尔自治区,650000
新和县,652925,2013,0.12715435236513672,阿克苏地区,652900,新疆维吾尔自治区,650000
布尔津县,654321,2013,0.015503419756063636,阿勒泰地区,654300,新疆维吾尔自治区,650000
福海县,654323,2013,0.00900896598947099,阿勒泰地区,654300,新疆维吾尔自治区,650000
富蕴县,654322,2013,0.011470766102293861,阿勒泰地区,654300,新疆维吾尔自治区,650000
哈巴河县,654324,2013,0.032845285526358764,阿勒泰地区,654300,新疆维吾尔自治区,650000
吉木乃县,654326,2013,0.04022660849457196,阿勒泰地区,654300,新疆维吾尔自治区,650000
青河县,654325,2013,0.009195561786604389,阿勒泰地区,654300,新疆维吾尔自治区,650000
策勒县,653225,2013,0.0030706817664989503,和田地区,653200,新疆维吾尔自治区,650000
和田县,653221,2013,0.004425695484920766,和田地区,653200,新疆维吾尔自治区,650000
洛浦县,653224,2013,0.02968333374019452,和田地区,653200,新疆维吾尔自治区,650000
民丰县,653227,2013,0.022510364167385277,和田地区,653200,新疆维吾尔自治区,650000
墨玉县,653222,2013,0.02184109518145453,和田地区,653200,新疆维吾尔自治区,650000
皮山县,653223,2013,0.006641751508764232,和田地区,653200,新疆维吾尔自治区,650000
于田县,653226,2013,0.003565227544953235,和田地区,653200,新疆维吾尔自治区,650000
巴楚县,653130,2013,0.02442726319873401,喀什地区,653100,新疆维吾尔自治区,650000
伽师县,653129,2013,0.04893749485555535,喀什地区,653100,新疆维吾尔自治区,650000
麦盖提县,653127,2013,0.02565000171522965,喀什地区,653100,新疆维吾尔自治区,650000
莎车县,653125,2013,0.08269289974156285,喀什地区,653100,新疆维吾尔自治区,650000
疏附县,653121,2013,0.10539136059061029,喀什地区,653100,新疆维吾尔自治区,650000
疏勒县,653122,2013,0.16122627287632263,喀什地区,653100,新疆维吾尔自治区,650000
叶城县,653126,2013,0.03234939557524787,喀什地区,653100,新疆维吾尔自治区,650000
英吉沙县,653123,2013,0.05641364963726555,喀什地区,653100,新疆维吾尔自治区,650000
岳普湖县,653128,2013,0.0734066843762012,喀什地区,653100,新疆维吾尔自治区,650000
泽普县,653124,2013,0.6350912211271743,喀什地区,653100,新疆维吾尔自治区,650000
额敏县,654221,2013,0.022726451682347597,塔城地区,654200,新疆维吾尔自治区,650000
托里县,654224,2013,0.011965540826494333,塔城地区,654200,新疆维吾尔自治区,650000
裕民县,654225,2013,0.005894860979840467,塔城地区,654200,新疆维吾尔自治区,650000
阿克苏市,652901,2013,0.12873310204426483,阿克苏地区,652900,新疆维吾尔自治区,650000
库车市,652902,2013,0.4935377617914548,阿克苏地区,652900,新疆维吾尔自治区,650000
阿勒泰市,654301,2013,0.057917842925612695,阿勒泰地区,654300,新疆维吾尔自治区,650000
和田市,653201,2013,2.1612574321275093,和田地区,653200,新疆维吾尔自治区,650000
喀什市,653101,2013,1.7046961120813382,喀什地区,653100,新疆维吾尔自治区,650000
沙湾市,654223,2013,0.07072697967630451,塔城地区,654200,新疆维吾尔自治区,650000
塔城市,654201,2013,0.09797336447643205,塔城地区,654200,新疆维吾尔自治区,650000
乌苏市,654202,2013,0.0666035842698115,塔城地区,654200,新疆维吾尔自治区,650000
塔什库尔干塔吉克自治县,653131,2013,0.0021164625982452276,喀什地区,653100,新疆维吾尔自治区,650000
和布克赛尔蒙古自治县,654226,2013,0.026866563554563433,塔城地区,654200,新疆维吾尔自治区,650000
台湾省,710000,2013,3.98378028195305,台湾省,710000,台湾省,710000
昌宁县,530524,2013,0.07889994309097002,保山市,530500,云南省,530000
龙陵县,530523,2013,0.09865525384748079,保山市,530500,云南省,530000
施甸县,530521,2013,0.07766096107693674,保山市,530500,云南省,530000
富民县,530124,2013,0.3985943841806269,昆明市,530100,云南省,530000
嵩明县,530127,2013,1.2268618766666857,昆明市,530100,云南省,530000
宜良县,530125,2013,0.3666391519661915,昆明市,530100,云南省,530000
华坪县,530723,2013,0.1769690092406071,丽江市,530700,云南省,530000
永胜县,530722,2013,0.06231297018134716,丽江市,530700,云南省,530000
凤庆县,530921,2013,0.1017671269945171,临沧市,530900,云南省,530000
永德县,530923,2013,0.0340711330754444,临沧市,530900,云南省,530000
云县,530922,2013,0.09916004070314365,临沧市,530900,云南省,530000
镇康县,530924,2013,0.09023835692032052,临沧市,530900,云南省,530000
富源县,530325,2013,0.3062683517109564,曲靖市,530300,云南省,530000
会泽县,530326,2013,0.13882798289110485,曲靖市,530300,云南省,530000
陆良县,530322,2013,0.2315657361167124,曲靖市,530300,云南省,530000
罗平县,530324,2013,0.2811478632820209,曲靖市,530300,云南省,530000
师宗县,530323,2013,0.20215997784292183,曲靖市,530300,云南省,530000
华宁县,530424,2013,0.2222189469990419,玉溪市,530400,云南省,530000
通海县,530423,2013,0.580343543908974,玉溪市,530400,云南省,530000
易门县,530425,2013,0.10119469320722334,玉溪市,530400,云南省,530000
大关县,530624,2013,0.04546778251455952,昭通市,530600,云南省,530000
鲁甸县,530621,2013,0.20647638233514276,昭通市,530600,云南省,530000
巧家县,530622,2013,0.07409250120109612,昭通市,530600,云南省,530000
绥江县,530626,2013,0.13752961485672244,昭通市,530600,云南省,530000
威信县,530629,2013,0.08194980678435805,昭通市,530600,云南省,530000
盐津县,530623,2013,0.02814422679166153,昭通市,530600,云南省,530000
彝良县,530628,2013,0.05075993889422673,昭通市,530600,云南省,530000
永善县,530625,2013,0.10324961052114372,昭通市,530600,云南省,530000
镇雄县,530627,2013,0.09093538532780837,昭通市,530600,云南省,530000
腾冲市,530581,2013,0.09377147058826472,保山市,530500,云南省,530000
安宁市,530181,2013,1.810031980509392,昆明市,530100,云南省,530000
宣威市,530381,2013,0.2385805916567096,曲靖市,530300,云南省,530000
澄江市,530481,2013,1.2042490800446888,玉溪市,530400,云南省,530000
水富市,530681,2013,0.5598022232334073,昭通市,530600,云南省,530000
隆阳区,530502,2013,0.19154172134201114,保山市,530500,云南省,530000
呈贡区,530114,2013,6.4698870675170905,昆明市,530100,云南省,530000
东川区,530113,2013,0.27384378906146867,昆明市,530100,云南省,530000
官渡区,530111,2013,9.7688323203666,昆明市,530100,云南省,530000
晋宁区,530115,2013,1.167513703444978,昆明市,530100,云南省,530000
盘龙区,530103,2013,2.711586423975843,昆明市,530100,云南省,530000
五华区,530102,2013,5.82074383342152,昆明市,530100,云南省,530000
西山区,530112,2013,4.100045450480827,昆明市,530100,云南省,530000
古城区,530702,2013,1.2506136467851994,丽江市,530700,云南省,530000
临翔区,530902,2013,0.21922896090375701,临沧市,530900,云南省,530000
思茅区,530802,2013,0.28287965389746766,普洱市,530800,云南省,530000
马龙区,530304,2013,0.38225943383646405,曲靖市,530300,云南省,530000
麒麟区,530302,2013,1.3899289708762694,曲靖市,530300,云南省,530000
沾益区,530303,2013,0.3803452837221503,曲靖市,530300,云南省,530000
红塔区,530402,2013,2.5958930988509605,玉溪市,530400,云南省,530000
江川区,530403,2013,0.34264327893886565,玉溪市,530400,云南省,530000
昭阳区,530602,2013,0.7550423566833442,昭通市,530600,云南省,530000
禄劝彝族苗族自治县,530128,2013,0.09800993467866481,昆明市,530100,云南省,530000
石林彝族自治县,530126,2013,0.32751811055776303,昆明市,530100,云南省,530000
寻甸回族彝族自治县,530129,2013,0.22475188453889466,昆明市,530100,云南省,530000
宁蒗彝族自治县,530724,2013,0.03102820248608808,丽江市,530700,云南省,530000
玉龙纳西族自治县,530721,2013,0.12109778374978857,丽江市,530700,云南省,530000
沧源佤族自治县,530927,2013,0.07988254417508082,临沧市,530900,云南省,530000
耿马傣族佤族自治县,530926,2013,0.08193650763343815,临沧市,530900,云南省,530000
双江拉祜族佤族布朗族傣族自治县,530925,2013,0.03495071927600505,临沧市,530900,云南省,530000
江城哈尼族彝族自治县,530826,2013,0.016444692919772675,普洱市,530800,云南省,530000
景东彝族自治县,530823,2013,0.025915442823253833,普洱市,530800,云南省,530000
景谷傣族彝族自治县,530824,2013,0.02518117885514217,普洱市,530800,云南省,530000
澜沧拉祜族自治县,530828,2013,0.03221448824803339,普洱市,530800,云南省,530000
孟连傣族拉祜族佤族自治县,530827,2013,0.06573014843441571,普洱市,530800,云南省,530000
墨江哈尼族自治县,530822,2013,0.032499724888571106,普洱市,530800,云南省,530000
宁洱哈尼族彝族自治县,530821,2013,0.04619923837191972,普洱市,530800,云南省,530000
西盟佤族自治县,530829,2013,0.03094529029071955,普洱市,530800,云南省,530000
镇沅彝族哈尼族拉祜族自治县,530825,2013,0.023915056829372543,普洱市,530800,云南省,530000
峨山彝族自治县,530426,2013,0.19560129334065127,玉溪市,530400,云南省,530000
新平彝族傣族自治县,530427,2013,0.1341798626322217,玉溪市,530400,云南省,530000
元江哈尼族彝族傣族自治县,530428,2013,0.2224392524771109,玉溪市,530400,云南省,530000
通榆县,220822,2013,0.035478028475029996,白城市,220800,吉林省,220000
镇赉县,220821,2013,0.13725035082194553,白城市,220800,吉林省,220000
抚松县,220621,2013,0.07972643165476137,白山市,220600,吉林省,220000
靖宇县,220622,2013,0.09293101654912572,白山市,220600,吉林省,220000
永吉县,220221,2013,0.14681972073339952,吉林市,220200,吉林省,220000
东丰县,220421,2013,0.17095719586140726,辽源市,220400,吉林省,220000
东辽县,220422,2013,0.11973771761808431,辽源市,220400,吉林省,220000
梨树县,220322,2013,0.1840926297979262,四平市,220300,吉林省,220000
乾安县,220723,2013,0.13828453995208603,松原市,220700,吉林省,220000
长岭县,220722,2013,0.07252694035380419,松原市,220700,吉林省,220000
辉南县,220523,2013,0.1331920706785138,通化市,220500,吉林省,220000
柳河县,220524,2013,0.12260779393127784,通化市,220500,吉林省,220000
通化县,220521,2013,0.0768014667357909,通化市,220500,吉林省,220000
农安县,220122,2013,0.1751168311268722,长春市,220100,吉林省,220000
大安市,220882,2013,0.101322400551377,白城市,220800,吉林省,220000
洮南市,220881,2013,0.07115088695694052,白城市,220800,吉林省,220000
临江市,220681,2013,0.0422925330967247,白山市,220600,吉林省,220000
桦甸市,220282,2013,0.09125788888867081,吉林市,220200,吉林省,220000
蛟河市,220281,2013,0.07383247143621982,吉林市,220200,吉林省,220000
磐石市,220284,2013,0.23001932961864516,吉林市,220200,吉林省,220000
舒兰市,220283,2013,0.17857894071818411,吉林市,220200,吉林省,220000
双辽市,220382,2013,0.1492045154219854,四平市,220300,吉林省,220000
扶余市,220781,2013,0.10206565901808394,松原市,220700,吉林省,220000
集安市,220582,2013,0.0465957569926258,通化市,220500,吉林省,220000
梅河口市,220581,2013,0.32642867096047085,通化市,220500,吉林省,220000
德惠市,220183,2013,0.20255838105557347,长春市,220100,吉林省,220000
公主岭市,220184,2013,0.3373638497117633,长春市,220100,吉林省,220000
榆树市,220182,2013,0.16108958928249908,长春市,220100,吉林省,220000
洮北区,220802,2013,0.29950964325528046,白城市,220800,吉林省,220000
浑江区,220602,2013,0.542476311126448,白山市,220600,吉林省,220000
江源区,220605,2013,0.26605600287777387,白山市,220600,吉林省,220000
昌邑区,220202,2013,2.0746342301107568,吉林市,220200,吉林省,220000
船营区,220204,2013,1.8691407306238845,吉林市,220200,吉林省,220000
丰满区,220211,2013,1.5020857610625966,吉林市,220200,吉林省,220000
龙潭区,220203,2013,1.628355393776095,吉林市,220200,吉林省,220000
龙山区,220402,2013,4.051366147178825,辽源市,220400,吉林省,220000
西安区,220403,2013,4.742101277997511,辽源市,220400,吉林省,220000
铁东区,220303,2013,1.2529022957428693,四平市,220300,吉林省,220000
宁江区,220702,2013,1.744922816672159,松原市,220700,吉林省,220000
东昌区,220502,2013,1.3130124524627722,通化市,220500,吉林省,220000
二道江区,220503,2013,0.9842047408678043,通化市,220500,吉林省,220000
朝阳区,220104,2013,15.692666550827704,长春市,220100,吉林省,220000
二道区,220105,2013,5.50541168514473,长春市,220100,吉林省,220000
九台区,220113,2013,0.5275011841943683,长春市,220100,吉林省,220000
宽城区,220103,2013,3.637341631430648,长春市,220100,吉林省,220000
绿园区,220106,2013,13.76417253195909,长春市,220100,吉林省,220000
南关区,220102,2013,11.177681034565015,长春市,220100,吉林省,220000
双阳区,220112,2013,0.7501806379374063,长春市,220100,吉林省,220000
铁西区,220302,2013,4.385252077892438,四平市,220300,吉林省,220000
长白朝鲜族自治县,220623,2013,0.026134278403053216,白山市,220600,吉林省,220000
伊通满族自治县,220323,2013,0.23518386692445564,四平市,220300,吉林省,220000
前郭尔罗斯蒙古族自治县,220721,2013,0.1789761018498397,松原市,220700,吉林省,220000
南江县,511922,2013,0.0741461925687482,巴中市,511900,四川省,510000
平昌县,511923,2013,0.08527950604552949,巴中市,511900,四川省,510000
通江县,511921,2013,0.036143142217796506,巴中市,511900,四川省,510000
大邑县,510129,2013,0.6305457532061647,成都市,510100,四川省,510000
金堂县,510121,2013,1.0028332411839946,成都市,510100,四川省,510000
蒲江县,510131,2013,0.41300072852231956,成都市,510100,四川省,510000
大竹县,511724,2013,0.20889012374748708,达州市,511700,四川省,510000
开江县,511723,2013,0.24504150001758912,达州市,511700,四川省,510000
渠县,511725,2013,0.17735873213947195,达州市,511700,四川省,510000
宣汉县,511722,2013,0.14511091001412527,达州市,511700,四川省,510000
中江县,510623,2013,0.26562450556822426,德阳市,510600,四川省,510000
邻水县,511623,2013,0.15242138906990832,广安市,511600,四川省,510000
武胜县,511622,2013,0.3565854713621249,广安市,511600,四川省,510000
岳池县,511621,2013,0.19722828535478767,广安市,511600,四川省,510000
苍溪县,510824,2013,0.14140050830548395,广元市,510800,四川省,510000
剑阁县,510823,2013,0.0675355876847106,广元市,510800,四川省,510000
青川县,510822,2013,0.05717594862058204,广元市,510800,四川省,510000
旺苍县,510821,2013,0.07602844148463107,广元市,510800,四川省,510000
夹江县,511126,2013,0.5979382407749048,乐山市,511100,四川省,510000
犍为县,511123,2013,0.12706471691009633,乐山市,511100,四川省,510000
井研县,511124,2013,0.09027328761481511,乐山市,511100,四川省,510000
沐川县,511129,2013,0.09611656999182736,乐山市,511100,四川省,510000
古蔺县,510525,2013,0.08499122967132526,泸州市,510500,四川省,510000
合江县,510522,2013,0.13894125940230256,泸州市,510500,四川省,510000
泸县,510521,2013,0.1414285272217185,泸州市,510500,四川省,510000
叙永县,510524,2013,0.06356088256719393,泸州市,510500,四川省,510000
丹棱县,511424,2013,0.13936373489425247,眉山市,511400,四川省,510000
洪雅县,511423,2013,0.08950497603765037,眉山市,511400,四川省,510000
青神县,511425,2013,0.34805779228086137,眉山市,511400,四川省,510000
仁寿县,511421,2013,0.20759325712033852,眉山市,511400,四川省,510000
平武县,510727,2013,0.015488429770528256,绵阳市,510700,四川省,510000
三台县,510722,2013,0.13427728411099316,绵阳市,510700,四川省,510000
盐亭县,510723,2013,0.14754159720554175,绵阳市,510700,四川省,510000
梓潼县,510725,2013,0.16535040492284098,绵阳市,510700,四川省,510000
南部县,511321,2013,0.16583576166791184,南充市,511300,四川省,510000
蓬安县,511323,2013,0.1601891542485136,南充市,511300,四川省,510000
西充县,511325,2013,0.19229967374646673,南充市,511300,四川省,510000
仪陇县,511324,2013,0.12874058904565164,南充市,511300,四川省,510000
营山县,511322,2013,0.16393169168601818,南充市,511300,四川省,510000
威远县,511024,2013,0.6273055073945152,内江市,511000,四川省,510000
资中县,511025,2013,0.19509464921703365,内江市,511000,四川省,510000
米易县,510421,2013,0.2547644360764816,攀枝花市,510400,四川省,510000
盐边县,510422,2013,0.13157388911619686,攀枝花市,510400,四川省,510000
大英县,510923,2013,0.555239156199117,遂宁市,510900,四川省,510000
蓬溪县,510921,2013,0.27345158356760046,遂宁市,510900,四川省,510000
宝兴县,511827,2013,0.02002305202579642,雅安市,511800,四川省,510000
汉源县,511823,2013,0.18078494784626636,雅安市,511800,四川省,510000
芦山县,511826,2013,0.08371583767824747,雅安市,511800,四川省,510000
石棉县,511824,2013,0.16074963904268857,雅安市,511800,四川省,510000
天全县,511825,2013,0.034696316601618434,雅安市,511800,四川省,510000
荥经县,511822,2013,0.10772278594307905,雅安市,511800,四川省,510000
高县,511525,2013,0.07225830018188603,宜宾市,511500,四川省,510000
珙县,511526,2013,0.16303926429738258,宜宾市,511500,四川省,510000
江安县,511523,2013,0.1445405581082973,宜宾市,511500,四川省,510000
屏山县,511529,2013,0.0866784922378556,宜宾市,511500,四川省,510000
兴文县,511528,2013,0.08110621058418739,宜宾市,511500,四川省,510000
