county,countyCode,year,hviirs,city,cityCode,province,provinceCode
多伦县,152531,2013,25168.45098,锡林郭勒盟,152500,内蒙古自治区,150000
突泉县,152224,2013,3682.658824,兴安盟,152200,内蒙古自治区,150000
阿拉善右旗,152922,2013,14420.06667,阿拉善盟,152900,内蒙古自治区,150000
阿拉善左旗,152921,2013,71701.58824,阿拉善盟,152900,内蒙古自治区,150000
额济纳旗,152923,2013,32130.1451,阿拉善盟,152900,内蒙古自治区,150000
阿巴嘎旗,152522,2013,14185.17255,锡林郭勒盟,152500,内蒙古自治区,150000
东乌珠穆沁旗,152525,2013,14873.43922,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特右旗,152524,2013,21005.92157,锡林郭勒盟,152500,内蒙古自治区,150000
苏尼特左旗,152523,2013,9076.623529,锡林郭勒盟,152500,内蒙古自治区,150000
太仆寺旗,152527,2013,15976.01176,锡林郭勒盟,152500,内蒙古自治区,150000
西乌珠穆沁旗,152526,2013,35097.4,锡林郭勒盟,152500,内蒙古自治区,150000
镶黄旗,152528,2013,8087.615686,锡林郭勒盟,152500,内蒙古自治区,150000
正蓝旗,152530,2013,20279.49804,锡林郭勒盟,152500,内蒙古自治区,150000
正镶白旗,152529,2013,9975.105882,锡林郭勒盟,152500,内蒙古自治区,150000
科尔沁右翼前旗,152221,2013,12533.31373,兴安盟,152200,内蒙古自治区,150000
科尔沁右翼中旗,152222,2013,14621.09804,兴安盟,152200,内蒙古自治区,150000
扎赉特旗,152223,2013,8609.972549,兴安盟,152200,内蒙古自治区,150000
二连浩特市,152501,2013,12843.25882,锡林郭勒盟,152500,内蒙古自治区,150000
锡林浩特市,152502,2013,41904.03922,锡林郭勒盟,152500,内蒙古自治区,150000
阿尔山市,152202,2013,2780.643137,兴安盟,152200,内蒙古自治区,150000
乌兰浩特市,152201,2013,13367.87451,兴安盟,152200,内蒙古自治区,150000
呼玛县,232721,2013,5001.980392,大兴安岭地区,232700,黑龙江省,230000
塔河县,232722,2013,3175.980392,大兴安岭地区,232700,黑龙江省,230000
加格达奇区,232718,2013,4125,大兴安岭地区,232700,黑龙江省,230000
漠河市,232701,2013,6243.815686,大兴安岭地区,232700,黑龙江省,230000
措勤县,542527,2013,882,阿里地区,542500,西藏自治区,540000
噶尔县,542523,2013,3590.023529,阿里地区,542500,西藏自治区,540000
改则县,542526,2013,8298.458824,阿里地区,542500,西藏自治区,540000
革吉县,542525,2013,1474.952941,阿里地区,542500,西藏自治区,540000
普兰县,542521,2013,708,阿里地区,542500,西藏自治区,540000
日土县,542524,2013,23046.23137,阿里地区,542500,西藏自治区,540000
札达县,542522,2013,974.4117647,阿里地区,542500,西藏自治区,540000
阿瓦提县,652928,2013,19867.34902,阿克苏地区,652900,新疆维吾尔自治区,650000
拜城县,652926,2013,81659.63922,阿克苏地区,652900,新疆维吾尔自治区,650000
柯坪县,652929,2013,8883.505882,阿克苏地区,652900,新疆维吾尔自治区,650000
沙雅县,652924,2013,111059.3725,阿克苏地区,652900,新疆维吾尔自治区,650000
温宿县,652922,2013,62948.34118,阿克苏地区,652900,新疆维吾尔自治区,650000
乌什县,652927,2013,10218.34118,阿克苏地区,652900,新疆维吾尔自治区,650000
新和县,652925,2013,42362.46667,阿克苏地区,652900,新疆维吾尔自治区,650000
布尔津县,654321,2013,3329,阿勒泰地区,654300,新疆维吾尔自治区,650000
福海县,654323,2013,12399.41176,阿勒泰地区,654300,新疆维吾尔自治区,650000
富蕴县,654322,2013,10379.17647,阿勒泰地区,654300,新疆维吾尔自治区,650000
哈巴河县,654324,2013,7124.505882,阿勒泰地区,654300,新疆维吾尔自治区,650000
吉木乃县,654326,2013,4367.129412,阿勒泰地区,654300,新疆维吾尔自治区,650000
青河县,654325,2013,4596.764706,阿勒泰地区,654300,新疆维吾尔自治区,650000
策勒县,653225,2013,43688.67059,和田地区,653200,新疆维吾尔自治区,650000
和田县,653221,2013,23862.03137,和田地区,653200,新疆维吾尔自治区,650000
洛浦县,653224,2013,18149.10588,和田地区,653200,新疆维吾尔自治区,650000
民丰县,653227,2013,32625.68235,和田地区,653200,新疆维吾尔自治区,650000
墨玉县,653222,2013,26675.75686,和田地区,653200,新疆维吾尔自治区,650000
皮山县,653223,2013,31672.1098,和田地区,653200,新疆维吾尔自治区,650000
于田县,653226,2013,31885.75294,和田地区,653200,新疆维吾尔自治区,650000
巴楚县,653130,2013,42929.69412,喀什地区,653100,新疆维吾尔自治区,650000
伽师县,653129,2013,26029.35686,喀什地区,653100,新疆维吾尔自治区,650000
麦盖提县,653127,2013,22391.31373,喀什地区,653100,新疆维吾尔自治区,650000
莎车县,653125,2013,38694.30588,喀什地区,653100,新疆维吾尔自治区,650000
疏附县,653121,2013,15400.61569,喀什地区,653100,新疆维吾尔自治区,650000
疏勒县,653122,2013,16074.39608,喀什地区,653100,新疆维吾尔自治区,650000
叶城县,653126,2013,37261.04706,喀什地区,653100,新疆维吾尔自治区,650000
英吉沙县,653123,2013,16187.67059,喀什地区,653100,新疆维吾尔自治区,650000
岳普湖县,653128,2013,13133.15686,喀什地区,653100,新疆维吾尔自治区,650000
