id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,county,regionid,city,province,RegionCode
"1",214899.859999999986030,225246.829999999987194,236794.859999999986030,268731.409999999974389,306465.130000000004657,377685.409999999974389,438308.309999999997672,523613.219999999972060,634064.060000000055879,707563.439999999944121,830510.630000000004657,1032190.400000000023283,1191801.300000000046566,1247583.899999999906868,1329446.399999999906868,1402696.300000000046566,1484749.000000000000000,1561064.600000000093132,1677620.000000000000000,1775936.100000000093132,1825029.399999999906868, ,"110101", , ,"110101"
"2",216248.920000000012806,227069.769999999989523,239196.170000000012806,269918.059999999997672,303780.500000000000000,385166.909999999974389,448486.000000000000000,532089.750000000000000,640645.560000000055879,715252.939999999944121,826522.060000000055879,1045455.699999999953434,1196282.100000000093132,1253186.000000000000000,1336297.800000000046566,1412684.300000000046566,1492783.600000000093132,1568594.899999999906868,1690447.300000000046566,1789829.100000000093132,1835838.300000000046566, ,"110102", , ,"110102"
"3",239389.920000000012806,257112.920000000012806,274689.469999999972060,310810.380000000004657,358013.590000000025611,442784.840000000025611,519836.780000000027940,621940.689999999944121,750776.250000000000000,840803.060000000055879,986067.689999999944121,1211233.399999999906868,1389675.500000000000000,1432710.100000000093132,1527729.399999999906868,1616046.300000000046566,1706076.100000000093132,1800496.500000000000000,1934548.899999999906868,2052266.399999999906868,2110612.000000000000000, ,"110105", , ,"110105"
"4",230760.000000000000000,243107.380000000004657,260104.230000000010477,292444.159999999974389,339512.719999999972060,418583.469999999972060,493713.969999999972060,585352.310000000055879,705865.000000000000000,789660.250000000000000,935605.380000000004657,1142725.800000000046566,1310270.100000000093132,1356285.500000000000000,1452752.500000000000000,1538224.800000000046566,1626127.600000000093132,1717531.399999999906868,1845538.800000000046566,1961295.399999999906868,2013583.800000000046566, ,"110106", , ,"110106"
"5",202686.089999999996508,219385.529999999998836,233333.660000000003492,264215.909999999974389,306784.440000000002328,378451.969999999972060,442838.469999999972060,529794.000000000000000,637485.500000000000000,710562.439999999944121,839567.500000000000000,1031099.300000000046566,1170369.300000000046566,1222227.800000000046566,1304796.000000000000000,1387765.800000000046566,1462686.800000000046566,1537092.600000000093132,1652614.600000000093132,1770210.600000000093132,1823708.800000000046566,石景山区,"110107", , ,"110107"
"6",235911.049999999988358,249042.250000000000000,264655.219999999972060,299342.750000000000000,344689.280000000027940,425753.409999999974389,496200.159999999974389,589765.560000000055879,712936.130000000004657,795409.750000000000000,946754.939999999944121,1155006.600000000093132,1333802.300000000046566,1375282.300000000046566,1472469.899999999906868,1562375.300000000046566,1651483.399999999906868,1735430.399999999906868,1864156.500000000000000,1985622.300000000046566,2041806.500000000000000, ,"110108", , ,"110108"
"7",185806.049999999988358,198610.799999999988358,214931.829999999987194,240116.339999999996508,296916.940000000002328,357146.409999999974389,428101.409999999974389,507101.750000000000000,600437.750000000000000,664567.560000000055879,843516.060000000055879,993133.560000000055879,1145803.000000000000000,1188098.300000000046566,1263572.800000000046566,1338500.399999999906868,1427810.600000000093132,1514678.600000000093132,1635058.300000000046566,1763196.500000000000000,1812874.500000000000000,门头沟区,"110109", , ,"110109"
"8",197512.230000000010477,217737.440000000002328,233505.730000000010477,261675.170000000012806,317199.130000000004657,376863.280000000027940,447526.840000000025611,535670.060000000055879,633813.130000000004657,708388.500000000000000,877247.630000000004657,1069956.100000000093132,1226334.000000000000000,1308504.500000000000000,1401174.800000000046566,1476340.899999999906868,1566596.100000000093132,1661544.899999999906868,1787151.300000000046566,1902684.800000000046566,1959414.600000000093132, ,"110111", , ,"110111"
"9",207058.380000000004657,227992.630000000004657,248573.859999999986030,283660.250000000000000,329825.750000000000000,397218.750000000000000,478164.969999999972060,577685.380000000004657,697743.250000000000000,793650.310000000055879,938676.189999999944121,1148417.600000000093132,1306164.300000000046566,1356540.300000000046566,1455138.800000000046566,1540888.100000000093132,1629945.500000000000000,1734333.399999999906868,1863363.800000000046566,1990491.100000000093132,2047592.100000000093132, ,"110112", , ,"110112"
"10",210284.380000000004657,230788.170000000012806,246473.440000000002328,282378.440000000002328,328767.130000000004657,399798.909999999974389,471837.159999999974389,564250.560000000055879,699574.880000000004657,788775.880000000004657,941818.189999999944121,1149626.300000000046566,1326729.600000000093132,1366113.600000000093132,1461593.500000000000000,1556085.300000000046566,1646916.000000000000000,1742174.500000000000000,1878555.000000000000000,2003655.399999999906868,2061442.600000000093132, ,"110113", , ,"110113"
