year,regionid,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,ccnl1s,e1s,egdp1s,hdmsp1s,hviirs1s,viirs1s,vl1s,panda1s,ccnl1m,e1m,egdp1m,hdmsp1m,hviirs1m,panda1m,viirs1m,vl1m
1992,310000,上海市,1114.32,34.16,677.39,402.77,3.0655,60.7895,36.1449,8650,,,,357.38,,,1345,,,,235,3625,,110095.1042,21933864952,61952.69453,184551.1333,,,,-10068432.81,11.75667723,3456104.924,9.759542344,18.66382614,,-925.1719992,,
1992,120000,天津市,411.24,30.26,233.41,147.37,7.3582,56.0767,36.565,4481,,,,169.88,,,920,,,,3758,4088,,109262.9739,18497291001,53860.31007,190401.7059,,,,-6842003.416,6.984255087,1787469.098,4.73841264,12.0360431,,-376.3463614,,
1992,110000,北京市,709.1,48.67,345.91,314.52,6.8636,48.7816,44.3534,6458,,,,82.5,,,1102,,,,872.5,10827,,142718.4999,25177580651,71660.10937,238528.7686,,,,26819609.86,6.638248961,1712252.645,4.363186922,16.99226609,,1073.521125,,
1992,330000,浙江省,1365.06,262.67,653.43,459.6,19.0936,47.498,33.4084,3212,,,,361.18,,,4236,,,,867,31294,,168595.3412,40641590147,135192.1427,325445.1294,,,,-101094857.5,1.367634802,448418.5457,1.339403572,7.343056533,,-705.7137971,,
1992,620000,甘肃省,317.79,74.2,128.66,114.93,23.3488,40.4859,36.1654,1384,,,,85.13,,,2314,,,,1884,34822,,62162.31709,26847745858,75778.44083,124831.9804,,,,10610954.42,0.115001945,64168.12415,0.177794593,8.84399477,,16.89319529,,
1992,210000,辽宁省,1472.95,194.6,741.9,536.5,13.212,50.37,36.4247,3693,,,,436.8,,,4016,,,,3758,41548,,358519.6296,42149904366,122932.9252,654653.3882,,,,-46554409.17,1.817021409,343872.5854,0.85264804,9.542162076,,-203.0413603,,
1992,630000,青海省,87.52,19.9,36.31,31.31,22.7377,41.4877,35.7747,1912,,,,30.27,,,461,,,,1100,16854,,13847.5846,29767727075,76052.68185,28133.02745,,,,2994673.973,0.016106191,42720.47343,0.108936446,10.30783312,,2.997417821,,
1992,440000,广东省,2293.54,465.83,1100.32,881.39,19.0326,44.9562,36.0113,3699,,,,921.75,,,6525,,,,1426,55883,,472071.3469,1.01E+11,294338.727,851207.4039,,,,-82573229.07,2.375493285,633910.9901,1.670659892,12.49477391,,-357.5719909,,
1992,320000,江苏省,2136.02,393.82,1119.26,622.94,18.4371,52.3993,29.1636,3106,,,,711.7,,,6911,,,,744,25325,,383006.7583,76718619674,243863.4971,705787.9882,,,,-9318577.965,3.091888141,913156.523,2.408572491,7.877862147,,-64.73604651,,
1992,370000,山东省,2196.53,534.62,999.11,662.8,24.3393,45.4858,30.1749,2556,,,,601.5,,,8610,,,,2048,43134,,523811.8762,70641650684,222394.4221,965308.6863,,,,16958028.44,2.666490762,622409.4839,1.439868328,7.358495781,,74.28766141,,
1992,430000,湖南省,997.7,323.91,341.73,321.34,32.8183,34.6238,32.5579,1595,,,,233.39,,,6267,,,,2302,58110,,74331.00038,21139404904,64274.57681,154783.4,,,,14896205.32,0.309578599,103356.0287,0.302171564,7.869193769,,53.38923543,,
1992,540000,西藏自治区,33.29,16.59,4.46,12.24,49.8348,13.3974,36.7678,1468,,,,13.33,,,228,,,,,21944,,2773.626753,45900174056,118079.6787,5343.27451,,,,-19166300.98,0.001959811,38068.37218,0.097912692,8.945155297,,-11.65424046,,
1992,450000,广西壮族自治区,646.6,233.03,187.48,226.09,36.0393,28.9947,34.966,1490,,,,141.04,,,4380,,,,2294,37291,,81490.87484,21986837978,65419.87361,165429.702,,,,-27225340.46,0.312428316,96400.66001,0.275824119,7.310178051,,-89.82401949,,
1992,500000,重庆市,461.32,117.28,164.58,138.32,25.4227,42.1399,32.4374,1427,,,,,,,,,,,,,,30852.13539,9907342671,31798.19186,62250.71765,,,,6479902.749,0.323009694,123543.6012,0.384691443,8.105164882,,58.38223594,,
1992,610000,陕西省,540.52,116.71,232.07,182.85,21.9532,43.6525,34.3942,1571,,,,142.47,,,3405,,,,2121,38318,,137025.2786,30136618820,93519.82908,261765.2,,,,27231167.16,0.543300908,153442.6458,0.454001316,7.538213419,,92.91479006,,
1992,340000,安徽省,801.16,230.5,333,237.7,28.7693,41.5627,29.668,1390,,,,214.84,,,5834,,,,1672,30571,,122725.0892,26520300148,87086.23168,239988.498,,,,22940894.41,0.74157979,209991.7877,0.6194888,7.32450676,,119.2928517,,
1992,510000,四川省,1624.51,372.04,441.57,363.66,31.6019,37.508,30.8901,1477,,,,304.78,,,10998,,,,,,,80770.83552,35399421396,109295.9546,168657,,,,20335526.79,0.142447372,74168.15611,0.224114763,8.366633835,,30.8627635,,
1992,420000,湖北省,1088.39,303,444.61,340.78,27.8393,40.8502,31.3105,1962,,,,240.73,,,5580,,,,1705,47892,,129864.4276,26613054269,80771.98923,250855.1765,,,,24683617.62,0.596834091,152497.3064,0.433021471,8.758209443,,97.62303489,,
1992,220000,吉林省,558.06,130.82,257.01,170.23,23.4419,46.0542,30.5039,2246,,,,151.08,,,2532,,,,3473,27192,,183315.7554,25873187447,78475.97003,364838.3098,,,,26761830.41,0.693866357,153385.5202,0.410731393,8.37789814,,87.1707309,,
1992,360000,江西省,572.55,200.81,199.4,172.34,35.0729,34.8267,30.1004,1472,,,,125.36,,,3913,,,,1644,33986,,60364.34625,16309720253,50842.23796,124552.502,,,,8607579.373,0.319117936,102374.0631,0.303415335,6.767369237,,39.15878536,,
1992,520000,贵州省,339.91,121.18,122.08,96.65,35.6506,35.9154,28.434,1034,,,,78.82,,,3361,,,,1408,31889,,39953.42795,13690846665,41584.89312,83174.45098,,,,8414026.318,0.201680071,79204.90448,0.235247342,7.108053073,,36.55036748,,
1992,650000,新疆维吾尔自治区,402.31,114.5,147.64,140.17,28.4606,36.6981,34.8413,2477,,,,170.03,,,1581,,,,1578,26024,,110502.4608,86927645747,240071.8771,223099.2627,,,,-17078495.37,0.050925234,53521.808,0.147099674,12.72941165,,-6.773139669,,
1992,230000,黑龙江省,864.04,167,493.1,299.6,17.4013,51.3806,31.2181,2672,,,,,,,3608,,,,5307,47882,,282801.5833,49806383384,147635.4863,565019.1176,,,,28054053.19,0.418859655,120888.9556,0.326199497,9.807154941,,35.77346713,,
