region,regionCode,year,total_sol
安徽省,340000,1992,0.7415797896949673
福建省,350000,1992,0.7396327279177113
甘肃省,620000,1992,0.11500194512877726
广东省,440000,1992,2.3754932845989787
贵州省,520000,1992,0.20168007129066698
海南省,460000,1992,0.4867289480396455
河北省,130000,1992,1.639036478230178
河南省,410000,1992,1.4442623567884927
黑龙江省,230000,1992,0.4188596550324505
湖北省,420000,1992,0.5968340905022842
湖南省,430000,1992,0.309578598720033
吉林省,220000,1992,0.6938663566961529
江苏省,320000,1992,3.091888140827883
江西省,360000,1992,0.31911793590324916
辽宁省,210000,1992,1.817021409475619
青海省,630000,1992,0.01610619100490149
山东省,370000,1992,2.6664907618008797
山西省,140000,1992,1.5409182446377885
陕西省,610000,1992,0.5433009082812981
四川省,510000,1992,0.1424473717543466
台湾省,710000,1992,7.9239490208396
云南省,530000,1992,0.1670551523667657
浙江省,330000,1992,1.367634802401289
北京市,110000,1992,6.638248960952709
上海市,310000,1992,11.756677229416615
天津市,120000,1992,6.984255087018779
重庆市,500000,1992,0.32300969406641705
广西壮族自治区,450000,1992,0.3124283156729187
内蒙古自治区,150000,1992,0.07172468659871845
宁夏回族自治区,640000,1992,0.4619989093495439
西藏自治区,540000,1992,0.0019598112665624046
新疆维吾尔自治区,650000,1992,0.0509252337453201
澳门特别行政区,820000,1992,36.50855798408775
香港特别行政区,810000,1992,30.948039852082974
安徽省,340000,1993,0.6593374181398894
福建省,350000,1993,0.7142277591690493
甘肃省,620000,1993,0.13201261054992325
广东省,440000,1993,2.4024106003591847
贵州省,520000,1993,0.16353635676070505
海南省,460000,1993,0.723397287474228
河北省,130000,1993,1.875395110445951
河南省,410000,1993,1.523361124625412
黑龙江省,230000,1993,0.5355365737472825
湖北省,420000,1993,0.49082041297916346
湖南省,430000,1993,0.25016688471378473
吉林省,220000,1993,0.7558306183477127
江苏省,320000,1993,2.57060150975716
江西省,360000,1993,0.26341801133977266
辽宁省,210000,1993,1.7086624611092314
青海省,630000,1993,0.018883469367560173
山东省,370000,1993,2.9050265250552925
山西省,140000,1993,1.6543264263048485
陕西省,610000,1993,0.5142382627047982
四川省,510000,1993,0.12851601883606542
台湾省,710000,1993,7.591233649343539
云南省,530000,1993,0.1845293078063385
浙江省,330000,1993,1.339614088928321
北京市,110000,1993,7.0246222165013785
上海市,310000,1993,12.099189875965681
天津市,120000,1993,7.0657755642632
重庆市,500000,1993,0.23338662400931687
广西壮族自治区,450000,1993,0.26719097040467166
内蒙古自治区,150000,1993,0.10165165300431372
宁夏回族自治区,640000,1993,0.5240215688314005
西藏自治区,540000,1993,0.0018135060995649803
新疆维吾尔自治区,650000,1993,0.06642168017980549
澳门特别行政区,820000,1993,40.25943282018373
香港特别行政区,810000,1993,29.58128586898315
安徽省,340000,1994,0.9754545971309888
福建省,350000,1994,1.2591970505321979
甘肃省,620000,1994,0.16900861736850104
广东省,440000,1994,3.831205110504882
贵州省,520000,1994,0.2436638056760009
海南省,460000,1994,1.0865470016222654
河北省,130000,1994,2.370450447601585
河南省,410000,1994,1.9684800831526095
黑龙江省,230000,1994,0.5627439639048043
湖北省,420000,1994,0.714499425211454
湖南省,430000,1994,0.3199734083195005
吉林省,220000,1994,0.7509571209624535
江苏省,320000,1994,3.9276675815760362
江西省,360000,1994,0.3497938340329348
辽宁省,210000,1994,1.8752153388636692
青海省,630000,1994,0.024837227769273783
山东省,370000,1994,3.597371835606123
山西省,140000,1994,2.436609341592264
陕西省,610000,1994,0.6457169764081093
四川省,510000,1994,0.1920103460471859
台湾省,710000,1994,11.270305742227304
云南省,530000,1994,0.2871588530822491
浙江省,330000,1994,1.9763570217576871
北京市,110000,1994,10.061132243106583
上海市,310000,1994,16.86157664537529
天津市,120000,1994,9.306075350875433
重庆市,500000,1994,0.3605502121704258
广西壮族自治区,450000,1994,0.4285188463549455
内蒙古自治区,150000,1994,0.1186966928803623
宁夏回族自治区,640000,1994,0.6551904376985404
西藏自治区,540000,1994,0.0024985798454579826
新疆维吾尔自治区,650000,1994,0.09578931196105928
澳门特别行政区,820000,1994,53.823579314938016
香港特别行政区,810000,1994,42.544187141029504
安徽省,340000,1995,1.0515564175608962
福建省,350000,1995,1.2619957789297773
甘肃省,620000,1995,0.1707242873154952
广东省,440000,1995,3.6378793664747255
贵州省,520000,1995,0.19102686023119367
海南省,460000,1995,0.9278607927929605
河北省,130000,1995,2.4327675770775277
河南省,410000,1995,2.098571454905353
黑龙江省,230000,1995,0.556907586810686
湖北省,420000,1995,0.7834316005708019
湖南省,430000,1995,0.3372577942862135
吉林省,220000,1995,0.717466587934918
江苏省,320000,1995,4.379257289968587
江西省,360000,1995,0.3295969422459098
辽宁省,210000,1995,1.9322634283553648
青海省,630000,1995,0.025722717441529895
山东省,370000,1995,3.717997121341952
山西省,140000,1995,2.555077592781352
陕西省,610000,1995,0.7142356957238257
四川省,510000,1995,0.18294346027424987
台湾省,710000,1995,11.762629281902512
云南省,530000,1995,0.25380651517567987
浙江省,330000,1995,2.305526591775086
北京市,110000,1995,11.281864001624347
上海市,310000,1995,20.73546707695795
天津市,120000,1995,10.593128919718948
重庆市,500000,1995,0.33829943498112186
广西壮族自治区,450000,1995,0.36331901797227045
内蒙古自治区,150000,1995,0.12241208327706027
宁夏回族自治区,640000,1995,0.6845112376100727
西藏自治区,540000,1995,0.0028842770288974072
新疆维吾尔自治区,650000,1995,0.09523663933738465
澳门特别行政区,820000,1995,53.251000601460355
香港特别行政区,810000,1995,46.32347682949967
安徽省,340000,1996,1.2279556037960115
福建省,350000,1996,1.5913118519056384
甘肃省,620000,1996,0.18044721555049098
广东省,440000,1996,3.555398475436281
贵州省,520000,1996,0.2574619092282154
海南省,460000,1996,1.136987676238674
河北省,130000,1996,2.8355977921160043
河南省,410000,1996,2.2471147006955476
黑龙江省,230000,1996,0.6749631861291211
湖北省,420000,1996,0.8055763652128677
湖南省,430000,1996,0.4611322526096404
吉林省,220000,1996,0.9853185154427093
江苏省,320000,1996,4.592770320216393
江西省,360000,1996,0.4168520096675956
辽宁省,210000,1996,2.4599431092119666
青海省,630000,1996,0.027836076289669845
山东省,370000,1996,4.198775719405265
山西省,140000,1996,2.3404255285019504
陕西省,610000,1996,0.7634540280448648
四川省,510000,1996,0.23138113605247682
台湾省,710000,1996,11.719690156806408
云南省,530000,1996,0.35567075800917375
浙江省,330000,1996,2.349030165385749
北京市,110000,1996,10.083201766568449
上海市,310000,1996,15.824950321284016
天津市,120000,1996,10.89517435746516
重庆市,500000,1996,0.4490346848775451
广西壮族自治区,450000,1996,0.4586324838734597
内蒙古自治区,150000,1996,0.13703808597945638
宁夏回族自治区,640000,1996,0.8310838440119562
西藏自治区,540000,1996,0.004128391300826982
新疆维吾尔自治区,650000,1996,0.13013046582118584
澳门特别行政区,820000,1996,47.080643749078924
香港特别行政区,810000,1996,38.45618699534365
安徽省,340000,1997,1.4176261301537274
福建省,350000,1997,1.6353079503031933
甘肃省,620000,1997,0.19297395254883584
广东省,440000,1997,4.1826033935440865
贵州省,520000,1997,0.26557616620138697
海南省,460000,1997,1.3190619835809778
河北省,130000,1997,2.8828058241649104
河南省,410000,1997,2.6968131232768386
黑龙江省,230000,1997,0.5426236315159978
湖北省,420000,1997,0.9306039965390228
湖南省,430000,1997,0.42354261576789226
吉林省,220000,1997,0.7582042831281941
江苏省,320000,1997,5.011652902784596
江西省,360000,1997,0.3983709365273077
辽宁省,210000,1997,2.189849626040466
青海省,630000,1997,0.027930230940934074
山东省,370000,1997,4.451570056810712
山西省,140000,1997,2.5480595403748714
陕西省,610000,1997,0.8940890951908319
四川省,510000,1997,0.23920513578579755
台湾省,710000,1997,13.290169658404167
云南省,530000,1997,0.3843162080704246
浙江省,330000,1997,2.5336979216519633
北京市,110000,1997,10.807121359139277
上海市,310000,1997,20.441347933934406
天津市,120000,1997,11.940672174794608
重庆市,500000,1997,0.48297592219507157
广西壮族自治区,450000,1997,0.5355545614791538
内蒙古自治区,150000,1997,0.12516552706752054
宁夏回族自治区,640000,1997,0.7950490564295998
西藏自治区,540000,1997,0.005078450435707608
新疆维吾尔自治区,650000,1997,0.14968323768832076
澳门特别行政区,820000,1997,59.939944638515605
香港特别行政区,810000,1997,46.64580367200208
安徽省,340000,1998,1.8304664913659618
福建省,350000,1998,1.8584124795819836
甘肃省,620000,1998,0.21880144358685158
广东省,440000,1998,4.298613472653947
贵州省,520000,1998,0.42466741789017004
海南省,460000,1998,1.41085567846
河北省,130000,1998,3.3052841543993154
河南省,410000,1998,3.201307127640192
黑龙江省,230000,1998,0.8203242491194956
湖北省,420000,1998,1.2093883333001367
湖南省,430000,1998,0.6454971221040583
吉林省,220000,1998,1.0952960047576699
江苏省,320000,1998,5.615360756959895
江西省,360000,1998,0.5490747063625081
辽宁省,210000,1998,2.7106373796666805
青海省,630000,1998,0.031672192017124595
山东省,370000,1998,4.991254814676072
山西省,140000,1998,2.5916138240240327
陕西省,610000,1998,1.071498853065999
四川省,510000,1998,0.3260133120259055
台湾省,710000,1998,12.445090126169683
云南省,530000,1998,0.47797397027032384
浙江省,330000,1998,3.1473209467864143
北京市,110000,1998,11.452389687991605
上海市,310000,1998,20.63494081485061
天津市,120000,1998,12.395955602278205
重庆市,500000,1998,0.8400900531217875
广西壮族自治区,450000,1998,0.6761576133977285
