region,regionCode,year,total_sol
安徽省,340000,1992,0.6194887996751065
福建省,350000,1992,0.7006756411694824
甘肃省,620000,1992,0.17779459314189502
广东省,440000,1992,1.670659892319967
贵州省,520000,1992,0.23524734193249158
海南省,460000,1992,0.5383758596359369
河北省,130000,1992,0.8843341842363193
河南省,410000,1992,0.8347281139100743
黑龙江省,230000,1992,0.326199497446245
湖北省,420000,1992,0.43302147148488235
湖南省,430000,1992,0.3021715638410986
吉林省,220000,1992,0.41073139320331387
江苏省,320000,1992,2.408572491237824
江西省,360000,1992,0.3034153347736708
辽宁省,210000,1992,0.8526480395158157
青海省,630000,1992,0.10893644588129268
山东省,370000,1992,1.4398683275713193
山西省,140000,1992,0.8024790058886945
陕西省,610000,1992,0.4540013163439648
四川省,510000,1992,0.2241147632432236
台湾省,710000,1992,7.036743611549285
云南省,530000,1992,0.23903940581456998
浙江省,330000,1992,1.3394035715385
北京市,110000,1992,4.363186922079646
上海市,310000,1992,9.75954234408464
天津市,120000,1992,4.738412640287296
重庆市,500000,1992,0.3846914427638445
广西壮族自治区,450000,1992,0.2758241186786942
内蒙古自治区,150000,1992,0.16550947528044355
宁夏回族自治区,640000,1992,0.4641109328923126
西藏自治区,540000,1992,0.09791269151283746
新疆维吾尔自治区,650000,1992,0.1470996744148442
澳门特别行政区,820000,1992,714.1278512502865
香港特别行政区,810000,1992,141.81689244516937
安徽省,340000,1993,0.6729509765013085
福建省,350000,1993,0.7701246231411871
甘肃省,620000,1993,0.19290032787912517
广东省,440000,1993,1.858650746264716
贵州省,520000,1993,0.2541301862734407
海南省,460000,1993,0.6278482660847569
河北省,130000,1993,0.9943514817751151
河南省,410000,1993,0.9220284747998431
黑龙江省,230000,1993,0.35566275356999266
湖北省,420000,1993,0.45790472128594684
湖南省,430000,1993,0.3198185987978476
吉林省,220000,1993,0.44454878376039075
江苏省,320000,1993,2.625053633991257
江西省,360000,1993,0.3253100535605103
辽宁省,210000,1993,0.9126130672896524
青海省,630000,1993,0.11720994780128693
山东省,370000,1993,1.6109543288879389
山西省,140000,1993,0.8999206069047256
