region,regionCode,year,total_sol
安徽省,340000,2013,10.374359150130505
福建省,350000,2013,12.1581168165304
甘肃省,620000,2013,7.686670644981711
广东省,440000,2013,14.797311085784186
贵州省,520000,2013,8.481833008210096
海南省,460000,2013,10.36201720957396
河北省,130000,2013,10.747682784515236
河南省,410000,2013,10.548623525265066
黑龙江省,230000,2013,10.611647019095235
湖北省,420000,2013,8.981846588420686
湖南省,430000,2013,8.570760016375576
吉林省,220000,2013,8.508713135346486
江苏省,320000,2013,18.572574409444844
江西省,360000,2013,8.465194701681812
辽宁省,210000,2013,10.554202602315957
青海省,630000,2013,7.334619782095251
山东省,370000,2013,12.627343515149127
山西省,140000,2013,10.242844364427784
陕西省,610000,2013,9.975401748458067
四川省,510000,2013,9.160946520805885
台湾省,710000,2013,25.699693475679535
云南省,530000,2013,8.028166738987627
浙江省,330000,2013,17.42814523030833
北京市,110000,2013,22.590856886221207
上海市,310000,2013,41.8316139905763
天津市,120000,2013,26.005976333340165
重庆市,500000,2013,9.9140206082395
广西壮族自治区,450000,2013,8.517004116086351
内蒙古自治区,150000,2013,8.28418405981502
宁夏回族自治区,640000,2013,10.164214756328839
西藏自治区,540000,2013,6.690051663474843
新疆维吾尔自治区,650000,2013,8.193633238600404
澳门特别行政区,820000,2013,62.732724056603764
香港特别行政区,810000,2013,46.95505992251708
安徽省,340000,2014,10.47015117661962
福建省,350000,2014,12.43402828156738
甘肃省,620000,2014,7.741797898224767
广东省,440000,2014,14.846298461860579
贵州省,520000,2014,8.56988437126654
海南省,460000,2014,10.69221933567919
河北省,130000,2014,10.919128273569152
河南省,410000,2014,10.546986804000337
黑龙江省,230000,2014,10.350806771069015
湖北省,420000,2014,9.080962278577033
湖南省,430000,2014,8.632072874368797
吉林省,220000,2014,8.331071660314816
江苏省,320000,2014,18.666734720188067
江西省,360000,2014,8.500781144284943
辽宁省,210000,2014,10.549801235239858
青海省,630000,2014,7.447089521237798
山东省,370000,2014,12.643491489605779
山西省,140000,2014,9.954097991967302
陕西省,610000,2014,9.905204311212968
四川省,510000,2014,9.181711194375819
台湾省,710000,2014,26.408191763049253
云南省,530000,2014,8.101410398198878
浙江省,330000,2014,17.78619833405347
北京市,110000,2014,23.19513375745655
上海市,310000,2014,42.06019360592761
天津市,120000,2014,26.54678877630217
重庆市,500000,2014,10.094160875863022
广西壮族自治区,450000,2014,8.661967898439485
内蒙古自治区,150000,2014,8.171549840880692
宁夏回族自治区,640000,2014,10.25087045546306
西藏自治区,540000,2014,6.802975500092256
新疆维吾尔自治区,650000,2014,8.347073216413794
澳门特别行政区,820000,2014,62.743278301886775
香港特别行政区,810000,2014,46.94668163220969
安徽省,340000,2015,10.6871685086792
福建省,350000,2015,12.59473663872464
甘肃省,620000,2015,7.7276325016366645
广东省,440000,2015,15.060082122556866
贵州省,520000,2015,8.712045144798253
海南省,460000,2015,10.699022509458985
河北省,130000,2015,10.890873467013277
河南省,410000,2015,10.549863073526348
黑龙江省,230000,2015,10.354977616531999
湖北省,420000,2015,9.3428449217264
湖南省,430000,2015,8.902676810969115
吉林省,220000,2015,8.479438112007886
江苏省,320000,2015,18.803389376163842
江西省,360000,2015,8.766029862254905
辽宁省,210000,2015,10.494946208417911
青海省,630000,2015,7.362398217099209
山东省,370000,2015,12.637565291132113
山西省,140000,2015,9.693365421778623
陕西省,610000,2015,9.904042016550644
四川省,510000,2015,9.407692821629706
台湾省,710000,2015,26.613009823322685
云南省,530000,2015,8.0408465589788
浙江省,330000,2015,17.909850371682314
北京市,110000,2015,23.47346194004395
上海市,310000,2015,42.436163677510415
天津市,120000,2015,26.789852918270814
重庆市,500000,2015,10.524983164048127
广西壮族自治区,450000,2015,8.68665973366496
内蒙古自治区,150000,2015,7.9529920550167255
宁夏回族自治区,640000,2015,9.963685848751572
西藏自治区,540000,2015,6.62407328222596
新疆维吾尔自治区,650000,2015,8.419189254704712
澳门特别行政区,820000,2015,62.83708726415091
香港特别行政区,810000,2015,46.9806172079607
安徽省,340000,2016,10.995190057602107
福建省,350000,2016,12.638390766323695
甘肃省,620000,2016,8.04625569640787
广东省,440000,2016,15.083097416027417
贵州省,520000,2016,9.201713200436298
海南省,460000,2016,10.986840396144473
河北省,130000,2016,10.918628999298202
河南省,410000,2016,10.596347257477886
黑龙江省,230000,2016,10.85641801841381
湖北省,420000,2016,9.450882159546534
湖南省,430000,2016,9.100391916305355
吉林省,220000,2016,8.668205236882214
江苏省,320000,2016,19.11497278568495
江西省,360000,2016,9.14105108642156
辽宁省,210000,2016,10.583638983392941
青海省,630000,2016,7.747035054193229
山东省,370000,2016,12.767922197273943
山西省,140000,2016,9.736368648091377
陕西省,610000,2016,10.026237587364344
四川省,510000,2016,9.785792862490345
台湾省,710000,2016,26.778558889097617
云南省,530000,2016,8.238587583638953
浙江省,330000,2016,18.262834976777153
北京市,110000,2016,24.33388406996951
上海市,310000,2016,42.43536368627905
天津市,120000,2016,26.759750287668123
重庆市,500000,2016,10.987494661526211
广西壮族自治区,450000,2016,8.947194623245116
内蒙古自治区,150000,2016,8.178835629813186
宁夏回族自治区,640000,2016,10.469470805213811
西藏自治区,540000,2016,6.954576391941729
新疆维吾尔自治区,650000,2016,8.900888298062979
澳门特别行政区,820000,2016,62.864976415094304
香港特别行政区,810000,2016,46.306453286988436
安徽省,340000,2017,11.528407605397875
福建省,350000,2017,12.513524838486084
甘肃省,620000,2017,7.5378930644236855
广东省,440000,2017,14.983277814928632
贵州省,520000,2017,9.139471744782703
海南省,460000,2017,11.312704000503473
河北省,130000,2017,11.357937719136839
河南省,410000,2017,11.589933949424847
黑龙江省,230000,2017,10.178534476918628
湖北省,420000,2017,9.345591696962394
湖南省,430000,2017,8.781455733328231
吉林省,220000,2017,8.740754912516952
江苏省,320000,2017,20.937238990400765
江西省,360000,2017,8.681790853220493
辽宁省,210000,2017,10.457307817236778
青海省,630000,2017,6.609679844625851
山东省,370000,2017,14.506830944203374
山西省,140000,2017,9.83492431690893
陕西省,610000,2017,9.730787856042241
四川省,510000,2017,8.908915877294145
台湾省,710000,2017,27.19138358415418
云南省,530000,2017,7.931271905836262
浙江省,330000,2017,18.299031825597847
北京市,110000,2017,23.02512439579073
上海市,310000,2017,44.009600000000006
天津市,120000,2017,29.22751300951975
重庆市,500000,2017,10.202347673323239
广西壮族自治区,450000,2017,8.53123044726058
内蒙古自治区,150000,2017,7.621973354357112
宁夏回族自治区,640000,2017,10.123829875143644
西藏自治区,540000,2017,6.563537734648278
新疆维吾尔自治区,650000,2017,7.402751578478895
澳门特别行政区,820000,2017,62.94239386792451
香港特别行政区,810000,2017,47.439540413000685
安徽省,340000,2018,11.872508843238215
福建省,350000,2018,12.855911444784875
甘肃省,620000,2018,7.998518043767724
广东省,440000,2018,15.736872304421283
贵州省,520000,2018,9.36038003152077
海南省,460000,2018,11.85269348710663
河北省,130000,2018,11.436808164695229
河南省,410000,2018,12.000191120021583
黑龙江省,230000,2018,10.603284766026379
湖北省,420000,2018,9.620270228120107
湖南省,430000,2018,9.102208210312545
吉林省,220000,2018,8.837434706289539
江苏省,320000,2018,21.323319053537077
江西省,360000,2018,9.071816767561266
辽宁省,210000,2018,10.735027257154368
青海省,630000,2018,7.117726422939922
山东省,370000,2018,14.990711792871057
山西省,140000,2018,10.080173625542756
陕西省,610000,2018,9.859314687220715
四川省,510000,2018,9.309218007640618
台湾省,710000,2018,27.2946671900474
云南省,530000,2018,8.000484172061823
