region,regionCode,year,total_sol
安徽省,340000,1984,79.21704128923183
福建省,350000,1984,-669.7828518950986
甘肃省,620000,1984,11.935296462536389
广东省,440000,1984,-475.5300643887502
贵州省,520000,1984,20.372925406407926
海南省,460000,1984,-3028.388581856655
河北省,130000,1984,72.74549954064584
河南省,410000,1984,170.56582720944346
黑龙江省,230000,1984,18.856630507701666
湖北省,420000,1984,55.77047427350717
湖南省,430000,1984,27.79149653692552
吉林省,220000,1984,46.107065129996
江苏省,320000,1984,-205.3846410601791
江西省,360000,1984,26.422456726209163
辽宁省,210000,1984,-278.21650212243446
青海省,630000,1984,2.1504538790120393
山东省,370000,1984,-64.80941176806085
山西省,140000,1984,206.1292975415127
陕西省,610000,1984,54.04649027388636
四川省,510000,1984,13.13764585628411
台湾省,710000,1984,-824.8607795219854
云南省,530000,1984,-11.60366148937077
浙江省,330000,1984,-841.6514731486337
北京市,110000,1984,921.333120219759
上海市,310000,1984,-1158.633269143593
天津市,120000,1984,-537.9677114651297
重庆市,500000,1984,27.46973506595924
广西壮族自治区,450000,1984,-113.0773601573677
内蒙古自治区,150000,1984,-9.169297432266923
宁夏回族自治区,640000,1984,50.271802916964205
西藏自治区,540000,1984,-11.999387734733157
新疆维吾尔自治区,650000,1984,-10.462032118863801
澳门特别行政区,820000,1984,-20065.989070069718
香港特别行政区,810000,1984,-3738.6508028464104
安徽省,340000,1985,99.439626888972
福建省,350000,1985,-652.2187403730748
甘肃省,620000,1985,16.51621358322987
广东省,440000,1985,-432.7423098073926
贵州省,520000,1985,25.353346387193923
海南省,460000,1985,-2998.1636824683837
河北省,130000,1985,123.40786857551547
河南省,410000,1985,217.07665691508987
黑龙江省,230000,1985,33.387590369867375
湖北省,420000,1985,66.72835995562492
湖南省,430000,1985,34.338109088718525
吉林省,220000,1985,63.50607876479717
江苏省,320000,1985,-137.49687204386944
江西省,360000,1985,35.20666743797266
辽宁省,210000,1985,-247.11967972642145
青海省,630000,1985,2.7934910314686037
山东省,370000,1985,7.2997459481649045
山西省,140000,1985,246.78955814572757
陕西省,610000,1985,67.14958046595248
四川省,510000,1985,16.845104820869196
台湾省,710000,1985,-756.2993260973781
云南省,530000,1985,-5.239379018496956
浙江省,330000,1985,-809.5361394324109
北京市,110000,1985,987.7627232806832
上海市,310000,1985,-1029.243480789563
天津市,120000,1985,-420.45794899737234
重庆市,500000,1985,30.914678296650447
广西壮族自治区,450000,1985,-103.69748233371443
内蒙古自治区,150000,1985,-5.860845163417479
宁夏回族自治区,640000,1985,65.4994514152043
西藏自治区,540000,1985,-11.909692873774434
新疆维吾尔自治区,650000,1985,-8.243186494309942
澳门特别行政区,820000,1985,-20089.43436133759
香港特别行政区,810000,1985,-3476.971427261053
安徽省,340000,1986,104.6299690289518
福建省,350000,1986,-643.7675258243079
甘肃省,620000,1986,15.948645016389989
广东省,440000,1986,-406.29184153475927
贵州省,520000,1986,24.37111452864089
海南省,460000,1986,-3002.2086111237604
河北省,130000,1986,134.42029194655282
河南省,410000,1986,222.80357189486546
黑龙江省,230000,1986,30.69019458204503
湖北省,420000,1986,68.08661287945095
湖南省,430000,1986,34.17773110317918
吉林省,220000,1986,59.57859404548826
江苏省,320000,1986,-104.17800209374032
江西省,360000,1986,35.17791553449857
辽宁省,210000,1986,-243.48972148139597
青海省,630000,1986,2.7186627176504143
山东省,370000,1986,29.00098982706936
山西省,140000,1986,261.31297505453523
陕西省,610000,1986,69.85858311797784
四川省,510000,1986,17.154177597587246
台湾省,710000,1986,-684.0039762083687
云南省,530000,1986,-5.374018914724573
浙江省,330000,1986,-798.6562187442172
北京市,110000,1986,1042.2064065927595
上海市,310000,1986,-870.8920934912042
天津市,120000,1986,-332.5919138345417
