region,regionCode,year,total_sol
安徽省,340000,2000,0.049635213274224814
福建省,350000,2000,0.0972721889450579
甘肃省,620000,2000,0.014535100372414844
广东省,440000,2000,0.5001438293431872
贵州省,520000,2000,0.011393312008377437
海南省,460000,2000,0.05599444049626195
河北省,130000,2000,0.1234474509789643
河南省,410000,2000,0.09908141224974917
黑龙江省,230000,2000,0.05826422874757003
湖北省,420000,2000,0.04527101809708512
湖南省,430000,2000,0.013424975971650323
吉林省,220000,2000,0.10530799211205319
江苏省,320000,2000,0.23495584565659958
江西省,360000,2000,0.00889357285253924
辽宁省,210000,2000,0.23665380244347992
青海省,630000,2000,0.002781265871533875
山东省,370000,2000,0.23465410892534833
山西省,140000,2000,0.12469070875431161
陕西省,610000,2000,0.05186949634016689
四川省,510000,2000,0.010030073910346724
台湾省,710000,2000,1.8003748406638134
云南省,530000,2000,0.03416228662246751
浙江省,330000,2000,0.1347276603464204
北京市,110000,2000,2.1964702288630793
上海市,310000,2000,4.582610224636537
天津市,120000,2000,1.4228027247471697
重庆市,500000,2000,0.027785653369247418
广西壮族自治区,450000,2000,0.022594776671220063
内蒙古自治区,150000,2000,0.013251533079130547
宁夏回族自治区,640000,2000,0.03974772382703385
西藏自治区,540000,2000,4.5352698787636474E-4
新疆维吾尔自治区,650000,2000,0.012864663050677039
澳门特别行政区,820000,2000,7.411674414264453
香港特别行政区,810000,2000,6.824069599307231
安徽省,340000,2001,0.04319941000109015
福建省,350000,2001,0.1409019594137174
甘肃省,620000,2001,0.020242634560851323
广东省,440000,2001,0.713694150577938
贵州省,520000,2001,0.012113060577679179
海南省,460000,2001,0.06579262916774313
河北省,130000,2001,0.16026780657839268
河南省,410000,2001,0.10756421710573064
黑龙江省,230000,2001,0.0632045122068422
湖北省,420000,2001,0.03630533864377415
湖南省,430000,2001,0.018714009302056276
吉林省,220000,2001,0.10115989348638559
江苏省,320000,2001,0.22776040998747424
江西省,360000,2001,0.01785194573033378
辽宁省,210000,2001,0.2952514534677439
青海省,630000,2001,0.0035589312667348707
山东省,370000,2001,0.3175740239385494
山西省,140000,2001,0.14643423082459828
陕西省,610000,2001,0.04774960922603846
四川省,510000,2001,0.017205274229428063
台湾省,710000,2001,2.1418808631848747
云南省,530000,2001,0.04102618662182518
浙江省,330000,2001,0.2102962638873559
北京市,110000,2001,2.7902004934471982
上海市,310000,2001,3.8848431642063024
天津市,120000,2001,2.141752034155636
重庆市,500000,2001,0.040070116303232046
广西壮族自治区,450000,2001,0.024659099507633224
内蒙古自治区,150000,2001,0.013568586013387575
宁夏回族自治区,640000,2001,0.058863154859787964
西藏自治区,540000,2001,6.532028536559378E-4
新疆维吾尔自治区,650000,2001,0.016597468770083165
澳门特别行政区,820000,2001,8.292262719780293
香港特别行政区,810000,2001,8.234597785425493
安徽省,340000,2002,0.09548544743714492
福建省,350000,2002,0.16519901914951304
甘肃省,620000,2002,0.02949253632863776
广东省,440000,2002,0.6148611603979875
贵州省,520000,2002,0.01817040406613183
海南省,460000,2002,0.09158715934681433
河北省,130000,2002,0.22433049220088777
河南省,410000,2002,0.19236161517570696
黑龙江省,230000,2002,0.08894857378017289
湖北省,420000,2002,0.08392133920976454
湖南省,430000,2002,0.03067432872292431
吉林省,220000,2002,0.11358327672908476
江苏省,320000,2002,0.5857193894501387
江西省,360000,2002,0.04556610569895645
辽宁省,210000,2002,0.27063802471205656
青海省,630000,2002,0.0044893908265894785
山东省,370000,2002,0.423297631408419
山西省,140000,2002,0.21009482521058773
陕西省,610000,2002,0.08964893143660303
四川省,510000,2002,0.028151581571000835
台湾省,710000,2002,2.411160747902268
云南省,530000,2002,0.05265493735310875
浙江省,330000,2002,0.3846288082279026
北京市,110000,2002,3.166174296869953
上海市,310000,2002,7.272370908638487
天津市,120000,2002,2.369376097932753
重庆市,500000,2002,0.08435835574710192
广西壮族自治区,450000,2002,0.030227185532303046
内蒙古自治区,150000,2002,0.019907876930468214
宁夏回族自治区,640000,2002,0.09346872846241497
西藏自治区,540000,2002,0.0011712294192244936
新疆维吾尔自治区,650000,2002,0.019042402320170817
澳门特别行政区,820000,2002,5.039436882469927
香港特别行政区,810000,2002,6.957623774330591
安徽省,340000,2003,0.12204016127057643
福建省,350000,2003,0.21594499346398158
甘肃省,620000,2003,0.027592531925501824
广东省,440000,2003,1.1090503132391187
贵州省,520000,2003,0.036318279230517794
海南省,460000,2003,0.10113949795903843
河北省,130000,2003,0.19146486340925845
河南省,410000,2003,0.1819048688802476
黑龙江省,230000,2003,0.07119422778713583
湖北省,420000,2003,0.08588870289690913
湖南省,430000,2003,0.053666898406147086
吉林省,220000,2003,0.09924163842801537
江苏省,320000,2003,0.7311507209746944
江西省,360000,2003,0.07462339834689036
辽宁省,210000,2003,0.3039587178719606
青海省,630000,2003,0.00518261776039727
山东省,370000,2003,0.49873024432758206
山西省,140000,2003,0.17920073698439662
陕西省,610000,2003,0.08144475546520978
四川省,510000,2003,0.0342499780715879
台湾省,710000,2003,2.1837361903735273
云南省,530000,2003,0.049164576262133955
浙江省,330000,2003,0.5477693144377987
北京市,110000,2003,2.900054539779845
上海市,310000,2003,6.811084775501855
天津市,120000,2003,2.125361494900968
重庆市,500000,2003,0.08015709865430976
广西壮族自治区,450000,2003,0.058077850257618954
内蒙古自治区,150000,2003,0.018486724886658885
宁夏回族自治区,640000,2003,0.10235528098438694
西藏自治区,540000,2003,0.0012295579144470132
新疆维吾尔自治区,650000,2003,0.018357641797344778
澳门特别行政区,820000,2003,5.605335481839257
香港特别行政区,810000,2003,7.838425296434439
安徽省,340000,2004,0.12850507897114954
福建省,350000,2004,0.22687690314107709
甘肃省,620000,2004,0.030550587765245066
广东省,440000,2004,1.0668154548301119
贵州省,520000,2004,0.03872391750624223
海南省,460000,2004,0.1276633089550856
河北省,130000,2004,0.2643265993882765
河南省,410000,2004,0.20881881891336698
黑龙江省,230000,2004,0.07459263227489278
湖北省,420000,2004,0.11032070541809855
湖南省,430000,2004,0.08342537016011974
吉林省,220000,2004,0.10234921194879554
江苏省,320000,2004,0.8172818936770976
江西省,360000,2004,0.0960791034359093
辽宁省,210000,2004,0.2890780441285337
青海省,630000,2004,0.005426872102754959
山东省,370000,2004,0.591861611925083
山西省,140000,2004,0.268968361710475
陕西省,610000,2004,0.1101760470581274
四川省,510000,2004,0.045532538523445666
台湾省,710000,2004,1.7592705297449025
云南省,530000,2004,0.05068270278365632
浙江省,330000,2004,0.5344851471565183
北京市,110000,2004,2.8139097376373994
上海市,310000,2004,5.507663400738232
天津市,120000,2004,2.110469601190094
重庆市,500000,2004,0.10391366667789323
广西壮族自治区,450000,2004,0.058402266939059144
内蒙古自治区,150000,2004,0.02471768839083918
宁夏回族自治区,640000,2004,0.13758888191953317
西藏自治区,540000,2004,0.001475293450024888
新疆维吾尔自治区,650000,2004,0.01991715825312577
澳门特别行政区,820000,2004,3.894068030147465
香港特别行政区,810000,2004,6.680241393545259
安徽省,340000,2005,0.11289966538983551
福建省,350000,2005,0.1842579465965743
甘肃省,620000,2005,0.031085149044469716
广东省,440000,2005,0.842363391153794
贵州省,520000,2005,0.03139413468031635
海南省,460000,2005,0.11039652251845775
河北省,130000,2005,0.2507441137648283
河南省,410000,2005,0.23644898952937943
黑龙江省,230000,2005,0.08336027511017019
湖北省,420000,2005,0.10718099849832492
湖南省,430000,2005,0.06636724166445544
吉林省,220000,2005,0.11944518977724468
江苏省,320000,2005,0.7264154197205461
江西省,360000,2005,0.052024382584967166
辽宁省,210000,2005,0.3067248811708282
青海省,630000,2005,0.005053913305599418
山东省,370000,2005,0.5961158541733833
山西省,140000,2005,0.2671733491907419
陕西省,610000,2005,0.1273742751272973
四川省,510000,2005,0.03212943565362921
台湾省,710000,2005,1.7650865478682851
云南省,530000,2005,0.05530587719594495
浙江省,330000,2005,0.43000826954405413
北京市,110000,2005,3.90933147376157
上海市,310000,2005,6.83226442090219
天津市,120000,2005,2.653189958273477
重庆市,500000,2005,0.11525524885141261
广西壮族自治区,450000,2005,0.0384159226122789
内蒙古自治区,150000,2005,0.023806990641125386
宁夏回族自治区,640000,2005,0.16119669011215254
西藏自治区,540000,2005,0.0012970128255798729
新疆维吾尔自治区,650000,2005,0.02008845275532145
澳门特别行政区,820000,2005,7.415738976546426
香港特别行政区,810000,2005,6.733041289018611
安徽省,340000,2006,0.13825969492288823
福建省,350000,2006,0.1919646355803081
甘肃省,620000,2006,0.035422555982079953
广东省,440000,2006,0.9970011395399845
贵州省,520000,2006,0.032613112361202186
