region,regionCode,year,ccnl
安徽省,340000,1992,122725.0892
福建省,350000,1992,103233.9305
甘肃省,620000,1992,62162.31709
广东省,440000,1992,472071.3469
贵州省,520000,1992,39953.42795
海南省,460000,1992,22442.14033
河北省,130000,1992,401379.9473
河南省,410000,1992,288939.7614
黑龙江省,230000,1992,282801.5833
湖北省,420000,1992,129864.4276
湖南省,430000,1992,74331.00038
吉林省,220000,1992,183315.7554
江苏省,320000,1992,383006.7583
江西省,360000,1992,60364.34625
辽宁省,210000,1992,358519.6296
青海省,630000,1992,13847.5846
山东省,370000,1992,523811.8762
山西省,140000,1992,305442.8992
陕西省,610000,1992,137025.2786
四川省,510000,1992,80770.83552
台湾省,710000,1992,333349.0689
云南省,530000,1992,70949.01567
浙江省,330000,1992,168595.3412
北京市,110000,1992,142718.4999
上海市,310000,1992,110095.1042
天津市,120000,1992,109262.9739
重庆市,500000,1992,30852.13539
广西壮族自治区,450000,1992,81490.87484
内蒙古自治区,150000,1992,114718.8321
宁夏回族自治区,640000,1992,30211.3588
西藏自治区,540000,1992,2773.626753
新疆维吾尔自治区,650000,1992,110502.4608
澳门特别行政区,820000,1992,2080.701463
香港特别行政区,810000,1992,43255.28643
安徽省,340000,1993,109114.6827
福建省,350000,1993,99688.04259
甘肃省,620000,1993,71357.13877
广东省,440000,1993,477420.5068
贵州省,520000,1993,32397.04352
海南省,460000,1993,33354.46454
河北省,130000,1993,459261.2798
河南省,410000,1993,304764.2957
黑龙江省,230000,1993,361578.3692
湖北省,420000,1993,106797.0362
湖南省,430000,1993,60066.02162
吉林省,220000,1993,199686.3797
江苏省,320000,1993,318432.5261
江西省,360000,1993,49828.14896
辽宁省,210000,1993,337139.1385
青海省,630000,1993,16235.39914
山东省,370000,1993,570670.4168
山西省,140000,1993,327922.8224
陕西省,610000,1993,129695.4232
四川省,510000,1993,72871.44783
台湾省,710000,1993,319352.2147
云南省,530000,1993,78370.36192
浙江省,330000,1993,165141.0844
北京市,110000,1993,151025.3006
上海市,310000,1993,113302.5552
天津市,120000,1993,110538.2952
重庆市,500000,1993,22291.82546
广西壮族自治区,450000,1993,69691.58951
内蒙古自治区,150000,1993,162585.0103
宁夏回族自治区,640000,1993,34267.18833
西藏自治区,540000,1993,2566.568078
新疆维吾尔自治区,650000,1993,144128.1379
澳门特别行政区,820000,1993,2294.47191
香港特别行政区,810000,1993,41345.00923
安徽省,340000,1994,161429.3622
福建省,350000,1994,175751.9049
甘肃省,620000,1994,91354.69189
广东省,440000,1994,761358.5644
贵州省,520000,1994,48270.53185
海南省,460000,1994,50098.60289
河北省,130000,1994,580494.265
河南省,410000,1994,393814.99
黑龙江省,230000,1994,379947.99
湖北省,420000,1994,155467.0893
湖南省,430000,1994,76826.83375
吉林省,220000,1994,198398.828
江苏省,320000,1994,486538.6973
江西省,360000,1994,66166.9989
辽宁省,210000,1994,370001.9742
青海省,630000,1994,21354.24897
山东省,370000,1994,706676.3994
山西省,140000,1994,482988.0003
陕西省,610000,1994,162855.5139
四川省,510000,1994,108874.1469
台湾省,710000,1994,474125.4538
云南省,530000,1994,121957.5552
浙江省,330000,1994,243635.6444
北京市,110000,1994,216308.5038
上海市,310000,1994,157899.8047
天津市,120000,1994,145585.958
重庆市,500000,1994,34437.80223
广西壮族自治区,450000,1994,111770.8412
内蒙古自治区,150000,1994,189847.4099
宁夏回族自治区,640000,1994,42844.67559
西藏自治区,540000,1994,3536.120045
新疆维吾尔自治区,650000,1994,207852.8445
澳门特别行政区,820000,1994,3067.521875
香港特别行政区,810000,1994,59462.92591
安徽省,340000,1995,174023.5602
福建省,350000,1995,176142.5362
甘肃省,620000,1995,92282.06768
广东省,440000,1995,722939.7884
贵州省,520000,1995,37842.99484
海南省,460000,1995,42781.88548
河北省,130000,1995,595754.9663
河南省,410000,1995,419841.127
黑龙江省,230000,1995,376007.4417
湖北省,420000,1995,170465.9603
湖南省,430000,1995,80976.88063
吉林省,220000,1995,189550.8095
江苏省,320000,1995,542479.2431
江西省,360000,1995,62346.55501
辽宁省,210000,1995,381258.2312
青海省,630000,1995,22115.56449
山东省,370000,1995,730372.3215
山西省,140000,1995,506470.9373
陕西省,610000,1995,180136.5389
四川省,510000,1995,103733.0205
台湾省,710000,1995,494836.7927
云南省,530000,1995,107792.679
浙江省,330000,1995,284214.0618
北京市,110000,1995,242553.5281
上海市,310000,1995,194176.7529
天津市,120000,1995,165720.8613
重庆市,500000,1995,32312.52858
广西壮族自治区,450000,1995,94764.72885
内蒙古自治区,150000,1995,195789.928
宁夏回族自治区,640000,1995,44762.04203
西藏自治区,540000,1995,4081.978743
新疆维吾尔自治区,650000,1995,206653.6024
澳门特别行政区,820000,1995,3034.889379
香港特别行政区,810000,1995,64745.14277
安徽省,340000,1996,203216.1113
福建省,350000,1996,222106.6902
甘肃省,620000,1996,97537.62877
广东省,440000,1996,706548.7232
贵州省,520000,1996,51003.97761
海南省,460000,1996,52424.32587
河北省,130000,1996,694403.1493
河南省,410000,1996,449558.754
黑龙江省,230000,1996,455715.0717
湖北省,420000,1996,175284.4136
湖南省,430000,1996,110719.6098
吉林省,220000,1996,260315.8465
江苏省,320000,1996,568928.1086
江西省,360000,1996,78851.72288
辽宁省,210000,1996,485375.6195
青海省,630000,1996,23932.5624
山东省,370000,1996,824817.6288
山西省,140000,1996,463922.3147
陕西省,610000,1996,192549.8362
四川省,510000,1996,131198.2626
台湾省,710000,1996,493030.4058
云南省,530000,1996,151054.8452
浙江省,330000,1996,289576.97
北京市,110000,1996,216782.9858
上海市,310000,1996,148192.3439
天津市,120000,1996,170446.1158
重庆市,500000,1996,42889.35951
广西壮族自治区,450000,1996,119625.4003
内蒙古自治区,150000,1996,219183.2397
宁夏回族自治区,640000,1996,54346.82138
西藏自治区,540000,1996,5842.713916
新疆维吾尔自治区,650000,1996,282369.5768
澳门特别行政区,820000,1996,2683.227434
香港特别行政区,810000,1996,53749.23231
安徽省,340000,1997,234604.9552
福建省,350000,1997,228247.4274
甘肃省,620000,1997,104308.7403
广东省,440000,1997,831190.4017
贵州省,520000,1997,52611.43629
海南省,460000,1997,60819.42374
河北省,130000,1997,705963.8178
河南省,410000,1997,539525.6179
黑龙江省,230000,1997,366363.3399
湖北省,420000,1997,202489.0288
湖南省,430000,1997,101694.1948
吉林省,220000,1997,200313.4892
江苏省,320000,1997,620817.0686
江西省,360000,1997,75355.84323
辽宁省,210000,1997,432083.0083
青海省,630000,1997,24013.51354
山东省,370000,1997,874477.1581
山西省,140000,1997,505079.8095
陕西省,610000,1997,225497.1518
四川省,510000,1997,135634.6449
台湾省,710000,1997,559098.2059
云南省,530000,1997,163220.6866
浙江省,330000,1997,312341.9094
北京市,110000,1997,232346.8369
上海市,310000,1997,191422.4817
天津市,120000,1997,186802.0763
重庆市,500000,1997,46131.24255
广西壮族自治区,450000,1997,139689.0344
内蒙古自治区,150000,1997,200193.8769
宁夏回族自治区,640000,1997,51990.40911
西藏自治区,540000,1997,7187.286977
新疆维吾尔自治区,650000,1997,324797.0581
澳门特别行政区,820000,1997,3416.106727
香港特别行政区,810000,1997,65195.65078
安徽省,340000,1998,302926.491
福建省,350000,1998,259387.1493
甘肃省,620000,1998,118269.3449
广东省,440000,1998,854244.5752
贵州省,520000,1998,84127.89115
海南省,460000,1998,65051.85534
河北省,130000,1998,809423.5835
河南省,410000,1998,640454.91
黑龙江省,230000,1998,553858.5388
湖北省,420000,1998,263149.3846
湖南省,430000,1998,154986.317
吉林省,220000,1998,289371.307
江苏省,320000,1998,695601.2062
江西省,360000,1998,103862.9671
辽宁省,210000,1998,534840.5386
青海省,630000,1998,27230.73122
山东省,370000,1998,980494.1335
山西省,140000,1998,513713.1985
陕西省,610000,1998,270241.4567
四川省,510000,1998,184856.8161
台湾省,710000,1998,523546.9328
云南省,530000,1998,202997.5264
浙江省,330000,1998,387986.36
北京市,110000,1998,246219.7314
上海市,310000,1998,193235.3773
天津市,120000,1998,193924.6142
重庆市,500000,1998,80240.84892
广西壮族自治区,450000,1998,176362.6172
内蒙古自治区,150000,1998,253802.0205
宁夏回族自治区,640000,1998,60275.14737
西藏自治区,540000,1998,8795.510394
新疆维吾尔自治区,650000,1998,326647.8047
澳门特别行政区,820000,1998,2987.617482
香港特别行政区,810000,1998,58967.78012
安徽省,340000,1999,249291.3274
福建省,350000,1999,316357.6691
甘肃省,620000,1999,110479.3496
广东省,440000,1999,955043.5473
贵州省,520000,1999,95810.80746
海南省,460000,1999,63913.55172
河北省,130000,1999,776162.4599
河南省,410000,1999,571825.1307
黑龙江省,230000,1999,498536.2857
湖北省,420000,1999,248878.3615
湖南省,430000,1999,163709.5797
吉林省,220000,1999,269501.1033
江苏省,320000,1999,659188.9901
江西省,360000,1999,110226.5061
辽宁省,210000,1999,477998.9668
青海省,630000,1999,26488.01671
山东省,370000,1999,958450.0282
山西省,140000,1999,476822.5261
陕西省,610000,1999,262310.7157
四川省,510000,1999,184197.0694
台湾省,710000,1999,586174.2052
云南省,530000,1999,215619.9846
浙江省,330000,1999,428748.3926
北京市,110000,1999,253041.7412
上海市,310000,1999,201854.8605
天津市,120000,1999,187202.1029
重庆市,500000,1999,67896.3108
广西壮族自治区,450000,1999,195105.9832
内蒙古自治区,150000,1999,234460.2459
宁夏回族自治区,640000,1999,61717.71619
西藏自治区,540000,1999,10836.30665
新疆维吾尔自治区,650000,1999,320033.3768
澳门特别行政区,820000,1999,3116.365678
香港特别行政区,810000,1999,60858.02605
安徽省,340000,2000,257042.7777
福建省,350000,2000,301008.7826
甘肃省,620000,2000,118491.9482
广东省,440000,2000,959262.4734
贵州省,520000,2000,89746.26934
海南省,460000,2000,79478.032
河北省,130000,2000,719306.355
河南省,410000,2000,524955.4617
黑龙江省,230000,2000,620948.2017
湖北省,420000,2000,236331.3351
湖南省,430000,2000,161379.8019
吉林省,220000,2000,358213.3886
江苏省,320000,2000,628418.4296
江西省,360000,2000,93409.39642
辽宁省,210000,2000,546877.7309
青海省,630000,2000,30509.17217
山东省,370000,2000,928097.2604
山西省,140000,2000,462548.8477
陕西省,610000,2000,264161.0839
四川省,510000,2000,198543.7865
台湾省,710000,2000,563854.4125
云南省,530000,2000,222150.026
浙江省,330000,2000,427952.3419
北京市,110000,2000,235111.9496
上海市,310000,2000,194691.5872
天津市,120000,2000,171873.9683
重庆市,500000,2000,68959.97546
广西壮族自治区,450000,2000,179154.6727
内蒙古自治区,150000,2000,273356.7733
宁夏回族自治区,640000,2000,59253.67656
西藏自治区,540000,2000,10947.64132
新疆维吾尔自治区,650000,2000,324710.94
澳门特别行政区,820000,2000,3156.080077
香港特别行政区,810000,2000,64299.87219
安徽省,340000,2001,233811.9953
福建省,350000,2001,319119.9572
甘肃省,620000,2001,146205.5759
广东省,440000,2001,980291.4872
贵州省,520000,2001,92049.61214
海南省,460000,2001,77051.23701
河北省,130000,2001,824333.1288
河南省,410000,2001,580456.8662
黑龙江省,230000,2001,583442.4046
湖北省,420000,2001,235193.6276
湖南省,430000,2001,175425.8865
