region,regionCode,year,hdmsp
安徽省,340000,1992,239988.498
福建省,350000,1992,198735.3804
甘肃省,620000,1992,124831.9804
广东省,440000,1992,851207.4039
贵州省,520000,1992,83174.45098
海南省,460000,1992,45317.49412
河北省,130000,1992,751402.7843
河南省,410000,1992,539688.8392
黑龙江省,230000,1992,565019.1176
湖北省,420000,1992,250855.1765
湖南省,430000,1992,154783.4
吉林省,220000,1992,364838.3098
江苏省,320000,1992,705787.9882
江西省,360000,1992,124552.502
辽宁省,210000,1992,654653.3882
青海省,630000,1992,28133.02745
山东省,370000,1992,965308.6863
山西省,140000,1992,570849.6235
陕西省,610000,1992,261765.2
四川省,510000,1992,168657
台湾省,710000,1992,579563.251
云南省,530000,1992,142965.3882
浙江省,330000,1992,325445.1294
北京市,110000,1992,238528.7686
上海市,310000,1992,184551.1333
天津市,120000,1992,190401.7059
重庆市,500000,1992,62250.71765
广西壮族自治区,450000,1992,165429.702
内蒙古自治区,150000,1992,230209.8784
宁夏回族自治区,640000,1992,60720.37647
西藏自治区,540000,1992,5343.27451
新疆维吾尔自治区,650000,1992,223099.2627
澳门特别行政区,820000,1992,3041.705882
香港特别行政区,810000,1992,69580.30588
安徽省,340000,1993,230901.102
福建省,350000,1993,205290.8549
甘肃省,620000,1993,153625.9882
广东省,440000,1993,877515.1255
贵州省,520000,1993,74772.14118
海南省,460000,1993,71044.19608
河北省,130000,1993,907386.7843
河南省,410000,1993,613604.9529
黑龙江省,230000,1993,744406.7255
湖北省,420000,1993,228937.0706
湖南省,430000,1993,138840.0314
吉林省,220000,1993,417008.7059
江苏省,320000,1993,629470.3412
江西省,360000,1993,114897.5529
辽宁省,210000,1993,673998.1059
青海省,630000,1993,33427.95686
山东省,370000,1993,1116973.608
山西省,140000,1993,641740.0745
陕西省,610000,1993,269093.5098
四川省,510000,1993,163575.5686
台湾省,710000,1993,547326.1333
云南省,530000,1993,169089.4863
浙江省,330000,1993,344443.902
北京市,110000,1993,253860.251
上海市,310000,1993,187099.8275
天津市,120000,1993,200066.6941
重庆市,500000,1993,49717.07059
广西壮族自治区,450000,1993,153636.6078
内蒙古自治区,150000,1993,335108.949
宁夏回族自治区,640000,1993,70285.65882
西藏自治区,540000,1993,5195.180392
新疆维吾尔自治区,650000,1993,291259.0784
澳门特别行政区,820000,1993,3218.972549
香港特别行政区,810000,1993,62803.49412
安徽省,340000,1994,222197.2745
福建省,350000,1994,257649.4275
甘肃省,620000,1994,150611.9373
广东省,440000,1994,997323.4941
贵州省,520000,1994,97717.50588
海南省,460000,1994,85937.86667
河北省,130000,1994,900351.902
河南省,410000,1994,571056.6471
黑龙江省,230000,1994,686101.0353
湖北省,420000,1994,250643.7882
湖南省,430000,1994,149583.7059
吉林省,220000,1994,355027.3216
江苏省,320000,1994,607722.9882
江西省,360000,1994,108060.7961
辽宁省,210000,1994,581217.8353
青海省,630000,1994,32571.01176
山东省,370000,1994,1046705.922
山西省,140000,1994,700723.0706
陕西省,610000,1994,278142.4549
四川省,510000,1994,217249.4471
台湾省,710000,1994,586800.1098
云南省,530000,1994,208334.8706
浙江省,330000,1994,348912.3804
北京市,110000,1994,262282.5059
上海市,310000,1994,182144.4039
天津市,120000,1994,202469.2
重庆市,500000,1994,69201.51373
广西壮族自治区,450000,1994,176398.7059
内蒙古自治区,150000,1994,305180.7922
宁夏回族自治区,640000,1994,63188.17647
西藏自治区,540000,1994,5967.4
新疆维吾尔自治区,650000,1994,329614.2471
澳门特别行政区,820000,1994,3176.933333
香港特别行政区,810000,1994,65752.83137
安徽省,340000,1995,380561.1137
福建省,350000,1995,366438.6078
甘肃省,620000,1995,186525.6549
广东省,440000,1995,1163981.898
贵州省,520000,1995,99867.90588
海南省,460000,1995,99345.45882
河北省,130000,1995,1173296.631
河南省,410000,1995,845108.0667
黑龙江省,230000,1995,780809.8706
湖北省,420000,1995,359687.9569
湖南省,430000,1995,198214.3176
吉林省,220000,1995,393236.5294
江苏省,320000,1995,1011983.984
江西省,360000,1995,152350.7843
辽宁省,210000,1995,735855.2902
青海省,630000,1995,43631.76863
山东省,370000,1995,1471642.976
山西省,140000,1995,850084.5647
陕西省,610000,1995,381822.8745
四川省,510000,1995,249724.1412
台湾省,710000,1995,683180.9922
云南省,530000,1995,234201.4
浙江省,330000,1995,562818.098
北京市,110000,1995,324343.3961
上海市,310000,1995,252677.4353
天津市,120000,1995,254806.498
重庆市,500000,1995,76456.52941
广西壮族自治区,450000,1995,228384.4588
内蒙古自治区,150000,1995,388787.6353
宁夏回族自治区,640000,1995,89578.03529
西藏自治区,540000,1995,8393.160784
新疆维吾尔自治区,650000,1995,358135.3373
澳门特别行政区,820000,1995,3218.576471
香港特别行政区,810000,1995,70667.55294
安徽省,340000,1996,351697.9137
福建省,350000,1996,377620.498
甘肃省,620000,1996,171922.7843
广东省,440000,1996,1134667.361
贵州省,520000,1996,93689.64706
海南省,460000,1996,94506.79216
河北省,130000,1996,1114685.373
河南省,410000,1996,732727.8706
黑龙江省,230000,1996,786962.8549
湖北省,420000,1996,306290.2941
湖南省,430000,1996,202505.5412
吉林省,220000,1996,443357.5176
江苏省,320000,1996,917837.5882
江西省,360000,1996,145139.4902
辽宁省,210000,1996,796005.7255
青海省,630000,1996,42496.81176
山东省,370000,1996,1330697.725
山西省,140000,1996,752817.5804
陕西省,610000,1996,329359.5725
四川省,510000,1996,233783.6275
台湾省,710000,1996,729482.898
云南省,530000,1996,264371.7373
浙江省,330000,1996,488347.8235
北京市,110000,1996,310641.7608
上海市,310000,1996,226245.4902
天津市,120000,1996,254498.0039
重庆市,500000,1996,76393.12549
广西壮族自治区,450000,1996,217956.5804
内蒙古自治区,150000,1996,377682.8627
宁夏回族自治区,640000,1996,91911.67451
西藏自治区,540000,1996,10285.67843
新疆维吾尔自治区,650000,1996,481331.4353
澳门特别行政区,820000,1996,3446.513725
香港特别行政区,810000,1996,71847.42353
安徽省,340000,1997,438895.2471
福建省,350000,1997,379576.7216
甘肃省,620000,1997,191490.1137
广东省,440000,1997,1289608.063
贵州省,520000,1997,97769.78431
海南省,460000,1997,120325.702
河北省,130000,1997,1226129.098
河南省,410000,1997,947093.5804
黑龙江省,230000,1997,640216.749
湖北省,420000,1997,350469.7765
湖南省,430000,1997,193038.9412
吉林省,220000,1997,367730.0275
江苏省,320000,1997,1092927.251
江西省,360000,1997,147133.0196
辽宁省,210000,1997,720241.6745
青海省,630000,1997,43082.98039
山东省,370000,1997,1499744.529
山西省,140000,1997,827427.2863
陕西省,610000,1997,414632.1686
四川省,510000,1997,253169.7137
台湾省,710000,1997,729019.5686
云南省,530000,1997,288111.6667
浙江省,330000,1997,554485.651
北京市,110000,1997,310768.1725
上海市,310000,1997,265377.1333
天津市,120000,1997,265275.9216
重庆市,500000,1997,79958.17255
广西壮族自治区,450000,1997,283244.0353
内蒙古自治区,150000,1997,346980.5294
宁夏回族自治区,640000,1997,92733.58824
西藏自治区,540000,1997,13021.55294
新疆维吾尔自治区,650000,1997,552470.9137
澳门特别行政区,820000,1997,3791.231373
香港特别行政区,810000,1997,75287.97647
安徽省,340000,1998,514146.9333
福建省,350000,1998,447583.8706
甘肃省,620000,1998,199955.0275
广东省,440000,1998,1302180.557
贵州省,520000,1998,151045.8863
海南省,460000,1998,116129.9059
河北省,130000,1998,1334561.737
河南省,410000,1998,1052218.333
黑龙江省,230000,1998,941339.6863
湖北省,420000,1998,442167.9882
湖南省,430000,1998,283318.2392
吉林省,220000,1998,488767.4745
江苏省,320000,1998,1118800.725
江西省,360000,1998,198271.9451
辽宁省,210000,1998,880646.0039
青海省,630000,1998,45969.63922
山东省,370000,1998,1597327.953
山西省,140000,1998,839607.2392
陕西省,610000,1998,428700.3255
四川省,510000,1998,313802.8863
台湾省,710000,1998,726809.8588
云南省,530000,1998,345534.5059
浙江省,330000,1998,641137.9725
北京市,110000,1998,337786.3647
上海市,310000,1998,260415.9725
天津市,120000,1998,278990.4275
重庆市,500000,1998,130238.6784
广西壮族自治区,450000,1998,316612.4235
内蒙古自治区,150000,1998,445046.5725
宁夏回族自治区,640000,1998,100786.9176
西藏自治区,540000,1998,14108.41176
新疆维吾尔自治区,650000,1998,550713.8549
澳门特别行政区,820000,1998,3618.14902
香港特别行政区,810000,1998,72393.1098
安徽省,340000,1999,449997.1529
福建省,350000,1999,504169.149
甘肃省,620000,1999,210038.8941
广东省,440000,1999,1467587.031
贵州省,520000,1999,172318.8824
海南省,460000,1999,116680.7569
河北省,130000,1999,1268252.459
河南省,410000,1999,963558.3725
黑龙江省,230000,1999,862992.3137
湖北省,420000,1999,446368.5843
湖南省,430000,1999,297581.1608
吉林省,220000,1999,484022.4118
江苏省,320000,1999,1087724.812
江西省,360000,1999,202335.502
辽宁省,210000,1999,830811.6588
青海省,630000,1999,50087.88235
山东省,370000,1999,1543856.039
山西省,140000,1999,791766.3059
陕西省,610000,1999,458375.0196
