region,regionCode,year,hviirs
安徽省,340000,2013,1630890.024
福建省,350000,2013,1409073.435
甘肃省,620000,2013,1616028.635
广东省,440000,2013,2781753.184
贵州省,520000,2013,1345308.157
海南省,460000,2013,389169.3686
河北省,130000,2013,2512920.643
河南省,410000,2013,2237656.839
黑龙江省,230000,2013,1239221.647
湖北省,420000,2013,1496310.867
湖南省,430000,2013,1366306.263
吉林省,220000,2013,1552696.4
江苏省,320000,2013,2613228.008
江西省,360000,2013,1022581.776
辽宁省,210000,2013,2081742.667
青海省,630000,2013,664021.1059
山东省,370000,2013,2848491.204
山西省,140000,2013,1868316.302
陕西省,610000,2013,1922165.796
四川省,510000,2013,2291307.671
台湾省,710000,2013,975397.902
云南省,530000,2013,1996973.545
浙江省,330000,2013,1934597.592
北京市,110000,2013,485651.8627
上海市,310000,2013,452601.6588
天津市,120000,2013,472589.2706
重庆市,500000,2013,716369.0118
广西壮族自治区,450000,2013,1383410.031
内蒙古自治区,150000,2013,2641218.4
宁夏回族自治区,640000,2013,519180.8353
西藏自治区,540000,2013,417185.4039
新疆维吾尔自治区,650000,2013,3221219.298
澳门特别行政区,820000,2013,4172.341176
香港特别行政区,810000,2013,76285.4
安徽省,340000,2014,1601793.035
福建省,350000,2014,1407797.992
甘肃省,620000,2014,1564212.353
广东省,440000,2014,2806823.663
贵州省,520000,2014,1333907.98
海南省,460000,2014,405052.8
河北省,130000,2014,2441288.294
河南省,410000,2014,2152262.631
黑龙江省,230000,2014,1154848.604
湖北省,420000,2014,1444664.043
湖南省,430000,2014,1364664.475
吉林省,220000,2014,1395386.482
江苏省,320000,2014,2618171.835
江西省,360000,2014,992588.1765
辽宁省,210000,2014,1943298.459
青海省,630000,2014,603961.9098
山东省,370000,2014,2816858.988
山西省,140000,2014,1767280.459
陕西省,610000,2014,1883680.278
四川省,510000,2014,2219063.075
台湾省,710000,2014,996019.749
云南省,530000,2014,1914226.792
浙江省,330000,2014,1960199.69
北京市,110000,2014,481626.0314
上海市,310000,2014,455501.8353
天津市,120000,2014,482613.749
重庆市,500000,2014,706710.8078
广西壮族自治区,450000,2014,1388615.631
内蒙古自治区,150000,2014,2462374.965
宁夏回族自治区,640000,2014,501815.0824
西藏自治区,540000,2014,374190.651
新疆维吾尔自治区,650000,2014,3510583.608
澳门特别行政区,820000,2014,4173.043137
香港特别行政区,810000,2014,76271.78824
安徽省,340000,2015,1610007.686
