region,regionCode,year,total_sol
安徽省,340000,2013,553308.1213505507
福建省,350000,2013,617319.4753603262
甘肃省,620000,2013,281313.5545551534
广东省,440000,2013,1450169.525628692
贵州省,520000,2013,274216.2310188062
海南省,460000,2013,123887.37236118554
河北省,130000,2013,835264.8627008507
河南省,410000,2013,711802.0057043384
黑龙江省,230000,2013,635622.3480136315
湖北省,420000,2013,392347.4953075467
湖南省,430000,2013,316257.5690994176
吉林省,220000,2013,389979.94769588026
江苏省,320000,2013,1585738.9919288764
江西省,360000,2013,210566.93154896982
辽宁省,210000,2013,792623.4794976594
青海省,630000,2013,94962.936198384
山东省,370000,2013,1133568.3779551133
山西省,140000,2013,598180.6938632454
陕西省,610000,2013,633816.3840427535
四川省,510000,2013,579230.446344436
台湾省,710000,2013,779013.3301108641
云南省,530000,2013,409837.9822156342
浙江省,330000,2013,1067742.475333266
北京市,110000,2013,400625.6922473725
上海市,310000,2013,557028.3471286192
天津市,120000,2013,396226.7470380474
重庆市,500000,2013,209486.2739175485
广西壮族自治区,450000,2013,314965.3337949657
内蒙古自治区,150000,2013,595153.3586542415
宁夏回族自治区,640000,2013,181005.8737668083
西藏自治区,540000,2013,39721.51036100593
新疆维吾尔自治区,650000,2013,659610.7146030478
澳门特别行政区,820000,2013,18634.67758174036
香港特别行政区,810000,2013,110064.17824306744
安徽省,340000,2014,538158.1067446809
福建省,350000,2014,599497.2810846597
甘肃省,620000,2014,281814.7160761161
广东省,440000,2014,1439170.3056086006
贵州省,520000,2014,272118.6884185062
海南省,460000,2014,134654.61358907865
河北省,130000,2014,827200.0236749736
河南省,410000,2014,682536.7304679727
黑龙江省,230000,2014,451814.52762097283
湖北省,420000,2014,364929.509040496
湖南省,430000,2014,300717.3797372037
吉林省,220000,2014,301946.50654553715
江苏省,320000,2014,1547912.971126402
江西省,360000,2014,190662.9722810497
辽宁省,210000,2014,726577.4053750865
青海省,630000,2014,96756.0316276511
山东省,370000,2014,1129991.3403161801
山西省,140000,2014,552160.3856011046
陕西省,610000,2014,621405.4258508525
四川省,510000,2014,566888.4569626962
台湾省,710000,2014,798559.3621027744
云南省,530000,2014,408757.1301642797
浙江省,330000,2014,1054575.9614688288
北京市,110000,2014,392135.05771790596
上海市,310000,2014,540190.0621319773
天津市,120000,2014,398073.06885111134
重庆市,500000,2014,207592.0133559757
广西壮族自治区,450000,2014,330948.6968379929
内蒙古自治区,150000,2014,527084.8594178314
宁夏回族自治区,640000,2014,177292.1437839237
西藏自治区,540000,2014,37684.529896623346
新疆维吾尔自治区,650000,2014,739206.3214195735
澳门特别行政区,820000,2014,17663.531039818597
