Sgnyea,Prvcnm_id,Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116
1992,310000,上海市,1114.32,34.16,677.39,402.77,3.0655,60.7895,36.1449,8650
1992,120000,天津市,411.24,30.26,233.41,147.37,7.3582,56.0767,36.565,4481
1992,110000,北京市,709.1,48.67,345.91,314.52,6.8636,48.7816,44.3534,6458
1992,142,中国,27194.5309,5800.2838,11725.0125,9669.2346,21.3289,43.1153,35.5558,2334.3546
1992,330000,浙江省,1365.06,262.67,653.43,459.6,19.0936,47.498,33.4084,3212
1992,620000,甘肃省,317.79,74.2,128.66,114.93,23.3488,40.4859,36.1654,1384
1992,210000,辽宁省,1472.95,194.6,741.9,536.5,13.212,50.37,36.4247,3693
1992,630000,青海省,87.52,19.9,36.31,31.31,22.7377,41.4877,35.7747,1912
1992,440000,广东省,2293.54,465.83,1100.32,881.39,19.0326,44.9562,36.0113,3699
1992,320000,江苏省,2136.02,393.82,1119.26,622.94,18.4371,52.3993,29.1636,3106
1992,370000,山东省,2196.53,534.62,999.11,662.8,24.3393,45.4858,30.1749,2556
1992,430000,湖南省,997.7,323.91,341.73,321.34,32.8183,34.6238,32.5579,1595
1992,540000,西藏自治区,33.29,16.59,4.46,12.24,49.8348,13.3974,36.7678,1468
1992,450000,广西壮族自治区,646.6,233.03,187.48,226.09,36.0393,28.9947,34.966,1490
1992,500000,重庆市,461.32,117.28,164.58,138.32,25.4227,42.1399,32.4374,1427
1992,610000,陕西省,540.52,116.71,232.07,182.85,21.9532,43.6525,34.3942,1571
1992,340000,安徽省,801.16,230.5,333,237.7,28.7693,41.5627,29.668,1390
1992,510000,四川省,1624.51,372.04,441.57,363.66,31.6019,37.508,30.8901,1477
1992,420000,湖北省,1088.39,303,444.61,340.78,27.8393,40.8502,31.3105,1962
1992,220000,吉林省,558.06,130.82,257.01,170.23,23.4419,46.0542,30.5039,2246
1992,360000,江西省,572.55,200.81,199.4,172.34,35.0729,34.8267,30.1004,1472
1992,520000,贵州省,339.91,121.18,122.08,96.65,35.6506,35.9154,28.434,1034
1992,650000,新疆维吾尔自治区,402.31,114.5,147.64,140.17,28.4606,36.6981,34.8413,2477
1992,230000,黑龙江省,864.04,167,493.1,299.6,17.4013,51.3806,31.2181,2672
1992,350000,福建省,787.71,194.87,291.6,298.21,24.8343,37.1616,38.004,2557
1992,410000,河南省,1279.75,353.92,545.21,380.62,27.6554,42.6029,29.7417,1452
1992,530000,云南省,618.69,186.8,219.03,212.86,30.1928,35.4022,34.405,1622
1992,150000,内蒙古自治区,421.68,126.86,152.56,142.26,30.0844,36.1791,33.7365,1906
1992,460000,海南省,181.71,53.59,38.27,93.06,28.9801,20.6954,50.3245,2719
1992,640000,宁夏回族自治区,83.14,18.31,34.05,30.78,22.0231,40.955,37.0219,1718
1992,140000,山西省,570,82.94,270.28,197.9,15.0494,49.042,35.9087,1862
1992,130000,河北省,1278.5,257.08,573.15,448.27,20.1079,44.8299,35.0622,2040
1993,310000,上海市,1511.61,37.82,902.38,579.03,2.5278,59.561,37.9112,10729
1993,110000,北京市,863.54,53.14,419.56,413.51,6.2047,48.0337,45.7616,8006
1993,120000,天津市,536.1,35.4,308.4,195.14,6.6014,56.4223,36.9763,5800
1993,500000,重庆市,608.53,141.99,229.53,181.53,23.3333,44.7258,31.9409,1870
1993,142,中国,35673.2304,6887.5977,16472.6619,12312.9708,19.3075,46.1765,34.516,3027.1571
1993,330000,浙江省,1909.49,315.97,983.96,625.99,16.4063,51.0907,32.5036,4469
1993,430000,湖南省,1278.28,383.68,470.05,390.98,30.8249,37.7638,31.4113,1997
1993,420000,湖北省,1424.38,346.39,537.6,441.84,26.1263,40.5482,33.3255,2361
1993,140000,山西省,704.7,97.27,335.03,248.11,14.2958,49.2394,36.4648,2271
1993,340000,安徽省,1069.84,286,444.97,306.17,27.5758,42.9036,29.5206,1785
1993,460000,海南省,258.08,76.82,66.08,117.5,29.4996,25.3754,45.1212,3755
1993,130000,河北省,1690.84,301.68,847.92,541.24,17.842,50.1479,32.0101,2682
1993,320000,江苏省,2998.16,490.59,1598.05,909.52,16.363,53.301,30.3359,4321
1993,510000,四川省,2096.48,449.38,580.38,456.32,30.2393,39.0544,30.7063,1854
1993,540000,西藏自治区,37.28,18.3,5.49,13.63,48.9043,14.6713,36.4244,1624
