Sgnyea,Prvcnm_id,Prvcnm,Pop01,Pop04,Pop05,Pop30
1992,142,中国,117171,84996,32175,
1992,130000,河北省,6275,,,
1992,230000,黑龙江省,3608,,,
1992,220000,吉林省,2532,,,
1992,140000,山西省,2979,,,
1992,150000,内蒙古自治区,2207,,,
1992,120000,天津市,920,,,
1992,310000,上海市,1345,,,
1992,330000,浙江省,4236,,,
1992,350000,福建省,3116,,,
1992,340000,安徽省,5834,,,
1992,440000,广东省,6525,,,
1992,450000,广西壮族自治区,4380,,,
1992,510000,四川省,10998,,,
1992,460000,海南省,686,,,
1992,530000,云南省,3832,,,
1992,540000,西藏自治区,228,,,
1992,640000,宁夏回族自治区,487,,,
1992,610000,陕西省,3405,,,
1992,650000,新疆维吾尔自治区,1581,,,
1992,520000,贵州省,3361,,,
1992,620000,甘肃省,2314,,,
1992,370000,山东省,8610,,,
1992,320000,江苏省,6911,,,
1992,210000,辽宁省,4016,,,
1992,110000,北京市,1102,,,
1992,360000,江西省,3913,,,
1992,410000,河南省,8862,,,
1992,420000,湖北省,5580,,,
1992,630000,青海省,461,,,
1992,430000,湖南省,6267,,,
1993,142,中国,118517,85344,33173,
1993,130000,河北省,6334,,,
1993,230000,黑龙江省,3640,,,
1993,220000,吉林省,2555,,,
1993,140000,山西省,3012,,,
1993,150000,内蒙古自治区,2232,,,
1993,120000,天津市,928,,,
1993,310000,上海市,1349,,,
1993,330000,浙江省,4266,,,
1993,350000,福建省,3150,,,
1993,340000,安徽省,5897,,,
1993,440000,广东省,6607,,,
1993,450000,广西壮族自治区,4438,,,
1993,510000,四川省,11104,,,
1993,460000,海南省,701,,,
1993,530000,云南省,3885,,,
1993,540000,西藏自治区,232,,,
1993,640000,宁夏回族自治区,495,,,
1993,610000,陕西省,3443,,,
1993,650000,新疆维吾尔自治区,1605,,,
1993,520000,贵州省,3409,,,
1993,620000,甘肃省,2345,,,
1993,370000,山东省,8642,,,
1993,320000,江苏省,6967,,,
1993,210000,辽宁省,4042,,,
1993,110000,北京市,1112,,,
1993,360000,江西省,3966,,,
1993,410000,河南省,8946,,,
1993,420000,湖北省,5653,,,
1993,630000,青海省,467,,,
1993,430000,湖南省,6311,,,
1994,142,中国,119850,85681,34169,
1994,130000,河北省,6388,,,
1994,230000,黑龙江省,3672,,,
1994,220000,吉林省,2574,,,
1994,140000,山西省,3045,,,
1994,150000,内蒙古自治区,2260,,,
1994,120000,天津市,935,,,
1994,310000,上海市,1356,,,
1994,330000,浙江省,4294,,,
1994,350000,福建省,3183,,,
1994,340000,安徽省,5955,,,
1994,440000,广东省,6689,,,
1994,450000,广西壮族自治区,4493,,,
1994,510000,四川省,11214,,,
1994,460000,海南省,711,,,
1994,530000,云南省,3939,,,
1994,540000,西藏自治区,236,,,
1994,640000,宁夏回族自治区,504,,,
1994,610000,陕西省,3481,,,
1994,650000,新疆维吾尔自治区,1632,,,
1994,520000,贵州省,3458,,,
1994,620000,甘肃省,2378,,,
1994,370000,山东省,8671,,,
1994,320000,江苏省,7021,,,
1994,210000,辽宁省,4067,,,
1994,110000,北京市,1125,,,
1994,360000,江西省,4015,,,
1994,410000,河南省,9027,,,
1994,420000,湖北省,5719,,,
1994,630000,青海省,474,,,
1994,430000,湖南省,6355,,,
1995,142,中国,121121,85947,35174,
1995,130000,河北省,6437,,,
1995,230000,黑龙江省,3701,,,
1995,220000,吉林省,2592,,,
1995,140000,山西省,3077,,,
1995,150000,内蒙古自治区,2284,,,
1995,120000,天津市,942,,,
1995,310000,上海市,1415,,,
1995,330000,浙江省,4319,,,
1995,350000,福建省,3237,,,
1995,340000,安徽省,6013,,,
1995,440000,广东省,6868,,,
1995,450000,广西壮族自治区,4543,,,
1995,510000,四川省,11325,,,
1995,460000,海南省,724,,,
1995,530000,云南省,3990,,,
1995,540000,西藏自治区,240,,,
1995,640000,宁夏回族自治区,513,,,
1995,610000,陕西省,3514,,,
1995,650000,新疆维吾尔自治区,1661,,,
1995,520000,贵州省,3508,,,
1995,620000,甘肃省,2438,,,
1995,370000,山东省,8705,,,
1995,320000,江苏省,7066,,,
1995,210000,辽宁省,4092,,,
1995,110000,北京市,1251,,,
1995,360000,江西省,4063,,,
1995,410000,河南省,9100,,,
1995,420000,湖北省,5772,,,
1995,630000,青海省,481,,,
1995,430000,湖南省,6392,,,
1996,142,中国,122389,85085,37304,25422
1996,130000,河北省,6484,,,785
1996,230000,黑龙江省,3728,,,1311
1996,220000,吉林省,2610,,,805
1996,140000,山西省,3109,,,892
1996,150000,内蒙古自治区,2307,,,654
1996,120000,天津市,948,,,448
1996,310000,上海市,1419,,,1448
1996,330000,浙江省,4343,,,629
1996,350000,福建省,3261,,,443
1996,340000,安徽省,6070,,,704
1996,440000,广东省,6961,,,789
1996,450000,广西壮族自治区,4589,,,321
1996,510000,四川省,11430,,,1786
1996,460000,海南省,734,,,119
1996,530000,云南省,4042,,,589
1996,540000,西藏自治区,244,,,9
1996,640000,宁夏回族自治区,521,,,157
1996,610000,陕西省,3543,,,1188
1996,650000,新疆维吾尔自治区,1689,,,739
1996,520000,贵州省,3555,,,600
1996,620000,甘肃省,2467,,,465
1996,370000,山东省,8738,,,1096
1996,320000,江苏省,7110,,,1912
1996,210000,辽宁省,4116,,,1514
1996,110000,北京市,1259,,,1771
1996,360000,江西省,4105,,,370
1996,410000,河南省,9172,,,1420
1996,420000,湖北省,5825,,,1250
1996,630000,青海省,488,,,97
1996,430000,湖南省,6428,,,1111
1997,142,中国,123626,84177,39449,31300
1997,130000,河北省,6525,,,1290
1997,230000,黑龙江省,3751,,,1694
1997,220000,吉林省,2628,,,1245
1997,140000,山西省,3141,,,968
1997,150000,内蒙古自治区,2326,,,784
1997,120000,天津市,953,,,660
1997,310000,上海市,1457,,,1273
1997,330000,浙江省,4435,,,1053
1997,350000,福建省,3282,,,806
1997,340000,安徽省,6127,,,1040
1997,440000,广东省,7051,,,2349
1997,450000,广西壮族自治区,4633,,,401
1997,510000,四川省,8430,,,1553
1997,500000,重庆市,3042,,,553
1997,460000,海南省,743,,,157
1997,530000,云南省,4094,,,465
1997,540000,西藏自治区,248,,,7
1997,640000,宁夏回族自治区,530,,,157
1997,610000,陕西省,3570,,,990
1997,650000,新疆维吾尔自治区,1718,,,876
1997,520000,贵州省,3606,,,654
1997,620000,甘肃省,2494,,,377
1997,370000,山东省,8785,,,1253
1997,320000,江苏省,7148,,,1382
1997,210000,辽宁省,4138,,,2366
1997,110000,北京市,1240,,,1648
1997,360000,江西省,4150,,,726
1997,410000,河南省,9243,,,1386
1997,420000,湖北省,5873,,,1854
1997,630000,青海省,496,,,90
1997,430000,湖南省,6465,,,1243
1998,142,中国,124761,83153,41608,32114
1998,130000,河北省,6569,,,1698
1998,230000,黑龙江省,3773,,,1369
1998,220000,吉林省,2644,,,1264
1998,140000,山西省,3172,,,753
1998,150000,内蒙古自治区,2345,,,894
1998,120000,天津市,957,,,520
1998,310000,上海市,1464,,,1407
1998,330000,浙江省,4456,,,1202
1998,350000,福建省,3299,,,625
1998,340000,安徽省,6184,,,1024
1998,440000,广东省,7143,,,2395
1998,450000,广西壮族自治区,4675,,,433
1998,510000,四川省,8493,,,1807
1998,500000,重庆市,3060,,,355
1998,460000,海南省,753,,,201
1998,530000,云南省,4144,,,424
1998,540000,西藏自治区,252,,,3
1998,640000,宁夏回族自治区,538,,,170
1998,610000,陕西省,3596,,,863
1998,650000,新疆维吾尔自治区,1747,,,907
1998,520000,贵州省,3658,,,593
1998,620000,甘肃省,2519,,,476
1998,370000,山东省,8838,,,1297
1998,320000,江苏省,7182,,,2058
1998,210000,辽宁省,4157,,,1897
1998,110000,北京市,1246,,,1911
1998,360000,江西省,4191,,,655
1998,410000,河南省,9315,,,1879
1998,420000,湖北省,5907,,,1671
1998,630000,青海省,503,,,141
1998,430000,湖南省,6502,,,1224
1999,142,中国,125786,82038,43748,34748
1999,130000,河北省,6614,,,1705
1999,230000,黑龙江省,3792,,,1296
1999,220000,吉林省,2658,,,1211
1999,140000,山西省,3204,,,1088
1999,150000,内蒙古自治区,2362,,,816
1999,120000,天津市,959,,,705
1999,310000,上海市,1474,,,1540
1999,330000,浙江省,4475,,,1016
1999,350000,福建省,3316,,,681
1999,340000,安徽省,6237,,,907
1999,440000,广东省,7270,,,2345
1999,450000,广西壮族自治区,4713,,,365
1999,510000,四川省,8550,,,1491
1999,500000,重庆市,3075,,,628
1999,460000,海南省,762,,,246
1999,530000,云南省,4192,,,437
1999,540000,西藏自治区,256,,,2
1999,640000,宁夏回族自治区,543,,,154
1999,610000,陕西省,3618,,,1085
1999,650000,新疆维吾尔自治区,1774,,,1148
1999,520000,贵州省,3710,,,726
1999,620000,甘肃省,2543,,,592
1999,370000,山东省,8883,,,1363
1999,320000,江苏省,7213,,,2668
1999,210000,辽宁省,4171,,,2211
1999,110000,北京市,1257,,,2244
1999,360000,江西省,4231,,,925
1999,410000,河南省,9387,,,1615
1999,420000,湖北省,5938,,,1710
1999,630000,青海省,510,,,178
1999,430000,湖南省,6532,,,1649
2000,142,中国,126743,80837,45906,28985486
2000,130000,河北省,6674,,,1241219
2000,230000,黑龙江省,3807,,,1199694
2000,220000,吉林省,2682,,,813292
2000,140000,山西省,3248,,,784075
2000,150000,内蒙古自治区,2372,,,648891
2000,120000,天津市,1001,,,506548
2000,310000,上海市,1641,,,934083
2000,330000,浙江省,4596,,,955955
2000,350000,福建省,3410,,,664183
2000,340000,安徽省,6286,,,921539
2000,440000,广东省,7707,,,2046311
2000,450000,广西壮族自治区,4750,,,759650
2000,510000,四川省,8602,,,1372692
2000,500000,重庆市,3092,,,555971
2000,460000,海南省,789,,,167622
2000,530000,云南省,4241,,,576877
2000,540000,西藏自治区,258,,,23255
2000,640000,宁夏回族自治区,554,,,136967
2000,610000,陕西省,3644,,,914224
2000,650000,新疆维吾尔自治区,1849,,,700996
2000,520000,贵州省,3756,,,464897
2000,620000,甘肃省,2557,,,467959
2000,370000,山东省,8998,,,2040572
2000,320000,江苏省,7327,,,1857521
2000,210000,辽宁省,4184,,,1692445
2000,110000,北京市,1357,,,1029929
2000,360000,江西省,4149,,,729694
2000,410000,河南省,9488,,,1817134
2000,420000,湖北省,5960,,,1537447
2000,630000,青海省,517,,,109100
2000,430000,湖南省,6562,,,1314744
2001,142,中国,127627,79563,48064,
2001,130000,河北省,6699,,,
2001,230000,黑龙江省,3811,,,
2001,220000,吉林省,2691,,,
2001,140000,山西省,3272,,,
2001,150000,内蒙古自治区,2377,,,
2001,120000,天津市,1004,,,
2001,310000,上海市,1614,,,
2001,330000,浙江省,4613,,,
2001,350000,福建省,3440,,,
2001,340000,安徽省,6328,,,
2001,440000,广东省,7783,,,
2001,450000,广西壮族自治区,4788,,,
2001,510000,四川省,8640,,,
2001,500000,重庆市,3097,,,
2001,460000,海南省,796,,,
2001,530000,云南省,4287,,,
2001,540000,西藏自治区,263,,,
2001,640000,宁夏回族自治区,563,,,
2001,610000,陕西省,3659,,,
2001,650000,新疆维吾尔自治区,1876,,,
2001,520000,贵州省,3799,,,
2001,620000,甘肃省,2575,,,
2001,370000,山东省,9041,,,
2001,320000,江苏省,7355,,,
2001,210000,辽宁省,4194,,,
2001,110000,北京市,1383,,,
2001,360000,江西省,4186,,,
2001,410000,河南省,9555,,,
2001,420000,湖北省,5975,,,
2001,630000,青海省,523,,,
2001,430000,湖南省,6596,,,
2002,142,中国,128453,78241,50212,55541
2002,130000,河北省,6735,,,2933
2002,230000,黑龙江省,3813,,,1752
2002,220000,吉林省,2699,,,1657
2002,140000,山西省,3294,,,1398
2002,150000,内蒙古自治区,2379,,,1255
2002,120000,天津市,1007,,,1006
2002,310000,上海市,1625,,,2331
2002,330000,浙江省,4647,,,2496
2002,350000,福建省,3466,,,1350
2002,340000,安徽省,6338,,,1554
2002,440000,广东省,7859,,,3693
2002,450000,广西壮族自治区,4822,,,1535
2002,510000,四川省,8673,,,2992
2002,500000,重庆市,3107,,,965
2002,460000,海南省,803,,,261
2002,530000,云南省,4333,,,766
2002,540000,西藏自治区,267,,,19
2002,640000,宁夏回族自治区,572,,,287
2002,610000,陕西省,3674,,,1354
2002,650000,新疆维吾尔自治区,1905,,,1800
2002,520000,贵州省,3837,,,1202
2002,620000,甘肃省,2593,,,727
2002,370000,山东省,9082,,,4759
2002,320000,江苏省,7381,,,2656
2002,210000,辽宁省,4203,,,2189
2002,110000,北京市,1423,,,2713
2002,360000,江西省,4222,,,1112
2002,410000,河南省,9613,,,3787
2002,420000,湖北省,5988,,,2174
2002,630000,青海省,529,,,149
2002,430000,湖南省,6629,,,2670
2003,142,中国,129227,76851,52376,64875
2003,130000,河北省,6769.44,,,4138
2003,230000,黑龙江省,3815,,,1762
2003,220000,吉林省,2703.7,,,1642
2003,140000,山西省,3314.29,,,1634
2003,150000,内蒙古自治区,2379.61,,,1214
2003,120000,天津市,1011.3,,,1037
2003,310000,上海市,1711,,,2617
2003,330000,浙江省,4679.55,,,2679
2003,350000,福建省,3488,,,1504
2003,340000,安徽省,6410,,,2894
2003,440000,广东省,7954.22,,,3645
2003,450000,广西壮族自治区,4857,,,2000
2003,510000,四川省,8700.4,,,3004
2003,500000,重庆市,3130,,,1045
2003,460000,海南省,810.52,,,426
2003,530000,云南省,4375.6,,,712
2003,540000,西藏自治区,270.17,,,20
2003,640000,宁夏回族自治区,580.3,,,284
2003,610000,陕西省,3689.5,,,2192
2003,650000,新疆维吾尔自治区,1933.95,,,1726
2003,520000,贵州省,3869.66,,,1831
2003,620000,甘肃省,2603.34,,,1062
2003,370000,山东省,9125,,,4601
2003,320000,江苏省,7405.82,,,3454
2003,210000,辽宁省,4210,,,3561
2003,110000,北京市,1456.4,,,2758
2003,360000,江西省,4254.23,,,2421
2003,410000,河南省,9667,,,2829
2003,420000,湖北省,6001.7,,,3063
2003,630000,青海省,533.8,,,242
2003,430000,湖南省,6662.8,,,2881
2004,142,中国,129988,75705,54283,67945
2004,130000,河北省,6809,,,3658
2004,230000,黑龙江省,3817,,,1666
2004,220000,吉林省,2709,,,1737
2004,140000,山西省,3335,,,1592
2004,150000,内蒙古自治区,2384,,,1461
2004,120000,天津市,1024,,,1356
2004,310000,上海市,1742,,,3001
2004,330000,浙江省,4720,,,3226
2004,350000,福建省,3511,,,1461
2004,340000,安徽省,6461,,,2604
2004,440000,广东省,8304,,,3760
2004,450000,广西壮族自治区,4889,,,2291
2004,510000,四川省,8725,,,2891
2004,500000,重庆市,3122,,,1042
2004,460000,海南省,818,,,383
2004,530000,云南省,4415,,,1504
2004,540000,西藏自治区,274,,,23
2004,640000,宁夏回族自治区,588,,,370
2004,610000,陕西省,3705,,,2468
2004,650000,新疆维吾尔自治区,1963,,,1733
2004,520000,贵州省,3904,,,1550
2004,620000,甘肃省,2619,,,1351
2004,370000,山东省,9180,,,4571
2004,320000,江苏省,7433,,,3393
2004,210000,辽宁省,4217,,,3261
2004,110000,北京市,1493,,,3289
2004,360000,江西省,4284,,,1798
2004,410000,河南省,9717,,,3881
2004,420000,湖北省,6016,,,3228
2004,630000,青海省,539,,,216
2004,430000,湖南省,6698,,,3179
2005,142,中国,130756,74544,56212,883192
2005,130000,河北省,6851,4269,2582,40036
2005,230000,黑龙江省,3820,1792,2028,30888
2005,220000,吉林省,2716,1290,1426,22832
2005,140000,山西省,3355,1942,1413,23197
2005,150000,内蒙古自治区,2403,1269,1134,23660
2005,120000,天津市,1043,259,783,18601
2005,310000,上海市,1890,206,1684,40549
2005,330000,浙江省,4991,2195,2796,33115
2005,350000,福建省,3557,1800,1757,21877
2005,340000,安徽省,6120,3947,2173,29007
2005,440000,广东省,9194,3615,5579,66510
2005,450000,广西壮族自治区,4660,3093,1567,22556
2005,510000,四川省,8212,5502,2710,35297
2005,500000,重庆市,2798,1533,1265,16122
2005,460000,海南省,828,454,374,5524
2005,530000,云南省,4450,3138,1313,18117
2005,540000,西藏自治区,280,222,58,293
2005,640000,宁夏回族自治区,596,344,252,4895
2005,610000,陕西省,3690,2316,1374,28734
2005,650000,新疆维吾尔自治区,2010,1264,747,21340
2005,520000,贵州省,3730,2728,1002,14897
2005,620000,甘肃省,2545,1781,764,13637
2005,370000,山东省,9248,5086,4162,50909
2005,320000,江苏省,7588,3756,3832,63909
2005,210000,辽宁省,4221,1743,2478,44404
2005,110000,北京市,1538,252,1286,48001
2005,360000,江西省,4311,2716,1595,19946
2005,410000,河南省,9380,6505,2875,48450
2005,420000,湖北省,5710,3243,2467,36287
2005,630000,青海省,543,330,213,4682
2005,430000,湖南省,6326,3985,2341,34917
2006,142,中国,131448,73160,58288,69581
2006,130000,河北省,6898,4246.4088,2651.5912,2340
2006,230000,黑龙江省,3823,1777.695,2045.305,2074
2006,220000,吉林省,2723,1280.6269,1442.3731,1690
2006,140000,山西省,3375,1923.4125,1451.5875,1949
2006,150000,内蒙古自治区,2397,1231.0992,1165.9008,1367
2006,120000,天津市,1075,260.9025,814.0975,1415
2006,310000,上海市,1815,205.095,1609.905,3496
2006,330000,浙江省,4980,2166.3,2813.7,3631
2006,350000,福建省,3558,1850.16,1707.84,1793
2006,340000,安徽省,6110,3843.19,2266.81,2499
2006,440000,广东省,9304,3442.48,5861.52,4589
2006,450000,广西壮族自治区,4719,3084.3384,1634.6616,1820
2006,510000,四川省,8169,5367.033,2801.967,3239
2006,500000,重庆市,2808,1496.664,1311.336,1102
2006,460000,海南省,836,450.604,385.396,386
2006,530000,云南省,4483,3115.685,1367.315,1184
2006,540000,西藏自治区,281,201.7299,79.2701,25
2006,640000,宁夏回族自治区,604,344.28,259.72,370
2006,610000,陕西省,3735,2273.868,1461.132,2445
2006,650000,新疆维吾尔自治区,2050,1272.23,777.77,1498
2006,520000,贵州省,3757.18,2725.4584,1031.7216,866
2006,620000,甘肃省,2606,1795.7946,810.2054,746
2006,370000,山东省,9309,5017.551,4291.449,4630
2006,320000,江苏省,7550,3631.55,3918.45,4794
2006,210000,辽宁省,4271,1751.5371,2519.4629,3601
2006,110000,北京市,1581,247.7427,1333.2573,4042
2006,360000,江西省,4339,2660.7537,1678.375,1719
2006,410000,河南省,9392,6342.4176,3049.5824,3331
2006,420000,湖北省,5693,3199.466,2493.534,3885
2006,630000,青海省,548,332.8552,215.1448,278
2006,430000,湖南省,6342,3887.0118,2454.9882,2777
2007,142,中国,132129,71496,60633,73184
2007,130000,河北省,6943,4148,2795,2454
2007,230000,黑龙江省,3824,1762.864,2061.136,2151
2007,220000,吉林省,2730,1278.732,1451.268,1790
2007,140000,山西省,3393,1899.0621,1493.9379,2105
2007,150000,内蒙古自治区,2405,1198.8925,1206.1075,1560
2007,120000,天津市,1115,264.1435,850.8565,1498
2007,310000,上海市,1858,209.954,1648.046,3457
2007,330000,浙江省,5060,2165.68,2894.32,3727
2007,350000,福建省,3581,1837.053,1743.947,1741
2007,340000,安徽省,6118,3750.334,2367.666,2054
2007,440000,广东省,9449,3482.9014,5966.0986,5207
2007,450000,广西壮族自治区,4768,3040.0768,1727.9232,1606
2007,510000,四川省,8127,5233.788,2893.212,2901
2007,500000,重庆市,2816,1454.7456,1361.2544,918
2007,460000,海南省,845,446.16,398.84,447
2007,530000,云南省,4514,3087.576,1426.424,1540
2007,540000,西藏自治区,284,203.628,80.372,29
2007,640000,宁夏回族自治区,610,341.478,268.522,380
2007,610000,陕西省,3748,2225.5624,1522.4376,2525
2007,650000,新疆维吾尔自治区,2095,1274.8075,820.1925,1567
2007,520000,贵州省,3762,2699.6112,1062.3888,1026
2007,620000,甘肃省,2617,1790.2897,826.7103,864
2007,370000,山东省,9367,4987.9275,4379.0725,4652
2007,320000,江苏省,7625,3568.5,4056.5,5355
2007,210000,辽宁省,4298,1753.584,2544.416,3765
2007,110000,北京市,1633,253.115,1379.885,4213
2007,360000,江西省,4368,2629.536,1738.464,2638
2007,410000,河南省,9360,6145.776,3214.224,3237
2007,420000,湖北省,5699,3174.343,2524.657,4057
2007,630000,青海省,552,330.8136,221.1864,331
2007,430000,湖南省,6355,3784.4025,2570.5975,3384
2008,142,中国,132802,70399,62403,74175
2008,130000,河北省,6988.82,4060.5044,2928.3156,2818
2008,230000,黑龙江省,3825.39,1706.1239,2119.2661,1980
2008,220000,吉林省,2734,1279.2386,1454.7614,1793
2008,140000,山西省,3410.61,1872.0838,1538.5262,2092
2008,150000,内蒙古自治区,2413.73,1165.5902,1248.1398,1539
2008,120000,天津市,1176,267.7752,908.2248,1501
2008,310000,上海市,1888.46,215.2844,1673.1756,3707
2008,330000,浙江省,5120,2170.88,2949.12,4148
2008,350000,福建省,3604,1805.604,1798.396,1774
2008,340000,安徽省,6135,3650.325,2484.675,2063
2008,440000,广东省,9544,3495.9672,6048.0328,5667
2008,450000,广西壮族自治区,4816,2978.2144,1837.7856,1308
2008,510000,四川省,8138,5094.388,3043.612,3038
2008,500000,重庆市,2839,1419.7839,1419.2161,1019
2008,460000,海南省,854,444.08,409.92,407
2008,530000,云南省,4543,3043.81,1499.19,1334
2008,540000,西藏自治区,287,222.1093,64.8907,41
2008,640000,宁夏回族自治区,617.69,340,278,390
2008,610000,陕西省,3762,2178.198,1583.802,2802
2008,650000,新疆维吾尔自治区,2130.8,1286.1509,844.6491,1699
2008,520000,贵州省,3792.73,2688.6663,1104.0637,1108
2008,620000,甘肃省,2628.12,1783.1794,844.9406,999
2008,370000,山东省,9417.23,4934.6285,4482.6015,4369
2008,320000,江苏省,7677.3,3508.5261,4168.7739,4621
2008,210000,辽宁省,4314.7,1723.7227,2590.9774,4128
2008,110000,北京市,1695,255.945,1439.055,3986
2008,360000,江西省,4400,2580.16,1819.84,2309
2008,410000,河南省,9429,6031.7313,3397.2687,3703
2008,420000,湖北省,5711,3129.628,2581.372,3965
2008,630000,青海省,554.3,327.3,227,347
2008,430000,湖南省,6380,3690.83,2689.17,3519
2009,142,中国,133450,68938,64512,79567
2009,130000,河北省,7034.4,4009,3024.792,3233
2009,230000,黑龙江省,3826,1702.57,2123.43,2131
2009,220000,吉林省,2739.55,1278.8219,1460.7281,1913
2009,140000,山西省,3427.36,1851.1171,1576.2429,2198
2009,150000,内蒙古自治区,2422.07,1128.6846,1293.3854,1619
2009,120000,天津市,1228.16,270.0724,958.0876,1713
2009,310000,上海市,1921,218.994,1702.006,3855
2009,330000,浙江省,5180,2180.78,2999.22,4335
2009,350000,福建省,3627,1762.722,1864.278,2918
2009,340000,安徽省,6131,3549.849,2581.151,2360
2009,440000,广东省,9638,3527.508,6110.492,5512
2009,450000,广西壮族自治区,4856,2952.448,1903.552,1613
2009,510000,四川省,8185,5017.405,3167.595,3844
2009,500000,重庆市,2859,1384.0419,1474.9581,1300
2009,460000,海南省,864.07,439.5524,424,482
2009,530000,云南省,4571,3016.86,1554.14,1152
2009,540000,西藏自治区,290.03,221.0029,69.0271,40
2009,640000,宁夏回族自治区,625.2,337,288,425
2009,610000,陕西省,3772,2131.18,1640.82,2885
2009,650000,新疆维吾尔自治区,2158.63,1299,860.2141,1658
2009,520000,贵州省,3798,2662.7778,1135.2222,1035
2009,620000,甘肃省,2635.46,1774.9823,860.4777,1053
2009,370000,山东省,9470.3,4894.251,4576.049,4728
2009,320000,江苏省,7725,3429.9,4295.1,4995
2009,210000,辽宁省,4319,1712.4835,2606.5165,4371
2009,110000,北京市,1755,263.25,1491.75,4433
2009,360000,江西省,4432.1581,2518.3522,1913.8059,2447
2009,410000,河南省,9487,5910,3577,4006
2009,420000,湖北省,5720,3088.8,2631.2,3662
2009,630000,青海省,557.3,323.7913,233,403
2009,430000,湖南省,6406,3638.608,2767.392,3254
2010,142,中国,134091,67113,66978,
2010,130000,河北省,7193.6,3993,3201,
2010,230000,黑龙江省,3833.4024,1700,2134,
2010,220000,吉林省,2746.6021,1281,1465,
2010,140000,山西省,3574.1145,1857,1717,
2010,150000,内蒙古自治区,2472.1786,1100,1372,
2010,120000,天津市,1299.29,266,1034,
2010,310000,上海市,2302.6608,246,2056,
2010,330000,浙江省,5446.51,2090,3356,
2010,350000,福建省,3693,1584,2109,
2010,340000,安徽省,5956.7096,3395,2562,
2010,440000,广东省,10440.9641,3531,6910,
2010,450000,广西壮族自治区,4610,2766,1844,
2010,510000,四川省,8044.92,4812,3232,
2010,500000,重庆市,2884.62,1355,1529,
2010,460000,海南省,868.5512,436,433,
2010,530000,云南省,4601.6,3005,1597,
2010,540000,西藏自治区,300.7218,232,68,
2010,640000,宁夏回族自治区,632.96,330,303,
2010,610000,陕西省,3735.2267,2026,1709,
2010,650000,新疆维吾尔自治区,2185.11,1245,940,
2010,520000,贵州省,3478.9408,2303,1176,
2010,620000,甘肃省,2559.98,1635,925,
2010,370000,山东省,9587.8641,4823,4765,
2010,320000,江苏省,7869.34,3102,4767,
2010,210000,辽宁省,4374.9,1658,2717,
2010,110000,北京市,1961.9,275,1686,
2010,360000,江西省,4462.2489,2496,1966,
2010,410000,河南省,9405.4697,5784,3621,
2010,420000,湖北省,5727.9143,2881,2847,
2010,630000,青海省,563,311,252,
2010,430000,湖南省,6570.1,3725,2845,
2011,142,中国,134916,64989.0372,69926.9628,107348
2011,130000,河北省,7240.51,3938.8374,3302,3045
2011,230000,黑龙江省,3834,1667.79,2166.21,2945
2011,220000,吉林省,2749.41,1281.2251,1468.1849,2031
2011,140000,山西省,3593,1807.9976,1785.0024,2347
2011,150000,内蒙古自治区,2481.71,1076.5658,1405.1442,2532
2011,120000,天津市,1355,264.225,1090.775,2313
2011,310000,上海市,2347.46,251.1782,2096.2818,4063
2011,330000,浙江省,5463,2059.551,3403.449,5547
2011,350000,福建省,3720,1558.68,2161.32,3583
2011,340000,安徽省,5968,3294.336,2673.664,3218
2011,440000,广东省,10504.8488,3519.1243,6985.7245,8852
2011,450000,广西壮族自治区,4645,2703.39,1941.61,3172
2011,510000,四川省,8050,4682.685,3367.315,5338
2011,500000,重庆市,2919,1312.9662,1606.0338,2696
2011,460000,海南省,877.34,434.2833,443.0567,526
2011,530000,云南省,4630.8,2926.6656,1704.1344,2558
2011,540000,西藏自治区,303.3,234.4206,68.8794,117
2011,640000,宁夏回族自治区,639.45,320.876,318,452
2011,610000,陕西省,3742.6,1973,1770.2498,3050
2011,650000,新疆维吾尔自治区,2208.71,1247.0377,961.6723,2433
2011,520000,贵州省,3468.72,2256.0555,1212.6645,2232
2011,620000,甘肃省,2564.19,1611,952.5966,1816
2011,370000,山东省,9637,4726.9485,4910.0515,6885
2011,320000,江苏省,7898.8,3010,4889.3572,7651
2011,210000,辽宁省,4383,1575.6885,2807.3115,4500
2011,110000,北京市,2018.6,278.5668,1740.0332,5597
2011,360000,江西省,4488.4367,2437.2211,2051.2156,2536
2011,410000,河南省,9388,5579.2884,3808.7116,5612
2011,420000,湖北省,5757.5,2774,2984.1123,5181
2011,630000,青海省,568.17,305,262.6082,405
2011,430000,湖南省,6595.6,3620.9844,2974.6156,4114
2012,142,中国,135922,63747.418,72174.582,110990
2012,130000,河北省,7287.51,3876.9553,3410.5547,3232
2012,230000,黑龙江省,3834,1652.454,2181.546,3093
2012,220000,吉林省,2750.4,1273.4352,1476.9648,1955
2012,140000,山西省,3610.83,1759.9185,1850.9115,2707
2012,150000,内蒙古自治区,2489.85,1052.2106,1437.6394,2364
2012,120000,天津市,1413.15,260.7262,1152.4238,2553
2012,310000,上海市,2380.43,254.706,2125.724,4392
2012,330000,浙江省,5477,2015.536,3461.464,6473
2012,350000,福建省,3748,1514.192,2233.808,2262
