UpdateTimes,Sgnyea,Prvcnm_id,Prvcnm,Tpt0101,Tpt0103,Tpt0104
1,1992,210000,辽宁省,3758,41548,
1,1992,230000,黑龙江省,5307,47882,
1,1992,440000,广东省,1426,55883,
1,1992,460000,海南省,214,12937,
1,1992,120000,天津市,3758,4088,
1,1992,140000,山西省,2331,31554,
1,1992,142,中国,58100,1056700,
1,1992,310000,上海市,235,3625,
1,1992,340000,安徽省,1672,30571,
1,1992,360000,江西省,1644,33986,
1,1992,370000,山东省,2048,43134,
1,1992,410000,河南省,3486,45049,
1,1992,110000,北京市,872.5,10827,
1,1992,530000,云南省,1651,60045,
1,1992,540000,西藏自治区,,21944,
1,1992,620000,甘肃省,1884,34822,
1,1992,430000,湖南省,2302,58110,
1,1992,610000,陕西省,2121,38318,
1,1992,640000,宁夏回族自治区,421,8200,
1,1992,130000,河北省,3609,48334,
1,1992,450000,广西壮族自治区,2294,37291,
1,1992,520000,贵州省,1408,31889,
1,1992,650000,新疆维吾尔自治区,1578,26024,
1,1992,220000,吉林省,3473,27192,
1,1992,330000,浙江省,867,31294,
1,1992,420000,湖北省,1705,47892,
1,1992,320000,江苏省,744,25325,
1,1992,630000,青海省,1100,16854,
1,1992,150000,内蒙古自治区,5770,43704,
1,1992,350000,福建省,1015,41882,
1,1993,120000,天津市,3789,4117,
1,1993,310000,上海市,247,3677,
1,1993,430000,湖南省,2273,58421,
1,1993,440000,广东省,1564,67554,
1,1993,460000,海南省,214,12937,
1,1993,130000,河北省,3806,49195,
1,1993,420000,湖北省,1941,48008,
1,1993,650000,新疆维吾尔自治区,2038,27961,
1,1993,360000,江西省,1644,34207,
1,1993,110000,北京市,874.6,11242,
1,1993,330000,浙江省,921,32838,
1,1993,210000,辽宁省,3758,41638,
1,1993,220000,吉林省,3473,28374,
1,1993,230000,黑龙江省,5262,48023,
1,1993,350000,福建省,1015,43558,
1,1993,610000,陕西省,2121,38536,
1,1993,640000,宁夏回族自治区,446,8301,
1,1993,142,中国,58600,1083500,
1,1993,320000,江苏省,747,25505,
1,1993,450000,广西壮族自治区,2294,38495,
1,1993,410000,河南省,3456,46487,
1,1993,540000,西藏自治区,,21944,
1,1993,620000,甘肃省,1884,34875,
1,1993,630000,青海省,1097,16963,
